index,48_1_www.instagram.com,48_2_www.instagram.com,48_3_www.instagram.com,48_4_www.instagram.com,48_5_www.instagram.com,48_6_www.instagram.com,48_7_www.instagram.com,48_8_www.instagram.com,48_9_www.instagram.com,48_10_www.instagram.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0
2,1183.52,1259.4799999999998,1142.86,1466.36,1204.5999999999997,1218.3200000000002,1717.6,1139.9599999999998,1156.5800000000002,1568.9
3,2330.84,4616.96,2251.84,2442.68,2684.4,2217.08,1907.2400000000014,2685.4400000000005,4170.079999999998,2566.56
4,7043.16,4189.08,5938.800000000003,4557.64,4044.1999999999994,4572.600000000002,4667.84,6185.159999999997,5690.400000000001,4439.380000000001
5,8591.72,6639.200000000004,5659.119999999999,6508.12,7249.600000000005,6133.4400000000005,7344.16,8322.56,5745.3600000000015,6069.3200000000015
6,13317.599999999997,9489.600000000002,13838.6,9756.8,9599.0,13603.199999999995,12066.200000000003,13391.2,13815.800000000001,8683.3
7,23726.600000000006,14192.360000000004,15236.600000000006,12005.64,14676.400000000005,13370.32,12906.64,42006.79999999992,14782.800000000001,13897.039999999992
8,62717.52,14956.56,62279.02,46203.159999999916,14455.800000000001,26539.4,14873.68,61165.96,41042.6,14831.62
9,60681.119999999995,18188.52,60414.119999999995,62688.28,64087.799999999996,64326.56,62889.92000000001,59415.68,62821.36,45000.83999999997
10,63900.32,39480.720000000016,63249.12000000002,61137.44,62309.6,62127.88,62846.12,65234.36,63354.54,62920.14
11,67706.0,69071.8,67001.8,63026.400000000016,60469.0,60750.8,63367.0,66912.6,63243.39999999998,63677.2
12,72520.4,67317.28,71134.28,68377.96,66359.0,67499.76,66654.59999999999,71523.76,68629.84,64517.9
13,71806.68,70258.4,71486.04,70707.32,71721.60000000002,70461.6,71003.84,73646.07999999999,73041.4,68648.44
14,73432.64,74957.12000000001,75883.36,72895.92,72814.6,72578.52,73373.8,74012.72,72869.4,73364.7
15,81909.08,76649.84,76997.6,75480.64,76370.4,75321.8,77107.60000000002,72975.68,75235.76,72989.72
16,80808.4,80752.40000000001,75876.0,75333.6,79592.0,75023.2,78860.8,149607.7999999999,75023.99999999996,77792.99999999997
17,80272.04,83381.24,112573.32,74361.2,86292.20000000001,93782.83999999994,77714.52,207706.19999999998,124925.0799999999,82975.59999999999
18,81603.8,82479.52,182650.43999999997,101947.80000000002,86904.79999999999,113481.92,115271.56,212229.88,171006.52,83851.92
19,83584.56,112542.88000000008,222037.56,194549.7200000001,86175.2,167475.1600000001,116949.04,224464.3199999995,236526.5199999998,86016.2
