index,322_1_www.tagesschau.de,322_2_www.tagesschau.de,322_3_www.tagesschau.de,322_4_www.tagesschau.de,322_5_www.tagesschau.de,322_6_www.tagesschau.de,322_7_www.tagesschau.de,322_8_www.tagesschau.de,322_9_www.tagesschau.de,322_10_www.tagesschau.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4130.58,3552.0,4129.52,3809.8400000000006,4131.64,4654.299999999999,4125.28,3604.92,3645.76,4243.199999999999
3,8357.52,8524.0,8309.88,8422.52,10252.08,8425.4,8501.32,6013.6399999999985,8429.28,8233.48
4,32256.200000000004,13166.0,29453.16000000002,19555.600000000002,14946.759999999998,43471.4,42343.72,18129.12,18440.60000000001,23159.879999999983
5,40449.44,26081.0,59587.52,59302.68,25264.60000000001,58965.8,45831.36,42120.44,40636.76,40700.56
6,52972.2,50037.0,69260.8,71362.2,48354.4,66230.0,72029.4000000001,59290.6,51743.8,46244.2
7,109588.32,67223.0,109751.56,111226.64000000001,64732.88,103336.8,74315.44,76922.08,61678.36,74978.56
8,182079.6,85655.0,143891.91999999998,182534.28,84154.31999999999,120663.59999999999,120085.52000000002,108951.38,70419.76,101083.04
9,210925.24,117455.0,180679.12,209084.04,98866.6,175345.8,192519.00000000012,119408.84,75975.72,115904.68000000001
10,227365.19999999998,122305.0,247659.92,219252.76,132875.88000000006,220794.39999999985,254789.80000000002,143263.86,120942.79999999999,210033.20000000007
11,268676.20000000007,197714.0,255532.0,275540.6000000001,182403.40000000002,284494.0,299745.8,194128.99999999997,189046.8,254871.0
12,274084.62,246561.0,312291.19999999995,323083.28,217849.72000000006,323234.8,307675.2,236337.56,204600.36,259972.04
13,283305.24,297870.0,335861.08,382396.2000000002,269532.19999999995,325763.2,317265.48,300459.52,243974.40000000002,271023.28
14,310071.56,297370.0,337986.32,398368.28,329040.52,343411.6,354256.60000000003,346730.08,261810.56,278795.60000000003
15,331480.56,303317.0,344205.4,460288.56000000006,332607.32,352576.0,366221.8000000001,355362.12,261727.32,336389.39999999997
16,396677.00000000006,340261.0,380514.99999999994,474544.8,341939.4,382195.5,473978.8,358835.7,268220.6,346649.99999999994
17,430020.80000000005,392748.0,407915.2,487956.48000000016,350951.8000000001,465411.0,499789.27999999997,392632.52,284100.64,416352.52
18,452869.52,415812.0,454426.36000000004,521220.60000000003,371387.80000000005,514549.99999999994,568330.2000000001,440921.32,342020.52,484152.12
19,481935.19999999995,471938.0,490843.36,568389.08,414681.20000000007,555654.8,627196.6,490315.92,343176.6,516015.40000000026
20,511524.8,523598.0,551580.8,582481.8,457062.4000000001,588362.4,687177.4,494817.18,390199.16000000003,578234.2799999998
21,562757.8000000002,545675.0,585993.9999999999,650367.0,518173.40000000014,649492.0,735030.0000000001,585233.7999999999,429843.0,666333.0
22,624726.48,600173.0,651202.72,711498.4,530192.4,731734.6,774539.5600000002,661007.5200000003,461369.32,696055.2
23,650861.4000000006,636224.0,694365.72,749682.68,585308.7200000001,811720.8,815038.7999999999,678271.8,493000.95999999996,794943.9599999996
24,722666.16,699253.0,742494.6,782409.76,641695.2400000002,868056.5,840141.04,719612.2,545193.64,835472.7599999999
25,770909.24,751636.0,828921.4000000001,833277.1599999999,700813.12,885766.6,875407.4,765218.8800000004,630001.5200000005,872691.36
26,808566.5,823265.0,857956.0,859819.0000000001,729820.0,957083.5,927850.0000000003,841515.0,690038.0,890992.0
27,836214.0,867407.0,887113.2000000001,885439.2000000004,781158.2,991736.0,967732.1200000001,851725.4,750298.2000000001,944006.52
28,838524.62,878226.0,1058011.56,940699.5600000005,827654.12,1057124.5,978779.0000000003,860614.82,819559.4,970796.3199999998
29,878548.68,917109.0,1098554.6,981102.3600000001,880883.12,1144809.8,1012399.12,877056.64,866309.4400000001,1014440.84
30,932340.2,935548.0,1113605.8,1028125.5600000008,905405.6,1226002.0999999999,1050252.2000000011,917612.5599999999,888167.96,1084183.4
31,1000521.2,964445.0,1214901.7999999996,1114928.8,941958.6,1281684.0,1135003.0000000005,957838.3999999996,918436.8000000002,1126068.0
32,1074162.8,993559.0,1269306.5200000003,1187293.4400000006,972137.48,1326421.0,1189205.04,999870.48,981846.08,1203241.3599999999
33,1119304.72,1024784.0,1360514.56,1232152.7200000004,1019230.4,1384191.4,1214568.8,1061278.2,1023939.76,1296702.3599999999
34,1177193.58,1149488.0,1432383.5999999999,1309163.4000000001,1107034.6,1383183.3,1264867.0000000002,1144528.8399999999,1087954.0799999998,1340971.52
35,1245951.48,1188492.0,1457376.76,1356114.08,1182630.72,1434204.4,1342769.4000000001,1231785.6400000001,1144468.1600000001,1343015.96
36,1268598.0,1226134.0,1505590.0,1417127.0000000002,1212073.4000000001,1467676.0,1408657.0,1267572.4999999998,1202687.4,1392680.8
37,1346437.8399999999,1255516.0,1509225.2,1468339.6800000004,1293702.56,1513253.8,1494858.6,1320140.2,1231380.6,1448478.44
