index,244_1_www.dmca.com,244_2_www.dmca.com,244_3_www.dmca.com,244_4_www.dmca.com,244_5_www.dmca.com,244_6_www.dmca.com,244_7_www.dmca.com,244_8_www.dmca.com,244_9_www.dmca.com,244_10_www.dmca.com
1,-442.0,-442.0,67.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0
2,4100.36,4119.28,4278.76,4115.84,4102.08,1124.24,4112.4,5435.72,3814.999999999999,4050.48
3,5074.639999999999,4608.6399999999985,6400.92,4587.839999999999,4457.56,5094.76,4709.400000000001,7682.4800000000005,4938.200000000001,4618.36
4,8386.88,8478.460000000001,14830.48,8176.22,8429.06,8422.52,8334.699999999999,16768.64,8317.900000000001,8642.86
5,14395.279999999999,16625.08,19919.44,14059.24,16461.88,14708.52,15188.399999999996,22273.28,14518.599999999995,16191.12
6,20241.2,20124.100000000002,35813.4,18444.80000000001,19641.9,18118.8,19047.0,40648.2,18284.5,20073.39999999999
7,21909.2,24839.320000000047,38312.639999999985,21888.28,27608.200000000095,21820.92,21669.000000000004,71441.19999999995,21950.4,35820.56
8,36492.32,34156.24,60273.95999999998,34132.94,36193.299999999996,34676.12,34152.3,124057.24,34692.1,37693.84000000002
9,40281.92,40191.16,73551.12,37817.92,39918.04,37796.36,39820.799999999996,186241.88,38028.4,39522.159999999996
10,45021.79999999998,48373.99999999999,138995.68,43203.14,51345.600000000006,40202.200000000004,42647.999999999985,253839.96,41504.3,82311.96
11,85188.00000000001,78307.2,171598.40000000005,82439.2,73922.0,80311.6,54863.0,258663.2,80905.0,103602.79999999994
12,111438.72000000004,85135.56,207243.64,86661.09999999999,86289.7,85662.52,86685.7,315043.64,85489.20000000001,178514.18000000005
13,158429.24,148956.96000000002,231953.12,162049.36,115330.4,141517.07999999975,102922.19999999998,323886.51999999996,141902.1999999998,184835.44
14,186188.48,184840.15999999997,246512.08,185856.1,180177.96000000014,174917.4,119241.40000000001,353221.08,184497.7,205686.63999999998
15,204703.12,184204.96,261297.2,183348.12,202873.75999999998,187255.32,122963.8,354817.28,185542.4,207211.6
16,203098.8,186548.7,289016.6,188572.40000000002,202318.8,203281.4,167904.5,419000.2,190703.0,208918.80000000002
17,203721.16,194272.28,320605.0,192688.84,201141.48,215809.16,179947.8,442057.48,209173.1999999999,228962.4
18,245077.08,210487.94,349418.04000000004,209821.91999999998,203843.46,222069.28,184472.19999999998,476790.92,233287.2,245588.58
19,249224.08,215041.59999999998,353113.04,211142.32000000012,240401.36000000002,223333.40000000002,258153.2,480010.32,259745.4,279326.48
20,271397.96,232962.63999999996,381429.1599999999,231431.41999999998,248333.92,251235.2,260130.0,527846.2,274161.8,331700.4800000002
21,273146.0,291669.2,466174.8,239768.19999999998,261780.2,259826.8,267627.0,584902.2000000002,279562.0,349862.39999999997
22,280763.44,309579.94,471853.72000000003,252835.91999999998,263238.77999999997,261872.08,300709.99999999994,622201.72,304542.8999999999,354964.0
23,321859.92,309991.76,475527.68000000005,272094.36,307260.0400000005,265657.72,380617.19999999995,684244.04,354055.4,353542.64
24,338090.0,336575.1599999999,482870.12,331666.74,320862.76,319988.9999999999,386708.7,692397.96,359062.2,359608.6800000001
25,370325.19999999995,403876.68,512242.7599999999,374764.12,327307.08,354255.7199999998,409889.7999999999,698545.3599999999,363162.0,408892.96
26,417447.0,436609.5,599197.0,410972.0,399562.0,386627.0,422024.5,785482.0,364193.5,461149.5
27,420133.96,450584.5599999997,606813.52,422765.84,420874.0,399026.5999999996,435140.8,827535.28,404629.7999999999,461925.96
28,434088.24000000017,470209.04,682956.52,439190.42,438898.36,405136.88,460061.2,832497.96,451807.4,474434.52
29,472711.60000000003,472564.92,709510.56,467572.60000000003,440130.48,423240.28,470075.0,837510.84,459376.4,480040.12
30,472650.72000000003,476812.82,717674.76,486406.76,450252.19999999995,427096.96,473934.7,839017.44,473247.7,481497.27999999997
31,476551.8,514845.79999999964,750675.3999999998,586699.2,477419.4,458353.7999999999,474984.0,842555.8,477405.0,483929.00000000006
32,480375.84,557241.7,828759.76,586984.54,481253.98,476071.6400000001,478476.9,875326.28,478053.10000000003,505052.16000000003
33,492088.64,575121.72,836203.52,604207.8400000001,483053.72,479896.52,481881.0,878923.08,494251.8,564857.7600000002
34,526857.68,576942.0599999999,836023.92,635553.78,486810.66000000003,550259.5599999999,488755.2,886392.92,523680.7,584590.16
35,579694.72,586494.5599999999,842843.84,636679.16,530760.6000000001,571898.2,492700.0,887705.88,527080.4,588649.52
36,582217.4,587392.2,842887.8,645246.7,571347.5000000001,607494.7999999998,518452.0,900409.2,617204.0,597309.7999999999
37,600919.6799999999,628809.8399999997,843691.36,715114.4800000004,588199.12,699009.56,583615.0,952203.52,631854.0,656839.56
38,705186.96,699347.86,879449.08,780105.1400000001,590653.54,706113.76,632960.4999999999,1116112.9600000002,661525.8,715802.72
39,717870.28,747324.24,881722.08,812075.0800000001,598411.1200000001,707949.08,692549.6000000001,1171069.6,661090.6,729726.36
40,769753.36,793997.28,883925.24,812442.64,637921.8600000003,708359.04,719869.1,1177858.6,671838.7,748348.0599999999
41,816436.8,818829.0,891374.6,819958.2000000001,708098.4,743788.4,722098.0,1186648.8,707911.0,762350.9999999999
42,819798.36,820315.26,893530.3999999999,823289.0599999999,709645.4,757127.16,731090.7999999997,1190885.52,739107.6,769723.64
43,824679.76,819532.12,906443.44,824525.08,718453.56,759465.28,755682.0,1191990.28,826025.6,830174.56
44,825915.4400000001,824944.2000000001,910686.76,827524.78,774867.9600000001,761030.32,826630.5,1195941.6,829360.7,833771.54
45,829179.52,823856.32,946277.0800000001,833322.88,828789.32,765189.3200000001,826313.8,1200393.36,830459.2,833825.92
46,828327.4,830200.3,1034708.1999999995,833838.1,831910.3,773024.9999999999,828031.5,1202742.4,831438.5,837862.6
47,831889.72,832931.08,1179376.48,835128.04,836691.04,788636.16,830373.4,1207460.36,836349.0,842088.0
48,833387.76,863115.48,1183178.92,836122.4000000001,837648.26,811198.56,831184.5,1212023.36,839142.8,874625.7999999999
49,866894.28,863358.92,1189989.68,860130.16,838324.96,846067.52,833938.7999999999,1216652.32,837736.5999999997,875422.12
50,869561.76,866458.18,1192254.5599999998,868674.58,840790.84,870282.84,866461.3999999999,1216501.16,839660.3999999999,877798.22
