index,293_1_www.commerzbank.de,293_2_www.commerzbank.de,293_3_www.commerzbank.de,293_4_www.commerzbank.de,293_5_www.commerzbank.de,293_6_www.commerzbank.de,293_7_www.commerzbank.de,293_8_www.commerzbank.de,293_9_www.commerzbank.de,293_10_www.commerzbank.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1444.24,1436.34,1482.6399999999999,1451.4199999999996,1544.52,1452.14,1466.36,1515.4,1499.02,1488.1
3,3599.52,3631.68,3623.6800000000003,4108.32,4114.68,3588.72,3569.28,4045.6000000000004,3823.480000000001,3669.2
4,5212.32,4812.62,4919.160000000001,5861.560000000009,4472.879999999998,4624.639999999999,5013.360000000001,4641.8,4291.619999999999,4698.100000000001
5,6728.8399999999965,8335.84,5997.639999999999,8570.52,8520.52,6069.56,6260.44,8667.6,8255.52,7188.399999999997
6,8522.8,8107.3,7741.2,10918.600000000004,10898.199999999999,8225.300000000001,7988.2,9727.0,7417.000000000003,7762.5
7,14698.52,11942.320000000002,14207.320000000002,16361.76,14958.480000000012,14329.04,12690.639999999998,16314.999999999998,16094.32,15494.599999999988
8,16099.68,13981.779999999997,15956.359999999999,16858.72,19686.199999999997,17991.88,18211.12,17775.399999999998,17588.46,18192.2
9,18705.679999999993,18766.88,16958.039999999986,18147.679999999997,20909.319999999996,19120.12,19367.88,21749.6,21151.320000000003,19448.2
10,21734.04,21282.72,19568.800000000007,22028.04,41381.24,21246.12,21164.68,38969.60000000001,21788.440000000002,22001.199999999993
11,22843.799999999992,26437.999999999993,21156.800000000007,36610.4,39132.00000000001,37760.79999999998,36500.20000000002,39589.0,40613.4,41892.0
12,41081.84,39671.94,41443.72,37477.94,43934.92,39184.82,39456.68,40491.799999999996,38315.94,39230.8
13,39637.96,38122.48,38930.36,41150.479999999996,45522.56,37769.56,38152.64,42173.200000000004,41657.479999999996,40121.4
14,42438.48,43970.48,39908.64000000001,44895.94,49290.36,43397.82,42924.68,46518.4,44905.02,44153.1
15,45898.880000000005,44596.08,43954.920000000006,47020.60000000003,68744.96000000008,47100.24,48909.15999999998,49457.6,51218.56,46279.6
16,52138.6,48766.4,46160.4,50252.299999999996,98045.40000000002,50771.000000000015,51290.4,53973.0,58523.600000000064,49219.5
17,54459.36,52347.2,49640.16000000001,83993.95999999999,108995.95999999999,68266.16,84263.04,65649.00000000001,70026.87999999999,50275.8
18,102771.2,85713.62,55980.67999999976,95215.90000000001,127196.04,96765.16,106963.48,92119.40000000002,88886.00000000007,67153.09999999999
19,127035.23999999999,110189.04000000001,66269.19999999995,114120.32000000005,151533.6,117152.08,131645.68000000005,98768.99999999999,103255.6,76793.99999999997
20,140339.24,137902.14000000004,77993.95999999996,130750.5,180620.80000000002,123942.93999999997,162625.88,122195.8,122426.3,90964.6
21,147578.2,149175.79999999993,101434.19999999997,151249.2,206350.80000000005,163834.6,192421.4,139132.0,138222.6,108746.0
22,169294.91999999995,173642.68,110686.32,177410.52000000002,219012.68,169559.28,216035.7599999999,179591.2,164145.08000000002,126766.2
23,185709.32,190339.56,127448.23999999999,206241.12000000002,233802.4,187322.96000000002,246555.8,214866.80000000005,208338.64,144942.99999999997
24,203488.11999999997,235901.54000000012,153598.23999999996,227597.1,268778.44,216790.19999999998,264965.96,229007.80000000008,249092.76,179890.5999999999
25,247897.72,265267.39999999997,177729.4799999999,256647.72000000038,291097.8400000001,247689.00000000003,305772.88,246231.00000000003,260581.31999999998,199479.79999999984
