index,163_1_www.snapchat.com,163_2_www.snapchat.com,163_3_www.snapchat.com,163_4_www.snapchat.com,163_5_www.snapchat.com,163_6_www.snapchat.com,163_7_www.snapchat.com,163_8_www.snapchat.com,163_9_www.snapchat.com,163_10_www.snapchat.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-235.0,-442.0,-442.0,-442.0
2,4072.84,4030.6800000000003,4072.84,4022.04,3903.600000000001,3594.52,4091.6800000000003,3580.08,3792.18,4108.32
3,5045.16,4252.279999999996,4265.88,4387.320000000001,6241.8,7069.96,8740.32,8385.360000000002,6237.84,8422.52
4,8200.72,7871.3200000000015,8254.88,7903.76,13460.400000000005,11761.960000000001,12981.04,14275.16,11847.879999999997,15953.48
5,13845.64,13558.48,13733.64,13603.56,14785.799999999997,14848.359999999999,15260.76,15206.4,15870.48,13584.24
6,15128.0,14392.8,14702.199999999999,14436.4,17591.0,17657.6,25461.399999999936,15367.999999999998,14046.300000000001,36996.2
7,13240.6,17122.96,13916.759999999998,16593.88,37731.000000000015,37418.2,48208.399999999994,28445.959999999974,17510.319999999992,74373.40000000002
8,18246.88,41505.48,48948.520000000026,45386.240000000005,62249.4,59440.9,89812.52,55160.12,52511.54,147372.80000000002
9,53270.52000000002,80513.48,84391.36000000004,107172.99999999994,117809.2000000001,94633.6,140917.19999999998,83544.95999999999,72161.12,224395.2
10,93789.08000000002,110879.08,143723.6,130860.84,206690.0,160607.84000000003,178022.27999999997,112400.2,147917.08,264780.04000000004
11,139320.00000000006,158323.5999999999,169238.80000000002,182294.4,349631.0,189763.00000000003,231073.99999999997,163336.6000000001,220741.19999999995,378651.20000000007
12,200367.68,179506.16,192708.83999999997,236810.99999999994,454646.60000000027,259018.70000000004,303421.83999999997,201843.44,287829.12000000005,472493.84
13,260752.24,211815.87999999983,255316.2,326126.56,548786.2000000001,346098.4,392380.04,254364.71999999994,370745.92,529523.8
14,318892.08,283496.9999999998,319716.8,357923.60000000003,674798.0,423778.66000000003,476770.87999999995,307015.6000000001,446116.32000000007,623213.2000000001
15,366243.52,326444.44,362873.12000000005,416707.63999999996,770463.2000000001,493422.48000000004,547910.16,369880.92,534966.2799999999,734577.6
16,460026.60000000003,367952.5999999999,438428.0,492178.19999999995,850155.0000000005,564064.4,571303.0,404867.0,586502.2000000001,803711.0
17,498178.08,423585.39999999997,496082.5200000001,530007.7599999998,936996.6000000001,624402.0400000002,612450.24,442921.8,682690.28,912502.4400000001
18,585044.7200000001,485405.52,559339.9600000001,606455.96,1012248.2000000008,676631.9800000001,653365.6399999999,497104.00000000023,763819.52,1018327.8
19,656046.2,554357.3999999999,623459.2000000002,675036.1599999999,1085067.4000000001,758259.68,733926.6399999998,566743.72,800965.4400000001,1100960.1600000001
