index,16_1_www.b-tu.de,16_2_www.b-tu.de,16_3_www.b-tu.de,16_4_www.b-tu.de,16_5_www.b-tu.de,16_6_www.b-tu.de,16_7_www.b-tu.de,16_8_www.b-tu.de,16_9_www.b-tu.de,16_10_www.b-tu.de
1,-442.0,-442.0,-442.0,0.0,-442.0,-442.0,-442.0,-442.0,67.0,67.0
2,1648.16,1536.6,1487.6,324.84000000000003,1387.36,1328.8999999999999,1580.8,1594.12,321.48,102.51999999999941
3,517.92,1143.32,990.5199999999998,465.2399999999999,349.2400000000001,529.8,1195.3999999999999,1159.76,1982.04,1296.92
4,2278.48,2466.36,2581.16,2023.3999999999999,4575.52,4433.8,1133.399999999997,280.48000000000025,1486.9399999999998,2472.14
5,4483.56,4578.48,4475.88,1565.5199999999998,6457.48,4505.4,4550.8,2306.92,753.2799999999961,4779.08
6,7183.200000000001,4236.599999999999,5263.000000000003,4880.800000000001,6110.2,6754.5,4469.0,4397.900000000001,4887.9,6831.700000000001
7,5784.640000000001,6683.88,6544.32,5117.96,10425.359999999999,6931.600000000003,7181.8,6823.959999999999,4824.92,7907.5199999999995
8,15537.120000000003,8092.840000000004,8683.84,4606.92,21163.48,11340.300000000001,6062.2,6739.240000000002,7352.88,21050.84
9,21102.96,7341.5599999999995,10995.200000000004,6349.600000000002,54554.24,21652.8,10030.8,8489.44,7655.879999999996,51205.4
10,50575.92,20806.16,21376.48,17180.239999999998,56760.96000000001,51359.5,17359.59999999998,8791.599999999997,10319.38,67861.04000000001
11,55753.4,25631.00000000004,47446.60000000001,21795.800000000003,64973.400000000096,53661.0,20565.0,21059.399999999998,16589.199999999997,72335.6
12,55225.92,53391.28,57972.40000000001,32638.800000000076,100776.68000000001,70253.9,52833.399999999994,22633.4,22381.12,100702.94
13,56273.48,57033.71999999998,68924.32,54375.44,99271.92,75167.99999999997,63299.99999999998,52037.799999999996,54288.68,100702.24
14,72038.48,70057.56,88044.24,54284.92,109162.24000000002,100806.7,68398.8,53792.94,55648.76,104631.48
15,73525.56,74996.12000000001,86651.52,55975.96,136756.15999999997,99564.6,69675.6,64110.56000000004,55515.04,115994.32
16,75476.6,101315.2,94738.2,64957.400000000096,139209.6,101323.5,68784.0,70213.7,70472.79999999999,140294.2
17,93321.88,99706.44,98141.16,101675.64,158949.0,105718.4,72796.2,77089.40000000001,71804.24,171088.11999999994
18,108246.8,98852.80000000002,100209.04,100533.28,198060.0,114039.19999999992,75453.6,100777.78,70914.12000000001,211943.43999999992
19,142114.4,102894.64,103055.16000000002,101826.48,234711.7200000001,143332.0,92449.6,100031.88,78659.75999999997,253583.2
20,177822.44,107212.12,103539.32,103937.04,278967.0000000001,194603.39999999985,92367.8,100852.48,79936.88,295747.8000000001
21,211294.6,109146.6,107676.6,117924.8,311021.2,226581.0,95876.0,104134.80000000005,87872.79999999987,332194.80000000005
22,245326.48000000004,136747.4,131728.31999999998,117871.44,353246.8,293982.5,107591.0,118132.42,108537.39999999998,378381.24000000005
23,287813.2799999999,160216.28,159866.00000000003,139559.72000000003,395715.36,331587.6,140635.4,120284.64,139932.36000000002,428225.04000000004
24,316445.44,174750.56000000008,184633.0,169543.0800000001,445920.24,358431.99999999994,170156.0,123896.56000000008,165495.63999999993,461452.36000000004
25,356057.52,237949.2799999999,222300.0800000001,214771.0,479512.95999999996,396285.6,191643.39999999994,143362.59999999998,197697.0,530586.52
26,381696.0,259820.0,259412.0,248766.0,531610.0,404952.5,216281.0,187288.0,247503.9999999998,579083.0
27,418729.6,281949.44000000006,287259.91999999987,288788.51999999996,582542.28,441222.4,251128.19999999998,215836.7200000001,276408.2399999999,615929.68
28,446147.20000000007,317675.04000000004,338515.16,316137.44,595001.6,477162.19999999984,280099.5999999999,243199.44000000015,291720.1999999999,651020.8
29,468962.4,347710.32,381270.2,348495.9600000002,625251.4799999997,490433.2,311550.8,297898.2,324208.92000000004,705897.96
30,509205.2,374654.1599999999,420480.2,382116.08000000013,658760.1599999998,513494.9999999999,352536.3999999999,335846.87999999983,356491.8399999999,749180.6
31,545966.0,425016.3999999999,439532.00000000006,414349.6000000001,713085.6,555367.0,379098.0,355794.4,394880.39999999997,810063.0
32,572907.4400000002,442820.44,477352.4,453836.7600000001,747117.6,599990.6,413632.7999999997,391347.24,425458.83999999997,848006.1799999999
33,605325.6,453349.28,530069.4400000002,481524.44,793983.2799999999,638406.8,442387.2,412457.04000000004,450593.6799999998,887790.04
34,624876.24,491655.52,563300.2,537643.24,841365.32,665069.6999999997,467020.8,447392.12000000005,484116.12,906082.5599999998
35,632053.2800000001,513836.5600000001,616114.6,580793.24,881026.96,675920.8,506256.59999999986,486582.08,536819.4799999997,967808.16
36,659349.8,544244.8,624682.8,588992.4,889114.6,695540.0,542285.0,508914.2000000003,563543.1999999998,966825.6
37,661237.8,585659.16,649663.1200000001,610606.0399999999,925463.2,725089.0,568838.0,550987.0399999999,602417.48,974539.8
38,692225.2,608288.36,675103.16,626640.72,967653.8,753762.4,589047.0,591773.4,620533.7999999999,976270.06
39,696304.68,633423.6,695082.2000000001,641082.16,969122.92,777377.7999999997,608848.0,613970.96,625698.2,976186.76
40,708941.2,641749.6,741231.8000000003,661775.96,974720.32,809645.4999999999,630745.9999999999,630648.6,659747.84,974818.66
41,759138.0,661437.2,773091.0,685279.4000000001,973867.4,840682.0,659666.0,662886.8000000002,676741.2,975128.0
42,768061.8,677423.4400000001,813793.16,731236.4,973618.88,879823.5,680509.2,709047.5200000003,710160.9199999999,975314.46
43,777036.6,710639.3599999999,863747.12,761927.32,974256.48,889048.8,723340.5999999999,745710.04,749139.24,975687.52
44,785045.0800000001,749412.72,881163.16,805744.2799999999,975512.16,923736.8,745399.0,760501.96,773124.2,975853.58
45,789096.28,758032.96,888750.12,832360.8,977339.88,958234.4,771478.4,805676.76,808635.6,976234.76
46,805830.0,812109.4,898685.0,842828.2000000001,977632.4,968218.5,791753.0,843305.4000000001,838478.9,978014.1
47,832826.8399999997,834735.1200000001,933099.8000000002,878622.92,979018.24,967385.4,842664.9999999999,882134.2000000001,853243.4,981176.4
48,842323.6,878132.9600000002,955189.6800000003,887854.28,980293.6000000001,967288.6,881520.8,888149.42,880230.4799999997,984842.38
49,861535.76,887578.52,968115.96,890577.88,983849.4,971185.2,887606.0,890052.2,890349.2,986478.24
50,895513.36,886171.44,970675.88,901831.68,986379.84,971187.6,888592.6,906553.2,943627.5599999998,988324.48
