index,78_1_github.com,78_2_github.com,78_3_github.com,78_4_github.com,78_5_github.com,78_6_github.com,78_7_github.com,78_8_github.com,78_9_github.com,78_10_github.com
1,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,-48.0
2,605.0400000000001,163.31999999999994,1606.0999999999997,1061.0399999999988,587.2199999999999,2042.28,1551.2199999999998,2152.84,2842.44,1697.6000000000001
3,4068.119999999999,2919.92,4801.599999999999,3030.52,4262.160000000001,2696.24,4777.92,4465.879999999999,3732.6800000000003,4901.8
4,8288.36,7369.739999999999,6855.900000000001,7783.96,6199.0199999999995,7269.8600000000015,9337.22,8261.759999999995,13107.12,6716.200000000006
5,16180.36,13264.279999999999,14829.800000000001,16983.76,15939.48,11264.88,14923.279999999999,16609.84,16413.68,10418.000000000004
6,19199.2,18888.899999999998,16859.0,18508.8,18219.1,17108.3,17288.80000000001,19473.2,23879.00000000001,18723.0
7,60806.24,37593.59999999998,18869.399999999994,23617.160000000003,50757.599999999984,19032.440000000002,19001.8,31695.720000000005,46068.24,23238.8
8,65723.88,60169.88000000001,47080.7,63651.92,51755.62,24392.280000000002,27645.72,51409.88,50474.32,30250.199999999986
9,65556.23999999999,64878.24,62251.400000000016,69455.52,61550.28,51294.96,38810.68,57323.04,66380.36,67674.6
10,73817.20000000003,69157.62,63523.200000000004,70245.84,68230.58,55223.58,52815.579999999994,60477.24,71940.36000000002,75448.4
11,82382.00000000033,72278.6,66036.0,74023.4,69787.6,70429.79999999999,68776.6,75548.0,73567.4,74351.0
12,128933.24,76670.70000000003,69871.4,85419.20000000001,70415.38,72230.81999999999,72384.56,99786.60000000006,83390.84,78443.40000000001
13,211986.12000000017,79503.48,71599.00000000004,90558.8,81447.36,78943.36,75406.52,223789.63999999998,126936.16,82545.0
14,325604.24000000017,120679.02000000002,81645.6,89848.8,80939.04000000001,77544.2,87550.36000000023,378975.51999999996,225009.52,83798.2
15,378811.08,211654.3600000001,104328.00000000003,208817.76,138877.83999999988,128439.68,115557.79999999999,381991.6,348993.95999999996,125447.0
16,376193.6,215565.1,195827.0,232684.0,138829.3,219271.7,206572.0,380335.8,388052.8,182290.0
17,373303.64,213921.08,238222.60000000015,230970.84,137396.72,218055.2,208619.64,378580.24,387260.16,231621.8
18,378944.32,220085.60000000003,315276.6,339531.60000000003,188065.79999999987,216619.1,289171.4,381295.72,385790.52,231807.6
19,385214.48000000004,326092.75999999995,372865.0,444214.44000000024,291957.8,291334.12,326438.64,434126.0800000001,390452.72000000003,298978.0
20,391180.24,411618.36000000004,371683.9,546087.2000000001,340879.39999999997,378227.39999999997,329524.12,487259.3599999999,399473.36,396592.60000000003
21,393439.8,487436.4,370308.0,621155.2000000002,388996.0,462158.0,337017.2000000003,554850.8000000002,404771.0,463362.0
22,424746.52000000025,606562.2400000003,457534.2,712064.3200000001,466489.6,555418.6,445789.56000000023,638788.8399999997,409430.24,532000.7999999999
23,513151.24000000005,680859.04,586071.6000000003,797621.6,504072.19999999995,654296.2799999997,586532.7200000001,730281.3200000002,413338.96,571955.8
24,585409.4800000007,752632.16,712476.0000000001,854417.44,647227.44,753574.44,713422.4800000007,856130.9199999999,412090.56,589563.4
25,695553.72,835399.76,763671.8,886462.96,827114.9999999997,834571.3999999999,806047.16,954084.2,410477.6,592910.6
26,719928.0,907749.5,842843.0,899209.0,830553.5,838128.0,838956.0,1054494.0,496320.0,629516.0
27,723490.84,911001.76,843871.6,922628.76,869365.72,838445.04,836296.04,1096311.8,655537.64,682364.4000000001
28,726233.04,917615.52,879267.6000000003,934009.12,897496.94,886041.84,889477.4000000001,1199901.04,729466.6,755081.2000000001
29,792394.2799999999,1021942.4,910594.6,1042487.4,903504.44,906088.36,900390.88,1236603.04,844142.4,821426.7999999999
30,929832.5200000005,1145127.2,912020.0,1109104.76,909671.98,907423.42,904605.86,1241256.5200000003,985755.5599999998,892094.4000000001
31,1048865.6,1240191.4,983985.0,1250492.8,966193.3999999997,978984.5999999997,943213.8000000002,1346062.4,1075801.7999999998,973810.0
32,1132655.2400000002,1243576.06,1049537.4,1255284.64,1017825.6,1061129.68,997208.5600000008,1431222.6,1212633.0799999998,1036012.6000000002
33,1151510.4000000001,1248898.6,1180282.4000000004,1280137.5999999999,1036886.6,1100825.3599999999,1107918.2800000005,1571157.08,1253040.08,1184406.4000000001
34,1269696.6,1255260.48,1236690.4000000001,1404141.1199999996,1048337.4399999992,1181201.3599999999,1225204.6,1726413.3199999996,1256579.08,1246219.8
35,1379085.7200000004,1272072.4,1238236.8,1506230.7200000004,1157388.1199999996,1235173.4,1234383.52,1846486.24,1262794.36,1249167.0
36,1461913.0000000002,1376723.4,1241638.0,1673400.7999999998,1251288.0,1236905.3,1237740.9,1959648.0,1269493.4,1252065.0
37,1545430.0400000007,1512359.1199999999,1246401.2,1841626.9600000014,1378063.4799999997,1240383.5999999999,1246467.6,2126949.12,1289845.8,1322469.0
38,1639745.4000000001,1611056.6,1295760.6,2011900.6799999995,1463325.2,1256868.1,1247887.76,2266174.08,1410967.48,1429030.8000000012
39,1742878.9200000002,1721052.4,1405369.4000000006,2115206.68,1558173.8,1256109.32,1291107.4000000004,2372899.48,1477081.84,1495100.6
40,1859384.6000000003,1854103.5200000003,1483609.9000000001,2308798.92,1632432.4,1255151.74,1384146.16,2517013.2,1596092.9599999995,1590859.0000000002
41,1969675.0,1936407.6000000003,1567128.0,2439169.0,1701104.1999999997,1323430.6,1483701.2,2636328.4000000004,1697761.2000000002,1710567.0
42,2044162.2,2072615.1600000001,1662359.8000000003,2584100.0,1782178.6,1415638.8800000004,1574061.6,2718173.8399999994,1788759.7999999998,1815820.7999999998
43,2141188.920000001,2188277.6,1724458.0,2765960.4,1962713.8399999999,1549141.5599999998,1698741.4000000004,2748414.72,1921038.6,1921164.4000000001
44,2241735.8,2238365.4,1801796.4,2769521.56,2017122.96,1653300.2399999993,1805757.6,2758569.48,2033518.5199999993,2034440.0
45,2240463.88,2319401.2,1913144.8000000005,2775722.64,2087517.68,1727772.919999999,1960840.4400000002,2763486.48,2167297.8000000003,2162052.0
46,2239008.0,2407535.7999999993,2107929.0,2782096.0,2222477.6000000006,1881030.0,2109734.1000000006,2768650.1999999997,2281835.2,2307680.0
47,2250750.4,2454284.64,2245790.800000001,2782806.8,2354819.16,2056125.64,2235104.5200000005,2769634.8,2397079.32,2446645.8
48,2338925.92,2492511.36,2391167.9000000004,2786432.64,2423168.36,2198084.38,2331384.4,2764659.04,2495259.079999999,2569648.800000001
49,2450057.4800000004,2550117.48,2497140.8000000003,2788593.48,2569154.639999999,2315268.2799999993,2475943.4800000004,2764946.1199999996,2622199.4,2712682.0000000005
50,2518241.200000001,2618879.2,2615017.4000000004,2783159.96,2656775.4,2453178.3199999984,2602970.2600000002,2769977.52,2725706.359999999,2765309.6
