index,243_1_www.dmca.com,243_2_www.dmca.com,243_3_www.dmca.com,243_4_www.dmca.com,243_5_www.dmca.com,243_6_www.dmca.com,243_7_www.dmca.com,243_8_www.dmca.com,243_9_www.dmca.com,243_10_www.dmca.com
1,-442.0,-442.0,403.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1072.3999999999992,1569.1999999999996,1382.0599999999995,2055.9000000000005,1343.6200000000001,3427.4000000000005,3794.5999999999995,2107.399999999999,2024.6000000000008,1569.1999999999996
3,5561.56,5554.28,5316.720000000002,5094.36,4129.52,5595.4,5174.4800000000005,5313.280000000001,5546.44,5509.28
4,6526.74,6295.62,6540.62,8330.38,4606.159999999995,6480.84,8387.16,6159.24,7493.800000000003,6250.62
5,8088.880000000001,7697.799999999998,7529.239999999998,11406.200000000003,8229.72,12305.360000000002,14788.28,8967.599999999997,13065.08,7652.799999999998
6,16530.500000000004,16193.699999999999,16021.7,17044.800000000003,14439.9,18745.4,18388.6,16098.4,16420.399999999998,16148.699999999999
7,18284.919999999995,19964.76,20072.76,19645.76,18395.48,22425.08,22121.64,19609.48,20987.560000000005,20139.56
8,22025.22,21762.560000000005,21840.760000000002,24345.84000000006,19673.26,38050.32,36622.68,21372.52,25858.44,22036.86
9,37230.920000000006,37835.92,38106.759999999995,37508.96,26606.679999999993,39671.24,41475.72,24512.68,27735.36,36706.92
10,39167.22,41597.84,41381.06,41124.58,37992.22,43478.52,42666.92,30668.599999999984,36158.60000000011,39220.86
11,43332.799999999996,43666.6,43401.6,42680.399999999994,41611.8,60997.80000000001,69347.99999999999,45415.4,45403.6,43405.4
12,47427.09999999999,66401.3,57622.700000000004,54227.38,43234.98,71615.96,75073.04,48974.36,49124.12,60915.2
13,71577.48,75007.36,74256.2,69317.15999999995,51398.79999999998,105351.40000000001,90230.71999999999,61356.79999999999,50544.36,70800.76
14,75990.68000000001,75900.59999999999,74938.8,111290.80000000003,56632.38,166763.24,151627.36000000002,69369.19999999998,62339.64000000001,88143.3
15,104568.52,106138.87999999992,118357.04,120658.44,105495.43999999996,217558.52,173599.52,95062.56,91441.35999999999,141046.5999999999
16,178599.39999999973,175676.0,168492.3,123408.7,153418.00000000003,232443.4,191183.2,99492.59999999999,121147.20000000007,188713.0
17,189696.28,180620.27999999997,189373.96,123924.8,185654.2,257639.92,193842.64,164706.71999999997,159445.24000000002,189277.84
18,190642.86,189897.56,217039.12,136918.82,187383.23999999996,264633.04,214731.96,195932.12,157837.84,190493.18
19,207217.27999999997,193848.72,223641.48000000007,138386.52,190939.68,266615.64,227048.68,196042.52000000002,195554.8,193294.48
20,218816.02,213262.83999999997,226581.46,154635.52,206936.78,332557.88,229377.68,199181.08,201199.48,221489.06
21,222311.4,228095.99999999997,261667.40000000023,154375.4,211829.4,342255.6,249623.0,200606.2,216949.40000000005,228560.6
22,229940.39999999997,249887.06000000006,299574.56000000006,167721.67999999996,213579.12,342644.52,314493.4,206320.76,220594.88,229427.06
23,248709.68,304808.92,303198.92,217541.8,216745.72,373302.44,359728.12,208341.84,227569.96,233137.08
24,279503.49999999994,305027.86,304808.6,255727.92,236230.56,405532.12000000005,385155.0399999999,228520.36,247402.80000000005,274534.47999999986
25,282920.48,310795.96,304567.28000000026,283919.5599999998,236929.88,415322.72,418174.32,239043.6,264692.44,312270.8
26,282433.5,348228.0,368863.0,346025.5,247928.0,416468.0,428698.0,254016.0,263513.0,315680.0
27,289677.75999999983,405917.1199999999,410709.44,407545.28,256575.64,421719.52,528607.3600000001,285968.52,282617.48,362485.3199999999
28,349292.51999999967,414328.48,412856.38,416042.64,273693.02,425588.76,539451.44,326721.88,342220.5200000003,405489.36
29,404919.84,416310.04000000004,413900.68,419371.28,317630.76,450625.1200000003,543659.12,372788.2,344284.04,417636.08
30,406154.38,417245.72,425592.2800000002,436100.4799999998,317169.28,516760.4,608068.1199999999,423884.76,365731.8,422996.06
31,423584.99999999994,422465.2,490630.80000000005,499207.1999999999,327297.6,577298.6000000003,645622.6,425962.6,369449.00000000006,441597.8
32,447531.80000000005,439385.74,507629.92,515117.34,362320.94,646720.88,655232.84,430671.68,412593.6,489026.36000000004
33,523035.44,479368.08,538606.76,532882.04,377149.16,650003.8,667189.68,449592.44,433600.52,527753.64
34,525051.74,528828.26,573377.3200000001,543044.7200000001,425435.96,653321.04,697094.8,488988.7999999995,492174.8400000004,534569.84
35,526773.56,529173.44,645886.88,547057.56,479176.6799999995,667094.48,761782.8,535710.32,549444.76,572979.76
36,528352.7,559301.6,660878.7000000002,550300.1,524845.2,673019.1999999998,763300.2,537019.4,552854.8,637031.6
37,543621.36,588048.4000000001,701805.6000000001,552557.36,540438.68,736267.7999999998,764834.68,580063.7999999998,551869.4800000001,656113.1600000003
38,547241.04,675547.8,705202.58,553827.82,570220.72,766982.12,769945.72,666778.16,557803.64,731559.2400000001
39,578058.2,707096.52,723770.28,557509.68,582754.3999999999,768806.12,772161.7999999999,693711.8799999999,564952.72,757868.36
40,611767.46,759920.88,750903.58,562710.54,639738.96,769769.68,772778.24,702187.92,565232.92,759926.86
41,615312.7999999999,759658.8,754705.6,638812.0000000001,643038.4,773494.2,774929.4,736194.0,583651.0000000001,762025.3999999999
42,634392.9199999999,763323.22,768927.96,664700.86,643349.96,776708.12,778176.52,740576.1599999999,667462.56,762062.34
43,646457.44,763784.4,768801.16,668472.3999999999,645991.24,779598.84,781482.44,770897.44,682357.56,765107.4
44,654392.36,769761.68,771276.62,684583.46,647960.94,781884.76,785886.08,772892.44,715680.9200000003,769506.56
45,655328.08,770560.44,773495.96,733231.92,647964.68,784566.6000000001,787610.92,773107.68,735766.12,768804.44
46,654201.4,769529.2,773533.9,747954.3,648177.9,787241.4,787544.6,775334.2000000001,737457.4,769726.6
47,655399.88,770789.36,774991.56,783704.88,653823.52,789038.52,792760.2,781867.12,737766.36,771977.84
48,713089.16,772199.42,777360.38,784798.42,660654.36,793300.44,794038.96,783935.84,760110.2,774877.34
49,773200.9199999999,774860.36,782435.36,784794.48,662832.24,796334.96,794029.36,784619.12,767532.68,776021.52
50,774478.78,775804.18,782795.78,786117.2,661934.36,801131.32,796019.68,786378.28,767858.48,778682.46
