index,251_1_www.faz.net,251_2_www.faz.net,251_3_www.faz.net,251_4_www.faz.net,251_5_www.faz.net,251_6_www.faz.net,251_7_www.faz.net,251_8_www.faz.net,251_9_www.faz.net,251_10_www.faz.net
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0
2,108174.68,106732.40000000004,158342.1,81730.87999999999,181187.09999999992,152452.19999999998,16061.999999999995,150885.84,85282.0,154066.7
3,294125.9199999999,253102.04,329226.19999999995,192574.96,292495.95999999996,317488.0,272452.6,322999.16,154586.0,309921.4000000001
4,611170.9199999999,487506.16000000003,601813.5,458178.64,558493.5199999998,598579.9,465644.2,558268.36,331580.0,584164.5
5,873195.84,684356.04,883380.6,805776.68,870052.48,849963.3999999997,740927.2,735051.6,478279.0,881059.2000000003
6,905504.2,889230.2999999999,932979.5,927362.2000000001,899930.1,897757.0,899465.0,889890.6000000001,698956.0,902453.5
7,952869.04,905221.6799999999,953305.8,938335.04,950570.12,949262.3999999999,923473.2,906322.12,895978.0,953885.4
8,1037791.2999999999,954433.2800000001,1056527.7,979627.32,1009992.3200000001,1008807.9,991017.8,981745.08,916331.0,1061090.5000000005
9,1171555.08,1091639.0,1168966.4,1046501.2399999999,1141344.88,1166160.2,1171908.8,1033781.56,960585.0,1166583.0
10,1306366.8000000005,1169365.22,1195455.0,1168871.32,1187045.2,1194755.3,1192678.3,1177474.3,1150473.0,1201527.4000000001
11,1456179.2,1205128.000000001,1455149.0,1199838.0,1389110.5999999999,1451927.0,1456621.0,1340638.4,1190505.0,1459429.0
12,1454085.74,1438856.04,1471683.7,1432912.1599999995,1465180.34,1465874.6,1461716.4,1461482.3199999998,1354804.0,1459927.3
13,1496403.12,1467500.56,1498887.6,1462391.76,1504493.36,1475852.8,1481597.6,1638828.84,1466914.0,1501310.8
14,1524559.6800000002,1503491.26,1528937.1,1513749.5199999998,1521911.98,1514889.7,1504104.4,1719260.3199999996,1490458.0,1503483.6
15,1606441.5599999998,1686313.1600000004,1555116.6,1793684.1599999995,1603624.36,1554514.8,1601238.6,1822595.12,1505199.0,1582355.6
16,1617625.4000000001,1853401.3,1609659.0,1890256.0,1634238.5,1659531.0,1616133.5,1863619.2,1603006.0,1599460.0
17,1656710.96,1872651.92,1670923.8,1963083.72,1717420.1999999995,1668498.8,1619141.7999999998,1917838.24,1620430.0,1654502.8
18,1769684.68,1922124.72,1692625.5,1981960.7999999998,1803754.06,1704078.4000000001,1662255.1999999997,1990056.4400000002,1639183.0,1708297.7
19,1808168.88,1998030.84,1908723.2,2033714.24,1807277.6400000001,1759071.8,1730266.2,2010837.76,1713551.0,1795584.0
20,1818522.26,2022982.32,1973980.2,2048185.44,1911693.5999999999,1800862.1,1798556.8,2011071.18,1789985.0,1824169.8
21,1916384.6,2066781.2000000004,1990581.0,2119914.4,2128697.0,1949363.0,1807224.0,2136540.2,1822474.0,1839586.0
22,2080393.82,2071134.48,2044063.1,2133616.4,2243923.42,2159209.7,1917319.3,2209009.38,1881104.0,2056530.1000000003
23,2199960.96,2139399.44,2113856.1999999997,2225960.96,2318648.04,2181491.8,2130803.5999999996,2215428.04,2171797.0,2245152.0000000005
24,2314310.08,2161026.06,2198080.7,2263034.32,2374883.46,2250873.1,2220167.7999999993,2234837.72,2241339.0,2339761.9
25,2595174.52,2220110.76,2210594.2,2307712.84,2388993.48,2336325.8,2342457.8,2249339.68,2353864.0,2537224.8
26,2658540.0,2290270.0,2221583.0,2317801.0,2409630.5,2394651.4999999995,2395098.5,2276510.0,2584519.0,2591501.0000000005
27,2669498.72,2359514.08,2286733.0,2339117.36,2430167.28,2405231.5999999996,2586525.2,2320766.24,2611359.0,2606804.4000000004
28,2676032.56,2469956.52,2290743.8000000003,2347259.76,2482555.06,2445600.2,2596644.9,2335859.52,2622593.0,2664464.1
29,2777820.76,2643901.4,2300308.6,2365594.48,2506302.04,2483175.8,2608429.2,2465927.44,2630625.0,2674769.4
30,2794444.54,2721891.58,2303399.3,2391872.52,2590162.58,2513689.6,2618486.4,2477352.46,2688415.0,2687786.8000000003
31,2875278.2,2732437.6,2315066.0,2407906.0,2750130.8,2558074.0,2679065.0,2487428.6,2696527.0,2720936.0
32,2889023.64,2764607.6,2331235.5,2533053.92,2848772.4,2660298.5999999987,2686501.8,2493762.4000000004,2741156.0,2780945.4
33,2916638.92,2880137.52,2430349.2,2543071.56,2944643.24,2796957.2,2708048.1999999997,2530397.72,2775348.0,2818000.8
34,2929554.52,2894306.68,2543321.1,2587466.84,2941695.94,2940708.1,2746584.4,2616417.1999999997,2801981.0,2900389.2
35,2957231.2399999998,2901233.68,2639081.1999999993,2662409.36,2962698.08,2940523.6,2793940.4,2827421.640000002,2933623.0,2919041.5999999996
36,3004768.3,3007411.8000000003,2825379.5,2775702.8,2966551.1,2956768.5,2914140.0,2937704.3,2980420.0,2949298.5
37,3011590.28,3017965.880000001,2843292.4,2960148.68,2981479.9600000004,2971126.8000000003,2955540.2,2955738.32,2989024.0,2955152.2
38,3028639.58,3055963.84,2854085.9,2962048.56,2990758.12,2981134.4,2970412.2,2967021.86,3003524.0,3009275.1
39,3061152.88,3069827.44,2965392.6,2967810.1999999997,3004540.64,2991106.6,2977427.6,2977108.24,3005839.0,3015828.6
40,3068089.88,3077288.62,3099809.1999999997,2997006.4,3017459.64,3006055.6,3035965.7999999993,3106157.02,3144268.0,3038059.6999999997
41,3200970.6,3099920.8,3116774.0,3023099.9999999995,3025042.6,3035883.0,3120343.0,3122329.0000000005,3173758.0,3056392.0
42,3221757.72,3105973.04,3147030.7,3138346.8,3139026.7199999983,3156046.7,3137167.9,3161311.88,3188443.0,3177144.1
43,3240466.36,3131041.56,3157959.6,3134314.28,3182602.44,3175744.4,3153729.4,3174920.08,3207568.0,3197376.4000000004
44,3257212.0,3177824.6,3165168.9,3144015.16,3192654.54,3188629.8,3169355.1,3181541.76,3216939.0,3210775.9
45,3258660.52,3173555.36,3193600.0,3148572.72,3206774.88,3196080.8,3186329.4,3188274.44,3226242.0,3222621.6
46,3276927.7,3173479.0000000005,3216491.5,3183305.6,3215916.6,3303594.0,3217128.5,3185052.1,3253902.0,3241937.5
47,3294579.76,3190987.48,3227570.4,3296718.16,3219772.16,3373969.4,3221269.8000000003,3219556.52,3253399.0,3376548.6
48,3365578.1399999997,3246524.8000000017,3250082.699999999,3307871.08,3262488.519999996,3375504.2,3258242.2,3245990.14,3410259.0,3381831.3
49,3389270.88,3343332.5599999996,3399355.4,3315572.04,3392415.24,3379195.6,3305855.6,3333995.7600000002,3407666.0,3393704.0
50,3400082.42,3336818.6,3402273.7,3332379.24,3400925.54,3398821.1,3398122.0,3400925.68,3421720.0,3416205.9
