index,310_1_www.bild.de,310_2_www.bild.de,310_3_www.bild.de,310_4_www.bild.de,310_5_www.bild.de,310_6_www.bild.de,310_7_www.bild.de,310_8_www.bild.de,310_9_www.bild.de,310_10_www.bild.de
1,-442.0,-442.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,67.0,67.0
2,75906.52,38258.159999999996,93767.92,45404.08,57560.62,77164.76000000001,52413.24,88111.26,81609.68,54614.76
3,128778.44,94582.96,132183.68,99582.31999999999,116649.36,159921.83999999994,128379.00000000001,126498.28,121648.44,139724.4
4,425520.68,142185.30000000002,395364.4,244137.2,224035.16,443956.04,291776.9,271900.95999999996,222845.16,342622.06
5,468437.04,267028.60000000003,470216.24,467280.64,459892.72000000003,478943.12,472718.5600000001,478314.92,473408.72,475265.76
6,532820.8,465229.7,550428.2,486007.6,484349.1,585039.9999999999,513320.4000000001,504900.19999999995,492657.2,581291.7
7,679285.84,478519.5200000001,786457.64,559048.64,583271.96,777991.0799999997,700093.5599999999,704424.3999999999,539010.2800000001,937898.48
8,1019409.8,504996.84,1031185.04,621080.68,769544.1599999999,1058376.52,969631.82,989259.6799999995,602335.6,1150937.22
9,1314865.2,514296.72,1252403.0,651728.04,931034.96,1270690.88,1183546.200000001,1229442.96,670400.08,1474643.08
10,1559154.24,569135.3600000001,1553706.52,773891.84,1120663.74,1574757.1600000001,1508988.0599999998,1593497.42,794394.4400000003,1826652.44
11,1759453.0,680919.0000000001,1880817.5999999999,907655.8,1357364.4,1810986.8,1728031.0,1923675.6,927987.4000000001,2051362.2
12,1959608.72,804882.1200000001,2074224.84,1109333.8,1590032.0799999991,2024668.96,1880979.7,2128032.2399999998,1076867.32,2293900.86
13,2082217.96,925820.0000000005,2221935.96,1389999.88,1894645.28,2248903.12,2097949.0800000005,2282779.36,1211055.88,2397762.28
14,2207061.0399999996,1069611.8800000001,2390205.1599999997,1719360.7199999997,2115911.6000000006,2336105.56,2305549.38,2422393.38,1438210.3200000003,2527500.96
15,2361245.92,1222209.8800000001,2524846.4,2036115.3200000003,2294326.24,2461706.36,2426222.32,2540576.7999999984,1675904.96,2611816.16
16,2441808.2,1330257.7,2621435.8000000003,2208444.8000000007,2410319.3,2518055.4,2545617.0,2676256.1,1786269.2000000002,2643509.2
17,2618586.24,1425771.92,2706563.12,2351651.04,2484707.88,2687460.12,2625145.96,2721669.36,2069104.1200000003,2745071.6
18,2671635.88,1559109.6,2739535.36,2382533.48,2567188.94,2742554.96,2698048.56,2794871.4799999995,2284102.8800000004,2826238.12
19,2721893.08,1684327.6,2777521.56,2473144.08,2623766.56,2828546.24,2723989.32,2872243.32,2595186.48,2846725.92
20,2771041.2,1888793.5600000026,2827312.64,2497786.48,2665559.38,2895020.88,2755023.92,2906317.06,2752074.72,2899919.7
21,2820666.0,1968118.8,2870375.4000000004,2516940.2,2709992.5999999996,2998398.8,2799056.6,3005454.2,2898714.400000001,2979835.8
22,2891946.2,2037747.58,2897472.32,2746835.12,2733394.48,3111471.9999999995,2849234.22,3013947.8,2936158.72,3041951.74
23,2974033.92,2167322.48,3002082.76,2898706.32,2768295.84,3184138.72,2887110.84,3074611.04,2948955.84,3128788.08
24,3016398.28,2261342.620000002,3112737.4,3071280.6,2824685.7999999993,3234609.76,2972624.2400000007,3088044.58,2972414.039999999,3166504.6000000006
25,3083916.52,2297992.440000001,3173475.92,3202707.08,2896925.56,3252328.36,3096503.4000000004,3121855.1599999997,3003367.28,3322340.0399999996
26,3116396.0,2470186.0,3310136.0,3368658.0,3021126.0,3378375.0,3200963.5,3284875.5,3024443.0,3372358.0
27,3127957.2399999998,2657320.12,3361049.5999999996,3520932.88,3068302.7600000002,3402986.64,3282822.2399999998,3334789.76,3045341.2399999998,3465822.96
28,3211831.08,2774366.8400000003,3402431.16,3611337.12,3198482.1,3483212.08,3348505.740000001,3364222.18,3117744.52,3463295.72
29,3268888.12,2773266.64,3457015.04,3674007.8000000003,3249843.1999999997,3521815.84,3381550.04,3476969.56,3201707.92,3532114.88
30,3328764.44,2826366.48,3486766.2399999998,3736574.24,3338600.22,3605465.16,3430010.38,3557606.96,3348734.2800000003,3586968.5
31,3373391.6,2985106.8,3487731.6,3733058.8,3374913.199999997,3644352.2,3553947.6,3657792.6,3451664.6,3624401.6
32,3428144.280000001,3123100.42,3502837.24,3803733.12,3396477.3399999994,3701220.56,3578638.44,3665440.04,3499426.92,3691187.98
33,3554212.2,3336430.8000000003,3541720.92,3882849.08,3493174.7600000002,3747828.12,3614081.24,3710084.2399999998,3538014.36,3757591.56
34,3725358.199999999,3385249.34,3627300.1199999996,3924230.68,3602115.32,3783299.16,3659630.4,3750992.2600000002,3648552.2,3963459.3600000003
35,3856246.92,3461774.28,3639013.52,3950618.64,3773974.16,3803611.12,3691848.12,3734356.32,3723178.84,4160332.84
