index,345_1_www.alternate.de,345_2_www.alternate.de,345_3_www.alternate.de,345_4_www.alternate.de,345_5_www.alternate.de,345_6_www.alternate.de,345_7_www.alternate.de,345_8_www.alternate.de,345_9_www.alternate.de,345_10_www.alternate.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3712.420000000001,3590.88,3576.6799999999994,4106.2,3559.56,4090.3,4045.3199999999997,3933.48,4030.6800000000003,3573.6
3,7365.320000000007,6244.24,6487.279999999996,8099.8,7827.519999999998,8358.199999999999,4659.24,5937.079999999998,4188.279999999996,6461.8
4,14434.880000000001,13904.439999999993,14257.480000000001,22382.00000000003,13896.320000000002,22220.9,8269.039999999999,8404.7,7807.3200000000015,12237.2
5,32847.16,32017.88,33186.64,35427.400000000016,33000.76,34831.6,21968.480000000032,32172.24,23107.599999999995,32227.399999999998
6,38939.80000000003,36291.4,41092.999999999985,60488.0,39503.7,44150.0,33204.4,36562.2,31587.600000000006,36870.0
7,58914.52000000001,44007.76,91003.16,124452.59999999999,90614.44,55011.999999999985,45718.28,49693.04,34078.24,48679.999999999985
8,134765.12,108281.64,142437.84,214976.2000000001,165555.4,69516.49999999997,51266.60000000001,80233.22,38106.12,105049.80000000002
9,250049.72,178310.8,204743.43999999997,294413.60000000003,247586.12,145375.99999999997,57906.040000000066,129483.2,50583.19999999999,151883.6
10,292382.58,283794.19999999995,277052.32,299660.6,278783.48000000004,195464.7,94521.2,194258.23999999996,70195.72,281063.80000000005
11,295479.8,293571.4,294954.39999999997,302308.0,295776.4,201239.0,176393.00000000003,241784.6,137390.1999999998,315973.0
12,300479.36,294532.27999999997,298438.76,314371.6000000001,293786.06,216097.1,217810.76,276994.9,143459.84,328732.6
13,304528.32,297720.48,300660.48,348214.4,315473.28,227018.39999999997,228449.2,298637.72,147744.67999999996,331693.8
14,327782.76,311922.64,307628.72000000003,362306.6,349152.60000000003,273000.39999999997,256532.56,299581.54,168791.59999999974,330838.2
15,353123.44,339340.99999999994,321086.16,361330.6,366245.1999999999,327642.4,270663.28,302502.32,196382.96,348436.4
16,363471.60000000003,349503.19999999995,343950.4,376607.0,388734.3,342077.5,287835.0,316450.7,202806.6,366343.0
17,371809.76,361593.48,362732.48,400738.8,419129.68,391616.0,326808.24,338695.8,220079.52,376976.99999999994
18,378614.44,374976.52,362859.88,444385.2000000001,471599.06,435593.2999999995,336837.36,361180.83999999997,232414.79999999996,413387.79999999993
19,410171.92,381445.96,369987.48,506597.4,527048.7600000002,491138.2,360864.8,358194.44,263871.55999999994,493319.2
20,498304.5200000005,411202.24,366869.84,539173.0000000001,678384.0399999996,579528.6,391155.56000000006,364968.12,313426.3199999999,519495.4
21,524216.80000000005,438679.59999999945,414669.1999999998,589968.0,755884.3999999998,645504.0,426780.8000000002,389118.0,342510.99999999965,562642.0
22,616801.7600000006,490569.24,461185.8,641234.8,846617.22,719233.5,458038.16,441783.9,367203.5599999999,641625.0
23,711611.4,523573.03999999986,537574.12,706735.6000000002,923381.64,721023.9999999999,496443.44,496177.92,409007.92,761835.5999999999
24,749245.64,563518.4,661396.9199999996,770245.8,936229.46,762031.6,529244.3200000001,555033.88,408307.75999999995,806724.0
25,839501.8,632379.9599999995,750540.08,799628.0000000002,939533.16,824178.5999999999,608905.12,575392.4400000001,438292.55999999994,847918.0
26,945018.0000000007,709725.0,834299.0,838231.0000000009,955674.0,885103.5,671807.0,626243.5,497278.0,908875.0
27,955053.6000000001,780255.7999999999,904223.3999999999,918393.4000000003,1003286.4400000001,941800.0,729009.16,697937.0,541767.3999999999,954545.8
28,986191.3600000001,857850.88,923825.32,968104.8000000005,1017901.1199999999,988811.7,744950.1600000001,777851.6,579195.9599999998,989047.0
29,1076041.72,986783.9199999999,995392.24,999177.2,1089748.64,1049180.9999999998,776961.2400000001,810958.12,658658.3200000001,997745.0
30,1100450.82,1009695.0,1015568.84,1069381.8000000003,1107423.74,1081548.5999999999,839958.9600000001,837954.02,701156.8399999999,1027783.2000000001
31,1134553.0000000002,1039414.6,1063448.5999999999,1111230.0,1137870.0,1106696.0,894129.2000000003,899097.0,724927.7999999999,1058466.0
32,1143985.82,1058025.8,1106102.72,1133893.8,1171723.24,1133278.5999999999,937632.6000000001,935689.76,772254.7599999998,1084899.7999999998
33,1169524.08,1139708.5999999999,1122068.1199999999,1166035.4000000004,1170270.36,1170637.0,942157.24,1004976.4400000001,820559.52,1158210.2
34,1219442.94,1184242.8799999997,1166341.3999999992,1204612.0,1177023.6,1180338.5,981670.6,1025189.8,886792.0,1194528.7999999998
35,1222316.52,1216401.4,1180096.2,1236845.0000000007,1219719.8,1219543.1999999995,1000521.4,1032633.6,941072.04,1209426.0
36,1251760.1,1266260.7999999998,1225622.6,1255385.0,1225023.6,1225623.5,1025857.0,1058903.8,953501.6,1245276.0
37,1274946.76,1267525.96,1233005.96,1305004.0,1244996.56,1259427.0,1044451.64,1105960.8,982880.92,1249915.8
38,1277155.34,1271797.44,1233682.76,1308530.6,1278669.34,1282671.1,1108948.8800000001,1144595.7199999997,981204.36,1256474.9999999998
39,1282369.16,1304650.72,1273085.2,1311894.6,1276462.32,1285421.6,1127281.12,1185698.96,990827.24,1288191.6
40,1286667.86,1333363.3599999999,1286536.96,1315669.4000000001,1278914.04,1288861.7,1136245.6800000002,1198920.06,1029185.1999999998,1310895.4
41,1292743.4000000001,1337749.8,1290007.6,1317277.0,1285105.8,1294050.0,1176943.2000000002,1230004.8,1087707.4,1314039.0
42,1296191.98,1341512.48,1289178.56,1329122.4000000001,1291760.76,1296646.9,1184392.52,1242501.4,1091486.52,1311111.6
43,1296945.1199999999,1344405.68,1293746.72,1345139.4,1288469.2,1308218.0,1190237.6,1245966.8,1115687.5999999999,1316223.2
