index,85_1_www.mozilla.org,85_2_www.mozilla.org,85_3_www.mozilla.org,85_4_www.mozilla.org,85_5_www.mozilla.org,85_6_www.mozilla.org,85_7_www.mozilla.org,85_8_www.mozilla.org,85_9_www.mozilla.org,85_10_www.mozilla.org
1,-442.0,67.0,-442.0,67.0,-442.0,-48.0,-48.0,-442.0,67.0,-48.0
2,1066.92,1567.14,1217.18,1346.04,1229.06,1508.68,1455.6,1185.5,1278.72,1474.26
3,4526.88,3008.120000000001,4563.56,4705.68,4320.079999999998,4186.44,2545.84,4513.0,4665.56,2237.52
4,6532.72,6120.6,6929.32,7181.36,6779.8,7114.64,4221.3600000000015,6028.0,7004.799999999992,6881.76
5,11630.64,6090.04,6765.600000000002,12263.88,9780.919999999998,8374.199999999999,5887.4800000000005,8358.0,13419.84,8335.16
6,13504.8,15030.2,14534.6,18373.8,12522.3,14953.2,15098.4,10587.0,15522.799999999997,14658.4
7,18260.24,16217.44,18245.720000000005,20287.72,13948.96,17574.079999999998,16028.640000000001,14534.0,17411.480000000003,15514.52
8,21285.36,17460.819999999996,20330.079999999998,22851.519999999997,16522.26,20795.920000000002,17881.6,15811.0,20572.800000000003,19664.12
9,23366.52,20561.32,21928.079999999998,25467.560000000005,17917.640000000003,22792.36,20845.04,19427.0,22720.84,21125.36
10,24984.000000000004,22775.039999999994,23339.579999999998,28203.240000000034,19773.39999999999,24552.760000000002,22751.92,24686.0,26471.36,22541.86
11,26994.6,25014.2,27072.6,31891.600000000006,23277.600000000002,26392.6,24583.4,25653.0,28167.4,26256.2
12,31881.199999999983,26840.86,29017.52,58887.48,24695.61999999999,31478.04,26461.88,27421.5,31490.24,26738.439999999977
13,38609.400000000016,28305.68,30232.92,106900.68000000012,26511.12,49066.599999999846,29972.239999999987,29864.0,76984.47999999988,31342.76
14,131240.32,32111.44,33413.759999999995,148502.48,30495.34,145421.72,32390.44,31462.5,146178.96,32378.739999999998
15,148243.64,94788.80000000005,66287.32000000024,149721.08,35687.72,146310.16,135583.08,32673.0,147048.56,70865.95999999995
16,149670.2,145600.2,139224.20000000013,150252.8,64000.89999999996,151657.4,147720.2,37321.5,152268.8,147186.8
17,150827.63999999998,146761.44,149291.84,153498.44,87601.31999999998,151215.04,145611.04,87377.0,151809.52,150593.04
18,154302.24,150114.38,152166.04,157436.32,134301.59999999998,153773.23999999996,149385.32,150757.5,155175.76,149198.64
19,155817.68,151704.52,153403.15999999997,155392.72,152478.68,153009.08,153630.28,152172.0,155753.96,152875.92
20,153638.63999999998,152990.74000000002,155222.54,159402.84000000003,153756.02000000002,155959.32,155294.24,153105.5,156798.88,154646.13999999998
21,159630.2,153762.8,156720.6,163166.4,154896.2,160083.6,153179.2,156956.0,160900.4,155490.6
22,161695.96,152818.47999999998,157117.78,166346.16,158610.24,162107.12,156673.28,158245.5,161779.52,156098.24
23,162508.72,153285.63999999998,155777.64000000004,164978.32,159894.72,163386.63999999998,161128.16,159851.0,167251.72,160320.68
24,168088.68,154634.24,159537.47999999998,183090.12,158266.16,169591.84,162105.16,160228.5,166198.6,162041.38
25,166984.48,158178.56,161181.72,181992.04,159316.44,168216.44,163733.92,161648.0,227420.51999999993,164448.96
26,183388.0,162791.5,165385.5,180102.0,163072.0,169764.0,166548.0,164464.0,328649.0,168527.0
27,254366.56,165947.72,169786.47999999998,185991.44,166427.76,208334.4800000001,168196.56,167179.0,333100.6799999995,171681.84
28,324527.84,164906.06,174822.64,223433.72,168805.42,262412.0399999996,184515.15999999992,168709.5,360948.56,181522.32
29,349059.68,182218.48000000004,172812.6,294400.04,171759.32,317864.5599999998,239261.8399999999,171860.0,361880.92,180593.32
30,351954.16,225705.35999999996,194601.98,358768.20000000007,170344.22,353064.68,314837.44,170900.0,361796.08,180852.76
31,352623.4,299864.80000000016,233712.4,362239.0,222173.80000000002,354419.4,352965.00000000006,194254.0,363150.7999999997,184617.2
32,353672.52,345460.28,301713.52000000025,403107.8800000001,263165.8399999998,355477.36,355096.56,218214.0,420454.88,184967.48
33,355362.88,348998.12,355451.76,449684.95999999996,333205.47999999975,357835.04,370680.0,326627.0,503357.27999999985,205802.47999999975
34,362228.52,348415.98,356246.74,518562.04,353218.58,364757.16000000003,391516.24000000017,353772.0,544002.24,251880.15999999995
35,361803.56,350370.56,361582.44,557011.2400000001,354858.84,370740.72,484120.15999999986,354987.0,545318.08,314886.6399999998
36,404416.39999999997,352365.4,361170.5,559257.0,356097.1,369834.0,535462.6,356574.5,546275.4,389343.99999999994
37,452416.27999999985,355505.76,362095.52,560869.44,356328.44,429165.8,536554.92,358137.0,550061.08,461459.0399999996
38,512284.1999999999,355111.74,362713.44000000006,565510.4,361403.11999999994,472488.24000000034,540491.04,361780.0,549548.9600000001,531984.28
39,546429.28,402311.47999999975,397274.4,569650.3200000001,360962.96,554989.04,541681.48,360943.0,554857.96,551222.88
40,546803.5599999999,516535.4400000002,442597.18,618066.6800000003,390123.4799999995,556737.16,542287.12,385437.0,574046.52,552456.34
41,552470.2,539762.4,525203.8000000002,627141.6,445828.59999999945,557184.8,545661.8,442120.0,576187.2,554423.4
42,574154.7999999999,541881.56,548726.42,630129.04,537752.96,564925.72,548852.52,540503.0,587378.1199999995,555998.66
43,606167.9199999999,540539.92,548466.8,649940.24,545737.2000000001,563802.92,552189.08,545588.0,606394.6399999999,556597.52
44,621644.72,549843.32,557274.6,666094.28,548882.4400000001,579970.2,566174.2,549132.5,651793.84,557087.22
45,627833.04,551912.88,556543.24,668927.28,557967.76,599880.4,574820.16,561869.0,657005.6,562715.04
