index,349_1_www.notebooksbilliger.de,349_2_www.notebooksbilliger.de,349_3_www.notebooksbilliger.de,349_4_www.notebooksbilliger.de,349_5_www.notebooksbilliger.de,349_6_www.notebooksbilliger.de,349_7_www.notebooksbilliger.de,349_8_www.notebooksbilliger.de,349_9_www.notebooksbilliger.de,349_10_www.notebooksbilliger.de
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,6666.86,5215.68,5130.42,4660.26,4665.480000000002,4192.6,5133.080000000001,4191.76,4562.360000000001,4092.4400000000005
3,17115.76,12270.240000000002,13055.84,14204.759999999998,17189.44,16714.199999999997,14820.88,16248.12,16709.92,14176.199999999992
4,45114.82,19256.04,19360.52,19127.68,44938.88,41415.49999999999,19321.64,19142.24,20229.960000000006,26085.419999999962
5,80028.64,33651.96,43720.56,27117.08,62646.159999999996,80646.6,24173.08,64348.71999999992,52501.56,47132.76
6,176422.99999999997,48751.4,47785.1,51535.299999999996,88229.00000000001,101030.0,52599.3,143969.0,81697.6,74528.19999999994
7,273434.08,114923.20000000003,59758.15999999994,58239.79999999998,141997.6,200121.79999999993,69138.64,183766.63999999996,111754.56000000004,131609.96
8,334430.0,135973.40000000002,110944.88,105161.64,206051.48,317748.5,94786.18,321779.6399999998,235670.83999999976,152608.88
9,408847.36,181555.12000000002,171597.07999999993,246417.88,320135.84,418160.2,176377.51999999996,343434.24,355657.44,253232.35999999993
10,566035.4,265426.19999999995,267157.27999999985,390369.76,404175.2,472495.39999999985,278660.56,445276.95999999996,413701.56,364646.55999999994
11,653301.6,400077.3999999999,396271.39999999997,436963.60000000003,490429.0,567295.0,356987.6,577944.9999999998,565883.7999999999,467863.7999999995
12,666721.12,465853.64,494702.2799999999,564583.5200000001,593330.8800000001,652370.6,429885.96,649873.96,596120.2,540610.3
13,687888.56,517831.32000000007,638193.36,651686.6,659476.48,672205.2,573186.28,663321.4400000001,672472.68,591842.12
14,693820.1,570098.64,643087.8999999999,672118.8199999998,687531.8,676162.9,631575.5799999998,684479.4,676449.68,652086.68
15,737435.36,643592.7600000001,666435.8,677186.32,689278.5599999999,686014.8,673857.8,685543.44,683136.2,655587.48
16,757110.5,684396.2,688530.7,689884.0,696712.8,688462.5,675695.2,689909.6,719120.4,662823.5
17,764732.48,688714.16,690995.12,711609.92,766158.96,724289.4,690059.84,723196.24,743009.56,671658.7999999999
