index,142_1_www.alexa.com,142_2_www.alexa.com,142_3_www.alexa.com,142_4_www.alexa.com,142_5_www.alexa.com,142_6_www.alexa.com,142_7_www.alexa.com,142_8_www.alexa.com,142_9_www.alexa.com,142_10_www.alexa.com
1,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0
2,4566.82,4470.3,5035.639999999999,4902.12,4433.599999999999,6567.04,4558.5199999999995,5041.720000000004,6364.52,5441.6
3,19497.200000000004,24607.599999999988,18787.079999999998,18947.44,25273.599999999984,58944.8,72037.6,22246.879999999997,27277.72,20084.999999999996
4,33010.62,31463.2,30961.76,34327.48,29744.199999999975,94426.6,151026.16,31321.16000000001,30910.74,40490.200000000004
5,46760.16,41515.4,44855.64,44900.64,40021.6,152491.92,203530.96,39390.96000000003,39955.88,46428.799999999996
6,71573.59999999999,63985.0,65657.8,61929.6,70990.0,218263.0,229840.59999999998,78939.49999999999,70914.4,64362.0
7,90885.20000000001,116540.39999999989,87547.92,86182.64,73728.19999999994,311275.08,302416.32,199379.88000000003,148080.12,102130.59999999998
8,223833.40000000008,248487.99999999997,209285.88,207562.52000000002,198015.4,436667.56,385186.04000000004,254880.26,237126.9,148324.2
9,288200.28,270325.6,279115.68,289810.8,221469.99999999997,605568.3200000001,419136.7200000001,301126.96,266095.92,267477.79999999993
10,354544.66,327682.39999999997,331133.6,313301.64,286804.2,765350.1199999998,576731.08,334577.18000000005,314381.48,334184.2
11,369505.39999999997,342386.0,368716.0,366025.6,338815.0,914801.8,709635.1999999998,344619.8,340054.4,371612.0
12,448200.8000000002,350645.39999999997,421709.9200000002,396967.6,429451.3999999996,973098.72,890864.92,360209.54,350453.77999999997,516587.79999999993
13,649649.04,368892.2,588998.5599999998,594216.88,550247.7999999999,1108803.44,999913.6,387922.88,378915.32,606699.2
14,737501.24,404644.5,689366.76,691056.8799999999,616341.4,1277728.72,1089604.28,434818.44,399840.19999999995,646859.3999999999
15,892071.96,447760.99999999994,849713.4,841277.2400000001,658906.6,1339993.48,1174584.5600000003,464170.99999999994,428110.87999999995,665800.6000000001
16,916520.4000000001,471212.0,899072.2,904184.5999999999,740737.0,1531327.0000000002,1343123.0000000002,616274.0,543142.8,739086.0
