index,262_1_www.kicker.de,262_2_www.kicker.de,262_3_www.kicker.de,262_4_www.kicker.de,262_5_www.kicker.de,262_6_www.kicker.de,262_7_www.kicker.de,262_8_www.kicker.de,262_9_www.kicker.de,262_10_www.kicker.de
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,111214.84000000001,98287.14,110529.2,110562.5,112852.52,110489.8,110224.28,110776.44,112713.2,112768.7
3,229545.52000000016,210761.24,312991.60000000003,340329.0,312302.68,257438.0,187194.4,433319.3999999999,313900.92,370692.4
4,339706.6400000001,482967.44,480844.00000000006,494427.5,350956.46,387769.0,347943.88,488072.32,366871.2,581246.4
5,354927.08,496042.76,514186.0,548478.0,425189.63999999996,409895.4,415320.52,527139.6,491090.52,632240.2
6,492695.4000000001,602797.0,662866.0,638729.0,635070.3999999999,480096.0,507091.00000000006,653020.2,688765.2,818004.5
7,635987.4,725703.6,786203.0,749579.0,769145.84,611775.4,636629.12,802324.6,804469.32,955939.0
8,788060.2,842060.58,932219.6,950153.0,931113.58,738092.0,743601.52,984974.3999999997,1100284.2800000003,1150960.0
9,1041970.1200000001,1042421.0,1180019.6,1179192.0,1075308.2,966837.6,881331.3999999999,1269267.72,1286620.96,1237025.2
10,1244902.8800000001,1199711.04,1307237.8,1309610.5,1328429.14,1035424.6,1050125.48,1424664.56,1581606.0,1528467.9999999998
11,1371605.5999999999,1412314.6,1535220.0,1480706.0,1627934.1999999995,1247115.0,1253904.6,1645646.4,1947074.1999999995,1869237.0
12,1713121.2400000002,1617131.6000000003,1860702.0000000002,1842584.5,1915882.7999999993,1365109.2000000002,1356582.08,1944371.2399999998,2142544.6,2190126.0
13,1984574.6800000002,1921674.76,2150785.6000000006,2207866.0,2117394.32,1716450.6,1542733.8,2231548.6,2417842.2800000003,2329920.4
14,2135297.88,2238599.4799999995,2314886.6,2323911.0,2264890.28,1960269.8000000003,1761928.72,2296297.2,2608911.28,2730228.1
15,2271983.92,2306625.2,2640782.1999999997,2597665.0,2608435.72,2160872.6,1978516.4799999988,2592232.84,2770922.32,2800334.8
16,2534901.2,2652541.5,2789932.0,2831174.0,2742835.0,2293966.0,2169476.8,2800879.6,2934127.4,3057872.5
17,2705802.8800000004,2772943.36,3020749.0,3020125.0,2917852.1199999996,2632910.4,2194555.68,3048317.24,3037310.44,3229330.0
18,2896147.920000001,3027500.82,3072660.4,3102587.0,3108766.0399999986,2817435.4000000013,2486873.0,3101749.56,3189892.72,3320287.6
19,2980785.36,3087265.2,3294584.4,3211278.0,3177491.64,2915528.6000000006,2647048.04,3315597.68,3258285.76,3320788.4
20,3055929.44,3302040.86,3328021.2,3328750.5,3182480.12,3135981.8,2879502.4,3331179.52,3342982.24,3419216.2
21,3167035.8,3316833.2,3363916.0,3347620.0,3273713.6,3153171.0,2928786.4000000004,3354115.4,3418507.4,3464433.0
22,3194983.6000000006,3345637.8,3466943.2,3430238.5,3314990.38,3180826.4,3100509.16,3453436.24,3520384.12,3646282.8
23,3242954.92,3368465.08,3496065.6,3505231.0,3422676.76,3221829.6,3201335.64,3488163.7600000002,3811501.76,3845599.6
24,3296948.24,3453944.28,3512781.6,3650486.0,3663710.04,3286624.8,3254210.2,3577368.1199999996,3836162.76,3927599.4
25,3389541.4400000004,3549321.7600000002,3701265.8000000007,3854578.0,3732990.48,3429542.0,3265159.56,3778150.9999999995,3928962.0800000015,3975757.8
26,3496625.0000000005,3581960.5,3922992.0,3886161.5,3799936.0,3590202.0,3289402.0,3901511.0,3963337.0,4022110.5
27,3720844.2399999998,3753802.64,3967229.8,3905369.0,3900538.96,3710055.2,3377110.28,3945479.56,3975526.72,4093208.6
28,3763710.36,3927628.38,3989233.6,3911744.0,3921501.04,3756935.4,3492027.88,3971068.6,4088154.92,4108641.1
29,3786851.04,3950997.08,4056679.6,3973789.0,3937445.08,3824906.8000000003,3644192.7599999984,3992274.68,4154771.48,4165726.6
30,3799510.120000001,4024396.44,4070850.4000000004,4048794.5,3973178.14,3867299.8,3867040.8,4008205.2399999998,4168575.32,4167225.2
31,3842372.0,4033270.0,4110531.0,4087699.0,3994884.1999999997,3882705.0,3947169.8,4047544.5999999996,4267547.6,4283791.0
32,3906635.68,4068953.14,4153173.2000000007,4086164.0,4092152.38,3907214.400000001,3980358.1200000006,4132664.4,4358330.32,4323713.7
33,3933917.04,4099941.44,4146865.4,4191954.0,4140001.36,3940962.0,4001344.16,4144619.76,4374318.84,4338898.4
34,3950012.2800000003,4119833.18,4268874.2,4226575.5,4196855.34,3949551.8,4015192.1999999997,4271309.92,4395843.96,4380305.1
35,3987160.36,4142018.28,4318545.6000000015,4256188.0,4239779.68,4072330.8,4043744.68,4285968.72,4406949.16,4399348.4
36,4010534.8,4156743.8,4348061.0,4302192.0,4257654.199999999,4110762.0,4058004.0,4319557.6,4438243.8,4419681.5
37,4044862.680000001,4197573.04,4427000.2,4332866.0,4339869.0,4125330.8,4103848.88,4339097.16,4467303.08,4441257.0
38,4052090.8400000003,4235457.4,4436587.8,4344833.0,4364798.24,4147523.4,4142032.56,4349572.4799999995,4494502.44,4464026.1
39,4116469.6799999997,4330210.48,4514101.4,4366570.0,4374990.76,4207488.4,4155716.28,4378480.56,4498926.5200000005,4479038.4
40,4209931.28,4335794.06,4533135.8,4391123.5,4400384.68,4216534.0,4219318.56,4395694.64,4520106.4,4491976.3
41,4222242.8,4359720.4,4556912.0,4403847.0,4415836.8,4300806.0,4293389.2,4415766.6,4534200.2,4513571.0
42,4237674.88,4380745.74,4569955.2,4414663.5,4430173.0200000005,4313814.6,4309631.76,4429166.72,4569793.12,4554908.0
43,4263957.24,4392366.6,4591309.0,4440546.0,4454820.24,4343836.4,4335593.24,4454640.04,4601835.32,4561365.6
44,4272381.44,4411522.86,4603046.0,4456414.0,4480963.759999999,4352876.6,4351510.6,4465582.12,4622725.88,4583746.9
45,4302697.6,4426016.44,4623956.6,4476138.0,4511498.84,4386181.4,4373948.0,4482952.76,4638977.68,4605172.6
46,4310046.4,4436560.0,4637124.0,4492152.5,4542080.6,4396462.0,4392655.0,4505765.2,4680876.6,4629646.5
47,4333422.56,4452577.92,4654976.0,4508130.0,4574505.4799999995,4411633.8,4397433.48,4531319.72,4710828.12,4687360.8
48,4355295.92,4473504.18,4681389.0,4554285.0,4592702.44,4423692.600000001,4416906.28,4566964.6,4741279.4,4699331.6
49,4366265.64,4486008.12,4715579.0,4600625.0,4618185.2,4446844.6,4425098.96,4594028.88,4758728.680000001,4708136.4
50,4379442.32,4518994.4,4756564.4,4597985.0,4642741.099999999,4487511.8,4457283.72,4604354.2,4793673.36,4747752.1
