index,106_1_www.dropbox.com,106_2_www.dropbox.com,106_3_www.dropbox.com,106_4_www.dropbox.com,106_5_www.dropbox.com,106_6_www.dropbox.com,106_7_www.dropbox.com,106_8_www.dropbox.com,106_9_www.dropbox.com,106_10_www.dropbox.com,107_1_www.dropbox.com,107_2_www.dropbox.com,107_3_www.dropbox.com,107_4_www.dropbox.com,107_5_www.dropbox.com,107_6_www.dropbox.com,107_7_www.dropbox.com,107_8_www.dropbox.com,107_9_www.dropbox.com,107_10_www.dropbox.com,108_1_www.dropbox.com,108_2_www.dropbox.com,108_3_www.dropbox.com,108_4_www.dropbox.com,108_5_www.dropbox.com,108_6_www.dropbox.com,108_7_www.dropbox.com,108_8_www.dropbox.com,108_9_www.dropbox.com,108_10_www.dropbox.com,109_1_www.dropbox.com,109_2_www.dropbox.com,109_3_www.dropbox.com,109_4_www.dropbox.com,109_5_www.dropbox.com,109_6_www.dropbox.com,109_7_www.dropbox.com,109_8_www.dropbox.com,109_9_www.dropbox.com,109_10_www.dropbox.com
1,67.0,-48.0,67.0,67.0,0.0,0.0,67.0,-442.0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0
2,14496.82,8187.280000000002,7223.72,9656.08,-243.68,4938.4800000000005,7169.900000000001,12949.66,7015.32,3192.74,365.02000000000004,1504.6000000000001,1685.44,-305.3599999999999,1806.3600000000001,1417.26,1598.0799999999997,-33.43999999999966,1504.6000000000001,1384.2,1485.0,1428.8000000000002,1301.7999999999995,1691.36,1347.1200000000006,1703.2,1534.0,1482.7,1725.3999999999999,-98.0399999999999,2200.120000000001,891.1999999999998,857.4399999999999,681.5200000000002,2039.78,257.56,556.28,1597.62,980.0600000000001,4716.08
3,34985.16,29259.839999999986,20832.800000000003,21201.52,5162.76,17256.92,13222.000000000005,30507.440000000002,19143.16,10576.399999999994,845.0400000000001,555.9200000000002,666.1599999999997,1434.44,3077.2799999999997,2334.4,822.32,1342.76,555.9200000000002,379.8000000000001,494.8000000000001,811.8400000000003,1310.3999999999999,721.0399999999997,1314.3600000000001,830.7999999999998,647.6000000000003,975.2400000000001,1044.3999999999996,1558.0800000000002,6678.44,4360.4,3704.879999999999,2663.5199999999977,4794.04,7470.08,1903.0799999999995,4764.28,3561.6,7152.52
4,68332.8800000001,41596.92,40321.96,38370.68,16291.720000000003,33359.88,39757.400000000045,52320.08000000002,37170.16000000001,25484.82,2626.16,4611.4,4629.78,2829.1599999999994,4574.82,4506.14,4022.2400000000016,3501.680000000001,4611.4,4578.400000000001,4555.0,2259.2000000000003,2578.4,4610.82,2573.96,2385.9,4663.8,2414.3,2314.8,1952.5600000000004,14037.78,8718.000000000005,5582.600000000001,7823.360000000001,12110.32,11155.68,2819.1400000000003,9912.38,9223.02,14752.940000000002
5,272123.39999999997,55577.920000000006,89204.48,47348.04,31136.28,37321.88,54894.6,103738.56,57738.28000000001,39134.68,1632.1200000000003,6146.88,4253.359999999999,4701.56,6622.479999999999,6593.5199999999995,6535.959999999999,4745.24,7136.32,6282.599999999999,7104.4,4317.96,4602.0,4272.56,4671.12,4644.8,6759.6,4449.400000000001,4540.400000000001,4772.88,19886.92,13203.4,14369.48,12160.640000000001,17951.12,15583.72,6421.600000000006,12352.880000000001,15867.96,17401.119999999984
6,378217.8,105456.6,130223.79999999997,98530.19999999997,43593.1,42906.400000000016,109176.5,206949.2,96364.1,44051.7,5545.5,8228.4,7074.9000000000015,6801.2,7312.4000000000015,10150.999999999996,6185.400000000001,6768.8,6098.6,7061.0,8258.0,6893.399999999997,3946.0,6086.3,6295.800000000001,6670.0,7428.0,5457.999999999998,7018.0,6410.799999999997,33501.9,15244.5,16994.6,14058.199999999999,35229.700000000004,19517.2,9092.9,19926.699999999997,20374.1,35776.29999999999
7,692103.52,324122.08,376332.68,110746.0,95954.92,96345.72,328398.6000000002,302321.72000000003,104932.8,80348.19999999998,5820.68,9484.48,7682.04,8395.64,11109.64,12320.92,12667.0,7533.840000000001,12163.28,7552.800000000001,10870.6,7125.92,5516.2,8175.36,7210.640000000001,8332.000000000004,11443.2,6552.679999999999,5993.800000000004,6878.12,40333.72,19213.6,17897.799999999985,18012.999999999996,37416.92,33672.64,15766.48,34253.96,22119.44,35596.64000000001
8,950643.2,385443.96,389420.5,253453.47999999975,110284.2,150260.48000000007,395391.5,670964.7599999999,186866.86,97136.58,6285.96,11622.96,12640.08,12367.359999999999,12538.359999999995,13633.74,13064.52,12683.119999999999,12970.88,12596.6,20463.600000000006,8122.719999999999,8312.4,9978.82,8252.14,10742.3,43564.59999999998,8619.58,12129.200000000003,7978.06,83355.34,33810.1,34575.16,32519.48,71705.3600000001,36411.76,16941.94,37257.92000000001,40129.34,41691.58
9,1163885.16,479819.0399999996,419491.24,391246.8,385625.08,377367.60000000003,580299.8000000002,918260.84,474056.6,101577.28,6751.24,12865.76,14055.28,14520.24,14820.199999999993,15643.039999999995,13691.720000000001,14200.92,13332.24,14086.6,59728.0,12885.720000000001,9935.4,14257.12,12860.84,72589.60000000002,82649.4,12169.279999999999,14280.4,13136.64,88562.44,32218.200000000008,36305.52,36520.88,93825.28,46795.15999999999,18379.04,80745.48,40147.48,87209.44
10,1240831.2,860611.9199999999,722565.2799999999,396564.96,396966.5,375205.16,946516.5,1165233.1600000001,733834.9600000004,123381.94000000002,8900.16,14824.92,13816.360000000002,15617.36,16398.46,16665.819999999996,17627.92,13902.039999999995,17309.48,15431.2,79876.6,12325.68,12758.999999999995,14159.580000000002,12517.460000000001,79880.2,84010.6,12632.44,48090.0,13227.06,91137.02,36342.60000000002,41397.56,75020.24,99188.86,85998.6,20616.06,86757.79999999999,45955.26,94390.47999999994
