index,185_1_www.python.org,185_2_www.python.org,185_3_www.python.org,185_4_www.python.org,185_5_www.python.org,185_6_www.python.org,185_7_www.python.org,185_8_www.python.org,185_9_www.python.org,185_10_www.python.org,186_1_www.python.org,186_2_www.python.org,186_3_www.python.org,186_4_www.python.org,186_5_www.python.org,186_6_www.python.org,186_7_www.python.org,186_8_www.python.org,186_9_www.python.org,186_10_www.python.org,187_1_www.python.org,187_2_www.python.org,187_3_www.python.org,187_4_www.python.org,187_5_www.python.org,187_6_www.python.org,187_7_www.python.org,187_8_www.python.org,187_9_www.python.org,187_10_www.python.org,188_1_www.python.org,188_2_www.python.org,188_3_www.python.org,188_4_www.python.org,188_5_www.python.org,188_6_www.python.org,188_7_www.python.org,188_8_www.python.org,188_9_www.python.org,188_10_www.python.org
1,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1573.4,1507.2,1414.1,1480.1,1576.36,1327.32,1324.16,1394.5,1381.04,1390.52,1428.8000000000002,1507.2,1468.0,1517.0,1350.4,1477.8,1551.3000000000002,1394.5,1605.96,1591.16,1484.46,1420.54,1418.96,3950.500000000001,4040.16,1529.96,1442.66,1528.1399999999999,1149.5800000000004,1395.26,1560.9,1447.3999999999999,1436.34,2388.3000000000006,1368.3999999999999,1171.1399999999999,1351.02,3914.1600000000003,1585.0000000000005,1398.42
3,1138.7999999999997,2024.6000000000008,2825.2000000000003,4080.88,1181.9199999999996,3855.7200000000003,4114.12,2970.0000000000005,3978.84,3952.92,2620.5999999999985,1695.8000000000006,2687.0000000000014,1585.0000000000005,3876.2,2028.2000000000007,1279.3999999999983,3098.0000000000005,1562.72,1397.5199999999998,3622.3200000000006,3760.08,4005.16,4650.4,4326.5199999999995,4131.64,3601.68,4133.76,4832.959999999998,4067.3199999999997,4042.8,3595.2,3631.68,5362.44,4013.4,4132.44,4055.64,6099.08,5354.0,3931.3199999999997
4,3702.2999999999997,3567.12,4055.9599999999996,5546.219999999999,3740.8199999999993,4178.28,4091.36,3632.600000000001,5306.92,5394.96,3950.48,3567.12,3669.2000000000016,3573.6,4104.08,3601.360000000001,3596.28,4132.7,3993.96,4058.72,5041.82,5590.42,5268.84,8075.3,8091.0199999999995,4409.32,5194.38,4435.38,6178.100000000001,5123.74,4537.3,5325.8,5418.82,8405.26,5348.2,6530.72,4308.800000000001,9491.399999999994,6325.999999999999,5493.66
5,4891.000000000002,2678.04,4887.52,7216.4800000000005,5427.68,5073.68,5295.56,5345.599999999999,4101.6399999999985,5299.319999999999,5050.76,5696.44,5318.2,5519.2,4938.360000000001,4957.56,5426.68,5510.8,4093.48,4157.08,6090.96,6588.04,4422.04,14402.400000000003,17389.04,8309.6,6654.64,8360.400000000001,7858.92,6362.76,8351.0,4931.399999999997,6032.44,11530.880000000005,4990.399999999997,8598.36,4379.48,17943.600000000002,8017.6,6322.720000000004
6,4534.5,4351.8,4029.6000000000004,10645.699999999999,4832.099999999999,6369.400000000001,7029.200000000001,5501.0,8332.800000000001,8334.0,5930.799999999994,4747.5999999999985,4272.0,4637.0,6227.0,5817.800000000001,4524.4000000000015,4542.5,5025.7,5153.7,8274.299999999997,8420.699999999999,8410.199999999999,17759.5,19345.000000000007,11119.00000000001,8517.7,10943.99999999999,17461.399999999998,8280.300000000001,10981.5,8097.0,8224.699999999999,18146.200000000004,8391.0,15751.599999999999,6152.099999999999,35922.99999999998,17729.0,8333.499999999998
7,6177.999999999999,6485.76,6307.88,11459.720000000005,8829.16,8327.199999999999,10089.640000000001,8734.199999999999,7582.159999999999,9228.08,8472.36,6512.76,7293.400000000012,8493.800000000001,8223.12,8374.16,8508.44,8448.800000000001,4178.68,4230.28,13461.48,10582.880000000006,7679.840000000001,34337.20000000005,55504.44,17204.44,11546.32,17226.96,17942.68,10999.560000000001,14438.6,9985.999999999989,11106.199999999995,17832.2,7633.600000000003,18238.4,8215.08,54611.96,17944.6,8790.800000000003
8,8316.499999999998,7518.44,8331.86,13505.460000000001,8617.58,7704.159999999999,9812.96,8203.900000000001,15626.76,15839.559999999992,7943.120000000003,8646.72,8574.800000000001,8437.6,9985.760000000002,8045.719999999998,8441.18,8432.1,8327.38,8486.98,18248.08,14969.32,12855.32,52940.799999999996,74931.59999999999,17822.2,15640.300000000001,17870.3,34522.959999999985,17732.079999999998,18063.5,17486.800000000003,17582.18,40992.78,15745.600000000002,26838.640000000018,15027.73999999999,86761.6,25879.8,17542.76
9,7880.2,10079.200000000003,7588.5599999999995,16287.159999999998,8155.6799999999985,15835.36,15092.12,13205.199999999999,18135.92,18267.04,13681.36,9680.400000000003,12207.000000000004,8831.000000000004,13424.04,13462.520000000006,8255.799999999996,10445.000000000002,8212.72,8388.12,17990.6,18515.92,15802.68,71854.0,108838.48,27251.04,18078.2,36546.35999999996,52574.76,18216.2,38429.20000000002,17941.0,18058.8,63699.2,18037.399999999998,51249.44,17165.16,124335.15999999999,31747.000000000004,18364.84
10,13088.699999999999,12995.24000000001,12068.299999999997,19664.62,13450.960000000005,17385.88,16323.4,14569.7,17807.4,17574.239999999998,17648.760000000002,11827.200000000008,14910.6,15973.2,17223.680000000004,17609.24,15949.46,16245.80000000001,7884.54,7581.340000000001,33000.52,18039.8,18021.16,99180.2,163119.02,55982.760000000024,40529.899999999994,52624.020000000004,79366.11999999994,17871.48,51046.60000000002,23265.199999999924,18135.800000000003,98468.68000000004,17847.6,76569.07999999997,18004.7,190422.19999999998,54155.000000000015,17876.600000000002
