index,70_1_www.jimdo.com,70_2_www.jimdo.com,70_3_www.jimdo.com,70_4_www.jimdo.com,70_5_www.jimdo.com,70_6_www.jimdo.com,70_7_www.jimdo.com,70_8_www.jimdo.com,70_9_www.jimdo.com,70_10_www.jimdo.com
1,-48.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0
2,229.65999999999997,1337.8000000000002,1325.8999999999999,507.8,503.96,428.72,436.96,1359.84,1592.64,379.23999999999995
3,281.64000000000016,3265.4,523.7199999999997,841.4000000000001,940.92,801.16,812.28,4069.44,1163.72,672.72
4,1834.9,8240.6,4316.040000000003,1295.6000000000001,1251.92,1219.1599999999999,1243.88,14469.8,257.5600000000007,1009.0799999999999
5,1299.2800000000002,32671.400000000012,4454.68,1696.2,1680.84,1602.32,1624.56,62058.8,4496.24,1315.9599999999998
6,2809.100000000001,72151.0,6917.8,2070.0,1667.2000000000064,2009.6000000000001,2050.8,114052.0,4397.8,1628.2
7,4865.52,83386.80000000002,5700.6799999999985,3485.8,3463.84,3508.600000000001,3409.96,171794.6400000001,6837.319999999994,1580.1599999999996
8,6170.400000000001,143663.59999999992,11384.539999999999,3203.399999999997,5054.4,2623.56,2572.0399999999995,212363.16,6304.920000000001,3277.9199999999996
9,7038.879999999999,240006.40000000008,20509.84,6466.2,4098.68,5229.759999999998,6656.32,357059.28,8693.36,2403.1600000000008
10,9037.94,317839.8,33498.360000000044,9102.2,8116.44,6486.200000000002,8519.48,380268.76,14419.6,6352.04
11,15080.0,368647.0,70339.0,8687.0,8146.000000000008,8711.2,9614.800000000007,392924.6,14247.4,6337.4
12,25832.6,396236.8000000001,71240.26,16500.6,13559.199999999997,9842.400000000009,13104.399999999989,397694.2,16221.599999999993,9052.56
13,55194.0,422093.6000000004,69638.31999999999,36391.000000000015,13221.279999999997,22745.4,22383.8,452444.6,60399.439999999886,9036.960000000001
14,54568.46,459238.2,70178.80000000002,45018.0,29394.28,36678.84,52833.35999999997,485076.32,64921.4,10337.39999999999
15,53297.48,479093.8,116261.96,43955.4,28551.6,72571.0,73959.2,548571.4400000002,64089.28,16322.159999999998
16,51896.3,598137.0,115017.6,42323.0,32330.0,73180.6,75025.4,757809.0,64971.4,45568.39999999997
17,51284.19999999999,761930.8,113357.76,40305.8,61683.8,73941.28,111493.8,767782.96,84286.43999999992,67458.8
18,68658.94,778557.6,147249.88,38956.799999999996,72101.6,72458.48,113098.23999999999,787042.28,96678.12,66535.84
19,85898.31999999999,789042.8,145991.47999999998,37293.200000000004,81290.04,110278.92,111353.28,826303.04,95483.36,67209.64
20,87621.86,847005.8,179100.16,36040.399999999994,79690.68000000001,109134.64,109838.68000000001,850450.68,94679.12,66081.12
21,86276.8,846888.0,211292.80000000002,37355.0,78072.59999999999,107546.8,108220.59999999999,855588.2,93498.4,77948.79999999996
22,85302.22,859063.0,215099.08,41297.20000000004,76463.88,122898.35999999999,106983.16,863822.2000000001,113661.83999999998,111882.92
23,110125.23999999999,878749.8,216631.08,47938.400000000016,77657.12,140259.32,110273.07999999999,891647.28,126270.44,110325.92
24,113237.18,888665.8,258850.24000000034,76985.8,76062.44,174519.84,113276.71999999997,902627.96,151326.03999999998,109162.04
25,131176.35999999996,916561.4,285305.52,119443.2,105372.80000000012,177185.47999999975,131414.96000000002,912801.28,193633.91999999998,113891.07999999977
26,155917.0,921103.0,344466.0,123915.0,147127.0,211915.0,205804.0,922434.0,193495.0,158075.0
27,192095.55999999988,926602.4,357394.48,126160.20000000004,181460.72,240997.15999999986,255614.04,921775.68,226015.2,174502.04
28,229317.31999999995,932950.0,359359.82,130180.6,219635.0400000001,268818.32,259410.12,930400.4000000001,230071.6799999998,194741.68000000002
29,233337.04,968702.2,363269.36,132443.4,260602.64,285310.44,277463.08,967716.48,274869.07999999996,244488.71999999997
30,235364.3,969744.0000000001,388732.72000000003,135386.2,282612.16,296062.44000000006,284965.56,979273.12,301007.36000000004,246721.56
31,273719.8,983025.0,392112.4,137655.0,330978.2,326170.0,289082.8,1005299.6,328041.2,250668.2
32,298162.32,1018874.2,396064.02,170432.4,362193.2000000001,351113.56,289676.84,1024163.28,329718.24,280727.04000000004
33,353695.19999999995,1023229.4,396858.76,174268.4,386626.52,354903.76,295802.12,1030601.48,333847.48,286901.68
34,378187.22000000003,1036895.7999999998,398462.26,176012.6,391076.12,359824.44,295893.28,1059848.5199999998,352443.43999999994,289971.9199999999
35,382244.84,1078618.0000000002,398710.28,222176.8000000002,396537.44,359725.12,296749.76,1102568.2,355986.76,336919.5599999998
36,383851.9,1147661.0,399182.7,288145.0,398795.6,367736.8,300405.6,1159245.4,358587.39999999997,363777.6
37,384267.44,1161262.8,401799.27999999997,336984.19999999995,399062.36,370003.48,342567.76,1181256.76,364180.63999999996,365947.16
38,386869.98,1167947.6,402500.68000000005,367840.2000000001,404868.68000000005,405753.04,375447.52,1183598.92,371867.87999999995,368475.68
39,386798.52,1190457.4,441487.6800000001,445097.0000000003,413782.52,405375.84,379262.08,1188635.32,374860.76,370676.32
40,391123.06,1193560.4,454669.5200000001,452029.2,413460.24,408745.83999999997,439544.84,1195816.32,376575.96,372791.3599999999
