index,222_1_web.de,222_2_web.de,222_3_web.de,222_4_web.de,222_5_web.de,222_6_web.de,222_7_web.de,222_8_web.de,222_9_web.de,222_10_web.de
1,-61.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,15152.66,7650.799999999998,15081.400000000003,15452.880000000001,15591.4,15679.32,15594.600000000002,14547.799999999994,15796.619999999999,16623.800000000003
3,81421.44,77381.0,76479.68000000001,77024.07999999999,81281.0,81939.28,84008.0,84471.96,82491.52,81529.6
4,173755.55999999985,127942.68000000005,100705.28,99692.7,99930.5,102091.52,102242.8,146834.6,199651.9199999999,196451.62
5,364471.72,303939.44,319462.16,318913.36,314615.0,343047.8,352277.24,326045.39999999997,378275.32,406432.72
6,466105.60000000003,352122.2,437052.3,385809.3,415966.5,448533.8,447135.8,383866.4,398719.19999999995,447718.00000000006
7,479539.52,369896.84,513132.04,406037.8,435941.0000000001,459341.84,515081.88,406238.68,462381.32,456665.84
8,822011.44,367896.64,591765.0800000001,403887.08,582549.4,569168.32,666862.04,507739.32,690126.4799999997,725991.7600000001
9,867021.2,512493.39999999997,808393.5200000001,477606.1999999999,859552.2000000003,857854.72,862354.36,830350.2,863619.12,857715.4
10,924547.58,733600.1600000003,856414.24,824637.4799999999,919827.0,910056.9999999999,883262.5999999999,870695.4,955527.5,920331.14
11,985838.0,865595.4,914575.4,923184.4,983383.0,972748.9999999997,970837.0,962232.8,988100.6,980244.6
12,1003681.22,954315.04,975310.86,983034.12,997219.1000000001,986153.36,989825.6,980965.48,1004235.6799999999,997797.2
13,1064435.08,971696.04,989377.84,1003112.8,1009602.7999999999,1001059.3999999999,1004814.3999999999,996063.16,1076630.04,1054642.48
14,1211352.16,987399.64,1004519.16,1018811.8000000002,1125836.6000000003,1076858.8,1092957.0,1065248.12,1206021.42,1203062.16
15,1330349.24,1039656.2399999994,1157001.8800000001,1073572.7199999997,1293078.4,1258116.4400000002,1285688.76,1197974.72,1339062.48,1341685.28
16,1369706.4,1186202.8,1280441.7,1212954.8,1359682.5,1348193.6,1352150.4,1287159.7999999998,1360015.5999999999,1366887.8
17,1381318.28,1302906.96,1344781.88,1347402.96,1370678.2,1355312.56,1369758.48,1357897.28,1372066.6,1373038.84
18,1403438.54,1345737.68,1361983.06,1371995.42,1372762.7,1364117.52,1376646.32,1366335.56,1402460.22,1396014.54
19,1428799.24,1353438.52,1371782.32,1378849.72,1415260.4,1400711.6400000001,1400646.28,1373347.36,1425151.4,1420894.68
20,1452346.52,1361063.16,1389076.78,1398466.26,1423769.8,1419241.08,1424845.72,1415703.4000000001,1438917.26,1435553.74
21,1479795.8,1394959.5999999994,1414407.2,1424537.6,1449053.0,1450388.0,1429850.4000000001,1425064.5999999999,1473189.8,1454266.8
22,1570902.18,1405724.1199999999,1425649.94,1437780.28,1474977.4,1493036.2399999995,1449331.16,1448309.4,1635625.6,1480701.42
23,1587180.96,1425624.52,1455643.72,1464486.72,1611444.2,1593006.68,1476843.92,1465375.44,1697240.72,1569743.04
24,1731832.5,1446491.6400000001,1549608.98,1556321.1600000001,1622708.6,1649040.52,1585688.44,1548429.8399999999,1705755.12,1579551.86
25,1781564.92,1473268.12,1577893.24,1581687.96,1657632.2,1670304.36,1613177.0799999998,1684159.64,1717178.16,1744710.8
