index,397_1_www.expedia.de,397_2_www.expedia.de,397_3_www.expedia.de,397_4_www.expedia.de,397_5_www.expedia.de,397_6_www.expedia.de,397_7_www.expedia.de,397_8_www.expedia.de,397_9_www.expedia.de,397_10_www.expedia.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3922.2000000000007,3449.1,3634.0400000000004,3572.52,3597.36,4098.78,3563.88,3599.52,3766.5,3556.32
3,6743.200000000006,9348.400000000003,6856.480000000002,6216.96,6177.28,8360.92,8361.24,7069.7999999999965,4095.0,8262.36
4,17212.399999999998,13906.4,17525.64,17664.28,17023.280000000006,18498.34,17573.84,12869.759999999998,8464.0,17442.76
5,40745.0,25378.6,39112.520000000004,40062.44,33043.04,39687.36,34521.36,18451.599999999995,21214.0,39538.96
6,43353.0,48070.0,56385.200000000026,40412.9,41450.4,74306.6,34919.8,47517.2,39368.0,40189.4
7,74041.2,48223.6,96616.12,62688.92,86015.32000000005,75365.44,57575.27999999996,48886.88,40070.0,88090.03999999995
8,73734.00000000003,82824.1,97696.42,76038.12000000001,97860.92000000001,101426.22,65002.34,71573.2,41753.5,113969.44
9,80860.8,121514.00000000001,101187.92000000001,103933.19999999998,102893.12,122938.07999999994,102115.19999999998,103388.72,42969.0,117141.36
10,122300.40000000001,123003.2,107581.15999999997,107926.12,104901.76,125944.7,122707.18000000001,124596.72,59795.0,131869.48
11,143927.0,130696.0,145488.4,138886.2,114667.6,123882.2,126058.8,129617.8,65293.0,131367.8
12,144160.19999999998,131706.6,145364.24,146657.64,119237.36,197583.03999999986,154666.88,130611.12,72853.5,133780.32
13,199752.8000000002,131376.59999999998,167110.0,159061.63999999996,126850.28000000004,229676.96,169120.2,142391.96,141245.0,164141.72
14,227894.4,206194.0,227738.0,227858.84,172030.84,237251.14,215985.37999999998,147204.2,163706.5,222272.36000000002
15,228721.80000000002,235446.4,230156.88,245362.12,171868.0,244630.44,228425.28,166576.4799999998,206834.0,228836.32
16,241138.00000000006,263252.5,231403.60000000006,256557.5,234042.8,313557.7999999997,228223.4,196961.6,228844.0,225656.6
17,266131.2,265749.6,241431.20000000013,268003.68,230244.68,426674.23999999976,235493.92,235388.15999999997,235919.0,250565.96
18,338768.8,271641.2,306624.1599999999,315920.14,267437.48000000004,468087.82,269820.95999999996,253726.79999999987,238782.5,354515.2799999998
19,401263.0,307779.60000000015,369489.72,373793.24,324157.44,489755.68,352222.36,270264.88,318302.0,391231.88
20,436583.8000000002,410417.2,455217.20000000007,451851.6799999995,370858.6400000001,486897.86000000004,402805.82,278171.5999999999,362228.0,414475.8800000003
21,517113.0,465617.0,471828.8,495289.99999999994,398471.7999999999,527019.5999999997,489073.4,344098.8,425969.0,487605.39999999997
22,516922.2,497060.7,475581.64,510917.3999999999,429078.12000000005,607311.2399999999,488744.54,415714.19999999995,461881.0,489708.84
23,560356.6000000006,493112.6,473082.32,544453.7599999999,501753.24,633548.48,485700.48,475025.9999999998,489281.0,487501.72
24,631754.8,499269.3,516452.72000000003,599269.02,533714.64,639313.98,585333.4,499127.2,520203.5,544330.1200000001
25,638827.7999999999,551349.0000000001,585783.9600000001,631935.12,544676.84,646205.2,633233.28,496179.0,519626.0,628472.2799999999
26,640621.0,611769.5,638861.0,636156.0,587568.0,661960.4999999999,637470.0,498895.0,630156.0,634733.0
27,655788.7999999999,641475.4,642872.56,647787.04,630504.68,674707.32,649094.36,597267.68,633861.0,640085.08
28,671414.2,647899.1,647666.22,663210.24,645200.84,673446.8200000001,666760.74,640063.6,637979.5,654407.1599999999
29,670356.8,655805.8,651278.4,667211.44,662884.52,677026.88,665864.24,640710.48,658762.0,663851.32
30,674524.2,657892.3,660507.12,683432.48,665603.56,702426.4799999993,670103.98,646629.6,666168.0,666134.12
31,743299.0000000002,675335.0,662375.6,684005.0,676967.4,784933.2000000001,726959.6,652611.6,665337.0,701409.6
32,776396.4000000001,681279.0,683818.86,761053.08,763511.7599999997,830870.18,787545.38,674580.3999999999,672576.0,794437.2
33,814419.2000000001,727130.6,719896.0800000001,843686.24,782188.68,881803.5999999999,827536.44,681577.12,707404.0,843597.88
34,908757.8000000003,765189.3,749454.5,874499.16,865847.4000000001,919276.6399999998,922128.96,697175.04,707726.5,912271.5599999999
35,970606.2000000003,833217.4000000001,778304.96,874398.16,973449.0400000002,968273.16,969177.92,696786.2799999998,739206.0,968406.76
36,989559.0,867634.0,858184.3999999999,901779.7999999998,1011377.8,1086254.7999999998,998077.9,722586.1999999993,844467.5,991921.0000000001
37,1033449.4,942149.2000000007,931281.7999999999,989586.7199999999,1040845.16,1136474.76,1071337.32,808946.919999999,953299.0,1033104.4
38,1071909.0,1024535.4,1014476.0000000005,1037873.9999999999,1058666.08,1203273.1199999999,1088061.1,917982.04,998703.0,1072116.72
39,1096341.0,1077265.6,1064589.28,1098888.2,1077035.1199999999,1263183.48,1094139.76,963820.359999999,1056838.0,1097760.8000000005
40,1115429.8,1092031.5,1102272.28,1100782.1800000002,1078083.6,1293174.46,1136394.5199999993,1005564.6,1082808.0,1200618.1199999999
41,1182260.0,1113494.0,1109122.4,1126039.4,1124889.2,1322574.5999999999,1207479.6,1065440.6,1102780.0,1229670.4
42,1240692.6,1204402.6000000006,1203143.26,1146671.16,1161141.08,1404701.8399999996,1231486.06,1080855.9200000002,1204092.0,1228851.6
43,1258629.2000000002,1259627.8,1239509.68,1257076.72,1187120.2,1430073.72,1243636.36,1106601.36,1229609.0,1251948.24
44,1297664.6,1277784.4,1270514.22,1274030.06,1237433.1199999999,1557686.959999999,1275448.94,1207219.7999999996,1245201.0,1299565.68
45,1353568.2000000002,1284735.2,1328136.3200000012,1291032.12,1260536.8,1707249.8399999994,1326487.1999999993,1233324.7599999998,1298137.0,1342076.0
46,1408808.0,1360615.0,1378900.8,1343378.7999999998,1313893.2,1798618.8,1368492.2000000002,1276541.2,1369287.0,1383764.8
47,1430625.8,1404640.6,1405192.48,1374556.2,1387916.6800000002,1842908.24,1407099.32,1350498.2,1395091.0,1397908.56
48,1492806.0,1429474.9,1416151.6800000002,1404090.48,1418952.0,1843126.72,1429116.3199999998,1403346.36,1400116.0,1402556.04
49,1493495.8,1460721.2,1433642.68,1425639.28,1449284.44,1846809.6,1450689.56,1426318.84,1431249.0,1427702.64
50,1493433.4,1567896.0000000002,1524249.1,1547948.7,1568318.0400000005,1849462.74,1621109.0799999998,1515098.24,1501670.0,1507672.0000000002
