index,357_1_www.deezer.com,357_2_www.deezer.com,357_3_www.deezer.com,357_4_www.deezer.com,357_5_www.deezer.com,357_6_www.deezer.com,357_7_www.deezer.com,357_8_www.deezer.com,357_9_www.deezer.com,357_10_www.deezer.com
1,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,26209.66,25517.32,26180.319999999992,25744.68,26227.62,28735.28,25707.82,26336.36,26584.88,28420.54
3,37687.68,39710.840000000004,56708.16,49280.51999999999,51690.04,40816.44,44418.52,34095.440000000024,36082.24,39782.64
4,266140.7,256719.76,303040.08,325509.3,306672.72000000003,320725.12,348974.0,159113.88,359288.63999999996,375185.45999999996
5,632445.76,565843.44,653466.32,647733.4,646481.72,635979.32,646846.52,538191.92,632107.28,640483.36
6,677045.2000000001,654940.0,783315.5999999999,714418.5,706207.2,672749.6,769773.8,660490.9,721344.0,766688.2999999998
7,817058.92,752935.16,953552.48,939651.96,841979.6000000001,854636.8,934337.56,747730.28,918159.28,950936.04
8,941869.4,925365.24,1009080.64,985698.38,966407.04,953562.84,974970.44,939356.38,948227.36,997671.5199999999
9,1009032.52,983004.7999999999,1081161.8800000001,1180983.8,1015586.84,1016589.52,1197418.0799999998,984728.76,1047529.6,1115055.24
10,1190361.5799999998,1173123.44,1205041.8800000001,1205717.56,1093131.98,1197560.2,1203443.74,1014191.9,1074919.92,1196271.26
11,1199509.4000000001,1191171.6,1236009.4000000001,1235929.2,1218967.8,1204043.8,1237874.2,1083804.8,1186897.2,1238672.2
12,1228186.78,1220948.64,1253926.88,1257736.12,1243523.3,1234096.56,1244545.02,1211890.98,1215606.68,1271825.08
13,1237578.32,1237575.48,1267202.96,1270815.16,1270675.24,1247610.44,1268095.2,1237190.84,1251788.56,1288069.1199999999
14,1256299.82,1253850.12,1287392.04,1302486.12,1279032.44,1268255.36,1297717.18,1255639.68,1264558.68,1370306.18
15,1286353.8,1272714.96,1314235.48,1330077.52,1325977.36,1291239.44,1309189.24,1276768.12,1279102.04,1401928.0399999998
