index,24_1_www.dotdash.com,24_2_www.dotdash.com,24_3_www.dotdash.com,24_4_www.dotdash.com,24_5_www.dotdash.com,24_6_www.dotdash.com,24_7_www.dotdash.com,24_8_www.dotdash.com,24_9_www.dotdash.com,24_10_www.dotdash.com
1,67.0,-442.0,-442.0,-115.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,221.36,-308.7599999999997,-587.8,22.399999999999935,-541.9599999999999,1588.2,371.03999999999985,-490.03999999999985,53.79999999999961,-127.47999999999956
3,29.720000000000024,1343.1200000000001,1370.0,371.4000000000008,1428.8000000000002,1175.6000000000001,1390.52,1330.48,1368.3999999999999,1355.76
4,1916.92,1177.58,1238.9000000000003,1459.4,1362.38,453.6000000000032,1112.76,1153.82,1225.1,1201.34
5,1631.9199999999998,565.44,647.2000000000002,1306.2,811.8400000000003,2322.2000000000003,318.68000000000006,533.76,532.6000000000003,597.1200000000001
6,874.8,2441.2,2582.5,2867.0,265.20000000000056,4409.5,4637.2,2470.7999999999997,2299.5,2395.0999999999995
7,2775.84,2325.36,2488.2000000000007,2668.8,2256.48,7071.8,4556.64,2287.44,4150.799999999994,3063.120000000001
8,4907.92,4607.42,4581.8,3335.400000000005,4561.34,7075.299999999999,4456.28,4429.62,4377.9,4651.66
9,4724.4800000000005,4475.32,4385.8,4429.400000000001,4627.96,8191.599999999999,6600.36,4492.68,4828.999999999997,4130.359999999999
10,5045.16,7066.639999999999,4207.999999999995,4199.799999999999,4541.82,10977.599999999999,6586.84,6330.919999999998,6927.4,7004.72
11,4277.999999999997,6552.4,7003.0,7094.0,3660.8000000000015,10520.0,7563.5999999999985,6702.4,7137.0,6643.4000000000015
12,10730.679999999998,6410.9400000000005,6525.4,6629.2,8456.859999999997,15645.000000000005,8389.44,6255.259999999998,8461.3,8370.38
13,11720.56,6204.96,7095.4,6038.399999999997,10170.6,24334.8,9975.600000000002,6068.24,10846.199999999993,9211.800000000001
14,11030.24,9343.400000000001,8460.699999999999,6279.8,10080.9,23125.7,12585.2,8569.600000000002,10676.800000000001,11060.1
15,12472.32,14367.320000000002,10809.200000000003,10925.800000000007,9751.039999999999,24879.2,13294.919999999998,11377.76,11577.799999999988,10874.800000000001
16,14432.2,14154.5,10847.0,12938.0,11316.99999999999,24102.0,13854.400000000001,12466.5,13056.5,13580.599999999999
17,15046.800000000005,13656.12,10967.999999999996,13599.0,13098.599999999993,26058.200000000008,16336.799999999997,13143.6,16072.0,15081.319999999998
18,18825.600000000006,16242.960000000001,12958.099999999997,14021.600000000002,20307.82,29885.100000000002,23996.52,13937.400000000007,24459.7,22595.18
19,24612.36,21080.400000000023,14582.99999999999,16712.0,19757.28,29775.4,23007.44,16345.599999999997,23730.8,21893.72
20,23415.84,23941.879999999997,16610.000000000004,24266.6,18803.74,30150.3,22389.64,23898.86,22908.3,21192.26
21,22910.4,22851.6,24097.0,23572.0,18518.399999999998,33395.0,24277.8,23190.399999999998,24921.0,20667.600000000002
22,24784.44,24630.039999999994,23505.3,22877.399999999998,18129.84,38421.0,26361.24,22572.679999999997,24582.4,21590.7
23,26845.32,24859.440000000002,22921.4,22359.600000000002,20045.16,45390.000000000015,25504.68,22038.68,26154.600000000002,23529.84
24,28226.519999999997,24375.519999999997,22333.6,24258.6,22176.26,50542.1,27377.48,23961.88,27666.39999999998,25568.960000000006
25,31258.36,25730.36,24539.600000000002,26186.8,22006.72,49180.59999999999,27649.24,23780.76,29851.8,27836.28
26,31120.0,27627.5,25012.0,28268.0,26432.0,51349.0,30108.0,25892.5,29708.0,29839.5
27,30926.56,27875.56,26728.39999999998,28477.200000000008,26483.28,53138.6,29898.76,27820.559999999998,29564.2,29704.72
28,30963.480000000003,29901.78,28444.799999999992,30479.600000000002,26457.56,68016.40000000001,29362.84,29273.92000000001,29824.899999999998,29867.260000000002
29,32356.68,29622.92,30174.2,30382.6,26205.36,76284.0,31297.28,30242.68,30275.99999999998,30027.84
30,32674.96,29845.46,29624.899999999998,30513.8,26053.820000000007,83387.40000000004,31111.359999999997,30107.46,32561.10000000001,31966.88
31,31620.199999999997,29375.199999999997,29854.0,29545.0,28902.600000000002,97102.0,34528.6,31335.999999999993,38433.0,31810.4
32,33858.80000000001,33299.32000000001,30083.1,35842.600000000006,28412.28,107359.00000000003,37989.8,32654.38,45166.399999999994,31582.019999999997
33,41591.04000000001,36460.96,31298.999999999993,36638.2,28903.12,138646.40000000008,43094.6,33003.72,49041.200000000004,35157.92000000001
34,45956.24,34958.520000000004,32756.1,35849.600000000006,30057.86,174601.8,49863.399999999994,32016.96,51669.6,38495.52
35,44871.079999999994,35527.16,37460.79999999998,35583.8,30670.39999999999,176343.2,54312.52,31812.960000000003,53235.999999999985,36919.08
36,43178.2,39685.600000000035,45923.0,35402.0,33053.9,175401.0,53554.8,32415.40000000005,72990.0,42329.600000000006
37,43737.71999999998,40539.08,51355.99999999998,47635.600000000006,38722.6,171710.4,54903.16,40374.280000000006,77815.0,53173.560000000005
38,54359.24000000002,43691.52000000004,52091.6,52785.8,43277.2,172643.6,60240.400000000016,38722.399999999994,84645.99999999999,61073.16
39,64980.75999999998,51105.40000000001,53937.4,58132.799999999996,47063.79999999999,173355.59999999998,76670.76,43856.600000000006,99944.59999999995,77369.60000000002
40,75602.28000000003,56987.28000000002,56654.99999999992,60898.40000000003,51186.39999999997,174073.1,81145.24,48990.80000000001,107645.99999999997,77330.63999999998
41,86223.79999999999,65301.800000000025,73414.0,68788.0,52595.99999999998,175742.0,89915.19999999991,57366.40000000002,114125.0,92743.00000000016
42,93949.32000000002,73616.32000000002,77676.99999999999,75927.00000000003,73150.13999999997,176316.2,96736.79999999999,67834.20000000001,114178.79999999996,138015.52000000002
43,103122.83999999998,82178.83999999998,78946.6,85564.80000000003,86997.55999999985,176613.40000000002,103857.59999999998,74533.36000000003,115501.4,156790.44000000003
44,113411.36000000003,90693.74,94340.8,97148.79999999999,116758.23999999987,177896.1,108322.4,83462.44000000003,133858.0000000001,175239.2
45,119489.2,97522.87999999999,98988.79999999999,103880.00000000001,146022.9199999999,181195.2,114995.19999999997,91464.80000000002,141214.4,178579.88
46,138803.0000000001,104572.90000000001,106037.5,112928.0,158296.0,183510.5,132263.8000000002,98424.59999999996,155465.0,179727.0
47,176907.55999999997,110099.8,107674.6,119401.60000000005,175621.08,184753.4,156274.84,107353.67999999998,159233.6,180239.24
48,188938.28,113647.60000000002,118711.99999999975,128739.20000000001,175209.82,186395.4,155514.36,110016.4,165281.0,180430.80000000002
49,191817.32,138055.63999999998,153406.79999999987,140972.80000000008,174804.56,187060.4,159673.88,128818.19999999998,173027.99999999997,183407.52
50,192046.96000000002,173114.16000000003,171681.0,169788.8000000002,174799.44,187099.80000000002,167789.80000000005,163599.99999999997,176485.69999999998,183625.66
