index,379_1_www.cinema.de,379_2_www.cinema.de,379_3_www.cinema.de,379_4_www.cinema.de,379_5_www.cinema.de,379_6_www.cinema.de,379_7_www.cinema.de,379_8_www.cinema.de,379_9_www.cinema.de,379_10_www.cinema.de
1,-442.0,-442.0,-442.0,110.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0
2,12206.72,12047.7,27469.72,12431.04,11757.4,12894.179999999998,12784.999999999998,12552.16,13283.2,12330.82
3,110896.92,98356.68000000001,72481.84000000001,91973.8,89440.60000000002,52241.4,100370.0,67922.4,61974.08,93047.44
4,141454.88,142098.26,143671.42,131889.94,116460.64000000012,105480.62000000001,142893.4,103668.9,107368.14,137034.26
5,221797.56,217451.59999999998,270377.84,178689.2,153071.36,157179.19999999998,200519.60000000003,173765.28,147496.2,200667.84
6,362454.00000000006,366377.1,458850.00000000006,313198.4,296717.00000000023,270006.3,313642.0,277164.3,281247.99999999994,295998.4
7,473771.28,546246.28,557062.92,490392.08,396316.52000000025,405221.08,453797.0,425659.28,413693.23999999993,463550.32
8,569104.48,569801.94,570182.08,564223.82,511627.62,521529.10000000003,564762.2,480963.72000000003,547790.5399999999,565111.02
9,628752.2800000001,687185.0,710489.44,678120.6,549712.72,603987.36,641151.6000000002,573772.48,571297.6,595268.4
10,717361.12,754185.82,721946.66,710568.98,696240.14,691347.72,709239.2,663436.24,611412.7600000001,718667.46
11,734983.2000000002,843146.3999999999,885964.2,798225.6,717813.4,712610.3999999999,764976.0,775366.1999999998,715122.6,840292.4
12,892617.7999999999,983009.1599999993,994989.26,851451.38,839704.22,769384.56,845334.4000000001,878509.74,757722.9799999997,886963.8600000003
13,999023.4,1028605.76,1058757.2000000002,991673.24,858943.2000000002,849065.68,993060.4,985227.12,886946.24,994831.08
14,1057524.32,1063636.56,1071355.34,1001402.8,994616.2999999999,866231.36,1006985.0,1037866.36,993972.14,1054214.72
15,1074230.6,1073469.84,1184969.52,1059062.64,1052610.24,878821.88,1056145.5999999999,1046750.4400000001,1038506.32,1072254.08
16,1161422.0,1110664.5,1198751.7999999998,1078970.3,1062801.9,932001.9,1106384.0,1073786.0,1070391.9,1107901.2
17,1223655.88,1213188.6399999997,1239465.16,1112513.6,1099766.7600000005,968585.24,1192621.2,1135997.52,1079650.8,1194468.2
18,1296285.08,1232713.66,1309069.04,1226313.82,1190829.46,1115306.26,1227227.8,1220770.86,1189516.62,1236364.78
19,1305462.64,1296747.68,1320451.32,1240715.24,1229890.8800000001,1127826.04,1241539.6,1230048.88,1201179.6,1307112.48
20,1311922.44,1308563.98,1329893.82,1309140.18,1234055.54,1136087.16,1247316.4,1236014.04,1242659.68,1315884.48
21,1323296.8,1318348.4,1336629.8,1318841.4,1306035.8,1202742.2,1320941.0,1302834.6,1313039.6,1321756.4
22,1336078.4,1325223.26,1354864.2400000002,1323793.28,1308758.74,1214068.68,1325926.8,1319873.12,1315991.16,1326771.5600000003
23,1421867.52,1334891.24,1436630.12,1331815.36,1319754.48,1314668.88,1333492.4000000001,1323650.12,1325993.64,1339193.4000000001
24,1433336.48,1414573.2,1458273.14,1346301.2400000002,1321783.38,1322968.92,1417331.2,1329312.56,1329674.56,1422892.5999999999
25,1448670.76,1436079.1199999999,1456357.8800000001,1359396.32,1332772.2000000002,1329259.72,1428815.2,1343754.72,1337168.08,1440943.44
26,1554928.0,1448049.0,1473283.5,1366773.5,1413712.5,1341956.5,1450565.0,1420934.5,1350179.0,1457618.0
27,1594503.8,1449304.9199999997,1512031.96,1396230.6400000001,1429183.6,1423432.96,1449264.8,1440251.72,1428846.2,1462238.04
28,1701589.48,1483471.22,1624286.2400000002,1496824.2799999998,1448019.22,1434340.08,1466917.0000000002,1452803.44,1447237.54,1492994.7
29,1715058.4000000001,1499569.24,1634858.6,1589234.04,1459626.32,1443305.12,1495597.8,1466477.1999999997,1462750.64,1517685.44
30,1723789.44,1615542.6,1687632.44,1606010.34,1567152.94,1450718.06,1564229.4000000006,1482549.3,1515304.2799999982,1616049.16
31,1755146.6,1629955.6,1745512.799999999,1658753.6,1596925.2,1474143.2000000002,1624417.0,1506313.0000000002,1605456.4,1631587.6
32,1804455.44,1689234.7,1851815.3200000003,1678887.74,1600060.94,1481740.54,1637640.6,1602493.8,1604691.68,1683918.42
33,1818357.96,1788677.52,1892385.24,1783683.04,1623283.76,1586703.44,1696019.0,1626776.68,1626090.56,1814771.48
34,1852415.68,1798970.4200000002,1898374.46,1826753.34,1668995.38,1620372.2,1800319.4,1640846.9,1630162.82,1838959.36
35,1872087.76,1848050.12,1939462.84,1877861.84,1690654.1199999999,1631705.44,1844992.8,1703164.68,1687589.16,1845637.96
36,1930629.6,1881857.6,1975964.0,1912878.1,1815240.8,1682096.2999999998,1884432.0,1738912.4,1717053.0999999999,1893685.6
37,1939053.52,1884745.2800000003,2002163.36,1917167.08,1825994.3599999999,1793551.08,1910128.8,1831356.2,1827410.68,1894054.96
38,1937381.52,1892312.84,2012914.66,1930643.34,1856174.3,1818753.28,1932256.8,1876299.7999999998,1843123.5599999998,1921680.82
39,1972366.88,1918888.2,2024375.5999999999,1960514.44,1872127.8399999999,1875496.72,1932717.4000000006,1905411.5599999998,1863919.08,1931376.68
40,1999161.44,1956104.5999999996,2042662.6,1997892.14,1914730.68,1913147.46,1938924.5999999999,1923846.72,1908270.78,1957202.8
41,2008187.4,1981557.8,2099255.8,1989579.6,1940509.6000000003,1919529.4,1982903.0,1919758.0,1931693.0,2008819.2
42,2029030.16,1994738.94,2288983.76,1996254.16,1933813.08,1928149.54,1992732.2,1927548.06,1941016.32,2015560.64
43,2044375.16,2001176.76,2366102.44,2033672.4,1942228.8,1927934.1200000003,2023172.4000000001,1959523.76,1978949.24,2023663.28
44,2083652.5200000016,2019625.06,2408625.2000000007,2157202.34,1975445.56,1974923.96,2032976.6,1968678.82,2004054.6,2050881.6199999999
45,2273348.92,2045460.8800000001,2758566.6799999997,2206272.0,2002974.84,1997158.04,2053198.0,2014654.32,2014425.24,2062634.8000000005
46,2285545.0000000005,2204618.7,2941596.8000000007,2322334.9,2008923.7,2004435.1,2065075.0,2028110.0000000002,2020455.3,2198911.9999999986
47,2351120.04,2305590.64,2997891.6,2352303.84,2019251.56,2020022.4400000002,2167876.4000000013,2043479.68,2032944.8800000001,2350397.64
48,2384357.12,2372522.12,3070605.96,2360755.38,2035534.52,2033434.48,2311695.6,2181492.24,2104657.16,2374508.16
49,2453518.52,2392678.3200000003,3081721.64,2370636.36,2130727.96,2168741.32,2374433.4,2266452.4,2218882.1999999997,2423164.8
50,2808850.2800000035,2494774.419999999,3089984.32,2376067.16,2245307.14,2324273.14,2419295.8,2270856.28,2317735.88,2871486.04
