index,299_1_www.wolframalpha.com,299_2_www.wolframalpha.com,299_3_www.wolframalpha.com,299_4_www.wolframalpha.com,299_5_www.wolframalpha.com,299_6_www.wolframalpha.com,299_7_www.wolframalpha.com,299_8_www.wolframalpha.com,299_9_www.wolframalpha.com,299_10_www.wolframalpha.com
1,-442.0,-442.0,-442.0,-442.0,-1363.0,-1363.0,67.0,67.0,67.0,67.0
2,3711.7999999999997,4086.6,3336.6999999999985,3987.48,154158.32,92368.68000000001,1729.7,1221.4600000000003,1740.26,1672.26
3,4994.360000000001,4652.599999999999,5260.4400000000005,4366.84,234714.63999999998,154317.0,4457.56,5079.04,4174.12,5400.919999999999
4,6306.480000000002,8525.2,8424.86,7997.5199999999995,345202.04,179462.68000000002,4762.42,8400.08,7323.46,7504.279999999996
5,9433.64,18824.8,18685.32,28039.76,438717.2,217335.0,8951.84,18275.039999999997,15630.199999999995,8465.799999999996
6,15762.999999999996,26259.0,27024.500000000004,24533.399999999998,523577.2,258256.7,19530.2,27517.7,26768.500000000004,27987.2
7,26467.760000000002,25954.600000000002,24220.68,24719.64,588889.6,262332.88,26920.920000000002,27237.48,28163.92,25897.88
8,34498.240000000005,24265.800000000003,24866.34,30528.32,681211.2,262697.32,26770.82,25311.98,26511.92,23357.98
9,34559.24,32885.2,28489.32,35006.08,811852.0,266406.96,25084.559999999998,28364.52,27056.079999999998,26806.52
10,32673.12,36832.4,34573.94,38906.560000000005,884391.88,281337.66,30972.14,33733.83999999999,33202.34,32877.22
11,38602.6,41074.0,41088.200000000004,45632.6,1049970.8000000003,283546.8,36190.400000000016,38785.8,39831.6,35009.8
12,42984.36,44679.00000000001,43853.58,43933.44,1178395.8,287104.36,39510.06,42650.54,42126.44000000001,39333.380000000005
13,47370.12,44491.399999999994,45655.56,45323.12,1259319.5999999999,286913.44,43832.96,45028.12,42135.84,40730.76
14,48706.16,43326.8,45983.82,50985.48,1300033.48,291213.14,47453.34,46368.22,49818.56,46176.979999999996
15,51154.920000000006,44368.600000000006,45415.04,52909.520000000004,1323169.32,297353.92,45112.95999999999,46369.64,62632.32,45314.64
16,50534.4,50464.0,48718.5,62740.8,1387085.2,299122.4,45526.1,49053.90000000001,80284.59999999999,42923.70000000001
17,49890.12,57913.799999999996,54573.96000000001,70794.79999999999,1480857.08,303072.92,50679.80000000001,52659.200000000004,82598.63999999998,49074.479999999974
18,52773.28,64642.80000000001,63812.240000000005,90593.52,1572078.16,303487.82,50937.259999999995,58432.700000000004,83638.52,53978.74
19,62927.12000000001,73254.2,69317.72,107768.92,1624341.32,303951.16,60524.68,65529.59999999998,93436.68,54898.560000000005
20,69867.04,80899.6,85726.78,106365.48000000001,1700890.08,309947.66,67578.08,87957.63999999993,110996.54,59356.38000000001
21,86727.20000000001,105575.0,101139.2,108910.4,1759338.0000000002,308047.6,85924.8,97980.20000000001,118555.00000000001,72531.2
22,98588.96,107639.6,102431.89999999997,109893.76,1908189.6399999997,321604.95999999996,91835.9,107442.56,129052.18,82078.66000000002
23,102773.19999999995,105278.4,110198.52,110216.72,1975273.96,326714.80000000005,106749.28,105129.44000000002,137678.68,106358.68
24,110788.32000000002,105706.8,108386.56000000001,119054.12,2056125.64,353069.28,107926.98,106716.46,134969.16,107768.47999999994
25,142846.20000000013,110737.79999999999,108080.35999999996,120904.96,2165425.0799999996,364364.68,105512.68000000001,107555.36,134946.44,106958.36
26,195840.0,117037.0,114534.0,124308.0,2244288.0,362147.5,104393.0,109819.0,138932.5,104120.5
27,196964.52,123719.4,113678.16,126267.2,2320818.9999999995,364021.28,113594.72,116726.36,148711.04,107288.36
28,200850.64,122462.0,120196.81999999999,122621.96,2335798.36,361400.86,115507.42,123166.72,149374.66,112850.38
29,201564.72,123073.6,121157.84,137649.6,2419257.2399999993,369137.96,121429.88,124518.28,149989.96,115601.27999999997
30,199036.96,120520.40000000001,121537.30000000002,168221.91999999995,2438219.04,373232.48000000004,123183.54,122353.7,147128.78,117589.06
31,207318.2,118294.0,131461.0,179546.8,2548168.5999999996,378054.6,124031.6,119659.00000000003,147905.4,121407.2
32,209480.24,119243.2,161282.51999999987,182323.79999999996,2608319.16,379289.1,121410.1,120705.82,154219.9,119750.06
33,214688.19999999998,124717.4,164409.47999999995,248131.27999999982,2652961.04,379679.16,120840.36,118762.04000000001,168417.52000000002,116920.31999999999
34,215528.32,142550.8,181327.47999999998,274691.08,2739873.8,378407.3,123270.77999999998,122301.12,171944.12,118877.26
35,213912.44,152824.00000000003,202812.63999999998,283927.88,2815701.16,378074.2,123131.95999999999,126036.16,178478.59999999998,118149.68
36,215156.2,170790.0,211387.0999999999,301429.3999999999,2880537.0,394285.9,142740.4000000001,142782.49999999994,183029.1,119169.9
37,217695.6400000001,188703.40000000008,241771.76,347751.16,2996321.6,406220.68,166090.4399999999,158829.47999999998,196943.63999999987,136899.67999999996
38,234941.88,210090.0,251889.0399999999,368681.12,3049622.32,415619.68,194001.59999999998,164092.4,212133.34000000003,153336.69999999998
39,235880.96,238257.99999999997,279182.5199999998,404916.19999999995,3100390.8000000003,431034.64,210153.88,189059.79999999993,215223.08000000002,167632.12
40,242422.48,260325.8000000002,296672.18000000005,470432.83999999985,3205028.7199999997,454204.64,211284.94,194319.9199999999,223227.82,168748.62
41,253110.6,277597.0,303277.2,503196.80000000005,3288914.6000000006,460452.8,235681.80000000022,222418.6,225828.00000000006,182689.19999999995
