index,146_1_www.netflix.com,146_2_www.netflix.com,146_3_www.netflix.com,146_4_www.netflix.com,146_5_www.netflix.com,146_6_www.netflix.com,146_7_www.netflix.com,146_8_www.netflix.com,146_9_www.netflix.com,146_10_www.netflix.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,1484.46,1439.5,1456.8799999999999,1486.28,1339.96,1418.96,1390.52,1428.44,1369.98,1325.74
3,3626.0400000000004,3606.0,3582.2400000000002,3650.7200000000003,4079.72,3772.92,3952.92,3695.8799999999997,4009.08,4110.68
4,4735.26,5155.5,5033.88,4795.679999999999,4123.16,4990.28,5508.96,5087.92,5216.44,4094.54
5,6827.840000000005,6152.0,6111.5199999999995,7090.120000000001,4296.719999999999,8470.96,5413.319999999999,6258.719999999999,4277.639999999999,4566.68
6,7878.299999999997,8468.5,8080.599999999999,7905.400000000001,8236.800000000001,8254.2,8445.2,8381.2,8450.6,6001.7
7,14662.28,14885.0,14579.64,14752.04,8266.039999999999,13796.959999999995,8144.600000000002,13507.440000000006,8098.920000000001,8198.44
8,36691.700000000004,29925.5,38217.88,37548.92,12564.119999999999,25925.399999999994,14613.760000000002,23769.600000000046,14568.68,10292.399999999989
9,51478.64,42980.0,39801.24,49830.52,13993.16,60231.08,44941.11999999999,60386.159999999996,26484.000000000004,14229.280000000002
10,51285.66,43123.5,40805.92,55559.96,68755.96000000006,57563.880000000005,60511.96,60061.68,58566.06,43857.8
11,55731.6,47304.0,45286.2,59561.2,82199.8,70559.40000000002,76412.8,63690.6,59426.60000000005,53899.8
12,69921.26,62458.5,50437.560000000005,63048.95999999999,81516.24,77876.56,77961.12,65930.96,76889.78,51481.34
13,87128.48,67726.0,61125.04,63283.840000000004,86435.07999999999,81155.16,80116.24,79962.68000000001,78832.96,66111.48
14,93364.16,79023.5,60945.44,70921.40000000001,86244.48,86953.56,88198.04,78476.48,87943.46,68214.62
15,114287.16000000002,93106.0,76074.28,88947.92,85026.96,86039.76,88861.39999999998,85621.80000000002,85114.60000000002,70407.36
16,131858.60000000003,94713.5,97733.0,94184.0,87098.00000000001,93920.6,96306.2,97832.40000000001,95301.5,88064.9
17,174195.04000000004,96866.0,96472.24,96796.88,93572.08,97250.32,95791.6,98556.36,93538.31999999999,85739.19999999998
18,207340.75999999998,111172.0,112271.40000000001,125468.96,95561.68000000001,96488.68,137556.31999999995,98162.24,116864.34000000001,93822.7
19,240350.28000000003,131523.0,143812.32000000004,158905.12,124124.80000000003,126866.24,162702.80000000002,144491.24000000017,148173.71999999997,95891.96
20,263717.98,180042.0,182814.76,204798.6800000001,171043.2,125436.44,198006.24,175776.80000000002,202319.08000000002,100658.47999999982
21,270698.6,239200.0,255564.2,255657.99999999994,224553.60000000006,133531.60000000003,257766.59999999995,228421.8000000001,244123.0000000001,159229.8
22,295988.48000000004,268238.0,279315.52,294967.16,270104.5199999999,137818.16,299416.95999999985,256220.12000000002,281969.22000000003,193924.44
