index,32_1_www.spiegel.de,32_2_www.spiegel.de,32_3_www.spiegel.de,32_4_www.spiegel.de,32_5_www.spiegel.de,32_6_www.spiegel.de,32_7_www.spiegel.de,32_8_www.spiegel.de,32_9_www.spiegel.de,32_10_www.spiegel.de
1,-48.0,67.0,0.0,67.0,67.0,0.0,67.0,67.0,67.0,67.0
2,45535.24,16209.24,30242.56,24894.58,47684.48,2063.86,34859.76,18862.68,8711.54,7124.399999999995
3,309069.1600000002,138204.32,286005.39999999997,301561.6,323718.16,52232.68,235826.56,69044.96,69577.24,99764.96
4,561060.04,457068.04,478391.12,487313.78,544099.2799999999,413384.1600000001,491154.64,457744.46,371235.7600000001,308246.19999999995
5,658718.28,565998.88,583231.32,654887.68,652651.56,558869.76,609223.04,568338.92,509885.72,468476.6
6,674698.2,654847.1,672510.2,669720.6,667777.3,658075.3,679695.0,663529.9,591909.6000000001,575919.2000000001
7,751810.24,666777.04,747171.28,749024.7999999999,738846.2000000001,670701.8,747892.48,675105.04,659818.68,663548.28
8,807580.2,711009.96,799525.7599999999,827733.08,796453.2999999999,741420.58,804684.2799999998,741541.38,673053.48,673262.88
9,879988.44,753758.76,830909.36,908060.5599999999,852360.08,810165.72,839374.84,791481.84,734271.16,692192.36
10,917362.6,840673.06,909786.72,920344.34,913539.52,869393.08,924776.3600000001,817732.78,763241.6,758534.88
11,953626.7999999999,862114.2000000001,940843.0,946125.8,994279.6,931558.6,974019.4,868481.2,791697.8,813256.1999999989
12,1014509.92,908397.0800000002,1014415.6399999988,1024101.26,1014994.34,981344.8,1027207.12,913132.74,879228.44,861079.24
13,1043092.84,983257.1199999998,1034012.48,1054366.16,1039722.48,1017244.52,1070996.2,963062.32,921367.84,888819.92
14,1091434.1199999999,1001467.5,1063287.72,1106317.38,1066743.3,1083554.6199999999,1114993.92,1009598.4199999999,961414.2,933028.12
15,1158966.28,1020441.68,1113110.16,1203598.5599999996,1124015.04,1127289.24,1157973.5599999996,1024304.76,1010157.44,998961.88
16,1246200.2,1040369.9,1143664.8,1223786.6,1148920.7,1142325.6000000003,1178602.5999999999,1048803.2,1035790.9,1009182.4
17,1384214.6000000003,1067898.16,1173744.84,1246040.96,1257629.24,1161121.0,1261558.1199999999,1070115.08,1058233.52,1042270.56
18,1410572.56,1102189.68,1284124.28,1292884.18,1390210.42,1287787.54,1384160.64,1123969.04,1091823.1199999999,1077263.04
19,1425397.32,1134495.72,1353083.56,1360943.68,1442570.64,1293443.9200000002,1474187.76,1131878.5600000003,1112029.16,1090266.3599999999
20,1489500.08,1160122.04,1440091.44,1464270.36,1448602.84,1435938.1600000001,1485126.44,1186395.04,1120650.92,1115985.72
21,1530540.8,1211725.4,1491001.8,1549693.8,1485063.2,1459882.5999999999,1503399.2,1280743.0,1145283.0,1139429.6
22,1631390.8800000001,1284242.5200000007,1498346.8,1578823.5,1508251.82,1475411.64,1522046.04,1388207.98,1172388.32,1169241.32
23,1662022.36,1359030.48,1520931.24,1593377.32,1516380.08,1595593.64,1539955.48,1425654.96,1217163.72,1195003.24
24,1680846.64,1433991.2799999998,1595700.7999999998,1656674.4000000001,1558479.3999999997,1630272.32,1614113.48,1439594.2000000004,1334636.5599999998,1335641.64
25,1717450.12,1471566.08,1644566.44,1689035.56,1653646.28,1653746.84,1686717.96,1465058.52,1414621.68,1348099.52
26,1724129.0,1485611.0,1674189.0,1766381.5,1664231.0,1681394.0,1704899.0,1483122.0,1471407.5,1358537.0
27,1805275.3599999999,1492782.84,1703573.4000000001,1787139.56,1699991.48,1740062.28,1752111.8400000005,1496234.8800000001,1479608.64,1369550.92
28,1825374.7600000002,1513182.58,1718245.76,1801397.8399999999,1717680.38,1748344.8800000006,1811243.12,1553979.8599999999,1489359.98,1451305.76
29,1843493.0,1522674.88,1736065.8399999996,1850865.24,1800154.08,1810269.7999999998,1842885.6400000001,1594328.96,1501799.0,1476807.1600000001
30,1899923.72,1594803.4399999997,1776242.04,1888689.6,1838268.54,1873601.26,1883971.04,1664914.08,1515754.22,1490064.68
31,1924813.4,1645147.2,1794680.2,1904959.6,1855568.0,1886433.4,1912182.8,1681606.4,1523412.4,1648438.9999999998
32,1967308.9999999998,1685515.76,1898352.6400000001,1917741.26,1860165.8800000001,1895311.94,1918851.04,1693918.58,1639167.56,1679498.6800000002
33,2019628.76,1700043.48,1926425.08,1942762.08,1892685.08,1903753.5599999998,1938490.36,1705328.16,1647483.24,1688855.8800000001
34,2031735.56,1722757.52,1935220.08,1981075.58,1914691.88,1962319.28,1996996.44,1716248.34,1679908.8,1702113.04
35,2061563.4000000006,1740790.48,1951942.2000000002,2052170.88,1953740.16,2018270.96,2119434.84,1727681.6,1689798.08,1714241.0399999993
36,2096938.5999999999,1783305.8000000003,2044876.8,2180357.9,1991949.9,2054586.8,2130300.8,1754322.5999999999,1730329.5999999999,1781285.4
37,2115212.52,1782598.44,2130238.1599999997,2211742.2399999998,2010315.84,2138362.0,2142938.8000000003,1768590.96,1743747.64,1791742.5999999994
38,2185259.4000000013,1789272.98,2190579.4799999977,2241027.5999999996,2044683.4600000002,2148490.5999999996,2197757.72,1794422.58,1752662.84,1800066.48
39,2269612.2,1797112.48,2214269.72,2255820.04,2116380.5999999996,2190967.4,2212646.52,1823585.0799999998,1751494.84,1819723.52
40,2291507.08,1804786.46,2232236.16,2274653.84,2130528.46,2206805.8200000003,2254022.6,1841267.8800000006,1762684.68,1840132.8
41,2310494.1999999997,1836348.0,2275879.5999999996,2285873.0,2141497.4,2239750.000000001,2261886.4,1850949.0000000005,1803396.800000004,1855833.2
42,2322201.6,1872649.02,2302343.08,2315308.94,2198254.64,2254619.96,2274690.8,1912851.28,1850028.74,1967729.4000000001
43,2339710.16,1936884.32,2308629.28,2337017.64,2233451.88,2280049.28,2311352.52,1984071.36,1883680.04,2088528.64
44,2361651.48,1962911.98,2324900.36,2369155.72,2246252.64,2304185.82,2325454.8000000003,2010282.4,1915214.68,2116060.16
45,2469618.08,2026125.48,2341438.72,2383640.4,2287751.8000000003,2335898.72,2424422.64,2021435.4800000004,1927503.8,2120395.5999999996
46,2482064.4,2058456.3,2361040.6,2467184.0,2379920.6999999997,2421733.4,2430914.2,2032445.0999999999,1947005.3,2128855.4
47,2501426.4,2069891.32,2446437.1199999973,2496437.48,2524023.08,2453292.36,2448902.84,2042508.48,1952313.72,2143838.2
48,2506476.5599999996,2116571.4599999995,2509576.6,2537196.12,2544122.56,2501371.94,2493290.36,2053649.64,1962660.38,2327485.08
49,2548068.36,2126637.88,2515813.0,2699483.4,2630365.28,2547679.28,2508324.92,2068184.4,2027243.8,2337975.2
50,2640755.9200000027,2140315.06,2564586.84,2707380.76,2685523.5,2576288.66,2643634.2799999993,2145106.88,2100838.32,2346367.079999999
