index,302_1_www.history.de,302_2_www.history.de,302_3_www.history.de,302_4_www.history.de,302_5_www.history.de,302_6_www.history.de,302_7_www.history.de,302_8_www.history.de,302_9_www.history.de,302_10_www.history.de
1,-442.0,-113.0,-442.0,-113.0,67.0,-442.0,67.0,67.0,-442.0,-442.0
2,82747.4,27584.0,48768.52,34537.840000000004,33942.799999999996,30404.74,32903.3,34099.0,33529.640000000014,30625.279999999995
3,550659.88,210653.0,460432.87999999983,296423.9199999999,138251.96,239211.83999999976,327952.20000000007,358126.0,380043.8,373904.6
4,725388.28,590605.0,717170.2,650854.64,550125.1799999999,562341.96,515318.5,526774.5,582807.76,520495.12
5,942345.36,694705.0,840927.6,786339.6799999998,600155.4,674904.0,638404.8,669767.0,691781.72,742926.3999999999
6,1191879.0,976672.0,1125027.0,1176393.3999999997,741896.2,807845.1,833876.0,916721.5,925173.7000000001,1005007.6
7,1653442.56,1276434.0,1757017.5599999996,1684427.8,938610.5599999999,1059437.2,1088245.0000000005,1191569.0,1193895.76,1369219.28
8,2073427.4,1675266.0,2401515.88,2284334.0,1101061.6799999997,1294966.54,1356077.5999999999,1477971.0,1384635.58,1654612.88
9,2425512.5199999996,2208215.0,2712393.76,2592618.96,1356886.8,1669216.2,1686333.4,1884952.0,1679361.2,1941583.84
10,2773619.4,2471796.0,3278871.28,3189272.48,1713159.0200000003,2001860.5999999999,1992840.4000000001,2278649.0,1982420.1,2273238.2
11,3071422.399999999,2953665.0,3716622.9999999995,3754210.8,2045926.0,2386179.4,2398836.0,2708071.0,2314831.0,2665186.0
12,3370976.72,3445325.0,4214397.96,4058563.6399999997,2359290.8,2710564.48,2707396.0,3066957.5,2628338.58,3007397.8
13,3682074.52,3766394.0,4384676.999999999,4307783.92,2675350.6,3144027.32,3080208.0,3610168.0,3005182.08,3404878.6
14,4061558.48,4152726.0,4593426.36,4457359.12,3029564.3200000003,3465552.4799999995,3388529.3,3928065.0,3339224.0,3760457.96
