index,367_1_www.deutschlandradio.de,367_2_www.deutschlandradio.de,367_3_www.deutschlandradio.de,367_4_www.deutschlandradio.de,367_5_www.deutschlandradio.de,367_6_www.deutschlandradio.de,367_7_www.deutschlandradio.de,367_8_www.deutschlandradio.de,367_9_www.deutschlandradio.de,367_10_www.deutschlandradio.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-114.0
2,1626.68,1096.1599999999996,280.39999999999975,1141.4799999999996,1458.7199999999998,1640.0,1186.7999999999995,642.96,552.3199999999999,-545.96
3,1511.76,1441.08,1384.2,1444.24,1466.36,1479.0,1447.3999999999999,1409.48,1403.16,1440.24
4,4074.56,3386.5999999999995,1307.999999999999,3447.7999999999997,3876.2,4121.0,3508.9999999999986,2438.5999999999995,2190.2000000000007,4087.76
5,3973.919999999999,3603.84,3970.2,3599.52,3569.28,3552.0,3595.2,3849.96,3901.32,4158.64
6,5637.1,4895.199999999997,4138.0,4924.199999999999,5207.6,5524.0,5726.0,4126.6,4106.2,5189.299999999999
7,4669.92,5038.44,5429.6,4977.32,4728.360000000001,4837.0,5115.4000000000015,5184.64,5597.839999999999,4368.24
8,6505.22,4333.76,4843.4,4207.280000000001,4916.0399999999945,6477.0,5772.599999999995,6607.720000000004,4793.48,6300.34
9,8623.76,6019.32,4594.199999999998,5958.96,5965.44,6308.0,8649.6,6377.639999999999,6641.16,8379.960000000001
10,8629.42,8374.84,6127.4,8284.94,7977.12,8326.0,8464.8,8600.04,8645.72,7546.42
11,7773.799999999999,8322.6,8430.0,8267.8,8187.199999999999,8048.0,8789.0,8402.4,8438.800000000001,8352.00000000001
12,8186.299999999996,7415.5599999999995,8371.4,7369.179999999999,7393.600000000001,7206.0,7928.799999999999,7990.759999999998,8283.92,17319.6
13,17486.2,6772.399999999995,7546.800000000001,7196.199999999999,10641.199999999997,14106.0,10174.999999999989,7201.12,7835.04,16915.12
14,17179.760000000002,16877.399999999987,7027.000000000003,17189.8,16962.2,17143.0,17501.0,11755.400000000003,7889.599999999997,27322.32
15,27788.44,17105.36,12714.000000000005,16917.64,16511.320000000003,27497.0,17267.800000000003,13622.759999999998,17564.6,36124.92000000002
16,26397.600000000002,16935.2,17181.0,16851.9,18462.999999999993,27512.0,27797.0,17184.8,17010.2,73704.40000000004
17,44588.43999999996,27112.76,16918.600000000002,27039.24,26355.64,28429.0,26413.4,27665.52,24876.84,114614.32000000002
18,62448.36000000004,26347.040000000005,17018.4,26188.099999999988,29182.800000000003,53523.0,41690.999999999956,26463.84,27704.92,150339.00000000003
19,107252.79999999997,29419.599999999984,27547.4,46458.519999999924,51647.52000000001,78028.0,73544.99999999994,55405.43999999996,27279.199999999997,192645.2400000001
20,153035.5199999998,63365.68,26262.8,98757.95999999989,94301.88000000006,96448.0,109228.20000000004,96240.84000000001,49281.43999999996,233692.3200000001
21,175175.19999999992,90722.19999999995,42582.0,123912.19999999992,114080.00000000009,129260.0,150564.0,141145.40000000005,73325.00000000004,273379.0000000001
22,212964.68000000002,128435.79999999992,63326.79999999999,160987.18,141762.4,157138.0,182424.59999999995,191091.24000000005,97841.0,296873.24000000005
23,254096.15999999997,146893.31999999998,93566.79999999996,183342.87999999998,178521.91999999998,181136.0,221228.59999999998,232355.92000000013,140045.63999999996,327891.2400000001
24,304788.8399999998,173322.59999999998,121583.20000000001,250457.2799999999,221612.95999999993,215969.0,261679.99999999994,292719.2799999999,168955.19999999998,385515.0000000001
25,356942.9599999999,223149.63999999998,156694.0,292515.56,284652.32,254573.0,305800.5999999998,335306.63999999996,220586.16000000012,430163.0
26,402096.0,257717.0,191134.0,323362.0,319313.0,298594.0,342236.0,377306.0,268947.0,448792.5
27,435467.32,297939.5599999998,241829.99999999988,366182.68,361334.08,349127.0,364901.0,404193.36000000004,300589.92,477187.68
28,450124.19999999995,333092.0399999999,281974.79999999993,430753.9599999998,383288.8,398345.0,420333.5999999999,448784.44,336293.2400000001,500594.98000000004
29,458776.8,373578.4,324824.4,462065.0399999998,444618.75999999983,436033.0,440962.1999999999,461812.08000000013,369514.32,518908.60000000003
30,467429.4,410242.51999999996,369618.19999999995,496691.62,461028.03999999986,448562.0,453849.19999999984,497868.36,420479.48,535660.16
31,480904.0,443476.19999999995,390321.0,497214.2,497192.6,458191.0,497873.0,505503.2,448881.2,537580.6
32,499182.83999999997,465336.11999999994,439365.39999999985,498954.22,504386.8,496732.0,499059.8,520682.36,469181.7200000001,540756.98
33,505385.32,496972.32,449765.0,498671.56,511186.4,497399.0,499328.4,535933.36,500430.04,570612.0800000001
34,507216.44,499091.68,497415.8,502309.08,535616.52,499417.0,501683.6,554868.16,505220.24,627750.6400000001
35,507159.32,505410.76,504846.8,502562.56,537359.28,499196.0,502380.2,588513.2400000001,511054.56000000006,640295.4
36,510391.6,516241.79999999993,514978.0,504988.6,537245.2,498566.0,505624.0,637617.8,533802.8,642745.8
37,510783.88,535185.24,535496.2,513128.83999999997,540591.68,506500.0,512556.6,637751.5599999999,543353.92,645947.5599999999
38,514204.1,535961.76,546105.6,541495.0199999998,540712.88,533832.0,522728.79999999993,639400.88,569754.96,647551.36
39,528923.32,562322.9199999999,569363.0,543990.4,543536.44,536682.0,540441.2000000001,638957.96,586981.72,647210.04
40,543602.58,585367.8399999997,614256.5999999999,584887.5199999998,545593.24,566809.0,543759.0,640331.4400000001,611958.76,649411.7200000001
41,563636.8,624050.3999999997,637260.0,630485.5999999999,572215.4000000001,603993.0,578227.0,640495.6,638175.8,651142.0
