index,220_1_moodle.org,220_2_moodle.org,220_3_moodle.org,220_4_moodle.org,220_5_moodle.org,220_6_moodle.org,220_7_moodle.org,220_8_moodle.org,220_9_moodle.org,220_10_moodle.org
1,-113.0,-442.0,-113.0,110.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,559.319999999999,1628.16,-565.5200000000001,-599.44,1617.8,1616.32,1623.72,1531.7,1580.8,1431.6000000000001
3,1555.4400000000005,1508.1200000000001,1463.88,1462.36,1533.6,1537.24,1519.04,1610.5999999999985,1246.6000000000001,3670.2
4,3754.2400000000002,4079.72,4078.12,4051.64,4043.6,4038.44,4064.24,3583.32,3798.6000000000004,4883.8
5,5473.12,3946.88,4121.68,4170.04,4127.4,4123.16,4067.6799999999994,5578.84,5290.8,6010.799999999999
6,4507.4,5026.599999999999,5260.7,5159.2,5063.5,5334.2,5378.700000000001,7140.2,4273.0,8201.0
7,8405.48,4427.04,4684.560000000009,4296.360000000001,4345.2,4662.08,4475.68,6677.240000000002,8462.800000000001,11852.800000000001
8,8382.56,6023.4800000000005,8633.58,6191.76,5955.9,6271.96,8653.04,7698.8600000000015,8168.799999999999,11821.000000000002
9,9916.199999999993,8300.44,8558.52,8308.44,8207.2,8475.88,8493.76,9383.48,7824.4,28848.20000000003
10,12047.68,8148.840000000001,9203.800000000005,8042.600000000002,7942.700000000003,8150.6799999999985,8496.18,11517.539999999999,11828.4,36568.2
11,12096.6,9643.6,12256.4,12081.8,11473.0,11836.0,9994.99999999999,13104.4,11890.0,37936.0
12,22127.399999999998,11357.079999999998,12000.0,11603.999999999998,11875.8,12174.52,11592.860000000002,12374.18,11954.4,65611.4000000001
13,37171.76,11985.88,17099.400000000016,20645.8,11737.999999999996,12174.000000000002,12100.08,18840.27999999998,21310.799999999992,122418.60000000006
14,36408.840000000004,21126.32,24359.12000000008,37421.88,19974.799999999992,20881.64,16534.199999999997,20011.48,37179.8,174363.6
15,38257.12,38114.96,37377.96,36556.520000000004,37133.399999999994,36093.60000000001,21412.599999999995,20048.999999999996,36418.2,256132.8000000001
16,55374.39999999997,37428.2,36734.9,39193.799999999996,37014.5,37330.200000000004,38381.7,23353.399999999976,38152.0,311675.0
17,93148.91999999988,36766.04,38612.04,39393.28,36337.8,36586.08,37662.36,40111.07999999997,39009.2,318411.2
18,131234.8,38559.16,41979.900000000016,76246.08,38150.9,38397.32,37025.16,45169.62,74690.79999999997,321105.8
19,169716.15999999977,39616.719999999994,77931.8,136495.36000000004,38502.59999999999,39236.44000000001,38779.880000000005,44420.68,109419.2,324367.8
20,224383.2799999999,83209.64,112173.94,167224.76000000004,66370.20000000001,83710.04000000011,42261.79999999991,46441.14,144517.2,326915.39999999997
21,288233.39999999985,100612.00000000001,160368.80000000002,182974.6,80115.0,116489.8,86487.99999999997,54119.599999999984,176863.0,330108.0
22,318185.64,122672.15999999999,198389.36000000004,183006.96,111886.79999999996,150934.6,129394.71999999984,84478.79999999999,200837.0,333611.60000000003
23,319674.08,162099.12000000017,245619.80000000002,233264.36,140286.6,180516.44,160925.07999999993,135069.87999999998,267578.6,349600.0
24,321159.64,187832.4,280805.16000000003,285060.95999999996,174891.99999999997,196801.76,174875.8599999998,154016.31999999998,272580.79999999993,427671.2
25,323772.39999999997,219619.76,312054.96,319657.56,198151.1999999998,240126.4000000001,221916.84,190400.4,304329.4,443652.4
26,324762.0,268440.0,312031.0,321251.0,260622.5,279498.0,252288.0,191073.5,304122.0,480288.0
27,331131.84,286170.76,319808.52,320763.12,261309.6,285571.44,280178.4,191902.36,320307.2,540622.4000000001
28,330107.63999999996,299379.04000000004,321444.98,324891.96,279870.5999999999,296413.84000000026,281557.48,193568.62,320621.4,617514.4
29,332141.68,320078.72,321132.60000000003,328615.24,319622.6,319894.44,312937.72000000003,204337.63999999993,324848.6,672581.2000000003
30,347287.12,320871.24,325120.86,330624.88,320546.19999999995,321511.28,313303.6,229036.92000000004,326129.99999999994,736362.8
31,349487.0,321514.2,328903.2,331288.6,321069.0,321429.6,315385.4,285245.39999999997,330763.0,737314.0
32,350663.32,324836.8,330879.56,332227.32,324419.2,324671.88,322026.32,303771.8,331565.8,767925.2
33,354188.6,325092.24,332416.56,347146.16,324571.2,324798.72,321993.64,332823.27999999997,331879.8,769470.4
34,406576.95999999996,329550.2,333921.7200000001,349093.19999999995,330855.6,330836.76,325343.64,333866.39999999997,344361.2,776613.6000000001
35,438544.52,331080.04,347383.36,352984.76,330089.8,330439.16,325506.96,339070.92,346977.0,790779.0
36,478366.8,331598.6,348421.50000000006,369309.7999999999,333127.0,331012.2,329689.1,338020.2,349566.0,792230.0
37,521595.59999999957,332315.04,354176.56,418935.88000000006,342022.8,342393.52,331734.24,340366.16,351997.99999999994,792215.7999999999
38,589158.4399999997,342143.16000000003,396522.7800000002,429456.2799999999,347055.9,344996.36,331037.24,351985.63999999996,405741.19999999995,793395.4
39,651287.32,347464.60000000003,443874.0,462102.56,346991.0,346906.44,332764.44,354754.88,430443.4,795822.0
