index,119_1_www.skype.com,119_2_www.skype.com,119_3_www.skype.com,119_4_www.skype.com,119_5_www.skype.com,119_6_www.skype.com,119_7_www.skype.com,119_8_www.skype.com,119_9_www.skype.com,119_10_www.skype.com
1,67.0,0.0,67.0,0.0,-442.0,0.0,-48.0,67.0,67.0,-442.0
2,939.2399999999993,395.96,338.76,574.52,1395.26,421.44,268.21999999999997,405.06,235.95999999999992,1363.66
3,1278.72,220.91999999999825,921.680000000001,1806.04,272.8399999999997,414.31999999999994,662.16,2051.28,1092.9199999999998,578.4399999999999
4,2426.7199999999957,1778.32,1617.78,5041.040000000003,4541.32,1990.64,2192.3000000000006,976.8599999999999,4950.48,4571.9800000000005
5,4675.56,2936.1600000000003,2862.360000000002,7474.639999999999,3678.359999999999,3156.36,1309.7600000000002,4954.56,7632.48,4328.200000000001
6,4130.2,4925.2,5010.2,13680.200000000019,12357.3,4992.8,2954.9,4591.7,14127.199999999999,6579.7
7,7024.799999999992,7535.12,5367.799999999996,20260.600000000002,11300.2,10842.08,5182.32,6388.84,19851.79999999999,6702.800000000004
8,9903.08,7211.240000000001,6633.52,30910.22,14899.300000000007,10609.08,7279.260000000001,8638.979999999998,40891.44,18216.040000000005
9,17891.24,12192.119999999988,10054.400000000003,40758.8,29914.400000000005,13288.399999999998,9018.76,10236.48,44307.880000000005,19278.6
10,17739.92,16199.759999999997,18158.540000000015,55492.78,34908.200000000004,19056.52,18269.040000000005,17279.85999999999,49567.759999999944,28408.16
11,20504.999999999996,31808.999999999993,19596.0,72431.60000000005,35621.0,20188.800000000003,19890.8,20957.000000000004,131513.19999999998,36320.2
12,37661.12,37990.19999999999,26347.84,91941.04,39995.8,28035.799999999996,22750.719999999998,45152.620000000024,168882.8,46675.91999999999
13,39306.59999999999,39567.8,40024.2,160849.04,44924.28,30655.2,36702.96,61991.159999999996,243726.63999999996,48975.68000000001
14,40674.68,40616.04,49150.92000000001,249963.1600000001,65028.54,34527.4,38253.14,61876.6,252066.72,49759.31999999999
15,41909.359999999986,44353.43999999997,49521.44,253276.92,93163.04000000005,37401.04,40335.8,96305.52000000005,260018.2,54047.56
16,44064.6,61712.59999999994,51644.5,260674.69999999998,111778.6,50929.200000000004,41938.7,131345.20000000007,265315.8,88334.5999999999
17,65033.68,67071.08,64253.80000000001,267716.6,147098.1200000001,65633.23999999999,61812.96,136640.96,270314.28,158119.84
18,66482.24,122086.16,66019.34,280616.26,173364.6,78989.68000000002,82629.06,171422.38,277706.6,218465.48000000004
19,99634.11999999997,156255.12,98287.92000000011,290801.8,221098.56,143101.2,97473.08,206657.88,292546.16000000003,256028.04
20,158965.24,197219.51999999996,147262.84,309949.24,242797.48000000004,171639.2,141464.88000000006,239941.72,309971.19999999995,257647.54
21,207469.79999999996,257091.4,188865.6000000001,311512.4,256255.4,224122.40000000002,164769.0,259430.2,338934.39999999997,263300.6
22,240791.63999999996,258493.04,246909.1600000001,321093.4,257928.13999999998,251229.03999999998,218384.6399999999,260026.40000000002,386533.2799999998,264545.2
23,258156.08,264097.2,256875.48,331934.48,265023.8,252723.92,256565.76,263614.16000000003,411121.72,263879.68
24,257655.92,266149.08,258378.22,338673.7200000001,271249.36,254334.16,258289.14,271188.36,473884.56,277571.84
25,263105.76,269084.8,263775.6,421323.72000000003,280438.2,259562.68,259651.32,272987.44,479173.96,278238.88
26,265377.0,279135.0,264267.5,426464.0,283121.5,260832.0,265229.5,278691.0,491779.0,280750.0
27,271060.39999999997,278828.6,270774.4,460730.6400000001,288047.8,264674.8,266218.0,280747.16,525594.7199999999,285350.8
28,270943.04,280871.1199999999,277177.02,507795.8600000002,303657.60000000003,273213.76,273272.68,281369.62,558431.28,299284.60000000003
29,272467.68,293474.04,277306.28,516853.76,314772.3600000003,273190.36,281760.92,288724.96,562256.4,323733.56
30,278677.68,313950.31999999995,278715.34,519553.6,325532.74,274992.8,283970.22,287833.80000000005,570562.96,327169.34
31,281609.6,325791.99999999994,281644.20000000007,516900.6,328191.4000000001,285509.2,283524.6,311586.4,573502.0,329513.6
32,287467.4,365585.51999999984,291760.88,520924.07999999996,357221.84000000026,287331.8,293874.04,324750.2,570733.96,348597.32
33,288648.63999999996,420075.5599999999,297335.00000000006,525724.48,398159.8,309199.43999999994,294928.56,340141.12,586135.12,376109.2
34,295518.43999999994,422369.92,321644.56000000006,529179.84,403000.52,322165.52,294147.06,346230.08,586250.92,412546.12
35,307227.68,441263.92,334803.6,522309.52,423698.68,337606.92,297133.2,402355.76,581702.52,422072.76
36,316663.6,480550.4,391398.10000000003,558398.2000000001,440449.2,347865.6,313654.9,452552.5999999999,587096.2,425497.2
37,321463.36,482217.64,393818.36,602867.28,450139.84,403673.36000000004,333458.56,477246.32,594480.7999999999,444580.92
38,336193.6,492661.12,423621.42,676419.44,471616.0400000001,422802.36,337008.78,478920.18,642627.4399999998,452239.44
39,377577.19999999995,509499.88,423275.92,701733.3200000001,514186.6800000001,425469.44,341446.64,479923.44000000006,731137.2799999999,470517.36000000004
40,394173.04,547617.0399999996,424683.94,743147.06,515330.06,427225.04,355873.3999999999,489120.26,746148.88,509088.46
41,424872.0,567497.8,431722.80000000005,743743.6,517290.8,448177.00000000006,404386.20000000007,490684.60000000003,746563.8,514620.0
42,427723.8,567497.36,456483.48,743993.12,518583.66,463758.68,431443.54000000004,498663.32,746817.72,517057.69999999995
43,441632.83999999997,569447.6,510595.28,745695.56,515516.52,492802.91999999987,432870.56,508863.52,747530.32,521503.68
44,449671.72000000003,566192.4400000001,514538.76000000007,750109.8,516784.18,512967.88,445802.08,539294.84,750134.3999999999,518603.88
45,464398.39999999997,567456.56,516658.2,760771.88,528111.4,518746.6,459512.44,562273.7200000001,756426.2,514964.68
46,491592.7999999998,582129.2,520645.19999999995,767171.6,525321.8,520066.0,469339.99999999994,575114.1,769212.6,516414.1
47,506418.0,580839.68,515525.27999999997,760894.5599999999,524558.32,521281.2,512039.75999999995,575868.8400000001,775223.2,517884.36
48,511074.88,583285.6,516650.27999999997,762035.26,526027.82,517909.68000000005,519917.80000000005,578901.6,777428.4,532340.4
49,516520.8,574989.16,516114.36,765981.04,527770.84,523962.72,523836.12,574082.72,782574.8,523962.56
50,517193.1999999999,578892.76,519527.63999999996,770363.4,529196.74,531207.9600000001,529707.34,575737.66,789500.28,525719.54
