index,143_1_www.alexa.com,143_2_www.alexa.com,143_3_www.alexa.com,143_4_www.alexa.com,143_5_www.alexa.com,143_6_www.alexa.com,143_7_www.alexa.com,143_8_www.alexa.com,143_9_www.alexa.com,143_10_www.alexa.com
1,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0
2,1426.2799999999997,4011.24,3991.8,3141.7999999999993,3427.4000000000005,1625.26,4600.84,3957.24,2355.800000000001,1113.7999999999981
3,5519.44,6912.719999999999,4177.4,5170.92,5063.36,4321.36,7475.16,5357.160000000002,5195.96,5580.12
4,7379.0399999999945,8988.619999999999,7870.199999999999,10359.68,8402.96,6469.32,13570.44,7747.200000000008,6150.68,6240.48
5,15431.400000000003,16288.88,19573.600000000002,9948.359999999991,19235.56,8119.16,16847.28,22255.080000000005,10607.200000000004,10744.639999999987
6,23586.8,26880.2,23794.0,16175.8,24870.2,18762.9,34513.79999999995,33863.6,52106.600000000006,14835.8
7,22453.84,60833.36000000002,39040.799999999996,26941.079999999998,26956.08,22751.800000000003,39225.88,34584.24,81345.32,18453.28
8,37845.44,61365.78,52889.8,100326.68000000002,45232.520000000026,35419.55999999999,62950.24,57100.759999999995,111235.52000000002,35545.6
9,57707.36,86456.52000000003,72204.4,133640.68,51424.52,38757.64,70036.64,122694.48000000001,127724.4,33212.240000000005
10,59058.439999999995,102506.42,96149.2,134030.36000000002,56900.08,40739.19999999999,115962.64000000001,149740.04,127956.04,43766.19999999997
11,129005.8,110957.4,137684.0,174646.39999999985,64225.000000000044,57227.39999999997,183075.99999999997,172391.20000000004,133945.2,49277.6
12,168833.92,131497.22,180952.0,191970.76,83257.7600000001,66848.84,218599.56,189948.63999999998,179379.68,53083.48
13,230382.55999999985,174323.80000000002,214263.2,196286.92,141206.04000000007,83579.48,265555.84,272516.04000000004,218651.72,108641.15999999997
14,286822.48,190590.28000000003,297886.00000000023,264609.88,189178.11999999997,104005.18,315905.39999999997,299464.76,220449.28,125413.95999999995
15,305020.24,238201.84000000003,346886.0,299081.96,256670.04000000004,148838.68,349750.32,308198.76,302238.8000000001,141503.88
16,347237.8,294922.4,353970.0,337381.39999999997,287808.4,213877.8,356936.2,350567.0,359060.4,169281.4
17,360154.64,350765.72000000003,358862.6,376080.16,341126.92000000004,280957.5199999999,443856.99999999994,357251.76,421152.84,253085.75999999992
18,409002.83999999997,380434.52,363494.0,437608.15999999986,349099.8,335066.46,509060.32,426167.76000000007,426947.72,271998.9999999998
19,468233.84000000026,396394.2,386288.4,447671.08,414693.8,350173.43999999994,569667.2,484334.08,434940.76,294435.55999999994
20,517566.2,449300.24,410340.99999999994,469268.8,440566.84,355857.94,570188.08,519581.4000000001,442246.64,329979.76
21,521902.2000000002,455740.00000000006,492307.0,496111.0,482011.0,390500.99999999994,613799.0,602743.6000000002,476420.2,351074.8
22,552908.0800000001,498442.9,518231.00000000006,506691.5599999997,538815.92,419073.64,681012.12,642081.76,524738.12,373470.84
23,581462.56,513947.24000000034,540553.8,545927.08,585352.4400000001,469448.63999999996,693687.8,653177.3200000001,556702.8400000001,412837.24
24,644752.44,578266.96,572146.0,565710.72,594141.12,511778.69999999995,719870.2,670757.24,588667.56,428713.44
25,677238.36,580845.0,635548.8,599360.2,618596.3200000001,526390.44,736362.12,710342.4400000001,631278.8000000002,453899.03999999986
26,678571.0,619097.0,688523.0,639618.0,628962.0,543087.0,762255.0,736898.0,686000.0,480919.9999999998
27,689039.8,707852.92,731831.7999999999,665596.9199999999,649807.36,587591.08,819111.96,752003.5200000001,696891.8,501853.16
28,736073.24,743770.12,766410.0,716839.36,671604.2399999999,629000.58,887863.7999999999,766560.68,709356.12,563277.08
29,756350.8,773677.24,832748.2,715706.68,698816.2000000001,648646.96,963643.8,834321.76,762082.4800000002,570651.72
30,773107.88,772090.14,870499.0,753487.24,726000.92,666948.1,1022562.84,855353.08,773281.24,587118.4
31,798045.8,817333.6000000001,963443.0,810683.2,754155.2,700638.2,1105569.4,910836.6000000001,773728.2,625729.2
32,809856.52,875549.6799999999,1032088.0000000001,850272.1599999999,766109.16,725698.58,1164061.32,989770.76,782010.3200000001,645663.72
33,836041.0,924386.48,1100438.6,870534.0799999998,788394.28,747983.84,1202463.88,1001852.7200000002,815944.1600000001,648685.16
34,885109.5600000003,976674.4000000001,1103348.4,924465.88,853644.8400000001,768265.32,1227241.24,1032629.6000000001,820790.28,658709.72
35,886905.04,1009653.48,1188146.0,995252.3599999999,906928.88,812062.6,1309743.08,1073255.2400000002,862973.88,686096.6799999996
36,925179.0000000001,1046142.8000000002,1267632.0,1051737.7999999996,962392.2,860233.1,1350995.4,1138167.0,895779.0000000002,747997.1999999998
37,990400.4400000001,1081332.1600000001,1326263.8,1112176.36,1017278.72,890162.1599999999,1420911.8,1214528.68,952127.9600000001,789589.8400000001
38,1031872.2799999999,1115474.9000000001,1405064.4000000001,1143810.0399999998,1063419.0000000002,962692.44,1423426.84,1269351.7200000002,1004677.48,801144.36
39,1065172.8,1217790.6,1421026.2,1143935.56,1106692.76,997624.2,1434436.84,1304392.28,1042477.0800000001,820165.2
40,1098252.56,1262963.64,1421873.4,1162453.84,1144563.28,1058477.7999999996,1436774.92,1356000.36,1105226.4000000001,875379.0
41,1162890.6,1304477.6,1431344.0,1229939.5999999999,1158435.0,1131346.9999999998,1443797.8,1396188.2000000004,1141574.4,915580.5999999994
