index,395_1_www.expedia.de,395_2_www.expedia.de,395_3_www.expedia.de,395_4_www.expedia.de,395_5_www.expedia.de,395_6_www.expedia.de,395_7_www.expedia.de,395_8_www.expedia.de,395_9_www.expedia.de,395_10_www.expedia.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,2562.8,1171.1399999999999,1408.2999999999997,1278.9400000000005,1149.5800000000004,1861.9999999999995,1203.48,1268.1599999999999,2024.6000000000008,3745.8999999999987
3,5134.36,4717.84,4116.8,5656.88,5653.84,5181.400000000001,5624.04,4318.600000000001,5248.44,4738.080000000001
4,6660.519999999998,6173.3,6435.400000000005,6620.12,6358.86,6097.2,6293.16,6545.68,6064.76,8042.86
5,10753.200000000003,7836.5599999999995,8644.2,8634.760000000002,8183.3200000000015,9544.999999999996,8180.5199999999995,8521.64,9232.400000000003,17429.12
6,17506.800000000003,17595.6,13904.5,17810.600000000002,17231.099999999995,18186.0,17708.2,17798.8,17671.8,31104.499999999996
7,57925.08,28748.599999999984,32394.400000000038,38287.679999999935,56514.27999999993,57694.200000000004,38438.6,50920.079999999994,55044.240000000005,53132.76
8,55529.82,56640.259999999995,58441.799999999996,57170.46,57098.22,55355.8,57893.32,56115.56,56513.48,57282.359999999986
9,56339.68,54508.44,56022.799999999996,55536.76,58029.24,59081.8,55976.56,54465.64,57047.16,62336.96
10,62642.14,57515.55999999999,56988.5,59301.36,61825.31999999999,65579.39999999998,59729.12,58401.16,61213.12000000002,66687.58
11,68969.4,61136.400000000016,68084.0,63129.6,65974.2,67252.0,68507.8,66960.4,65115.799999999996,66728.8
12,67712.74,66638.06,67614.5,67780.26,68473.78,65924.6,68116.92,66761.64,66706.48,77188.71999999996
13,74716.08,65814.68000000001,67662.6,69801.59999999998,68595.96,80302.79999999997,67204.56,65719.52,68413.16,87595.56000000001
14,81545.40000000001,69290.40000000001,67967.9,71208.67999999995,76404.79999999997,90657.79999999999,69206.8,74463.6,81842.16000000002,96253.64
15,97631.60000000018,81219.36,79268.59999999999,77051.88,88027.16,90385.40000000001,90249.96,80909.84,84791.48,103710.39999999998
16,124942.7,89634.6,89449.0,83347.59999999999,101070.8,114726.0,90932.2,87235.60000000002,91299.4,168570.49999999997
17,189605.48,89770.52,101443.2,117438.96,100460.16,123415.99999999999,90882.32,105308.12,119205.8,212581.95999999985
18,205657.82,112423.26,102087.7,151730.62,120525.19999999998,174770.99999999997,93481.32,124645.36000000002,147362.36,244904.4
19,205278.56,148926.0,110314.00000000007,167280.39999999994,129968.88,194095.99999999997,143921.48000000007,157624.60000000003,184684.88000000018,242314.6
