index,179_1_www.aboutads.info,179_2_www.aboutads.info,179_3_www.aboutads.info,179_4_www.aboutads.info,179_5_www.aboutads.info,179_6_www.aboutads.info,179_7_www.aboutads.info,179_8_www.aboutads.info,179_9_www.aboutads.info,179_10_www.aboutads.info
1,1210.0,1210.0,1210.0,-442.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0
2,2926.7000000000003,2601.12,2610.6,1395.26,2841.76,2871.4,2809.3,2647.6,2612.18,2809.3
3,4992.4,5005.240000000001,4928.2,3545.12,1997.48,5271.4,5368.68,5245.4800000000005,4915.36,5368.68
4,5890.199999999999,6375.16,6161.5999999999985,4360.5199999999995,3099.0799999999995,6830.2,6488.26,6427.84,6209.680000000001,5658.799999999999
5,9314.800000000001,7199.48,9271.4,7044.92,5355.799999999998,7802.400000000001,8107.8399999999965,7286.68,9348.72,5833.320000000001
6,9415.5,10095.6,9591.0,7128.1,8287.599999999999,9802.0,9478.699999999999,10098.4,10364.60000000001,9672.800000000001
7,11146.800000000001,22256.760000000002,23256.8,8479.96,10113.839999999998,20880.2,9780.32,10894.32,19695.640000000003,9693.04
8,23201.00000000002,20627.280000000002,21181.6,22739.059999999998,20747.68,19167.8,10242.68,14137.56,18018.920000000002,23991.56
9,29009.8,24371.24,22344.8,21183.36,19093.56,19768.799999999992,21056.87999999999,26363.039999999997,22588.76,22373.64
10,27278.3,27806.52,25561.199999999997,20014.28,17990.120000000003,21425.6,22630.64,29266.359999999997,24409.62,23874.64
11,35497.0,29299.4,27391.0,23541.000000000007,23348.599999999988,25630.0,22574.399999999998,27915.8,28399.6,29625.6
12,39953.800000000025,36991.44,36709.6,28440.44000000001,25789.32,37039.6,22818.55999999999,31491.720000000005,36946.38,32753.920000000002
13,42777.4,46019.63999999997,38318.200000000004,29648.12,27192.48,37204.799999999996,24929.64,34542.28,55319.39999999999,34235.52
14,44129.2,64715.35999999994,54090.8,32584.019999999993,35711.55999999997,39806.2,26731.62,37058.36,67262.84,36177.44
15,53568.00000000004,79220.96,60356.60000000002,37715.159999999996,38268.24,49139.8,31670.799999999977,44522.56,86813.51999999999,37982.36
16,70398.50000000006,101234.8,69395.0,47852.00000000004,44033.199999999924,77419.0,36945.200000000004,45689.2,106070.29999999999,60282.39999999994
17,93819.60000000003,104066.36,79745.40000000001,61270.20000000001,74284.71999999999,95437.6,47284.47999999999,59604.95999999999,128698.28,80561.19999999998
18,102809.50000000003,112536.11999999994,92679.60000000003,81499.76000000004,92060.92,125229.79999999999,61393.799999999974,80512.24000000003,131385.06,98451.0
19,115805.6,116807.96,102075.20000000004,97859.92,93133.72,132864.6,85322.59999999999,92858.72,137755.16,117697.08
20,116130.20000000004,130857.79999999999,111688.6,116671.01999999999,105268.56,136475.4,103111.63999999985,102377.72,158102.59999999998,116740.23999999998
21,118067.0,149031.4,134641.0,117920.8,108186.99999999991,140270.0,137757.99999999997,107656.40000000001,184790.80000000002,122549.2
22,128256.50000000001,160764.8,145287.2,119216.46,127918.20000000001,156248.0,143566.74,114650.36000000002,206261.74,143344.23999999996
23,142478.00000000003,170558.16,158458.80000000002,134924.64,148389.52,181766.99999999997,144647.28,133148.16000000003,206952.96,168415.19999999998
24,153973.5,178689.99999999997,163711.6,150424.7,170078.75999999995,202301.39999999994,147913.02,162213.6,214790.41999999998,186390.3
25,165469.00000000003,198702.04,177807.00000000003,174440.52000000002,185131.08000000002,215835.4,171111.12,179720.8,245773.92,188994.92
26,178703.00000000015,201508.99999999997,206994.0,185032.0,189840.0,218216.0,195843.0,194710.0,245696.5,193626.5
27,191859.2,215788.0799999999,213492.6,190585.08,192038.15999999997,219610.6,206221.56,202791.72,250604.68,201231.92
28,196325.60000000006,254051.44,221782.8,202617.88,194023.52000000002,233198.4,208431.2,205917.44,262588.74,202568.98
29,201639.4,254474.04,236377.6,203849.28,209168.72,234738.2,224370.32,211515.16,273558.68,231610.67999999976
30,207713.50000000003,258341.12,253070.40000000002,208732.76,235185.99999999997,253521.19999999995,227497.83999999997,226026.0,274306.38,238831.26
31,224325.00000000003,257950.39999999994,259420.0,236611.00000000003,242170.6,269041.0,238314.99999999997,244989.99999999997,277156.6,242485.59999999995
32,241272.50000000003,260533.72,281420.00000000006,241887.52,243417.56,273831.4,264480.64,248162.32,279221.52,257162.02000000002
33,248507.8,291703.9599999998,284745.8,243551.84000000003,244654.28,276381.79999999993,267331.56,261476.96,286055.83999999997,258621.68
34,264453.80000000005,311427.68,291542.0,247094.58,266815.8,281199.60000000003,270534.68,262621.72000000003,299729.4600000001,283279.66
35,268729.39999999997,312506.64,301543.4,259572.6,277940.16,292677.6,271709.39999999997,284379.20000000007,301308.96,291916.04
36,287649.0,313177.80000000005,306344.0,289682.2,276474.8,291455.0,284421.8,293387.6,304797.6,300122.6
37,293486.8,314674.92,311954.6,301071.84,281194.75999999995,292733.8,283188.56,293914.72000000003,313456.32,306409.84
38,294387.9,327511.36,315761.4,301192.45999999996,281541.48,296579.8,289132.72000000003,295304.56,314841.86,307517.38
39,295843.6,330659.64,317243.19999999995,302340.51999999996,289762.84,297738.8,288137.12,296890.64,323381.9199999998,309005.12
40,296772.3,331947.92000000004,317981.8,306293.14,296023.56,313700.4,289167.86,309203.48,324157.28,319128.04
41,297456.0,333382.8,324291.0,305635.4,303998.6,317115.0,307520.4,310505.2,337723.2,318617.2
42,305777.7,336217.48,332701.4,306664.66,305626.6,318686.0,308487.34,320702.31999999995,338634.38,322350.96
43,309776.00000000006,337281.04,336614.80000000005,309391.92,315950.44,332550.8,322868.64,325794.64,351270.0399999999,323457.08
44,315283.20000000007,350382.79999999993,338307.2,321720.94,317124.68,333284.80000000005,324113.82,327428.96,373558.88,324992.1
45,325598.40000000014,357442.27999999997,342523.00000000006,322914.44,319133.76,336383.8,326385.48,326646.12,386806.60000000003,330399.31999999995
46,340468.5,369148.4,361213.0,324299.7,321490.8,348715.0,334521.2,327133.6,397903.19999999995,340933.69999999984
47,357505.20000000007,374365.12,373014.4,327220.76,322905.84,364996.4,343449.04,335608.88,398562.28,361403.76
48,362409.20000000007,389726.7599999999,374659.6,339042.68,344987.9199999996,366644.8,359019.68,340663.12,402241.72,368072.32
49,377477.20000000036,406621.88,406340.8,349002.92,359713.80000000005,376180.6,365003.88,352624.80000000005,408701.12,368632.96
50,397585.2,414665.72,407989.00000000006,359798.56,365011.4,397281.7999999999,379502.96,366838.43999999994,410679.08,394189.83999999997
