index,51_1_www.linkedin.com,51_2_www.linkedin.com,51_3_www.linkedin.com,51_4_www.linkedin.com,51_5_www.linkedin.com,51_6_www.linkedin.com,51_7_www.linkedin.com,51_8_www.linkedin.com,51_9_www.linkedin.com,51_10_www.linkedin.com
1,67.0,67.0,0.0,67.0,0.0,0.0,67.0,0.0,67.0,-442.0
2,7250.420000000001,7413.599999999993,8356.84,12653.32,11476.14,10582.04,10984.8,7399.8,16059.1,11709.0
3,51476.96,57222.84,54513.32,36242.64,58837.92,47374.72,52775.36,29321.4,58805.88,46182.0
4,63853.44,118354.63999999996,69750.02,76847.96,202619.31999999998,57163.32,139138.04,60372.200000000004,186145.15999999977,68284.0
5,216211.4,363680.72,247064.95999999993,315474.36,507506.84,218823.63999999996,444211.16,92329.99999999999,508847.04,248608.0
6,445559.7,504586.2,511551.6,538780.6,531732.2000000001,498208.2,506891.4,303244.0,520132.7,466336.0
7,507354.52,507949.16,510876.68,543611.5599999999,539604.92,521637.88,517615.6,469564.3999999999,529973.88,513432.0
8,515559.02,517929.64,524142.4799999999,559798.32,640757.3600000001,530730.48,526518.76,514103.2,657400.36,520960.0
9,523943.43999999994,553151.7599999999,664872.16,575543.56,864317.5200000003,549789.52,748017.96,521445.2,841625.88,530629.0
10,662586.92,676326.76,842201.7000000001,769899.6,1133572.48,645561.6400000001,1000543.68,525776.4,1067912.84,681394.0
11,789165.7999999992,906255.9999999999,1184226.4,1019138.9999999999,1501879.4000000006,876194.0,1249654.1999999997,553204.0,1213319.8000000003,890748.0
12,992744.3999999996,1072864.5999999999,1510398.8,1389194.1199999996,1851586.8,1129771.2,1650145.4,699473.4,1688026.76,1175225.0
13,1366036.88,1434171.76,1835907.8800000004,1707513.24,2214744.6,1465640.4,1981456.0000000005,831183.7999999992,2241587.919999999,1392342.0
14,1711514.6400000001,1788450.24,2152937.9199999995,1806418.42,2540881.7,1698443.0,2395526.6,1009040.0,2647628.44,1683620.0
15,2063103.3199999987,2113254.5999999987,2540419.48,1877269.48,2956255.0,1969940.8,2870342.8,1242668.4000000004,3038664.2399999993,1933286.0
16,2538273.199999999,2492448.6,3014331.6,2018542.9999999993,3476110.6000000006,2339282.3999999994,3273781.7999999993,1461475.0,3371749.0,2210526.0
17,2869527.079999999,2792956.6,3474269.32,2253980.6,4019782.0800000005,2802956.56,3661874.28,1843399.0,3893543.2,2532116.0
18,3222398.9599999995,3101242.1999999997,3779377.6,2453217.14,4526342.5600000005,3113674.4,4198147.04,2136181.3999999994,4354369.4,2803668.0
19,3618936.84,3396559.8,4131521.3200000003,2743057.96,4971574.08,3393208.8800000004,4664003.72,2422022.199999999,4792641.6,2986170.0
20,4067125.7199999983,3771507.7199999983,4529974.08,2997391.6,5331863.5600000005,3643241.8000000003,5009523.800000001,2684466.6,5112366.12,3167472.0
21,4556889.6,4111002.0,4919305.6,3450761.9999999995,5689630.4,3907048.0,5500522.399999999,2957787.0,5509285.0,3410810.0
22,5060111.24,4424389.479999999,5223914.8,3908421.3200000003,6057692.4799999995,4258590.96,5679536.4,3251798.0,5924620.319999999,3728572.0
23,5493243.359999999,4896936.6,5460994.52,4468476.4799999995,6409214.6,4620716.72,5787362.6,3543964.7999999993,6440938.6000000015,4103481.0
24,5917241.88,5354562.239999999,5789779.0600000005,4772966.2,6715999.32,4874995.12,5945222.14,3790036.5999999996,6889622.52,4467939.0
25,6258770.12,5767221.12,6251518.760000001,5060763.600000001,7195945.56,5214546.84,6086299.88,3966065.7999999993,7376531.439999997,4774040.0
26,6667700.5,6181510.0,6708006.0,5452166.5,7594111.0,5413277.0,6393711.0,4175235.0,7859300.0,5048034.0
27,7094851.88,6563096.88,7078013.239999999,5802094.399999999,8145743.72,5665145.559999999,6752405.68,4416228.0,8231727.08,5397925.0
28,7479101.639999998,6999687.76,7309174.479999999,6173443.8,8670482.28,6062271.56,7158942.100000001,4701904.0,8578189.32,5820044.0
29,7750823.639999997,7476560.64,7652937.84,6582778.720000001,9178218.200000001,6510794.92,7524328.6,4882556.200000001,8952762.04,6192906.0
30,8100525.399999999,7883823.359999999,7952151.4,7022081.68,9639175.58,6900441.8,8048980.34,5073898.0,9109208.5,6613206.0
31,8460662.4,8330624.399999998,8172810.2,7482623.599999999,10116258.6,7212540.8,8576593.599999998,5252416.0,9248289.6,7054608.0
32,8830427.6,8693207.6,8395918.48,8013046.200000001,10548977.8,7468986.2,9015872.520000001,5448503.0,9455976.14,7416940.0
33,9196828.2,9233273.399999999,8560846.68,8405565.8,11011184.96,7811324.96,9460540.8,5643195.0,9770171.2,7731612.0
34,9592948.2,9643232.52,8733601.76,8739975.34,11454871.38,8003241.159999998,10029731.24,5874550.8,10179620.6,8099145.0
35,9977603.919999998,10048076.08,8970038.64,8994999.64,11968303.96,8290471.72,10575465.280000001,6100982.0,10417659.32,8499476.0
36,10346043.4,10446585.2,9294920.9,9327496.6,12422910.000000002,8524853.6,11004144.200000001,6374855.0,10943865.599999998,8898468.0
37,10785999.68,10887731.68,9733857.96,9765986.4,12859705.360000001,8856969.44,11324770.04,6628785.799999999,11532123.52,9251516.0
38,11033554.52,11381672.0,9977608.8,10069769.8,13420836.160000002,9105046.52,11778096.32,6857088.0,11943038.879999999,9588028.0
39,11053405.799999999,11829282.76,10163165.12,10502398.96,13797977.12,9420949.040000001,12161435.2,7083697.0,12405305.52,10053606.0
40,11063742.540000001,11960574.2,10383892.36,10953781.56,14104132.160000002,9711286.28,12533433.88,7347615.2,12812958.9,10079312.0
41,11080586.2,11979945.2,10608774.4,11383075.6,14472761.2,9937791.200000001,12925263.799999999,7657750.0,13150847.0,10113618.0
42,11168158.24,11996232.64,10899097.839999998,11691699.4,14735617.66,10304252.56,13268955.4,7952556.8,13359031.7,10180952.0
43,11179424.959999999,12003539.72,11154835.080000002,12142267.32,14977968.44,10693919.36,13578948.8,8351101.4,13371272.24,10208046.0
44,11190770.98,12011772.44,11417926.4,12491489.78,15000431.14,10724301.88,13868494.200000001,8609533.8,13382959.16,10217570.0
45,11201957.24,12022234.48,11720695.28,12948518.479999999,15010848.76,10738063.28,14374170.479999999,8620688.6,13391261.0,10227268.0
46,11210372.7,12030296.6,11730049.7,13400009.0,15025201.7,10750820.2,14693153.0,8627424.0,13581503.6,10236368.0
47,11220623.16,12041202.92,11740384.84,13788336.319999997,15038906.08,10758874.52,15242305.319999997,8633372.4,13620424.76,10245441.0
48,11227124.959999999,12052704.2,11751989.32,14130261.8,15049777.98,10766980.56,15262211.76,8646039.2,13634778.66,10253915.0
49,11401253.72,12061404.16,11760528.92,14354411.44,15060301.32,10774512.96,15275242.04,8652961.2,13645095.12,10263357.0
50,11452855.6,12127755.36,11838823.28,14365976.02,15106303.560000004,10841714.64,15327459.079999998,8769412.599999998,13656575.86,10352851.0
