index,215_1_www.iso.org,215_2_www.iso.org,215_3_www.iso.org,215_4_www.iso.org,215_5_www.iso.org,215_6_www.iso.org,215_7_www.iso.org,215_8_www.iso.org,215_9_www.iso.org,215_10_www.iso.org
1,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-48.0,-442.0,-442.0,-442.0
2,1428.44,1391.7,1328.8999999999999,1475.84,1471.1,1567.2,1637.04,1542.6999999999998,1624.46,1670.1000000000001
3,3695.8799999999997,3990.16,4103.8,3556.32,3562.8,3590.88,1141.8000000000002,4116.8,3234.4000000000005,3785.76
4,5079.44,5309.54,4431.299999999997,4705.84,4823.5999999999985,5028.08,3626.0400000000004,4665.800000000001,4157.34,5203.62
5,6099.76,6327.96,4176.599999999999,6142.36,6172.400000000001,8357.76,4958.84,8451.800000000001,4956.28,6378.88
6,8416.800000000001,8351.300000000001,5935.5,7900.8,7922.5,8253.200000000003,6285.2,12502.5,6346.699999999999,8348.9
7,14311.119999999999,13619.159999999996,8150.599999999999,13338.639999999998,13950.199999999997,14003.880000000001,8292.039999999999,15817.8,8433.76,12108.48
8,15623.08,15627.22,12106.799999999992,16447.72,16506.8,15994.039999999997,7768.079999999999,16283.4,8033.599999999999,16050.66
9,17877.080000000005,17998.720000000005,15698.800000000001,17708.72,17719.8,17949.280000000002,13911.24,17748.599999999988,14327.08,16317.24
10,18613.48,18582.32,16263.4,18118.68,18176.2,18314.52,16250.56,18962.600000000002,15847.14,18708.060000000005
11,19218.00000000002,25913.400000000005,17396.0,18876.6,18894.0,26193.6,16844.8,27099.0,16325.199999999997,18565.4
12,24734.399999999994,24074.86,18238.2,19353.200000000004,20084.00000000001,26289.04,18151.76,24360.600000000006,18133.58,25785.34
13,24320.120000000017,22567.16,21086.199999999924,24438.640000000003,27189.8,25248.760000000002,18902.96,25186.200000000004,18590.64,27090.52
14,26492.880000000016,23990.98,24340.100000000002,25526.64,31523.6,23863.760000000002,23903.519999999975,24305.800000000003,24336.12000000003,30954.02
