index,129_1_www.debian.org,129_2_www.debian.org,129_3_www.debian.org,129_4_www.debian.org,129_5_www.debian.org,129_6_www.debian.org,129_7_www.debian.org,129_8_www.debian.org,129_9_www.debian.org,129_10_www.debian.org
19,19511.32,4450.0,5484.519999999998,6675.28,10784.2,15762.56,13002.880000000001,13483.88,8052.36,7744.4400000000005
20,21393.92,4529.0,5983.9,6380.860000000001,12575.500000000002,15274.279999999999,15436.199999999995,15018.139999999994,9959.600000000015,9959.399999999985
21,21490.200000000004,4608.0,7622.800000000001,7722.0000000000055,12751.0,20634.199999999986,21362.399999999998,15838.199999999999,14657.200000000012,14795.799999999988
22,23470.44,4534.0,8129.84,10987.72,15276.2,20806.379999999997,20593.379999999997,21230.84,15777.76,15461.24
23,25619.96,4299.0,7874.2,14276.76,14754.6,20342.84,20129.84,20451.76,15491.000000000002,15353.479999999998
24,25434.44,4378.0,7958.18,15593.24,16575.899999999987,19652.58,19439.58,19918.620000000003,21784.719999999998,21347.280000000002
25,26589.599999999984,4457.0,8079.84,15152.0,16336.600000000004,19423.04,19210.04,19491.56,20933.96,20493.04
26,30492.0,4548.0,8219.5,18780.5,15596.0,21171.5,20900.0,19084.0,20594.999999999996,20114.000000000004
27,30287.28,4009.0,7704.4400000000005,20992.6,17409.0,24492.6,22873.6,21090.92,19814.039999999997,19455.72
28,31981.24,4100.0,8387.599999999997,20539.38,19778.600000000002,24391.82,22772.82,20955.86,19457.92,19200.44
29,34475.19999999999,3561.0,11566.200000000006,19961.76,19587.6,23863.92000000001,24969.8,23726.51999999998,19514.56000000001,20765.43999999999
30,35189.36,4946.0,12717.68,19582.26,20635.999999999978,25628.9,24894.14,26422.7,21254.699999999997,21090.919999999976
31,36373.39999999998,5037.0,12727.600000000008,19305.2,22777.0,26160.200000000008,25947.200000000008,26356.399999999998,21235.4,24043.4
32,36792.2,4498.0,14914.52,20891.76,24232.099999999984,27725.100000000002,27512.100000000002,28575.3,23472.32,23479.760000000002
33,38385.84,5883.0,19780.84,20918.8,28121.2,27725.96,27996.800000000003,28458.76,25493.16,23500.84
34,38386.880000000005,7588.0,21253.9,21056.420000000002,27592.300000000003,27264.76,28550.359999999993,27728.1,25628.76,25703.4
35,36891.76,7502.0,20949.6,23340.640000000014,26863.400000000005,30659.76,29413.76,30985.36,25376.920000000002,27695.079999999998
36,36899.99999999999,7394.0,20391.3,25288.9,26355.5,32917.4,28901.9,32140.2,26188.600000000002,27752.8
37,40196.67999999999,7073.0,20287.920000000002,25427.16,28139.199999999997,32788.76,29755.32,31550.920000000002,28377.44,27588.32
38,50964.39999999992,7019.0,19737.859999999997,25147.38,30072.5,31801.739999999998,30837.020000000004,31771.14,28032.74,30220.96
39,66353.68000000001,8404.0,19439.48,25925.56,30414.19999999999,31280.32,31203.0,30535.080000000005,27224.27999999999,31047.639999999992
40,66792.43999999999,11232.0,19110.94,28583.94,32806.200000000004,31337.84,33238.68000000001,33330.35999999999,29368.600000000028,32387.719999999998
41,67180.2,11849.0,18974.8,28028.4,32707.0,31419.8,35562.8,34899.4,30551.4,31852.2
42,68666.12,11796.0,21077.64,27874.079999999994,34687.7,33484.72,36110.280000000006,36566.56,30343.96,31014.280000000006
43,68479.76,13058.0,20854.199999999997,26765.640000000003,36001.200000000004,35298.72000000002,41105.799999999996,38491.72,30042.879999999997,31223.28
44,75179.16,12997.0,23062.38,25951.06,37620.400000000016,39518.46,40781.5,37591.5,30454.500000000004,31168.799999999985
45,78866.84,15825.0,23184.04,25661.52,37632.799999999996,41157.16,41601.20000000001,36926.0,31896.80000000001,33585.0
46,79029.4,15723.0,23058.5,27738.2,39250.5,41370.899999999994,47419.899999999994,39348.69999999998,33040.7,35887.8
47,78997.72,15621.0,24797.44000000001,27541.04,39442.799999999996,44684.80000000001,56042.960000000014,40696.55999999999,35431.76,35120.32
48,78918.04,15100.0,25269.02,27866.960000000003,38907.999999999985,46899.3,61241.66,52770.75999999997,38117.26000000002,36949.87999999998
49,78951.64,15728.0,25249.92,30016.59999999999,40544.40000000001,45828.0,60776.56,60883.479999999996,41172.6,41582.4
