index,108_1_www.dropbox.com,108_2_www.dropbox.com,108_3_www.dropbox.com,108_4_www.dropbox.com,108_5_www.dropbox.com,108_6_www.dropbox.com,108_7_www.dropbox.com,108_8_www.dropbox.com,108_9_www.dropbox.com,108_10_www.dropbox.com
1,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0
2,1485.0,1428.8000000000002,1301.7999999999995,1691.36,1347.1200000000006,1703.2,1534.0,1482.7,1725.3999999999999,-98.0399999999999
3,494.8000000000001,811.8400000000003,1310.3999999999999,721.0399999999997,1314.3600000000001,830.7999999999998,647.6000000000003,975.2400000000001,1044.3999999999996,1558.0800000000002
4,4555.0,2259.2000000000003,2578.4,4610.82,2573.96,2385.9,4663.8,2414.3,2314.8,1952.5600000000004
5,7104.4,4317.96,4602.0,4272.56,4671.12,4644.8,6759.6,4449.400000000001,4540.400000000001,4772.88
6,8258.0,6893.399999999997,3946.0,6086.3,6295.800000000001,6670.0,7428.0,5457.999999999998,7018.0,6410.799999999997
7,10870.6,7125.92,5516.2,8175.36,7210.640000000001,8332.000000000004,11443.2,6552.679999999999,5993.800000000004,6878.12
8,20463.600000000006,8122.719999999999,8312.4,9978.82,8252.14,10742.3,43564.59999999998,8619.58,12129.200000000003,7978.06
9,59728.0,12885.720000000001,9935.4,14257.12,12860.84,72589.60000000002,82649.4,12169.279999999999,14280.4,13136.64
10,79876.6,12325.68,12758.999999999995,14159.580000000002,12517.460000000001,79880.2,84010.6,12632.44,48090.0,13227.06
11,81434.0,33604.399999999936,13717.0,77261.60000000014,52874.20000000005,81799.0,85588.0,13722.999999999996,58338.0,44096.79999999999
12,84960.6,78408.15999999999,26705.199999999983,83532.28,82073.98,81128.6,91169.4,26292.319999999978,79844.4,82700.14
13,90792.8,82198.04,63119.6,87393.23999999999,83804.36,89259.6,93288.4,72218.59999999999,90106.59999999999,83631.24
14,91489.6,83790.12,84154.8,89184.34,86835.56,90762.6,98276.6,82576.94,91804.8,86063.02
15,133719.80000000002,85038.79999999997,85454.4,92588.64000000001,91734.72,91089.59999999999,173706.39999999985,84102.32,93347.6,87772.32
16,193685.0,89207.39999999997,86793.0,95084.6,93204.8,94218.5,234710.0,83782.99999999999,93766.0,91434.2
17,244685.2,90995.64,88508.2,99665.32,93891.68,118809.0,248406.4,87714.76,128769.40000000001,93355.24
18,244871.59999999998,92992.2,92529.4,163591.92000000004,97990.41999999998,146180.40000000008,265110.19999999995,91467.04,183073.6000000001,97135.81999999998
19,262945.4,94054.4,94917.2,175231.48,146140.56000000008,184331.80000000002,312263.0,93310.48,224673.4,143708.71999999994
20,307401.99999999994,122955.47999999982,95542.0,225280.56000000003,201693.28000000003,226665.19999999998,314306.8,93853.4,231213.6,196045.95999999996
21,311998.0,157786.1999999999,120994.0,249938.8,242088.00000000006,245984.0,315925.0,108412.79999999997,248765.0,214292.0
22,311847.2,198927.56,165655.59999999998,280371.12,248513.72,245699.3,321978.6,165182.36000000002,248357.80000000002,238846.80000000002
23,313359.6,246648.68,210277.59999999998,317786.04000000004,248375.56,283762.80000000005,322058.4,208609.87999999983,278415.20000000007,246174.76
24,320218.8,248256.44,228272.0,317335.08,268808.56000000006,310006.7,331238.2,233959.76,305363.20000000007,248959.64
25,319513.4,248117.0,240855.99999999997,321638.56,311303.00000000006,312103.4,334340.4,248494.64,312184.6,269732.72000000003
26,353175.0,275970.0,248335.0,322940.0,313225.0,313679.5,358167.0,248343.5,313893.0,312767.5
27,383850.2,311117.2,250070.2,323824.76,314257.24,315180.2,382624.5999999999,271938.92000000004,315862.8,314556.04
28,385317.4,312371.9199999999,249843.0,326596.74,315837.98,314738.9,397749.19999999995,312820.82,319466.6,316562.26
29,386965.4,314324.44,306457.4,327750.88,317326.2,321659.4,398859.4,314427.84,320151.00000000006,316286.2
30,392057.6,315936.24,314034.4,334315.83999999997,319001.66,321307.8,401277.99999999994,314601.54,323627.2,319668.86
31,398118.0,315958.8,316021.0,333730.0,322410.2,330366.0,403160.0,316110.4,331591.0,323027.0
32,404167.8,321426.8,317304.8,356821.11999999994,323911.84,332298.00000000006,407654.4,315964.94,337202.0,324487.39999999997
33,404706.2,321656.64,317366.6,389348.0000000002,332569.4,336845.8,408071.8,322618.27999999997,337721.4,334994.56
34,406041.39999999997,322528.56,321332.0,400669.94,333717.16,353519.99999999994,409706.99999999994,322030.26,343796.0,334395.24
35,407529.8,331037.64,323939.2,402354.84,366055.87999999995,385282.0,411985.8,322769.32,365090.00000000035,352649.6
36,410916.0,334261.2,330621.0,403702.3,397261.3,399946.5,462899.0,331339.1,400852.0,397261.1
37,412291.6,334970.2,329481.4,411996.36,398984.08,401658.39999999997,466769.2,333003.80000000005,402661.6,399903.92
38,429280.4,366954.52,330771.4,417865.48,399281.44,403129.1,467702.8,337904.08,404438.2,399510.24
39,479358.6,397468.96,338981.4,417298.48,400731.56,406575.2,469275.0,338229.6,406809.2,401431.76
40,480982.4,398931.92,344087.8,419515.06,405720.24000000005,407160.3,476269.59999999974,362613.87999999995,407808.8,406390.12
41,482605.0,399332.39999999997,345350.0,419253.0,406111.8,406813.0,488803.0,400516.0,409577.0,406699.6
42,487591.6,400628.36,360850.9999999999,422882.33999999997,406824.14,409933.9,489413.4,402685.04,411508.8,408412.1
