index,69_1_www.nytimes.com,69_2_www.nytimes.com,69_3_www.nytimes.com,69_4_www.nytimes.com,69_5_www.nytimes.com,69_6_www.nytimes.com,69_7_www.nytimes.com,69_8_www.nytimes.com,69_9_www.nytimes.com,69_10_www.nytimes.com
41,3394483.4,3406967.4,3444887.4,3040528.6,3003372.2,3028402.6,2894784.0,3040683.6,3056664.6,3017582.0
42,3400139.36,3415020.36,3792727.160000003,3041411.44,3034377.9599999995,3035612.7399999998,3027504.72,3043390.24,3063509.08,3017645.14
43,3411247.36,3423256.52,4368175.920000001,3047832.68,3048771.92,3035580.2399999998,3034601.68,3050651.6,3065762.12,3025486.24
44,3421544.88,3472526.92,4855089.12,3056166.12,3056443.68,3047971.58,3042545.64,3056497.12,3077355.2800000003,3033437.58
45,3429172.56,3486374.64,5443131.959999997,3064323.36,3062077.56,3053406.92,3050275.8,3072222.04,3081916.6,3040419.44
46,3481465.1999999997,3497202.8,5984492.0,3067648.8,3065978.0,3059547.5,3054219.0,3071467.6,3088756.2,3046442.3
47,3494019.7199999997,3505677.24,6471455.640000001,3071657.2,3073265.96,3067107.84,3060736.08,3078562.52,3092784.48,3053107.32
48,3501517.68,3514037.64,7013875.92,3079989.7199999997,3080999.56,3075328.68,3068330.08,3077834.88,3096489.64,3061066.68
49,3507688.96,3515774.08,7357196.56,3084082.28,3083681.64,3076549.72,3075280.36,3082985.16,3098888.84,3065348.48
50,3515138.32,3518852.12,7366912.8,3085963.28,3089963.0,3078545.36,3075611.2,3085305.68,3103830.12,3067083.46
