index,291_1_www.commerzbank.de,291_2_www.commerzbank.de,291_3_www.commerzbank.de,291_4_www.commerzbank.de,291_5_www.commerzbank.de,291_6_www.commerzbank.de,291_7_www.commerzbank.de,291_8_www.commerzbank.de,291_9_www.commerzbank.de,291_10_www.commerzbank.de
1,-442.0,-442.0,256.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,4028.52,4041.88,1253.7000000000003,4028.52,3386.5999999999995,4072.84,4093.48,4041.88,4091.76,605.0400000000001
3,4368.16,4677.16,2590.2000000000007,4482.16,5076.44,4874.839999999999,4683.48,4679.16,4292.76,4036.119999999999
4,8330.98,8206.36,7155.700000000001,8161.299999999999,10154.76,8478.72,8487.84,8208.36,8115.82,11134.320000000003
5,15841.960000000001,16076.72,9298.999999999995,13468.92,12201.88,16498.24,16482.28,16078.72,16099.36,16013.480000000005
6,20920.1,20875.599999999988,17253.0,17936.1,16073.6,19485.999999999996,16572.8,20877.599999999988,19140.5,19593.2
7,33995.56,41494.599999999984,21760.8,40391.64,21366.51999999999,28381.439999999995,18660.92,39935.2,22149.999999999935,43761.20000000003
8,36301.56,41783.08,34631.499999999985,40869.72,25282.280000000002,42351.08,21928.760000000002,42118.08,42197.840000000004,43220.52
9,42235.92,48568.36,42279.200000000004,50698.48,28679.719999999998,47799.36,45182.56,47485.76,44442.88,49326.88000000002
10,50197.90000000001,52593.12,46407.7,65160.759999999995,44067.71999999999,51203.96000000001,42056.12,53698.48,50648.100000000006,53418.24
11,66332.4,85288.79999999997,53178.0,98958.2,50026.4,52882.6,50936.2,85871.59999999999,69125.4,69521.00000000003
12,85819.57999999999,117654.44000000003,73007.19999999997,121012.5,54071.56,113005.2,55132.08,101402.12,112815.20000000013,89139.20000000001
13,107509.08,188288.23999999987,90536.19999999978,169631.0,61807.36,154825.16,100351.04000000001,115328.91999999998,144186.11999999997,109641.20000000001
14,139375.12,262319.2,119615.40000000001,188893.88,80588.48000000001,200593.32,144010.19999999998,141063.88,159543.38,157718.96000000002
15,184431.76000000004,301615.2799999999,157148.7999999998,206807.32,96385.11999999991,231885.16,170623.84000000026,208153.43999999997,193680.28,197123.27999999997
16,235729.40000000002,375253.8,223978.5,246081.0,115641.20000000001,273800.2,200790.00000000003,259471.40000000002,249887.0,256676.0
17,277207.04000000004,401128.32,252381.99999999997,309019.04000000004,138479.59999999998,329860.16000000003,243853.68,305002.48,304349.95999999996,324876.39999999997
