,374_2_www.kino.de,374_3_www.kino.de,374_4_www.kino.de,374_5_www.kino.de,374_7_www.kino.de,374_8_www.kino.de,374_9_www.kino.de,374_10_www.kino.de,375_1_www.kino.de,375_2_www.kino.de,375_3_www.kino.de,375_4_www.kino.de,375_5_www.kino.de,375_6_www.kino.de,375_7_www.kino.de,375_8_www.kino.de,375_9_www.kino.de,375_10_www.kino.de,376_1_www.kino.de,376_2_www.kino.de,376_3_www.kino.de,376_4_www.kino.de,376_5_www.kino.de,376_6_www.kino.de,376_7_www.kino.de,376_8_www.kino.de,376_9_www.kino.de,376_10_www.kino.de,377_1_www.kino.de,377_2_www.kino.de,377_3_www.kino.de,377_4_www.kino.de,377_5_www.kino.de,377_6_www.kino.de,377_7_www.kino.de,377_8_www.kino.de,377_9_www.kino.de,377_10_www.kino.de
13,901613.52,828072.64,828149.2399999999,799652.4,837242.9,763468.56,818373.4399999998,793624.62,2328765.34,2420566.879999999,2413008.48,2462229.5600000015,2247676.9,2361936.22,2286093.24,2219427.04,2425002.48,2277157.6,1377821.2399999993,881889.12,859773.16,836480.82,906509.04,861857.98,830909.22,922823.48,895646.5399999998,931126.66,895538.68,866121.0800000004,899118.04,884306.7999999998,875824.04,882331.5,862758.94,895655.8000000003,981691.5,892395.84
14,928406.8000000002,848894.84,862469.04,856068.0,871153.4,812102.92,865043.0,817620.48,2378817.96,2783394.96,2633713.76,2717866.72,2282857.8,2403788.3200000003,2336077.9600000004,2286820.12,2512358.76,2315019.6,2396848.6,896941.76,903153.96,826671.0399999998,933359.2,874780.92,841801.7599999994,958488.44,960233.28,983199.32,916276.8,914497.72,933213.84,904141.8,890782.4400000002,955594.0,883182.1599999998,914167.32,1016118.0,912451.88
15,954330.4,880234.2,865739.8,870862.0,905659.5,837492.2,879011.1,822291.7000000002,2502194.5,2832909.6,2840752.6,2802516.3,2375645.5,2439078.7,2383831.6,2367867.8,2742675.6,2341351.0,2722418.8,923242.6000000002,928346.0,894962.8,946205.6,895758.0,865124.5999999997,1207427.1999999979,1477937.3,997297.7,977610.2,928935.0000000001,995323.2,926131.0,917469.8,978668.0,896281.9999999999,975111.6000000002,1029653.0,964220.3
16,1021827.88,889046.8,894413.12,896209.4,1001509.2,842219.28,901458.84,879167.32,2557271.96,2874850.3999999994,2885350.28,2882082.68,2387099.2,2549984.32,2423765.32,2390382.44,2782391.28,2407496.8,2796412.4,948565.08,1525378.52,913742.28,1018515.24,1103455.48,894752.88,1799113.1599999985,2360473.8800000004,1768059.0000000002,1089290.92,946222.8000000002,1034690.04,1000043.1999999995,932512.88,993941.0,945457.84,1002176.32,1103367.0,1007677.24
17,1160762.7200000002,929614.76,906596.96,910691.6,1095170.6,850834.28,926372.54,891145.9,2574247.06,2979893.1599999988,3036045.88,2908354.9200000013,2525224.9,2775835.16,2441121.06,2596255.44,2826540.84,2448400.4,2813843.14,976760.72,2238192.2800000017,922707.38,1770152.9200000013,1580733.5599999996,908345.08,2643447.2399999998,2765465.08,2576436.3600000027,1104253.28,960272.04,1067827.96,1069498.9999999995,1006680.8,1086729.5,1005695.06,1013674.94,1244251.5,1035215.72
18,1207498.32,941754.68,931338.08,927619.3999999996,1112277.6,888363.96,959925.28,911021.76,2624246.96,3126215.52,3281049.24,3247623.16,2630797.8,2797480.68,2564219.76,2644726.92,2859834.44,2550524.4,2865514.2800000007,1206335.6800000002,2741133.32,1050547.4799999995,2539717.52,2410519.52,916588.28,2808286.92,2798746.12,2825505.84,1125571.6800000002,966697.4000000005,1078393.84,1096661.8,1044768.92,1168683.0,1081667.44,1059909.96,1444491.0,1104514.2400000002
19,1213745.04,1064498.78,972776.36,943061.8,1135172.2,941847.08,984277.76,923383.34,2657484.42,3252211.96,3355024.48,3451061.4400000004,2688882.4,2848307.84,2639006.04,2683595.48,2890510.76,2756669.8,2898349.84,1696449.9200000004,2762560.8000000003,1679728.0599999991,2769492.56,2762608.32,957159.82,2905087.52,2890818.56,2843184.62,1173937.68,1020193.16,1116472.96,1111764.8,1054560.9200000002,1179539.5,1096643.42,1092833.88,1486293.0,1151713.12
20,1326759.4,1123389.4,1033851.6000000004,958869.0,1153737.0,1078507.7999999998,1138944.8,941326.4,2684756.399999999,3326966.8,3378878.2,3493637.2000000007,2707365.0,2879498.2,2793729.4,2730685.0,2931963.6,2892989.0,2985332.6,2188358.8000000007,2791637.2,2355034.999999998,2813459.8,2779295.6,1063074.799999999,2953818.2,2946590.2,2880392.6,1411526.8,1147639.4,1213698.8,1150007.0,1097648.4,1229430.0,1126574.4,1298432.4000000006,1526625.0,1178087.0
21,1395520.0,1193310.38,1113227.04,965070.8,1211930.5,1093984.84,1155591.56,959061.72,2717946.66,3371481.56,3417057.88,3592069.94,2739928.3,2918554.1000000006,2940530.82,2827110.6,2977668.64,2982016.9999999995,3217045.24,2453629.04,3019549.8000000007,2797658.72,2895800.56,2784733.56,1609726.239999999,3014759.16,2974368.54,3058008.680000004,1465490.48,1177879.64,1483855.6,1374230.8,1168345.78,1263618.5,1157667.82,1533455.4800000002,1595664.5,1192601.44
22,1445027.2,1206966.56,1180482.04,985670.5999999995,1233494.6,1105066.16,1164134.44,978846.64,2759700.2,3405290.68,3466208.12,3634492.68,2825739.6,2948578.56,2964370.92,2931638.96,3005023.08,3025114.4,3248744.16,2838353.52,3037283.56,2832057.04,2971360.56,2820033.24,2271328.68,3032146.4,3033252.08,3204188.96,1491541.52,1197062.6,1640490.48,1391723.0,1226279.68,1289106.0,1373514.68,1568271.6,1620215.0,1276958.84
23,1453867.92,1218225.32,1201779.52,1059271.8,1263367.4,1140969.12,1225364.08,1023067.2399999999,2778613.3000000003,3433158.88,3500943.44,3681515.24,2868651.6,2961964.04,2986302.04,3066565.88,3034014.36,3055070.2,3276923.38,2868595.84,3062755.02,2841783.86,2991911.6,2844145.44,2783503.48,3076212.28,3047259.64,3224636.16,1591291.279999999,1230495.96,1655742.72,1582771.4,1365860.4,1301189.5,1395554.14,1647330.86,1624894.5,1441228.66
24,1471661.76,1251919.04,1209255.28,1083310.7999999998,1318807.9999999998,1170139.04,1303201.88,1048308.32,2819936.32,3475392.84,3520546.84,3711496.56,2905433.4,2999508.4400000004,3026291.84,3095703.56,3087354.480000002,3078577.2,3304104.68,2907843.4,3072814.6,2898701.68,3010306.92,2922754.0,2794963.36,3095662.72,3071255.68,3241723.12,1760378.0400000026,1251314.16,1697796.96,1617269.6,1498315.4,1323831.0,1419797.84,1657415.84,1630805.0,1473769.72
25,1482985.0,1268849.5,1215546.0,1149454.0,1411507.5,1173398.0,1379988.5,1064963.5,2952310.9999999967,3522772.0,3574808.0,3820489.0,2931067.5,3029518.5,3099656.0,3121263.0,3245108.0,3110706.0,3355652.5,3049740.0,3098938.5,2939326.5,3041398.0,3157323.0,2880466.0,3120091.0,3094493.0,3269897.5,1837122.0,1307035.0,1719649.0,1646368.0,1509209.0,1346728.0,1459853.5,1672641.5,1682351.5,1491876.0
26,1507595.36,1323902.72,1303056.32,1304467.0,1421255.7999999996,1217716.96,1408585.48,1099471.32,3046959.9999999995,3542765.84,3593029.92,3835850.04,2963250.2,3082242.44,3138512.52,3144699.44,3266566.44,3155661.8,3371984.08,3075431.24,3256361.68,3029320.68,3085972.72,3182946.96,2938106.96,3135795.6,3116274.6,3305363.8800000013,1864861.64,1330528.44,1760301.56,1662955.0,1528190.44,1362119.0,1593899.56,1730974.72,1702270.0,1508918.2
