,242_1_www.dmca.com,242_2_www.dmca.com,242_3_www.dmca.com,242_4_www.dmca.com,242_6_www.dmca.com,242_7_www.dmca.com,242_8_www.dmca.com,242_9_www.dmca.com,242_10_www.dmca.com,243_1_www.dmca.com,243_2_www.dmca.com,243_3_www.dmca.com,243_4_www.dmca.com,243_6_www.dmca.com,243_7_www.dmca.com,243_8_www.dmca.com,243_9_www.dmca.com,243_10_www.dmca.com,244_1_www.dmca.com,244_2_www.dmca.com,244_3_www.dmca.com,244_4_www.dmca.com,244_5_www.dmca.com,244_6_www.dmca.com,244_7_www.dmca.com,244_8_www.dmca.com,244_9_www.dmca.com,244_10_www.dmca.com,245_1_www.dmca.com,245_2_www.dmca.com,245_3_www.dmca.com,245_4_www.dmca.com,245_5_www.dmca.com,245_6_www.dmca.com,245_7_www.dmca.com,245_8_www.dmca.com,245_9_www.dmca.com,245_10_www.dmca.com
10,226699.0,212389.6,201913.2,243060.00000000012,195420.8,218521.6,205722.8,237721.0,198589.0,43332.8,43666.6,43401.6,42680.4,60997.80000000001,69347.99999999999,45415.4,45403.6,43405.4,85188.00000000001,78307.2,171598.40000000005,82439.2,73922.0,80311.6,54863.0,258663.2,80905.0,103602.79999999994,65083.600000000144,39408.0,48895.2,40297.39999999998,37159.6,41410.8,37213.6,73132.00000000001,25620.200000000008,37167.0
11,301781.03999999986,228159.26,258992.08000000005,314849.84,224523.82,221143.42,236873.52,333512.7000000001,214384.79999999987,47427.09999999999,66401.3,57622.7,54227.38,71615.96,75073.04,48974.36,49124.12,60915.2,111438.72000000004,85135.56,207243.64,86661.09999999999,86289.7,85662.52,86685.7,315043.64,85489.20000000001,178514.18000000005,80305.08,41324.2,64254.19999999987,42375.79999999998,41489.34,52689.43999999999,35333.92000000001,93668.36,26354.38,36907.2
12,308614.96,232090.6,315895.87999999983,347887.2000000001,239335.6,273415.6,244650.84,359247.8,221398.0,71577.48,75007.36,74256.2,69317.15999999995,105351.4,90230.72,61356.79999999999,50544.36,70800.76,158429.24,148956.96000000002,231953.12,162049.36,115330.4,141517.07999999975,102922.19999999998,323886.52,141902.1999999998,184835.44,109190.5199999999,69969.99999999999,96112.72,80814.76,40685.60000000001,85281.68000000001,39115.16,124840.4,44340.76,39369.4
13,358508.76,301314.58,379181.12,392376.84,292112.7,296763.46,292963.2399999994,371131.8000000001,233471.9,75990.68000000001,75900.59999999999,74938.8,111290.80000000003,166763.24,151627.36000000002,69369.19999999997,62339.64000000001,88143.3,186188.48,184840.16,246512.08,185856.1,180177.9600000001,174917.4,119241.4,353221.08,184497.7,205686.64,186497.86,85220.2,107967.55999999995,84074.56,74508.09999999999,89316.4,41408.36,186297.04,44933.32,41225.9
14,388646.8,307098.8,385099.36,401092.08,341252.44,310737.6,414686.64,376989.8,237282.5999999999,104568.52,106138.87999999992,118357.04,120658.44,217558.52,173599.52,95062.56,91441.36,141046.5999999999,204703.12,184204.96,261297.2,183348.12,202873.76,187255.32,122963.8,354817.28,185542.4,207211.6,187379.52,88622.6,194189.88,113037.28,86737.76,140301.72000000006,45938.59999999999,187015.68,46932.84,41608.999999999985
15,399353.0,367258.0,391795.2,443857.8,364003.8,348605.39999999985,487624.9,381347.0,283875.0,178599.39999999973,175676.0,168492.3,123408.7,232443.4,191183.2,99492.6,121147.20000000008,188713.0,203098.8,186548.7,289016.6,188572.4,202318.8,203281.4,167904.5,419000.2,190703.0,208918.8,206996.2,154226.0,194202.7,180738.99999999988,87330.8,186400.4,69671.99999999997,187891.7,48576.1,80171.0
16,407445.48,413115.56,422361.32,499063.92,396984.6,403100.72,502334.31999999995,386726.0,307902.6,189696.28,180620.28,189373.96,123924.8,257639.92,193842.64,164706.71999999994,159445.24000000002,189277.84,203721.16,194272.28,320605.0,192688.84,201141.48,215809.16,179947.8,442057.48,209173.1999999999,228962.4,219695.52,184413.8,196891.92,187547.64,169218.91999999995,186915.24,84236.44,234621.28,65982.88000000005,84232.4
17,411325.04,481943.68,479718.76,511531.36,425211.56000000006,448613.84,521597.78,421338.30000000016,320284.49999999994,190642.86,189897.56,217039.12,136918.82,264633.04,214731.96,195932.12,157837.84,190493.18,245077.08,210487.94,349418.04000000004,209821.92,203843.46,222069.28,184472.2,476790.92,233287.2,245588.58,239284.06,186727.8,198314.04,188392.68,187696.48,190610.02,83841.12000000001,236166.2,91212.94,87940.00000000001
18,431861.36,495490.84,504519.84,512804.68,483654.88,454657.72,565153.16,433241.00000000006,367953.2,207217.28,193848.72,223641.48000000007,138386.52,266615.64,227048.68,196042.52,195554.8,193294.48,249224.08,215041.6,353113.04,211142.32000000007,240401.36,223333.4,258153.2,480010.32,259745.4,279326.48,258212.56,187597.4,206058.75999999992,192426.68,186111.08,202009.23999999987,107218.52000000002,264887.36,92999.28,140355.59999999998
19,516957.3199999997,511100.62,556385.5199999999,566649.72,487493.56,494721.82,573050.98,445115.2,475575.2,218816.02,213262.84,226581.46,154635.52,332557.88,229377.68,199181.08,201199.48,221489.06,271397.96,232962.64,381429.1599999999,231431.42,248333.92,251235.2,260130.0,527846.2,274161.8,331700.4800000002,259553.82,192838.19999999992,223118.82,208482.96,189811.58,209203.6,155626.91999999995,267175.08,100822.16000000028,184173.80000000005
