,42_2_twitter.com,42_3_twitter.com,42_4_twitter.com,42_5_twitter.com,42_6_twitter.com,42_7_twitter.com,42_8_twitter.com,42_9_twitter.com,42_10_twitter.com,43_1_twitter.com,43_2_twitter.com,43_3_twitter.com,43_4_twitter.com,43_6_twitter.com,43_7_twitter.com,43_8_twitter.com,43_9_twitter.com,43_10_twitter.com,44_1_twitter.com,44_2_twitter.com,44_3_twitter.com,44_4_twitter.com,44_5_twitter.com,44_6_twitter.com,44_7_twitter.com,44_8_twitter.com,44_9_twitter.com,44_10_twitter.com,45_1_twitter.com,45_2_twitter.com,45_3_twitter.com,45_4_twitter.com,45_5_twitter.com,45_6_twitter.com,45_7_twitter.com,45_8_twitter.com,45_9_twitter.com,45_10_twitter.com
0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0,-442.0,-48.0,67.0,-115.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0,-48.0,-442.0,67.0,67.0,67.0,67.0,67.0,-442.0
1,1713.56,1440.74,1619.28,1688.4,1698.76,1744.64,1697.28,1475.2,1333.64,-189.72,1700.24,1712.08,1694.32,1373.14,-304.72,-205.0,-89.47999999999996,1726.88,1472.34,1419.0,1700.24,1723.92,1664.36,1723.92,1466.02,1394.5,1483.0799999999995,1744.64,1752.04,-29.28000000000001,1619.0400000000006,1050.8400000000004,341.64,1437.7600000000007,1734.28,1719.48,1440.9,1443.5
2,926.8400000000003,613.9200000000022,1021.0799999999997,693.5999999999997,789.6400000000001,1243.0400000000004,775.9199999999997,464.2400000000002,541.6800000000002,1393.44,803.3599999999999,913.12,748.4799999999997,486.7599999999998,1278.44,1366.0,1681.84,1059.68,2426.720000000004,784.4000000000003,803.3599999999999,1029.12,1342.08,1029.12,2064.1600000000035,715.7999999999997,1326.24,1243.0400000000004,1319.44,1681.56,666.1599999999997,1437.92,1465.5200000000011,1322.28,1136.08,983.2799999999997,357.2799999999997,853.0
3,3845.8799999999987,4440.22,2226.64,2577.599999999999,2406.12,2437.820000000001,2410.86,4535.92,2306.92,3584.0799999999977,2401.38,2363.46,4607.34,4568.68,2579.88,2686.0,1430.0400000000031,2316.06,4535.02,2235.8000000000006,4588.38,2325.54,2542.88,2325.54,4516.06,2197.9,4058.240000000001,2437.820000000001,2967.52,728.9200000000022,4321.120000000001,777.5399999999997,1653.42,2565.08,2341.64,2339.76,4729.26,2304.5
4,4605.84,6952.959999999999,4399.480000000001,4351.5999999999985,4653.440000000001,4470.24,4252.88,7099.12,4527.24,4577.64,4254.719999999998,4613.12,4524.079999999999,4306.04,4462.64,4849.0,4751.92,4546.08,6663.6399999999985,4342.5999999999985,4671.36,4558.72,4462.64,4558.72,6033.08,4374.2,4535.92,4470.24,4438.64,4832.16,6275.16,2402.360000000002,2920.44,4689.76,4514.480000000001,4577.68,7038.6399999999985,4311.0
5,6773.200000000002,6307.9000000000015,6979.8,6963.5,7141.799999999998,7163.8,6063.0999999999985,7952.400000000002,6658.2,4423.9999999999945,6047.3,6741.1,6664.1,9199.399999999996,7198.2,7296.0,6704.200000000006,7396.9,11459.6,7109.0,6671.2,6997.9,5770.800000000001,6997.9,8147.4,7066.0,4864.399999999997,7163.8,7206.8,4664.999999999998,5775.2,4511.3,5023.7,6511.4000000000015,7094.8,4068.0000000000123,8485.9,6600.0
6,8585.960000000001,14041.72,6641.96,7939.399999999998,8419.08,6283.44,8298.72,14258.08,7911.680000000001,9911.6,8375.76,8769.68,8227.400000000003,12600.04,6427.360000000002,6939.0,6917.08,6170.600000000001,12256.160000000009,6685.5999999999985,9000.799999999996,7379.32,5752.360000000002,6079.839999999997,9549.08,6614.199999999999,6011.079999999999,6725.279999999998,6355.080000000001,6918.080000000001,12049.4,4345.76,6713.880000000004,6252.36,6787.96,9991.52,14061.76,6631.0
7,11288.319999999998,19208.800000000014,11262.92,13969.5,45020.48,9843.599999999991,10483.200000000004,15758.599999999993,10668.96,9605.92,10103.98,14414.12,14087.48,11746.96,10016.399999999998,11281.5,9251.2,12596.519999999995,45210.96000000002,8431.599999999997,11060.8,11674.799999999996,8157.12,12815.679999999995,15449.1,9498.999999999996,8187.3600000000015,11182.96,11077.56,8768.08,13892.2,4393.5999999999985,7092.8200000000015,10132.04,11520.200000000004,12755.36,13713.6,7243.0
8,11962.599999999993,83460.52,11126.800000000005,24001.400000000016,78602.36,12426.639999999998,13042.800000000005,85169.04,10639.56,12136.6,12698.32,13848.12,13854.6,16298.600000000002,13450.36,10723.0,14196.68,13441.32,63335.76,14051.6,25273.12,13916.64,9967.88,13708.4,46629.40000000004,12503.8,9927.64,10674.399999999996,10367.8,13751.04,83683.08,6923.6399999999985,7740.720000000002,10892.08,13442.92,13288.64,29379.88,12633.0
9,28876.28,83693.46,28596.88000000001,29767.9,79937.12,14552.199999999995,74254.04000000001,83706.08,24353.8,48314.08,13745.200000000008,30477.54,59399.60000000001,28295.04,48080.08,29762.0,13964.2,26036.72000000001,83352.98,13551.2,61725.96000000001,26123.08000000001,13964.08,29846.46,85119.72,14696.00000000001,12564.2,20662.879999999983,21111.799999999992,14124.4,82745.28,6691.06,14400.48,13683.280000000002,26413.32000000001,45717.92000000006,86441.18000000001,13591.0
