,149_1_opensource.org,149_2_opensource.org,149_3_opensource.org,149_4_opensource.org,149_5_opensource.org,149_6_opensource.org,149_7_opensource.org,149_8_opensource.org,149_9_opensource.org,149_10_opensource.org,150_1_opensource.org,150_2_opensource.org,150_3_opensource.org,150_4_opensource.org,150_5_opensource.org,150_6_opensource.org,150_7_opensource.org,150_8_opensource.org,150_9_opensource.org,150_10_opensource.org,151_1_opensource.org,151_2_opensource.org,151_3_opensource.org,151_4_opensource.org,151_5_opensource.org,151_6_opensource.org,151_7_opensource.org,151_8_opensource.org,151_9_opensource.org,151_10_opensource.org,152_1_opensource.org,152_2_opensource.org,152_3_opensource.org,152_4_opensource.org,152_6_opensource.org,152_7_opensource.org,152_8_opensource.org,152_9_opensource.org,152_10_opensource.org
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,1429.86,1529.5999999999995,1537.6599999999994,1320.800000000001,1557.3000000000009,3029.7999999999993,3163.8999999999987,1391.0999999999995,3609.4999999999986,3366.2,1418.96,1445.82,1411.06,1400.0,1330.48,1433.18,1411.06,1447.4,1401.58,1414.22,1548.16,1564.54,3855.72,1138.7999999999995,1114.1000000000006,1408.2999999999995,1501.9,3607.1,1778.8999999999987,736.0200000000003,1475.84,1377.88,1401.58,1335.22,1377.88,1330.8,1343.12,1352.6,1425.28
2,4112.56,5304.08,4207.920000000001,5367.92,5697.64,5287.04,5289.440000000001,5285.28,4976.200000000002,4996.3600000000015,109.52000000000004,3597.36,89.71999999999994,3927.0,4100.36,3657.36,4026.76,3884.8,3914.16,3811.44,4141.44,3296.12,5776.32,5090.5999999999985,2906.84,4867.800000000002,4964.52,4652.96,4939.36,3525.5199999999977,3556.32,3987.48,3914.16,4090.04,3987.48,4039.4,4072.84,4052.2,3721.56
3,5885.480000000002,6077.32,4669.879999999999,6980.720000000004,6478.06,8657.08,8473.300000000001,6022.62,8200.9,8310.699999999999,4137.88,5213.1799999999985,2845.7199999999957,5406.0,4104.08,4955.74,5528.940000000001,4641.4000000000015,5121.94,5307.84,4791.480000000001,4400.78,5939.52,6969.8,6586.7,6787.1,6522.52,8037.82,4332.18,6582.78,4925.84,4956.08,5492.42,4113.62,5565.24,4091.36,5198.76,4363.600000000003,5135.719999999998
4,8351.64,8279.799999999996,8431.960000000001,7643.159999999999,8841.400000000007,13164.319999999998,11718.079999999994,7393.399999999999,12728.399999999998,13505.72,7107.3200000000015,6331.8,5868.160000000002,6420.0,5179.36,6053.2,6645.56,6006.5999999999985,6380.200000000002,4810.04,8311.16,8421.16,9731.56,8484.199999999999,8384.64,10530.4,8611.76,12904.56,8553.56,7550.16,8543.36,5421.12,6521.08,4566.04,4307.84,4969.12,4428.16,4295.4000000000015,6339.2
5,13408.9,22542.2,13659.9,20476.400000000023,22891.1,21960.2,21387.9,21953.2,21857.5,21057.1,6087.199999999999,8437.1,5650.2,8226.0,5451.600000000003,8260.1,8548.3,8351.0,8365.9,8725.1,10475.4,13370.1,11902.8,13158.0,12969.4,13110.5,13149.6,14023.4,12434.499999999995,17454.099999999977,8234.800000000001,6476.0,8340.9,6215.0999999999985,8598.6,6286.0,7113.400000000005,6068.0,8411.4
6,21772.44,20076.88,21896.64,20123.88,20119.72,18989.84,19071.320000000003,20501.92,18920.8,18824.08,12263.92,10234.159999999998,11068.280000000002,8873.0,8419.72,12417.36,11563.799999999992,13197.8,11798.359999999995,8220.28,18087.6,22160.36,20606.04,21322.4,22173.48,16071.2,21267.96,22024.84,22410.76,20897.120000000006,12967.68,8601.28,9913.399999999994,8424.28,7962.519999999998,8414.039999999999,8046.48,8058.399999999998,12499.400000000005
7,19557.74,17929.48,23080.18,18288.02,18339.34,20977.319999999992,21754.480000000003,21120.78,19797.1,19612.78,23378.88,23550.96,16220.07999999999,14907.0,7950.44,23845.72,13674.24,22496.8,13871.440000000002,10733.199999999997,22262.76,20036.44,30325.84,21633.4,19689.58,21141.3,19339.84,19550.319999999992,20243.22,18822.36,20955.28,10595.52,13277.32,11230.28,13456.88,9106.399999999998,13482.88,13187.400000000005,21994.04
8,18029.44,28502.079999999984,21387.64,21903.8,22127.16,26211.88,26102.28,22232.76,25845.4,25644.32,21519.08,21504.36,21993.84,22409.0,13419.28,21618.64,23034.16,20607.6,22407.120000000006,23605.04,20072.92,18392.48,27795.04,22947.8,20634.2,30031.8,20286.88,23019.88,20846.800000000007,22265.2,19013.32,19961.31999999998,20518.120000000006,13289.72,20939.32,13138.96,21873.04,21753.2,19894.44
9,22520.44000000001,32968.24,26805.68000000004,25850.54,28105.18,32852.96,30433.94,28370.86,32348.8,30174.98,19838.120000000006,19830.54,20465.74,20814.0,23418.28,20065.22,21356.820000000003,19233.200000000004,20837.24,21884.16,20433.44000000001,22256.9,27976.76,24047.8,24226.66,28062.6,26559.74,28848.1,24762.36,26839.46,17474.36,20572.36,19034.82,20644.16,19440.36,21000.48,19882.64,19716.2,18349.84
10,25930.4,36032.39999999997,36414.60000000002,30278.0,33146.200000000004,40357.4,34640.999999999985,30340.6,44229.0,40443.6,18587.2,20526.799999999992,19134.200000000004,19219.0,21680.8,18818.6,19713.800000000007,20395.0,19291.8,20212.6,22348.6,26215.6,34205.0,28260.0,28836.6,26551.0,29655.40000000001,33412.4,31292.4,33304.4,18928.4,19073.4,17883.8,18912.6,18029.8,19777.8,21455.2,21205.0,17074.6
11,32753.94,45340.84,38981.56000000003,43267.46000000002,42651.82000000002,45938.19999999999,44649.46,31958.46,54227.599999999984,41940.74,22691.64,23629.07999999999,20700.66,20610.0,20440.68,22848.12,21007.1,24543.0,20680.38,18959.640000000007,25154.76,29383.439999999977,38828.76,36460.800000000025,33060.16,29910.8,40272.39999999999,43682.079999999936,32971.1,43199.86,25976.96000000001,17577.559999999998,18791.38,18032.02,19419.8,18523.92,20245.92,20364.8,21111.52
12,40902.44000000002,47860.39999999999,41675.88,45769.60000000001,45931.2,62017.39999999999,55055.52,44773.32,66351.40000000001,50885.4,24596.52,34184.96,26191.879999999986,24899.0,19430.92,26945.04,25315.72,28924.8,24909.28,23218.52,30686.48,32768.12,45099.16,42409.000000000015,33086.399999999994,33772.0,43821.84,47416.6,47126.68,42400.88000000001,43882.08,19022.6,25439.96,17105.559999999994,22649.24,17304.36,19290.48,21062.800000000025,24839.44000000001
13,43109.599999999984,65303.88,43032.02,66792.44,62701.56,82657.32,63603.4,49298.1,79470.7,49735.86,29057.12,33912.04,28747.300000000007,26856.0,20716.08,29184.96,27474.32,31243.2,29118.54,27361.84,32649.44,45279.02,50836.28,42684.4,50150.98,38286.1,48345.22,50870.62,48991.04000000001,54813.32,42795.56,23292.36,27461.9,21098.84,23802.76,21174.56,22593.24,23506.4,27463.16
