,90_1_www.theguardian.com,90_2_www.theguardian.com,90_3_www.theguardian.com,90_4_www.theguardian.com,90_5_www.theguardian.com,90_8_www.theguardian.com,90_9_www.theguardian.com,90_10_www.theguardian.com,91_1_www.theguardian.com,91_2_www.theguardian.com,91_3_www.theguardian.com,91_4_www.theguardian.com,91_5_www.theguardian.com,91_6_www.theguardian.com,91_7_www.theguardian.com,91_8_www.theguardian.com,91_9_www.theguardian.com,91_10_www.theguardian.com,92_1_www.theguardian.com,92_2_www.theguardian.com,92_3_www.theguardian.com,92_4_www.theguardian.com,92_5_www.theguardian.com,92_6_www.theguardian.com,92_7_www.theguardian.com,92_8_www.theguardian.com,92_9_www.theguardian.com,92_10_www.theguardian.com,93_1_www.theguardian.com,93_2_www.theguardian.com,93_3_www.theguardian.com,93_4_www.theguardian.com,93_5_www.theguardian.com,93_6_www.theguardian.com,93_7_www.theguardian.com,93_8_www.theguardian.com,93_9_www.theguardian.com,93_10_www.theguardian.com
0,-48.0,-48.0,67.0,67.0,0.0,-48.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-48.0,-442.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0
1,34615.16,18997.28,18279.6,12222.52,25490.640000000007,23204.799999999952,18013.0,2314.5,56894.28,21699.3,69621.86,32274.34,28726.18,137919.48,74181.31999999999,46185.66,34001.24,77316.36000000004,215.6,-127.47999999999956,-173.11999999999995,-564.8799999999999,-218.1199999999997,1744.64,-127.47999999999956,-56.5,824.2400000000004,-442.64,1404.3,555.5400000000002,1458.7199999999998,1568.96,-91.22000000000004,-103.12000000000064,1568.96,589.2,1512.1,1588.2
2,146751.76,143008.96,142681.48,136226.28,66406.12,144704.28,142799.0,7386.199999999999,152360.48,149831.84,153114.04,153513.28,149449.67999999993,170559.2,170886.63999999998,152337.32,152734.76000000007,149113.84,431.2,1355.76,1029.8799999999994,1399.4,1349.44,1243.0400000000004,1355.76,-511.0,1422.12,1556.2,743.2399999999999,4153.44,1219.16,1227.08,1585.76,1470.5200000000002,1227.08,4236.5999999999985,1066.92,1175.6
3,155721.16,153432.06,151991.96,153443.04,146584.58,154808.48,154731.5,18883.4,187022.39999999997,175088.06,182043.6,174101.02,170783.42,384844.84,397805.84,178636.64,177692.76000000013,180005.19999999995,506.4000000000002,1201.34,1477.08,1300.64,1189.46,2437.820000000001,1201.34,1558.5,883.56,1444.24,4686.48,8468.96,4215.159999999995,2221.0799999999977,856.6199999999999,2944.46,2221.0799999999977,8273.599999999999,2444.16,453.6000000000032
4,250403.4,179835.92,177473.04,166102.32,172183.8,175737.2,179263.0,38513.6,412548.6,329303.6000000002,447136.2,386554.16,267166.36,829762.88,672284.92,489552.56,387210.6,482838.24,1308.5999999999992,597.1200000000001,1286.64,729.5200000000003,581.2800000000002,4470.24,597.1200000000001,1594.0,1495.9600000000012,1204.44,4361.56,10676.800000000008,4384.28,4251.44,2447.48,2569.9600000000005,4251.44,14665.400000000005,4548.88,2332.2000000000007
5,479081.2,414986.9,220302.8,227595.0,461099.0,326660.0,408036.5,120861.5,642761.0,608314.0,661338.9,636713.3999999999,707621.9,878924.6,729148.8,539163.7,578309.8000000005,649828.4,1975.0,2396.0999999999995,644.8,680.1999999999985,4532.4000000000015,7163.8,4751.5999999999985,1159.0,2284.8,569.4,7083.2,15604.00000000001,6701.800000000001,4194.5999999999985,4548.9,4576.0999999999985,4541.8,27522.0,4227.999999999995,4429.5
6,509004.20000000007,520597.84,583206.16,370310.88,500315.44,364091.04,505117.0,141694.6,681369.72,697310.88,682919.84,681302.84,833510.0399999998,977328.76,972398.48,688083.1599999999,875971.4400000002,718634.48,1657.2000000000005,3073.1200000000013,2605.04,4675.84,4541.32,5864.360000000002,4560.28,724.0,4347.64,2764.9200000000023,7075.12,33866.20000000001,7129.440000000001,5854.88,6646.76,7129.3600000000015,6416.6799999999985,27651.2,6540.44,7091.8
7,585603.52,538566.4400000001,742516.9199999998,723707.56,553005.88,692430.4,626769.0,148832.40000000002,840293.36,745187.38,734726.44,732346.34,895154.22,1085205.64,1018116.52,891484.9599999995,908604.16,744706.8200000002,878.3999999999997,4353.66,4299.079999999998,4604.52,4331.54,10483.94,4353.66,2571.0,4301.28,4538.44,8136.819999999998,36407.72,9053.799999999996,6998.399999999998,7086.44,6367.419999999999,7582.399999999998,24784.4,8750.38,6621.9
8,707600.04,715703.7999999998,957084.44,889132.88,629414.52,840838.28,776624.0,151131.4,963755.96,939499.8,979870.88,969550.48,962589.56,1278153.32,1071066.84,978581.16,962148.52,976567.04,5214.2,4150.359999999999,4675.72,4367.88,4322.839999999998,14067.88,4150.359999999999,4571.0,7010.04,4602.16,12624.8,33631.32,10744.96,8044.28,7962.879999999997,10856.679999999997,11623.52,30030.4,10381.76,6229.2
9,879058.4000000001,903703.78,1080938.4,962999.44,870082.2,934006.56,839925.0,156096.7,1002293.12,1017210.76,989811.86,1015186.54,996364.2,1291784.4,1268775.72,1032897.58,985824.9200000002,1010530.98,5144.6,7024.72,4549.24,4258.160000000002,3868.82,13634.6,7024.72,4615.5,6985.359999999999,4364.72,13845.52,37044.240000000034,14008.56,9864.24,11103.559999999996,10626.12,10653.64,36115.8,10588.839999999998,11226.600000000004
10,1161456.8,1143316.8,1173930.0000000002,1113970.0000000005,1011335.5999999995,1134925.4,1162645.0,160889.0,1082287.4,1040340.4,1030591.0,1069543.0,1036087.6,1344785.4,1352153.4,1048823.0,1027712.8,1095069.2,5044.0,6558.2,4963.999999999997,7074.6,6851.000000000003,19581.6,6402.799999999998,4505.0,8633.6,4452.200000000002,28532.4,42059.6,28787.8,12483.0,12258.0,13879.599999999995,13420.200000000004,40255.0,13850.6,13352.0
11,1223472.4,1221456.78,1242846.52,1238440.52,1214525.06,1185292.08,1233568.5,167489.9,1160579.36,1103484.34,1110821.04,1138091.6,1153977.56,1443468.44,1427918.96,1182024.94,1122040.36,1173027.36,5259.6,6686.74,6002.319999999999,6581.04,10999.560000000005,20568.18,5956.619999999999,4720.5,8218.44,6823.959999999999,27160.68,46254.56,27509.16,12138.159999999998,15171.399999999987,20462.599999999995,29038.92,45018.2,20087.39999999999,14827.000000000005
12,1277071.56,1269653.36,1254518.4,1257405.32,1267946.72,1231749.72,1274562.0,178144.0,1209810.44,1234462.28,1263739.72,1261924.08,1235987.64,1525115.44,1467764.96,1283571.799999999,1155197.64,1330102.96,5461.8,9225.96,6556.3200000000015,6099.28,10519.520000000008,22631.72,6210.92,3688.0,12705.96,7135.84,25999.56,50557.08,26267.96,26938.32,20769.800000000007,28581.120000000006,27970.48,48546.2,29012.8,27938.8
13,1305350.28,1303157.32,1275186.6,1300684.12,1311784.6000000008,1258924.68,1323122.5,316723.9,1332819.64,1352361.66,1347323.12,1309364.46,1355318.12,1591476.64,1494428.08,1352040.98,1290249.16,1351219.88,5349.999999999994,10829.1,8111.400000000002,6183.120000000001,11821.28,24577.020000000004,10824.36,8337.0,14052.2,6256.360000000002,30338.82,51992.60000000004,27610.72,25836.36,29107.14,27207.38,26865.64,52116.0,27972.02,26729.7
14,1362542.64,1319964.08,1311904.8,1322347.24,1318583.92,1278488.76,1328294.0,375311.0,1350478.68,1371473.88,1361290.4,1324765.84,1366182.96,1605207.72,1561109.04,1370186.44,1303763.08,1426133.2800000012,8400.199999999999,9847.64,8850.28,7347.199999999998,11535.160000000002,25372.72,12649.8,10209.0,13682.4,5682.88,29336.68,55692.16,29399.12,24732.56,27778.44,26466.48,28888.92,60412.2,27023.44,25931.4
15,1402874.2,1388276.9999999995,1368779.8,1401872.2,1364568.9,1314417.4,1373608.0,415782.0,1426537.4,1447345.8,1437864.7,1332283.3,1431461.6,1676741.2,1603877.8,1436062.8,1323317.4,1429479.4,7145.0,10752.00000000001,9918.0,11036.4,12341.2,27117.9,13229.6,9510.0,20486.0,6218.6,28205.2,55767.9,28187.6,24069.2,26785.4,25172.3,30158.8,76716.0,26003.1,27647.5
16,1421385.36,1420985.96,1375597.24,1417640.52,1472710.76,1384537.2,1421512.0,458438.8,1465027.84,1451985.32,1492282.84,1378037.48,1502597.84,1752539.52,1745690.24,1448471.08,1430819.04,1468352.96,8280.999999999996,14089.400000000005,10354.16,12685.4,12569.8,28809.28,13572.160000000002,9213.0,20094.32,10836.96,29641.52,60451.400000000096,27083.96,22503.64,30704.52,24281.12,31773.44,132408.00000000015,24615.640000000007,29078.4
17,1435511.36,1489801.16,1437466.08,1490183.84,1479141.48,1408426.28,1494900.0,458741.6,1509230.76,1496978.98,1529811.0800000003,1447600.06,1578793.82,1844769.92,1845262.08,1463921.68,1461092.84,1517140.14,10368.6,19134.8,10631.48,13309.56,19518.22,38277.1,20317.18,8567.0,18938.84,12883.480000000005,31236.78,116277.92000000035,30103.24,21590.68,29978.46,25556.94,31303.76,180796.0,23641.320000000003,30720.4
18,1571447.36,1498743.24,1526226.88,1497949.76,1544036.48,1421112.6,1502765.0,457209.6,1528060.76,1548621.6,1539305.48,1557064.2799999982,1612773.32,1890127.44,1883728.76,1522123.24,1510016.24,1550894.36,10547.4,20219.72,10512.24,13743.48,20157.32,38475.319999999985,19218.28,10983.0,22030.31999999999,14157.72,32078.079999999984,179086.48,32994.56,23262.72,29124.28,27209.24,32926.76,245721.2,25151.359999999986,30030.4
19,1583759.88,1542562.42,1581066.76,1529793.96,1676267.9600000004,1487491.16,1575110.0,517055.4,1540631.68,1587471.42,1557481.16,1615490.66,1621134.66,1901954.12,1909727.76,1557822.12,1547080.12,1613545.74,15886.999999999987,19103.26,12501.199999999986,13838.36,18810.58,52289.95999999995,18969.880000000016,11246.0,23164.72,13937.8,34509.66,254113.8,34884.48,23117.320000000003,30813.879999999986,28912.18,32210.96,324246.60000000003,27301.879999999986,29023.1
20,1649046.2,1583733.2,1597317.8,1614939.0000000002,1700358.2,1509515.2,1672785.0,600430.0,1567706.6,1621844.0,1588376.2,1635910.4,1641108.8,1967348.4,1989808.4,1624329.6,1626156.0,1656546.0,18813.0,21157.4,17100.2,20414.6,20707.6,85736.0,20552.6,12519.0,25750.999999999996,13529.2,34929.200000000004,311211.2000000003,36868.2,27037.2,32296.800000000007,32355.59999999999,31655.4,335318.0,31229.6,31250.0
21,1651724.68,1709656.6,1629306.56,1694922.92,1805985.18,1599066.64,1728790.5,676548.6,1630998.9599999997,1691794.58,1644788.04,1667020.96,1672007.96,1989447.2,2004905.56,1669904.18,1655869.56,1714487.74,18355.200000000004,21007.98,15758.48,19579.8,20585.62,83701.58,22899.12,13797.0,25840.2,13709.2,38541.76,403045.1200000003,39564.11999999999,29157.16,34153.12,33174.62,33892.16,390182.80000000016,33017.54,30084.6
22,1727098.96,1713556.44,1683621.8,1716676.84,1821270.08,1633372.52,1796236.0,739632.4,1674613.64,1799062.9600000004,1734331.4,1688639.52,1692528.48,2035781.08,2032040.88,1699947.44,1674725.2000000004,1729539.6800000004,17106.2,22859.84,16439.679999999993,18880.64,22571.32,85430.31999999999,22783.36,20801.0,25090.279999999995,18697.639999999992,40701.08,440651.0,43240.96,33500.48,33793.36,35770.84,33384.88,437323.8,37091.84,32039.6
23,1752738.8,1743319.94,1695983.28,1788656.32,1828210.12,1701194.72,1803023.0,790219.7000000002,1693145.4,1830782.28,1809250.52,1705752.06,1738938.14,2044549.92,2051761.36,1712601.8399999996,1697276.92,1836081.56,18889.4,22861.200000000004,19735.44,20799.44,25356.74,89521.08,24855.26,20366.0,26920.88,20315.04,40701.22,443347.08,43261.64,37960.32,33285.020000000004,37707.9,35226.28,442927.8,37298.95999999997,32410.9
24,1771800.28,1815492.0,1808608.76,1805934.8,1850460.52,1730108.68,1809447.0,817552.7999999992,1703585.24,1849918.4,1824033.76,1813133.36,1769499.36,2064690.52,2069817.92,1782064.32,1768263.44,1852608.28,20220.599999999988,25066.08,19723.16,22998.64,24814.52,91805.08,24364.08,19076.0,30996.44,19015.36,42916.92,447379.16,43290.44000000002,37562.68,35349.64,41773.28,39204.68,446790.6,39614.12,34563.399999999994
25,1919393.0,1875324.0,1826825.0,1820111.0,1875694.0,1746586.0,1818098.5,919137.0,1731026.9999999998,1877349.5,1839236.5,1841738.0,1843585.5,2082000.0,2162116.0,1799481.5,1812344.0,1881202.0,20899.0,25289.0,19507.0,22758.0,24084.5,95278.0,25894.5,19926.0,30325.0,18554.0,43544.0,484274.0,45052.0,42029.0,39443.5,42029.5,41168.0,450912.0,41428.5,41121.5
26,1987804.44,1888466.92,1933500.36,1842094.24,1919116.2,1759915.4,1865095.0,1054472.6,1838742.3999999997,1907208.36,1888852.36,1882280.84,1917084.24,2119097.12,2211765.08,1810130.16,1859294.68,1897766.08,23308.400000000005,27609.24,22021.44,24703.52000000001,27077.60000000001,95259.24,27387.24,20752.0,31801.8,20624.84,44629.56,556814.28,48045.83999999998,42273.96,41577.88,43609.88000000002,40813.32,471877.6000000002,41840.88,43521.8
