,106_1_www.dropbox.com,106_2_www.dropbox.com,106_3_www.dropbox.com,106_4_www.dropbox.com,106_5_www.dropbox.com,106_6_www.dropbox.com,106_7_www.dropbox.com,106_8_www.dropbox.com,106_9_www.dropbox.com,106_10_www.dropbox.com,107_1_www.dropbox.com,107_2_www.dropbox.com,107_3_www.dropbox.com,107_4_www.dropbox.com,107_7_www.dropbox.com,107_8_www.dropbox.com,107_9_www.dropbox.com,107_10_www.dropbox.com,108_1_www.dropbox.com,108_2_www.dropbox.com,108_3_www.dropbox.com,108_4_www.dropbox.com,108_5_www.dropbox.com,108_6_www.dropbox.com,108_7_www.dropbox.com,108_8_www.dropbox.com,108_9_www.dropbox.com,108_10_www.dropbox.com,109_1_www.dropbox.com,109_2_www.dropbox.com,109_3_www.dropbox.com,109_4_www.dropbox.com,109_5_www.dropbox.com,109_6_www.dropbox.com,109_7_www.dropbox.com,109_8_www.dropbox.com,109_9_www.dropbox.com,109_10_www.dropbox.com
0,67.0,-48.0,67.0,67.0,0.0,0.0,67.0,-442.0,67.0,67.0,-48.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0
1,14496.82,8187.2800000000025,7223.72,9656.08,-243.68,4938.480000000001,7169.9000000000015,12949.66,7015.32,3192.74,365.02,1504.6,1685.44,-305.3599999999999,1598.0799999999995,-33.439999999999664,1504.6,1384.2,1485.0,1428.8000000000004,1301.7999999999995,1691.36,1347.1200000000003,1703.2,1534.0,1482.7,1725.4,-98.0399999999999,2200.120000000001,891.1999999999997,857.4399999999998,681.5200000000002,2039.78,257.56,556.28,1597.62,980.06,4716.08
2,34985.16,29259.839999999986,20832.800000000007,21201.52,5162.76,17256.92,13222.000000000005,30507.44,19143.16,10576.399999999994,845.0400000000002,555.9200000000002,666.1599999999997,1434.44,822.32,1342.76,555.9200000000002,379.8000000000001,494.8000000000001,811.8400000000003,1310.4,721.0399999999997,1314.36,830.7999999999997,647.6000000000003,975.24,1044.3999999999996,1558.0800000000004,6678.44,4360.4,3704.8799999999987,2663.5199999999977,4794.04,7470.08,1903.0799999999995,4764.28,3561.6,7152.52
3,68332.88000000009,41596.92,40321.96,38370.68,16291.720000000005,33359.88,39757.40000000005,52320.080000000016,37170.16000000002,25484.82,2626.16,4611.4,4629.78,2829.1599999999994,4022.240000000001,3501.680000000001,4611.4,4578.4000000000015,4555.0,2259.2000000000007,2578.4,4610.82,2573.96,2385.9,4663.8,2414.3,2314.8,1952.5600000000006,14037.78,8718.000000000005,5582.600000000001,7823.3600000000015,12110.32,11155.68,2819.140000000001,9912.38,9223.02,14752.940000000002
4,272123.4,55577.92000000001,89204.48,47348.04,31136.28,37321.88,54894.6,103738.56,57738.28000000001,39134.68,1632.1200000000006,6146.88,4253.359999999999,4701.56,6535.959999999999,4745.24,7136.32,6282.5999999999985,7104.4,4317.96,4602.0,4272.56,4671.12,4644.8,6759.6,4449.4000000000015,4540.4000000000015,4772.88,19886.92,13203.4,14369.48,12160.64,17951.12,15583.72,6421.600000000006,12352.88,15867.96,17401.119999999984
5,378217.8,105456.6,130223.79999999994,98530.19999999997,43593.1,42906.400000000016,109176.5,206949.2,96364.1,44051.7,5545.5,8228.4,7074.900000000002,6801.2,6185.4000000000015,6768.8,6098.6,7061.0,8258.0,6893.399999999998,3946.0,6086.3,6295.800000000001,6670.0,7428.0,5457.999999999998,7018.0,6410.799999999997,33501.9,15244.5,16994.6,14058.2,35229.700000000004,19517.2,9092.9,19926.7,20374.1,35776.29999999999
6,692103.52,324122.08,376332.68,110746.0,95954.92,96345.72,328398.6000000002,302321.72000000003,104932.8,80348.19999999997,5820.68,9484.48,7682.04,8395.64,12667.0,7533.840000000001,12163.28,7552.800000000001,10870.6,7125.92,5516.2,8175.36,7210.640000000001,8332.000000000004,11443.2,6552.6799999999985,5993.800000000004,6878.12,40333.72,19213.6,17897.799999999985,18012.999999999996,37416.92,33672.64,15766.48,34253.96,22119.44,35596.640000000014
7,950643.2,385443.96,389420.5,253453.4799999997,110284.2,150260.48000000007,395391.5,670964.7599999999,186866.86,97136.58,6285.96,11622.96,12640.08,12367.36,13064.52,12683.12,12970.88,12596.6,20463.600000000006,8122.719999999998,8312.4,9978.82,8252.14,10742.3,43564.599999999984,8619.58,12129.200000000004,7978.06,83355.34,33810.1,34575.16,32519.48,71705.3600000001,36411.76,16941.94,37257.92000000001,40129.34,41691.58
8,1163885.16,479819.03999999963,419491.24,391246.8,385625.08,377367.6,580299.8000000003,918260.84,474056.6,101577.28,6751.24,12865.76,14055.28,14520.24,13691.72,14200.92,13332.24,14086.6,59728.0,12885.72,9935.4,14257.12,12860.84,72589.60000000003,82649.4,12169.28,14280.4,13136.64,88562.44,32218.200000000008,36305.52,36520.88,93825.28,46795.15999999999,18379.04,80745.48,40147.48,87209.44
9,1240831.2,860611.9199999998,722565.2799999998,396564.96,396966.5,375205.16,946516.5,1165233.16,733834.9600000004,123381.94000000002,8900.16,14824.92,13816.360000000002,15617.36,17627.92,13902.039999999995,17309.48,15431.2,79876.6,12325.68,12758.999999999995,14159.580000000002,12517.46,79880.2,84010.6,12632.44,48090.0,13227.06,91137.02,36342.60000000002,41397.56,75020.24,99188.86,85998.6,20616.06,86757.79999999999,45955.26,94390.47999999994
10,1412141.6,1006973.6,965032.4,519301.7999999997,530131.8,573803.0,1179459.0,1244592.0,990862.6,175888.59999999945,9805.4,16476.8,17102.600000000002,17461.600000000002,20844.2,17055.0,20544.8,17095.0,81434.0,33604.399999999936,13717.0,77261.60000000014,52874.20000000005,81799.0,85588.0,13722.999999999995,58338.0,44096.79999999999,93879.4,78827.0,85800.60000000003,85350.2,144850.8,94412.4,34457.8,89002.4,92372.4,95872.6
11,1541969.3,1119700.52,1151552.88,762144.8799999997,948070.74,858619.4800000007,1257614.2000000002,1372986.44,1203774.82,335672.12,13573.18,19336.32,18598.84,20832.48,42380.199999999946,20426.64,21432.800000000007,16219.8,84960.6,78408.15999999999,26705.199999999986,83532.28,82073.98,81128.6,91169.4,26292.319999999974,79844.4,82700.14,95746.44,84203.4,90847.24,96092.27999999996,146982.52,124058.4,35634.26,91603.74,125480.74,95440.66
12,1557648.12,1232087.7999999998,1261791.8,950389.76,1114951.48,1000473.12,1408039.4,1461351.56,1240698.84,388150.52,13281.279999999993,22534.04,17963.079999999998,29468.400000000063,80447.80000000003,47693.28000000002,70575.84000000001,23578.6,90792.8,82198.04,63119.6,87393.23999999999,83804.36,89259.6,93288.4,72218.59999999999,90106.6,83631.24,99700.36,87196.59999999999,88477.64,98700.04,152660.36,141228.36000000002,39048.64,91718.56,143246.56000000014,120642.31999999988
13,1600625.78,1250927.4400000002,1356713.6399999994,1163655.84,1194711.82,1097806.96,1510382.2000000018,1548082.98,1294823.6,608863.2799999999,13071.459999999992,29273.36,25049.72,55256.4,95993.28,90261.08,100926.04,27170.19999999992,91489.6,83790.12,84154.8,89184.34,86835.56,90762.6,98276.6,82576.94,91804.8,86063.02,164174.95999999993,91152.2,88123.44,144107.24,154603.19999999998,138821.68,41083.94,92776.28000000004,148850.28000000006,169835.3199999999
14,1663695.68,1417997.32,1428084.56,1204832.52,1250705.0,1231278.72,1559768.8,1596964.44,1402225.16,869889.0399999996,16206.60000000002,47371.51999999997,25620.36000000003,95704.64,99372.32,97236.68,102301.32,74255.6,133719.80000000002,85038.79999999997,85454.4,92588.64,91734.72,91089.6,173706.39999999985,84102.32,93347.6,87772.32,197835.52,92624.0,108305.68,147375.16,277275.8800000003,139828.96,82683.68000000002,100792.32,149923.96,181871.4
15,1852546.8000000003,1485688.4,1549774.0,1248164.4,1417599.1,1235156.4,1696428.0,1641712.6,1478066.4000000006,958077.2,20685.2,102037.19999999997,64725.800000000076,99080.6,100868.2,98758.6,103766.2,98736.0,193685.0,89207.39999999998,86793.0,95084.6,93204.8,94218.5,234710.0,83782.99999999999,93766.0,91434.2,234541.00000000012,90379.0,129306.6,147390.0,386964.4,155472.60000000006,82613.00000000003,104775.1,153320.1,204847.3
16,1898374.12,1553576.8,1563803.8,1410419.72,1528998.84,1378630.2000000002,1707194.8,1710992.56,1530976.4,1129296.48,34246.400000000016,106281.32,100209.88,99796.24,99733.56,100179.24,105231.08,102169.8,244685.2,90995.64,88508.2,99665.32,93891.68,118809.0,248406.4,87714.76,128769.4,93355.24,309087.12,91446.4,180318.2,150084.15999999995,386549.92,192784.88,95246.96000000002,180072.16,213603.48,210002.92
17,1963328.02,1565375.56,1611183.92,1443928.96,1565322.72,1404722.0,1847174.3,1850166.72,1554520.64,1188733.42,76929.20000000008,107133.84000000004,101151.64,99955.24,101283.28,101688.36,104043.32,102809.6,244871.6,92992.2,92529.4,163591.92000000007,97990.41999999998,146180.40000000008,265110.19999999995,91467.04,183073.60000000012,97135.81999999998,348004.26,94095.7,194535.04,159015.96000000002,394475.9,242062.6,98442.26,202137.06,309756.5600000001,255953.79999999935
18,1990782.76,1651551.36,1706780.68,1553608.4,1591805.52,1500484.3999999994,1889015.8,1880048.52,1659274.32,1231210.44,95910.44,108092.28,103005.08,101674.28,99736.16,100509.16,104676.36000000002,103166.2,262945.4,94054.4,94917.2,175231.48,146140.56000000008,184331.8,312263.0,93310.48,224673.4,143708.71999999994,383042.04,136362.00000000006,198832.12,236455.16000000003,394221.32,332487.16,103083.72,202914.96,356062.6,340480.92000000004
19,2039383.58,1709026.76,1746394.96,1562238.96,1659592.58,1546177.68,1904792.1,1968153.14,1735861.02,1317637.72,97820.88000000002,109686.24,104822.26,100083.24,103250.72,99262.28,106542.68,103910.8,307401.99999999994,122955.47999999982,95542.0,225280.56000000003,201693.28000000003,226665.2,314306.8,93853.4,231213.6,196045.96,391599.28,158629.9,198151.88,331542.15999999986,399059.22,380001.64,142677.96000000002,257271.04000000012,390355.66,392861.98
20,2144430.6,1731123.5999999996,1862931.4,1632520.2,1723225.2,1555081.4,1943573.0,1983006.2,1833329.4,1426973.8,99806.4,107831.8,104796.80000000003,101101.2,107411.4,100695.8,111559.4,103554.0,311998.0,157786.1999999999,120994.0,249938.8,242088.00000000012,245984.0,315925.0,108412.79999999996,248765.0,214292.0,389752.2,168934.0,262720.2000000001,385088.8,402854.2,384719.4,145700.2,276536.2,392929.2,395395.5999999999
21,2307448.0000000005,1854136.6,1892241.94,1700000.76,1858062.68,1657886.2,2018709.8,2092006.98,1840368.12,1448528.5599999996,101791.92,108920.88,105012.32,104992.84,109441.32,99383.52,112817.08,103672.79999999996,311847.2,198927.56,165655.59999999998,280371.12,248513.72,245699.3,321978.6,165182.36000000002,248357.8,238846.8,395666.5200000001,194115.50000000003,294075.72,390041.24,410860.08,388916.28,143820.38,318718.02,396295.94,404312.68
22,2571106.48,1917321.16,1907602.64,1713405.72,1875410.96,1699366.88,2147583.8,2210496.36,1863805.36,1553002.24,101585.88,110059.36,105411.24,103988.92,109821.75999999997,103059.52,114340.84,103100.4,313359.6,246648.68,210277.6,317786.04000000004,248375.56,283762.80000000005,322058.4,208609.87999999983,278415.2000000001,246174.76,402964.68,195686.2,377983.64,393770.68,473412.56,389928.76,144118.44,353607.64,395404.52,402674.68
23,2635680.26,1928486.16,1945527.76,1853570.48,1912389.44,1704456.44,2338598.8,2257308.94,1928912.500000001,1559856.6,103023.94,110269.96,106600.12,107912.71999999996,110410.68,106762.12,115848.56,107812.4,320218.8,248256.44,228272.0,317335.08,268808.5600000001,310006.7,331238.2,233959.76,305363.2000000001,248959.64,435725.8400000001,196233.3,385639.12,395116.96,510889.64,390085.12,150803.74,388831.3,403918.62,407501.06
24,2648910.92,1938982.72,2061809.0,1885842.96,1986338.5999999992,1720722.36,2570164.4,2403144.2800000003,1947744.4000000008,1604232.56,107089.28,113695.48,109924.08,108170.84,112247.92,110810.36,117352.28,109626.19999999997,319513.4,248117.0,240856.0,321638.56,311303.0000000001,312103.4,334340.4,248494.64,312184.6,269732.72000000003,478853.52,198239.60000000006,390950.6,395224.48,521322.6,392487.72,153561.8800000001,388939.16,406633.28,412038.72
25,2661713.0,2039027.0,2083126.0,1905292.0,2096088.0,1850796.0,2637544.5,2634229.5,1975792.5,1610825.0,107117.00000000006,117121.0,111670.0,110019.0,113463.0,110903.0,120598.0,111440.0,353175.0,275970.0,248335.0,322940.0,313225.0,313679.5,358167.0,248343.5,313893.0,312767.5,479325.5,203083.5,394726.0,400045.0,527939.5,398908.0,165670.0000000003,398313.5,436447.5,417451.0
