,110_1_www.xing.com,110_3_www.xing.com,110_4_www.xing.com,110_5_www.xing.com,110_6_www.xing.com,110_7_www.xing.com,110_9_www.xing.com,110_10_www.xing.com,111_1_www.xing.com,111_2_www.xing.com,111_3_www.xing.com,111_4_www.xing.com,111_5_www.xing.com,111_6_www.xing.com,111_7_www.xing.com,111_8_www.xing.com,111_9_www.xing.com,111_10_www.xing.com,112_1_www.xing.com,112_2_www.xing.com,112_3_www.xing.com,112_4_www.xing.com,112_5_www.xing.com,112_6_www.xing.com,112_7_www.xing.com,112_8_www.xing.com,112_9_www.xing.com,112_10_www.xing.com,113_1_www.xing.com,113_2_www.xing.com,113_3_www.xing.com,113_4_www.xing.com,113_5_www.xing.com,113_6_www.xing.com,113_7_www.xing.com,113_8_www.xing.com,113_9_www.xing.com,113_10_www.xing.com
0,-48.0,-442.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0,0.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,-48.0,0.0,67.0,67.0,0.0,-442.0,0.0,67.0,67.0,67.0,67.0,-48.0
1,268.22,1325.74,1335.6999999999996,1798.96,1354.18,370.48,1175.6,1396.84,461.82,2273.0000000000005,1203.32,565.4,498.22,2433.16,1165.7,634.72,904.1200000000008,858.9599999999998,1205.3,180.36000000000007,2091.12,658.72,396.64000000000016,2074.84,651.4399999999998,178.73999999999992,418.8400000000002,1785.74,1475.5,134.81999999999996,220.91999999999825,1225.1,186.29999999999995,1898.6,-9.080000000001746,138.78000000000006,331.0,520.0600000000002
2,-104.87999999999994,521.8799999999999,555.8399999999997,487.5599999999994,593.16,497.9199999999999,2330.2000000000007,257.56,2327.04,5310.8,4545.44,2322.0,631.8800000000001,5105.28,2298.4,2197.44,5353.64,7198.3200000000015,3236.399999999997,1216.9599999999996,2819.7200000000007,1909.16,1414.2800000000002,3067.72,1893.32,1659.36,1603.3200000000006,5047.12,2608.0,1557.4800000000002,5316.24,4146.800000000001,1175.8000000000004,4984.16,878.7599999999999,1526.9199999999994,802.0,2115.28
3,1621.7399999999998,2281.22,2252.78,4606.52,4553.54,2077.36,7087.8,4546.88,1205.9399999999996,12460.2,7160.56,2844.799999999994,2081.74,10158.600000000008,6971.200000000003,1238.6800000000007,9028.56,13026.4,6976.2,4987.92,7502.04,5229.76,4958.68,5460.3999999999905,5247.52,4934.34,5029.36,6385.22,4516.5,4017.639999999998,7531.12,6919.4,4961.700000000002,6438.96,4783.52,5033.14,4568.0,5136.86
4,4493.879999999999,4486.84,4446.04,6774.6399999999985,4189.480000000001,1253.1599999999996,8459.6,6942.12,5280.08,22512.4,8940.96,5274.4,3606.72,23049.48,8426.2,5327.72,14719.12,18574.63999999999,9812.2,5856.159999999999,10122.280000000002,6541.24,6502.28,9962.2,6215.48,4901.480000000001,7184.920000000001,12638.28,6554.0,7479.08,10708.72,7555.5999999999985,7090.200000000002,10340.88,6152.92,6694.08,8395.0,7715.96
5,4774.9000000000015,6814.700000000002,5261.699999999999,9431.00000000001,6200.4,5254.6,14289.0,7814.399999999998,7754.4000000000015,27086.0,12281.4,6788.0,5112.000000000003,27768.2,11338.5,6946.2,26358.6,34991.8,12042.5,11693.4,12454.800000000005,12044.4,9814.599999999991,13898.200000000004,12998.400000000005,5691.000000000003,8089.600000000002,16824.600000000002,8447.0,8967.9,19235.2,16007.5,11182.0,21005.6,10835.799999999994,10277.7,20529.0,8659.300000000001
6,7520.280000000002,5850.96,5659.44,17732.560000000034,9496.719999999998,4879.480000000001,30815.6,10484.04,6372.039999999997,65421.59999999992,22306.56,12678.600000000002,8615.639999999996,60197.320000000036,13697.4,12436.72,31618.68,101523.8,13937.2,13178.48,16110.56,12999.360000000002,12080.4,17731.919999999976,12613.639999999981,10592.32,12932.84,21379.48,12682.0,13055.28,18225.52,20615.4,17836.000000000004,17990.88,9988.24,12502.48,17559.0,13123.08
7,6671.340000000001,11542.38,10188.640000000003,33489.64,11063.579999999998,6833.080000000003,28631.4,11944.72,13212.06,171153.59999999995,23207.320000000003,18981.800000000014,10537.26,162664.32,24274.9,21878.8,97738.84000000004,161680.76,22786.500000000004,14547.279999999995,21410.120000000006,16871.04,17496.88,21232.66,16341.080000000002,11890.179999999997,14149.240000000005,20904.58,18626.5,19061.74,22111.88,18094.7,15087.300000000005,27905.56,21363.2,18854.72,25712.0,19080.34
8,11330.36,12749.96,12391.28,31419.32,18229.0,9434.64,29755.8,20466.08,18398.76,265704.0,26587.32,22688.2,12332.76,195301.6,23293.40000000001,23249.48,190036.32,247550.68,23934.4,23512.84,21429.72,22961.76,22537.16,21562.04,21604.04,13414.159999999998,22716.28,35825.680000000015,16959.0,17007.08,28245.96,33693.60000000001,15907.2,42849.64,18910.72,16816.24,25829.0,19798.28
9,12873.72,18766.46,20258.72,29671.519999999997,32940.46,11893.479999999998,34770.60000000002,27787.36,17477.079999999954,342964.2,29116.400000000016,24268.39999999998,15700.600000000002,324523.04,25802.3,24166.72,257154.08,294380.27999999985,21981.4,21424.68,21371.56,22933.04,24086.64,36323.960000000014,19497.92,19205.32,20452.56,42738.66,20315.5,20418.12,34912.56,40806.6,19550.1,41005.24000000001,16991.56,20081.86,36975.0,22411.58
