,141_1_www.alexa.com,141_2_www.alexa.com,141_3_www.alexa.com,141_4_www.alexa.com,141_5_www.alexa.com,141_6_www.alexa.com,141_7_www.alexa.com,141_8_www.alexa.com,141_9_www.alexa.com,142_1_www.alexa.com,142_2_www.alexa.com,142_3_www.alexa.com,142_4_www.alexa.com,142_5_www.alexa.com,142_7_www.alexa.com,142_8_www.alexa.com,142_9_www.alexa.com,142_10_www.alexa.com,143_1_www.alexa.com,143_2_www.alexa.com,143_3_www.alexa.com,143_4_www.alexa.com,143_5_www.alexa.com,143_6_www.alexa.com,143_7_www.alexa.com,143_8_www.alexa.com,143_9_www.alexa.com,143_10_www.alexa.com,144_1_www.alexa.com,144_2_www.alexa.com,144_3_www.alexa.com,144_4_www.alexa.com,144_5_www.alexa.com,144_6_www.alexa.com,144_7_www.alexa.com,144_8_www.alexa.com,144_9_www.alexa.com,144_10_www.alexa.com
0,67.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,-442.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,4965.800000000002,4486.36,5029.6799999999985,4931.26,6071.880000000001,4450.52,4321.56,4691.0,4542.58,4566.82,4470.3,5035.6399999999985,4902.12,4433.5999999999985,4558.52,5041.720000000004,6364.52,5441.6,1426.2799999999993,4011.24,3991.8,3141.7999999999993,3427.4000000000005,1625.26,4600.84,3957.24,2355.800000000001,1113.799999999998,3702.3,3811.1400000000012,4244.7199999999975,3798.799999999999,4124.22,3983.9,4126.34,3566.04,4167.94,3712.4200000000014
2,25346.2,22833.84000000001,18928.96,18991.12,36534.24000000001,33664.72,32465.24,10086.0,23259.16000000001,19497.200000000004,24607.59999999999,18787.08,18947.44,25273.599999999984,72037.6,22246.88,27277.72,20085.0,5519.44,6912.719999999998,4177.4,5170.92,5063.36,4321.36,7475.16,5357.160000000002,5195.96,5580.12,6237.8,8776.36,8397.760000000002,8679.800000000001,8309.84,8366.4,8542.960000000001,8603.92,8232.16,7378.320000000007
3,38518.1,33428.68,36930.46,30845.18,41311.48,34541.72,36194.16,39984.0,33883.12000000002,33010.62,31463.2,30961.76,34327.48,29744.19999999997,151026.16,31321.160000000014,30910.74,40490.2,7379.039999999994,8988.619999999999,7870.199999999999,10359.68,8402.96,6469.32,13570.44,7747.200000000009,6150.68,6240.48,15856.399999999978,18990.92,20383.320000000003,19496.999999999996,27718.10000000001,18946.99999999999,50880.48,19223.66,28235.660000000003,18738.34
4,43291.2,44956.52,43066.16,44199.88,59854.04000000001,47090.16,45877.88,48944.0,45948.04,46760.16,41515.4,44855.64,44900.64,40021.6,203530.96,39390.96000000003,39955.88,46428.8,15431.400000000005,16288.88,19573.6,9948.359999999991,19235.56,8119.16,16847.28,22255.080000000005,10607.200000000004,10744.639999999989,42015.2,93749.56000000004,28441.68,90296.4,32594.72,25934.2,100863.08000000005,32729.04,31992.44,59756.00000000001
5,75147.0,64305.8,54707.7,57794.00000000002,95412.99999999996,72617.8,67319.80000000005,62034.0,65960.4,71573.59999999999,63985.0,65657.8,61929.6,70990.0,229840.6,78939.49999999999,70914.4,64362.0,23586.8,26880.2,23794.0,16175.8,24870.2,18762.9,34513.79999999995,33863.6,52106.60000000001,14835.8,40676.0,97062.20000000006,35847.99999999997,96222.0,44710.7,47750.0,154219.3,48813.70000000001,59507.6,96008.4
6,204461.80000000005,88105.52,74851.16,81519.83999999995,224776.6,168034.28000000006,117264.16000000002,94880.0,130624.44,90885.2,116540.39999999988,87547.92,86182.64,73728.19999999994,302416.32,199379.88000000003,148080.12,102130.59999999998,22453.84,60833.36000000003,39040.8,26941.08,26956.08,22751.800000000007,39225.88,34584.24,81345.32,18453.28,58838.19999999998,134238.84,57998.16,164130.6,48340.24,58317.8,160823.72,63801.76,67962.31999999999,117335.44
7,276507.6,169493.75999999998,107929.48,179913.08,308085.59999999986,271632.52,262084.76,184314.0,230726.84000000003,223833.40000000008,248488.0,209285.88,207562.52,198015.4,385186.04,254880.26,237126.9,148324.2,37845.44,61365.78,52889.8,100326.68000000002,45232.52000000002,35419.55999999998,62950.24,57100.76,111235.52000000002,35545.6,98363.4,154389.12000000002,64075.32,191094.4,80086.76000000005,94452.9,222867.06,106679.64,102172.8,120307.78
8,313271.2,277431.28,211592.04000000012,270002.96,367039.23999999993,317166.92,296965.8,283013.0,298976.72,288200.28,270325.6,279115.68,289810.8,221470.0,419136.7200000001,301126.96,266095.92,267477.8,57707.36,86456.52000000003,72204.4,133640.68,51424.52,38757.64,70036.64,122694.48,127724.4,33212.240000000005,135550.0,187030.96,130692.47999999982,224598.2,129142.84000000005,160229.8,250504.48,173191.2,155126.0,126439.04
9,365078.1,308446.36,292661.82,305154.28,528898.6799999997,362061.24,351431.12,330004.0,354839.28,354544.66,327682.4,331133.6,313301.64,286804.2,576731.08,334577.18000000005,314381.48,334184.2,59058.44,102506.42,96149.2,134030.36000000002,56900.08,40739.19999999998,115962.64,149740.04,127956.04,43766.19999999997,204498.3,210620.96,180791.15999999997,280158.2,173752.32,200471.4,316887.0000000001,266698.26,203922.0,182985.94
