,214_1_www.iso.org,214_2_www.iso.org,214_3_www.iso.org,214_4_www.iso.org,214_5_www.iso.org,214_6_www.iso.org,214_7_www.iso.org,214_8_www.iso.org,214_9_www.iso.org,214_10_www.iso.org,215_1_www.iso.org,215_2_www.iso.org,215_3_www.iso.org,215_4_www.iso.org,215_5_www.iso.org,215_6_www.iso.org,215_7_www.iso.org,215_8_www.iso.org,215_9_www.iso.org,215_10_www.iso.org,216_1_www.iso.org,216_2_www.iso.org,216_3_www.iso.org,216_4_www.iso.org,216_5_www.iso.org,216_6_www.iso.org,216_7_www.iso.org,216_8_www.iso.org,216_9_www.iso.org,216_10_www.iso.org,217_1_www.iso.org,217_2_www.iso.org,217_4_www.iso.org,217_5_www.iso.org,217_6_www.iso.org,217_7_www.iso.org,217_8_www.iso.org,217_9_www.iso.org,217_10_www.iso.org
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-113.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-48.0,-442.0,-442.0,-442.0,110.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-113.0,-442.0,-442.0,-113.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,290.0,-442.0
1,1456.88,1406.32,1430.02,1433.18,1336.8,1445.82,1595.2,1441.08,1358.92,1373.82,1428.44,1391.7,1328.9,1475.84,1471.1,1567.2,1637.04,1542.6999999999996,1624.46,1670.1,-250.96000000000006,-330.06,-36.840000000000494,-618.36,-535.3599999999999,1413.4,-444.71999999999986,-233.10000000000005,-535.3599999999999,1141.4799999999996,1563.2,1403.16,1458.46,1407.9,1418.96,1422.12,1436.34,1615.7,1409.48
2,3582.24,3875.64,3683.04,3657.36,4086.6,3597.36,3105.0000000000005,3603.84,4038.44,3604.36,3695.88,3990.16,4103.8,3556.32,3562.8,3590.88,1141.8000000000004,4116.8,3234.4000000000005,3785.76,367.0400000000008,1638.12,1362.08,1330.8,1327.32,1463.2,1333.64,287.4000000000008,1651.32,1444.24,4121.12,3901.32,3580.08,3862.8,3772.92,3747.24,3631.68,4076.4,3849.96
3,5023.88,5520.6799999999985,5194.86,5150.74,4116.8,4982.26,4245.100000000002,5170.44,4524.3200000000015,4918.32,5079.44,5309.54,4431.2999999999965,4705.84,4823.5999999999985,5028.08,3626.04,4665.800000000001,4157.34,5203.62,1329.64,1421.22,1149.5800000000004,1564.54,1505.3199999999995,3814.9999999999986,1440.64,1335.9,1505.3199999999995,3447.8,5021.92,5509.839999999998,5201.96,5108.100000000001,5029.28,5153.88,5121.84,5290.699999999998,5129.64
4,6109.52,6593.32,6344.92,6252.28,4392.5999999999985,6657.52,4443.5999999999985,6350.279999999996,4604.44,8526.28,6099.76,6327.96,4176.5999999999985,6142.36,6172.4000000000015,8357.76,4958.84,8451.800000000001,4956.28,6378.88,1555.0800000000004,1534.8000000000006,4030.68,4039.4,4107.24,3573.6,4093.48,1558.8000000000004,4107.24,3599.52,4373.88,6553.16,6590.56,6195.4000000000015,6021.16,6354.52,6288.36,4558.199999999998,6267.08
5,8086.5999999999985,8466.6,8506.1,8467.1,6083.0,10180.3,6173.5,8502.6,8554.6,7592.9000000000015,8416.800000000001,8351.300000000001,5935.5,7900.8,7922.5,8253.200000000003,6285.2,12502.5,6346.699999999999,8348.9,3709.0000000000014,4009.6,3737.099999999998,3638.1,3595.2,4723.5,3584.4,3618.0,3595.2,4132.7,8425.199999999999,8398.800000000001,12607.700000000008,8082.5,8309.2,8384.6,8430.300000000001,8303.5,8395.4
6,12585.76,10760.600000000008,13042.720000000005,12912.64,8301.2,11949.639999999998,8317.199999999999,14428.84,8616.08,16061.48,14311.12,13619.159999999994,8150.5999999999985,13338.639999999998,13950.199999999995,14003.88,8292.039999999999,15817.8,8433.76,12108.48,3820.28,3769.96,5426.84,4122.36,4377.120000000003,5005.5999999999985,4110.44,3869.799999999999,4097.72,4976.32,7808.639999999998,10211.800000000003,13048.039999999995,9931.999999999987,13535.159999999994,12620.52,12866.24,9106.999999999996,12671.079999999998
7,16484.96,16213.56,15725.14,15691.26,11671.599999999995,16050.26,14217.1,15736.56,13669.04,16333.08,15623.08,15627.22,12106.799999999992,16447.72,16506.8,15994.039999999995,7768.079999999999,16283.4,8033.5999999999985,16050.66,4131.88,4711.580000000003,4842.76,5315.54,4827.72,4324.4,5084.919999999999,4086.400000000001,5267.96,4206.280000000002,13966.04,16182.28,16149.22,15811.2,15503.72,15608.16,16004.56,16001.6,15654.64
8,17722.440000000002,16538.48,16143.639999999998,16812.76,15900.6,15983.4,15540.4,18241.16,15763.64,18777.36,17877.080000000005,17998.720000000005,15698.8,17708.72,17719.8,17949.280000000002,13911.24,17748.599999999988,14327.08,16317.24,5208.640000000002,5137.52,4329.279999999996,4742.12,4205.68,6035.8,4431.48,4925.000000000002,4628.24,5981.96,16467.68,16596.24,19371.400000000005,16392.8,15860.56,16261.32,18255.68,16374.8,16344.04
9,18341.44,18028.88,18832.92,18803.72,16452.8,23638.72,16140.399999999998,18652.36,16389.68,20759.239999999994,18613.48,18582.32,16263.4,18118.68,18176.2,18314.52,16250.56,18962.6,15847.14,18708.060000000005,5191.52,4517.46,6137.86,4123.76,6130.36,8347.1,5656.519999999998,5403.0999999999985,4927.759999999998,8308.42,17870.84,17948.44,23597.86,17594.1,18616.16,18749.48,18637.28,17781.3,18730.08
10,27040.8,18683.6,19483.399999999994,18537.000000000007,17583.0,23883.6,18639.0,27460.400000000005,17978.2,25455.2,19218.00000000002,25913.400000000005,17396.0,18876.6,18894.0,26193.6,16844.8,27099.0,16325.199999999995,18565.4,4537.8,6402.5999999999985,8490.6,6063.8,5964.5999999999985,8390.0,6051.2,4880.0,6106.5999999999985,8314.8,18392.8,18604.8,24061.2,18305.0,18745.00000000001,18007.4,27401.4,17878.0,18445.000000000007
11,24632.44,27035.84,25450.82,25529.34,18410.4,25772.86,18445.9,25219.96,18591.76,26565.62,24734.399999999994,24074.86,18238.2,19353.200000000004,20084.00000000001,26289.04,18151.76,24360.60000000001,18133.58,25785.34,6319.720000000004,6275.14,8378.94,8424.62,8103.240000000002,9265.999999999996,8346.88,4368.5999999999985,8466.44,8546.599999999997,24929.91999999999,27469.56,26618.64,27153.800000000007,25542.76,26428.56,24871.42,26751.9,25845.88
12,25796.52,28191.72,26502.44,24230.720000000005,18776.00000000001,26123.88,27011.2,26496.320000000003,27291.24,28079.84,24320.120000000014,22567.16,21086.199999999924,24438.640000000007,27189.8,25248.76,18902.96,25186.200000000004,18590.64,27090.52,7648.2400000000025,8329.12,7968.320000000002,8199.039999999999,8176.68,13700.199999999995,8263.84,6354.399999999999,8312.92,14140.52,25410.52,25154.36,27740.59999999999,24574.400000000005,24165.12,26854.64,26055.92,24483.4,24235.56
13,28753.76,33712.16,29818.9,31804.10000000001,25935.2,34093.399999999994,24614.7,33271.15999999998,25060.68,32209.66,26492.880000000016,23990.98,24340.1,25526.64,31523.6,23863.76,23903.51999999997,24305.800000000007,24336.120000000028,30954.02,8595.36,8493.98,12161.819999999994,7989.139999999998,7495.7199999999975,15909.2,7888.44,6601.600000000002,7953.3200000000015,15893.64,24011.36,30159.31999999999,33556.579999999994,25964.4,30236.48,26079.56,33899.48,30268.9,30449.24
14,31915.92,35074.32,38214.28,35766.88,24334.2,34213.88,26130.8,36267.48,26682.12,31007.32,34360.64000000001,25293.48,25574.4,24447.92,32694.6,26655.28,24971.92,28124.8,24827.52,29722.44,8404.32,7613.239999999998,14132.36,8891.399999999998,11469.840000000006,16124.8,11677.680000000006,8383.8,10687.200000000004,15552.68,31402.160000000003,39509.56,34319.36,34187.4,35908.56,31390.68,35903.76,36120.2,35839.68
15,33839.8,36074.2,39958.7,37968.3,29285.0,33467.3,32590.0,39567.999999999985,30084.60000000001,44881.39999999995,37905.6,29621.70000000002,24010.5,28622.6,30533.0,31261.59999999999,23721.800000000007,31974.5,23699.8,27717.7,8136.799999999997,12917.1,15985.4,13696.800000000007,13871.4,16170.5,13965.8,8541.5,13477.4,16166.9,35031.599999999984,39229.4,37864.70000000002,35551.5,38009.4,35725.8,46655.00000000005,37992.5,38109.8
16,39908.72,42991.76000000002,56639.35999999999,71220.4,35660.2,43277.88,37972.8,73465.88,56236.56000000004,53209.76,36345.24,35556.44000000002,23487.4,29585.48,33095.400000000016,34482.79999999999,22440.48,36662.199999999975,22470.16,30617.92,8657.400000000007,14197.04,15842.679999999995,13815.24,15747.64,17857.600000000002,15908.28,8031.199999999999,15200.240000000002,18011.48,37838.44,40675.64,43815.84,37845.6,60819.28000000003,38480.960000000014,108638.32,53160.79999999995,54739.52000000002
17,37607.4,81822.52,74743.06,72823.54,37433.6,78031.76000000002,54193.00000000008,73825.24,72121.36,64368.96000000014,34832.200000000004,38243.82,27002.199999999993,33436.72,34976.800000000025,40838.88,24069.72,42332.39999999995,26553.06,36110.83999999998,13443.360000000002,16002.419999999998,16410.940000000002,15601.86,15424.72,17814.0,15533.44,11533.000000000013,15566.72,17920.219999999994,39260.48,39854.48,45820.82,42571.399999999936,105748.6,97947.92000000004,111541.78,83534.1,88697.64
18,50723.60000000001,90217.68,83144.68,81065.44000000003,39772.6,81628.24,75152.6,84938.51999999995,73718.64,108624.44,39690.68000000005,39846.32,27193.6,36440.12,39812.4,42689.08,28175.28,44928.19999999998,28814.120000000014,38975.84,14251.04,15807.839999999998,17469.879999999983,16156.72,16304.72,18001.4,16445.44,14312.2,16536.28,18393.08,72468.52,80261.91999999997,81612.52,67528.0,110695.52,116576.08,110316.48,84426.00000000001,94567.95999999996
19,79038.36,100839.08,102649.44,102507.96,73422.2,84758.14000000004,73776.3,101716.64,75491.40000000001,161828.58000000005,42701.8,42119.2,30303.9,39319.84000000002,43131.9,46612.56,30053.160000000014,45717.30000000001,31053.74,39085.22,16088.68,16539.98,17764.26,16249.34,15763.68,18222.4,15989.36,14571.80000000001,16251.24,17814.96,97464.39999999994,101907.52,99810.36000000004,82225.00000000001,113822.2,122188.64,113649.98,124621.89999999994,118187.48
20,92095.6,148457.6,102400.0,101013.8,74554.0,94390.79999999992,76643.0,136563.6,91568.6,267940.6,41683.200000000026,43549.8,34668.0,42643.99999999998,44876.0,44283.80000000001,29988.2,46152.0,31046.2,43117.4,15746.6,16415.200000000008,18714.2,17195.600000000002,17519.2,18824.0,17739.399999999998,16163.0,18099.8,19944.000000000004,119545.20000000006,124335.6,123222.6,89927.0,119813.8,121288.2,129976.8,125035.0,127002.8
21,92737.08,181586.48000000007,155387.39999999985,136635.9199999999,78290.00000000003,101752.86,96070.4,169626.88,95922.4800000002,341233.1800000001,45641.96,45274.96,34881.599999999984,43061.56,46608.5,44103.8,33919.36,54057.89999999996,33225.66,45123.42,16663.12,17743.54,18411.88,17642.82,18302.480000000003,18616.3,17837.2,16406.600000000002,17799.36,23396.520000000004,124130.88000000002,125210.44,131044.77999999994,117912.8,126337.12,121932.96,129789.02,149290.7999999997,126318.84
22,99591.8,228276.3199999999,231516.51999999981,206511.64000000004,95856.80000000002,141242.31999999998,102388.2,204887.12,129440.68,366228.44,43233.48,50851.76,39299.199999999975,44026.40000000001,47846.8,51742.55999999994,38309.52,61432.2,36726.28,46347.24,16382.16,18735.68,17982.16,18615.44,18307.76,19841.999999999996,18599.76,16523.8,18661.88,28373.359999999986,126170.6,128658.16,134732.84,124112.39999999994,129685.76,146873.16,138923.04000000007,217136.0,143710.6000000001
23,173604.72000000006,285414.84,303934.76000000024,277549.32,129811.5999999999,193434.04000000007,137479.9,275626.8799999997,170908.2800000001,380578.36,53091.56,58649.00000000002,42090.79999999996,55392.16,80374.40000000008,59189.08,40327.72,111432.4,38789.42,48378.30000000001,18240.56,18590.64,20434.72,18374.08,18231.64,23813.10000000001,18359.32,16261.600000000004,18388.76,44200.44,128058.12,130624.16,133563.91999999998,126344.6,133138.40000000002,184385.24,156571.30000000002,280603.4,215836.55999999985
24,206646.12,361460.52000000025,366370.76,319292.4799999997,136036.4,267558.76,169450.8000000002,353637.87999999983,173937.56,377938.44,61379.96,59126.60000000001,47179.8,59638.56,96173.60000000003,70416.19999999997,41913.84,149056.99999999994,40721.2,56285.96000000001,17878.12,18292.92,23663.960000000006,18415.56,17797.32,23040.4,19816.400000000005,18290.2,18020.279999999995,60703.28,168127.2,170336.2,164126.8399999999,140820.19999999995,176116.39999999988,219475.64,171920.75999999995,354672.1999999999,272016.2799999999
25,282974.0,403801.0,400398.0,374708.0,179764.0,300154.0,227164.5,429882.0,185361.0,393761.0,61246.0,61065.0,46646.5,61803.0,142308.0,83656.0,47719.0,174604.99999999994,42251.5,61561.5,18806.0,19125.0,27838.0,18999.0,19639.0,26607.0,24241.0,18377.5,19867.0,62426.5,223067.0,215520.0,210751.5,175876.0,237912.0,263678.0,197629.5,375415.0,343486.0
26,370548.2,448581.96000000014,449107.16,435983.87999999995,205206.0000000001,351921.7200000001,274154.2,474805.2799999999,219897.24,404582.6,81194.00000000016,120630.36000000002,44958.8,107046.32000000004,197131.40000000008,155620.27999999982,47313.64,230566.2,41194.400000000016,94183.56,18527.44,22443.40000000001,41892.95999999998,21987.20000000002,22969.80000000001,29636.6,24523.8,18771.4,23757.16,68609.52000000003,257578.68,277312.19999999995,253730.20000000013,239506.0,287292.4400000002,314431.76,237619.72000000012,390921.0,380897.68
27,430345.64,496595.96,449240.76,493393.2,279986.0000000001,403935.78,314404.7,495013.8,256488.48,441905.56,138218.31999999998,160322.08000000007,46313.99999999998,155293.63999999998,248021.00000000003,202419.96,47947.24,277925.19999999984,43431.779999999984,127415.82,18346.919999999995,24489.40000000001,73135.05999999997,24849.17999999997,29022.68,29404.4,32533.07999999997,18530.2,22862.44,80489.45999999999,302701.7600000001,323784.7200000001,317574.2600000001,281164.0,341273.24000000017,355878.52,263451.47999999986,394328.6,394471.72
28,472403.12,570916.68,473595.43999999977,494322.04,330681.3999999999,461687.4000000001,379209.5999999999,496353.2,314091.19999999995,453614.64,211814.48000000019,194408.72,49919.00000000001,192984.48,263385.2,251820.95999999988,49560.92,330035.59999999945,43185.44,182639.15999999997,18475.200000000026,34057.84000000006,84854.96000000004,29298.239999999994,47165.72000000008,31115.8,58537.080000000045,18111.8,25604.40000000001,95202.03999999982,352806.0400000001,368971.4,351458.12,326412.2,373152.08,379568.64,306938.43999999994,416080.4,417234.52
29,473917.52,572414.28,497036.7,519747.98,379987.20000000007,513517.79999999993,458758.90000000026,571588.44,389946.4800000001,469987.44,265731.16,210537.86,54847.40000000001,234362.28000000003,299398.0000000001,322150.92000000004,54719.6,353141.7,55459.92,231857.27999999988,20077.399999999994,52056.63999999995,117227.75999999994,39752.80000000002,66744.12,63567.39999999993,78660.52,20361.499999999996,46257.11999999995,113501.11999999998,394559.96,398339.52,405188.32000000007,388432.9999999997,420487.28,388454.4,337211.76,422857.2,422306.56
30,532078.2,586063.0,539772.6,574348.0,434037.0,526884.0,494689.0,590589.2,443976.8,498769.4,335074.80000000016,252255.00000000003,60631.0,265280.40000000014,340484.0,351018.6,59021.99999999997,355658.0,59035.00000000003,313463.6,23547.399999999994,78800.79999999999,153334.0,60262.40000000001,79235.6,82286.0,86268.80000000008,23903.0,62757.2,126429.19999999994,421033.8,416027.3999999999,429107.0,410616.0,422533.00000000006,416953.6,373677.8000000001,423868.0,424102.4
31,562433.9199999999,629499.8799999999,579492.68,635538.88,465613.4000000001,587963.9599999997,550283.2000000002,615782.6,477836.56000000023,518830.8800000003,354403.2,255253.82,78484.99999999991,342404.35999999987,341742.3,352464.24,69307.12000000008,374292.2,59701.24,351555.18,31951.16000000006,95357.16,153832.3599999998,72298.62,80561.24,127477.69999999984,117554.40000000002,27975.10000000001,62649.68,147776.86,422495.68,425702.56,430552.06,422699.2,426281.36,422643.88,431958.88,427165.1,423343.28
32,597911.7999999999,706827.56,623791.84,702499.12,494250.8000000001,597527.52,587229.4,681180.16,525303.88,564169.36,357174.28,300815.12,107754.39999999994,352913.4,341925.80000000005,356204.44,99009.76,376097.6,59361.04,353355.44,45866.60000000004,119966.4,187935.83999999997,74217.36,80377.12,144731.8,154557.12,39175.80000000003,62740.48,163930.11999999994,421010.72,425169.96,428703.24,421607.8,445362.92,421309.28,444131.96,430351.4,424821.88
33,680067.64,711667.92,664559.2399999999,711912.42,559003.8,609867.72,587275.1,738079.88,565219.24,608321.4799999999,371621.2400000001,357631.52000000025,132405.79999999973,355712.56,341782.6,360586.4,133584.04,376820.6,76638.16000000003,355025.6600000001,66384.92000000003,119861.64,194831.18,74046.86,82192.68000000001,163461.7,188482.72,61982.7,64094.28,187216.6,423546.12,424396.12,429636.58,422802.3,447147.72,422522.04,445828.26,431395.1,426052.96
34,714453.28,738265.04,737671.1999999998,738420.2,587129.8,663914.5200000004,613969.0000000001,739832.88,588023.32,676561.2400000003,376889.84,376442.36,184243.39999999962,372704.4799999999,345318.4,363326.64,180882.52000000016,375754.2,107585.6,376247.72,80358.76,152707.08000000002,208674.03999999983,80437.24,100369.12,162476.8,216897.32,61467.4,64123.96,223706.5199999997,427051.56,425544.64,431063.64,422120.2,446503.12,425632.32,447065.44,430211.8,425400.88
35,746307.8,739897.2,738005.4,740149.3,586964.0,734321.9000000001,639498.5,741509.8,589084.0,700617.1,376029.8,375605.3,240786.0,375941.2,347604.0,381791.0,196332.4,379590.5,116898.5,375179.9,84898.00000000004,155862.1,230869.5999999999,80542.0,116943.4,197684.0,222746.4,63468.5,82043.2,258345.9,426133.6,431691.4,435450.4,426950.0,447581.4,426027.2,448391.6,431628.5,431494.8
36,745180.44,738457.84,738805.28,741816.52,590566.8,744918.12,657644.0000000002,740157.96,590820.84,729479.08,377711.84,376707.44,298676.59999999986,377592.24,348951.6,383486.56,236732.96,384006.2,140509.76000000013,373916.08,105031.4,158438.95999999993,267129.5199999998,115029.24,118034.76,221711.40000000008,224660.48,66793.20000000004,81260.92,274848.7199999998,427111.24,431386.76,437575.44,428143.4,446449.56,428290.88,450261.24,433129.8,433335.72
37,746289.4400000002,740246.84,740705.96,740857.46,590896.6,745940.34,710887.2,742544.32,611381.3600000002,741095.28,378705.32,378356.84,339617.19999999984,375947.36,350101.3,383656.32,254655.48,384723.4,186596.68,375312.06,104708.52,193032.32,312811.42,117743.46,117990.28,233068.3,240540.76000000013,80777.7,83129.08,312511.3599999997,426453.68,433668.92,439641.66,430134.9,450473.52,430752.2,452576.22,435589.5999999999,432482.04
38,748860.76,744329.16,745070.76,742729.84,647097.3999999999,747383.16,712694.8,745754.16,648296.96,741946.16,380600.72,380357.84,352269.8,377457.64,353809.2,384858.72,279034.80000000005,383557.4,209402.04000000004,379740.36,106680.56,228842.68,343150.2799999999,117753.84,151146.0,236313.59999999983,275375.2400000001,80062.2,83255.88,362642.23999999993,428803.2,432774.32,441216.88,431854.2,454497.48,430692.52,450806.28,439584.4,439834.96
39,752584.08,743892.32,744596.62,744201.18,672762.8,748962.02,739438.1,748115.28,701799.28,747431.92,384942.16,384069.94,353572.99999999994,379929.04,360601.3,386978.84,322787.96,397624.0999999999,237173.1800000001,383947.18,108004.4800000002,263214.04000000004,378111.6,137299.31999999998,161005.36000000004,265992.4,292030.32,80263.00000000003,92828.80000000003,366527.56,435706.24,433355.76,441578.26,433252.1,454608.44,434200.68,454394.58,441193.2,448333.48
40,751891.8,745522.2,744924.8,748767.0,723607.0,750563.8,737946.0,755801.7999999998,738866.2,748395.4,385971.6,383873.6,355073.0,383047.6,369043.0,388629.8,355979.4,410600.0,287903.40000000014,383936.8,133234.0000000001,298433.40000000014,387206.9999999997,151595.4,185121.4,265380.0,313560.0000000001,114524.0,122744.79999999994,400120.6,441362.6,438347.00000000006,438754.6,431995.0,453915.6,444269.4,455637.6,440178.0,453300.8
41,751205.32,748814.08,752206.18,757858.4400000002,738130.8,752897.98,739760.3,755627.52,740321.28,750029.98,384811.36,389002.94,373094.1,389687.96,377645.8,390262.32,360189.88000000006,410773.0,325997.9,384540.4,147672.36000000013,332557.7600000001,408854.76,170260.07999999987,202290.72,281008.2000000001,354750.7200000001,123454.2,131281.04,429680.3599999999,447834.92,448798.4799999999,445674.8000000001,430688.1,454022.44,454037.28,462405.46,439393.3,458430.6000000001
42,758169.8,758990.52,762944.72,763476.28,736745.2,755655.76,744141.4,760518.7999999998,739652.88,750929.44,389739.4,399379.16,374959.8,390607.12,414108.4,391758.08,374944.4,443969.79999999976,351518.44,394280.04,176494.40000000005,382760.12000000017,429899.7199999999,193880.4,218061.48,316321.6,358907.72,123313.6,144482.0800000001,448183.76,455180.36,463298.64,466897.3599999999,442352.0,461012.6,457131.52,468943.24,447460.0,463970.64
43,774484.32,762668.8,767432.82,766169.46,738171.6,768428.58,743244.9,761033.84,738083.36,751829.34,402718.36,401933.96,373717.7,391615.92,445738.8,390235.72,375742.96,520163.3999999996,353247.78,399556.92,197278.8000000001,391208.38,447615.06,206254.83999999976,250161.72,335980.1,381849.64,123393.4,168099.44,448194.46,456500.88,466904.24,475181.64,460337.1,475079.64,457066.8000000001,476640.94,466200.29999999993,464607.28
44,775810.24,773694.96,766460.3999999998,768818.96,742543.8,769964.4,746984.8,765458.16,741688.52,762907.72,411722.76,413262.52,375261.4,404399.72,465203.00000000006,399318.28,376046.16,578680.6,355987.52,402775.64,213472.28000000012,393174.28,453332.2,221034.32,254041.24,371733.6,424247.32,152351.8000000002,180099.55999999985,467939.3599999999,460083.32,465090.0,474545.28,467308.2,486995.12,464972.28,482156.72,475298.4,483014.88000000006
45,781497.8,772237.6,790195.6000000004,794798.5999999997,744421.0,780986.2,748594.5,808068.8,745965.6,775794.7000000002,411218.6,472211.8000000001,376977.5,456554.6,506272.5,413865.6,376238.4,580226.0,370929.4000000001,411072.8,217731.0,420402.19999999984,482914.0,238606.5999999999,300007.80000000016,390385.5,438598.5999999999,181932.00000000023,214736.8000000002,484589.0,504515.6,466131.4,477319.5,466515.5,485876.0,486291.2,515788.1,474734.5,507218.8
46,780058.32,788162.4000000001,857839.88,850525.08,744365.4,781082.56,748483.3999999998,870753.96,746068.2800000001,779641.04,413426.72,498271.72000000026,379031.4,466108.68,538002.0000000001,417471.32,377156.44,585507.0,376190.28,433085.32000000007,239524.24000000005,466711.79999999993,482513.56,271334.7200000001,320638.32,436193.00000000006,467572.4000000001,196481.20000000004,235529.44,488024.96,510525.32,484363.84,475656.48,465000.2,487069.52,543899.36,517349.92,472439.4,557958.9199999999
47,787528.92,812053.88,882510.1600000003,874950.8,745596.4,778594.2,755074.9,912369.8,751943.56,781193.22,467789.4,555636.3200000002,381239.3,472634.2,555049.6000000001,419248.04,379574.88,585611.2,375493.46,482765.82,265467.5600000001,483859.96,481597.96,288081.36000000004,335100.6399999999,470075.5999999999,482473.36,227180.2,236011.12,488300.98,540428.2799999999,522194.08,532153.4400000001,486398.0,526345.6000000001,587744.8000000004,568233.02,491044.9,601371.32
48,824660.64,858564.4400000002,930398.8,893350.9599999995,745087.6,822628.7600000006,766038.2,936378.28,750224.12,827670.8400000002,544451.9200000003,580963.48,382113.99999999994,496824.67999999993,567216.2000000001,456406.64,383638.68,588217.2000000001,375687.32,538028.36,267596.84,485897.84,484754.48,336971.2399999999,368989.52000000025,489303.2,484987.92,260437.6,268692.92000000004,490220.84,582583.6400000001,591902.8400000002,549231.3999999999,543271.1999999995,548570.8799999999,635935.28,616148.6799999999,501696.2,648281.3999999999
