,286_1_www.dkb.de,286_2_www.dkb.de,286_3_www.dkb.de,286_4_www.dkb.de,286_5_www.dkb.de,286_6_www.dkb.de,286_7_www.dkb.de,286_8_www.dkb.de,286_9_www.dkb.de,286_10_www.dkb.de,287_1_www.dkb.de,287_2_www.dkb.de,287_3_www.dkb.de,287_4_www.dkb.de,287_5_www.dkb.de,287_6_www.dkb.de,287_7_www.dkb.de,287_8_www.dkb.de,287_9_www.dkb.de,287_10_www.dkb.de,288_1_www.dkb.de,288_2_www.dkb.de,288_3_www.dkb.de,288_4_www.dkb.de,288_5_www.dkb.de,288_6_www.dkb.de,288_7_www.dkb.de,288_8_www.dkb.de,288_9_www.dkb.de,288_10_www.dkb.de,289_1_www.dkb.de,289_3_www.dkb.de,289_4_www.dkb.de,289_5_www.dkb.de,289_6_www.dkb.de,289_7_www.dkb.de,289_8_www.dkb.de,289_9_www.dkb.de
17,804272.26,811050.88,942955.4,837360.3999999998,827755.64,733136.1999999998,802901.44,947573.12,816512.22,853444.8,359471.3999999999,280958.35999999987,215784.60000000012,319789.64,222479.76,415246.92000000033,150637.39999999985,291657.04,265474.6399999999,269109.07999999967,529871.1,441058.76,534557.92,527264.62,437776.62,496949.76000000007,547864.9600000001,548471.76,312431.80000000005,344722.8,479477.48,461547.5,564164.2,463578.68000000005,302941.7999999998,533297.4,324050.03999999986,421043.8
18,876442.12,829782.6799999998,1046032.36,917586.9999999995,889814.24,804363.36,843160.52,1102632.6,831328.4,1003444.1600000005,444753.64,350732.64,292412.0000000001,355586.36,306278.1999999999,470853.28,184568.51999999981,329210.16,308651.08,352808.0399999997,548856.0399999999,501554.84,554365.6,549469.3200000001,473598.64,536115.12,555690.8,556473.6,364125.72,409189.36,514534.48,573718.0,610466.0,548785.72,365007.3999999999,602642.6799999999,361208.92,451906.24
19,952269.88,943898.28,1147087.64,1055076.4,1005247.5200000005,818799.02,877750.2,1192291.72,925240.28,1148439.44,518518.52000000025,449779.0,349162.4,413308.88,383607.36,515783.62,267878.92,347027.8,332320.36,442016.32,556631.5599999999,548299.66,560588.1,552706.4800000001,502852.52,544911.96,604446.12,590811.64,408567.3600000001,461501.07999999967,563228.78,612906.0,632139.4,614462.4400000001,458873.4,667760.48,402771.16,531077.7600000001
20,1037656.7999999996,1094447.6,1247972.1999999995,1159774.0,1091953.2000000002,853117.5999999999,990445.4,1278264.6000000006,1043703.0,1209067.2000000002,571680.4,542963.5999999997,406036.0,512593.5999999997,464571.5999999999,533434.2,345147.19999999984,398198.8,382421.8,509816.5999999999,562025.6,555622.0,597668.0,589384.0000000001,534535.6,552091.0,669326.8000000003,632840.0,475624.8,529581.8,616120.0,653914.0,671225.0,639268.4,531618.0,685665.2,445675.8,612403.0
21,1130577.4,1222495.2800000005,1342596.36,1282036.4,1173591.96,952420.32,1091160.88,1354656.4799999995,1163669.56,1291496.2,577847.36,578075.46,469636.6,575824.64,541994.86,536771.82,411623.4399999997,470448.2,463474.76000000007,576128.88,604671.9,566329.1,628414.9,632394.7,555709.48,572935.8,696437.6,674880.16,531904.36,545092.16,634349.04,743902.0,702892.2,682158.6799999998,601442.1999999997,765277.6,480726.5199999999,652006.32
22,1185975.88,1297298.04,1467337.9599999997,1378182.4,1265762.92,1087677.16,1185616.08,1461286.52,1262420.4399999995,1446488.32,611650.4800000002,577918.72,538582.4,576624.24,577942.04,583745.84,483146.2799999999,529764.04,524168.04,580602.84,690693.0399999999,617665.2,647163.3999999999,679508.2400000001,563561.2,599492.7600000001,754644.8800000001,728687.1199999999,561625.44,548354.6,691018.24,802996.0,786527.9999999999,748256.6,626686.8,793355.1199999995,539234.68,680464.8
23,1276024.2,1360823.36,1579841.64,1513557.7999999996,1358453.88,1207486.9200000002,1278553.7199999995,1574810.52,1317045.36,1558290.480000001,631513.52,612358.24,556439.2,611530.52,578962.04,586728.16,529568.9599999996,578205.68,576096.86,630875.84,753343.3599999999,685897.0399999999,678411.36,772962.6400000001,593726.52,651034.64,843791.52,816273.1999999998,569268.96,554191.2,771331.2000000002,883123.0,903447.4,799110.3599999999,693135.2,901950.6,582040.1200000002,728266.2000000002
24,1373938.76,1485015.88,1686612.64,1631315.799999999,1429897.84,1296294.7599999998,1356032.12,1666639.1199999996,1397551.0799999998,1692248.2400000002,634365.04,636489.44,577950.4,628831.84,583723.92,627017.8,576104.44,579433.88,577810.4,631576.84,786667.4400000002,753023.7199999999,744636.4800000004,845288.04,659797.64,753757.4,887597.12,891029.4799999999,641289.9200000003,595528.16,802934.7599999999,924245.0,954963.9999999995,880353.1199999999,766861.0,955073.56,621203.32,842825.0800000002
25,1461418.0,1596179.0,1805214.0,1766085.0,1504058.0,1390825.0,1475893.0,1830221.0,1539508.0,1788515.0,638672.0,639000.5,590065.0,635425.0,614535.0,638795.0000000001,577437.0,609947.0,583780.0,636725.0,833369.0,812873.0,842529.0,862046.0,721918.5,781025.0,953846.0,939520.0,689789.0,631184.9999999998,895937.0,998518.0,1076566.0,909065.0,791220.4999999999,1023711.0,642983.0,902296.5
26,1562945.4,1702967.4400000004,1928287.36,1901331.4,1595624.56,1489342.4,1589938.64,1961549.36,1673412.12,1910398.04,636678.52,639324.36,618343.6000000001,639318.88,636382.6,643301.4400000001,580943.76,631806.88,584839.6799999999,642095.72,881548.56,872371.6399999997,864646.12,989264.92,782199.6,863640.4400000002,1046928.64,1023431.72,739349.4,694716.8400000001,934671.8400000002,1040931.0,1171592.7999999998,995127.8,878596.0,1091780.1199999996,696640.7200000001,939754.24
