,274_1_www.sparkasse.de,274_2_www.sparkasse.de,274_3_www.sparkasse.de,274_4_www.sparkasse.de,274_5_www.sparkasse.de,274_6_www.sparkasse.de,274_7_www.sparkasse.de,274_8_www.sparkasse.de,274_9_www.sparkasse.de,274_10_www.sparkasse.de,275_1_www.sparkasse.de,275_2_www.sparkasse.de,275_3_www.sparkasse.de,275_4_www.sparkasse.de,275_5_www.sparkasse.de,275_6_www.sparkasse.de,275_7_www.sparkasse.de,275_8_www.sparkasse.de,275_9_www.sparkasse.de,275_10_www.sparkasse.de,276_1_www.sparkasse.de,276_2_www.sparkasse.de,276_3_www.sparkasse.de,276_4_www.sparkasse.de,276_5_www.sparkasse.de,276_6_www.sparkasse.de,276_7_www.sparkasse.de,276_8_www.sparkasse.de,276_9_www.sparkasse.de,276_10_www.sparkasse.de,277_1_www.sparkasse.de,277_2_www.sparkasse.de,277_4_www.sparkasse.de,277_5_www.sparkasse.de,277_6_www.sparkasse.de,277_7_www.sparkasse.de,277_8_www.sparkasse.de,277_9_www.sparkasse.de,277_10_www.sparkasse.de
0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0
1,1535.4199999999996,1181.9199999999996,1300.5,1084.9,2397.2000000000007,1516.1,1568.18,1113.799999999998,1549.98,1527.8000000000006,2066.0,3243.800000000001,2231.600000000001,1320.800000000001,3345.8,2728.4000000000005,2231.600000000001,2231.600000000001,1114.1000000000006,3590.600000000001,1535.4199999999996,1506.3,1365.1799999999996,2927.5000000000014,1439.5,1524.5,1442.66,1508.4,1467.94,1524.5,2687.000000000001,2355.800000000001,3814.9999999999986,4108.96,3182.6,2976.7999999999993,1928.76,4035.0,3677.7
2,4125.28,4720.560000000001,4138.0,5253.2,5212.24,4180.4,4087.12,5224.079999999999,4108.32,5293.72,4916.0,4864.72,5271.12,5050.3200000000015,5178.52,5280.96,5579.24,5571.24,5524.68,5304.04,4125.28,3903.6000000000013,5202.040000000003,5085.4000000000015,3606.0,4138.0,3601.68,3564.96,3567.12,4138.0,5296.4,5332.96,5684.399999999998,5221.04,5110.84,5206.160000000002,4655.719999999998,4625.0,4692.6399999999985
3,4612.14,6464.16,6498.0,7528.200000000006,6179.42,4700.799999999994,4239.919999999999,6374.3200000000015,4199.120000000002,6019.88,8344.5,8273.92,6164.46,6202.62,8545.72,7250.200000000003,6287.46,6279.46,6951.980000000001,8497.84,4493.14,4825.199999999999,6390.54,8427.4,5142.5,4570.5,5091.339999999998,4805.52,5312.06,4465.5,8270.6,6281.68,10001.999999999987,8417.18,8428.960000000001,8225.12,4932.72,8017.0,7949.38
4,8432.28,8512.08,8582.0,7530.5999999999985,10790.8,8195.6,8353.68,7999.559999999998,8020.48,9941.36,10788.0,16899.24000000001,10132.4,7935.96,14887.72,12738.72,8045.200000000002,8256.400000000001,10464.76,15043.08,8313.28,6725.200000000006,8264.719999999998,14788.8,6137.0,8493.0,6256.64,8302.08,6345.84,8436.0,9693.000000000004,10732.200000000004,14132.8,15957.960000000005,16310.28,14404.039999999995,9086.16,19961.0,14252.28
5,12062.89999999998,16696.400000000005,16402.5,19853.5,20726.199999999993,18228.5,18319.600000000024,20360.2,14589.099999999995,16214.8,19764.5,22937.8,19863.1,20223.2,23234.2,16171.6,19986.1,19978.1,14624.80000000001,22967.6,11943.89999999998,7756.5,18168.2,22916.5,8451.5,8477.0,8250.300000000001,8643.999999999996,8508.300000000001,10564.0,19817.0,20546.800000000007,19534.5,23116.9,23171.4,22591.399999999994,18950.6,24491.0,22587.3
6,19939.88,23093.24,23262.0,23262.40000000001,24200.76,21536.399999999983,22549.28000000001,22868.320000000003,19718.72,24610.44,24097.0,27442.36000000001,24201.92,22539.12,28079.56,22459.88000000001,24609.88,24601.88,15662.96,24753.12,19820.88,19871.80000000001,23128.96,27828.0,14836.0,20206.0,15893.960000000005,14552.12,18728.12,19772.0,24173.2,24333.36,25787.2,27977.4,28022.52,24497.56,20684.64,42226.0,27549.4
7,23381.43999999999,28057.96,27449.0,27686.5,28156.54,24251.7,24372.66,28097.28,24545.96,27765.04,28063.5,43776.40000000007,27404.18,27845.3,43433.28000000002,30099.68000000001,28303.02,28295.02,27892.58,28721.2,23262.43999999999,23119.7,27365.680000000026,59809.00000000003,19941.5,22652.0,19752.62,17148.959999999995,20086.020000000004,23611.0,28005.800000000007,27983.32,27178.7,87919.26000000002,39820.160000000025,27815.86,25219.92,100479.0,94032.32000000004
8,28091.96,29410.200000000015,27851.0,55861.0,99353.96,27800.4,28004.52,48730.63999999991,27788.4,62725.08000000001,89084.0,100386.16,98962.44,56881.32000000003,97533.44,32278.36,71194.12000000001,90443.4,31446.68000000001,74905.8,27972.96,25593.400000000016,27878.80000000001,97102.6,22551.0,27919.0,22678.76,19541.24,24620.080000000005,27958.0,67631.60000000006,86133.40000000001,41053.99999999992,100741.16,101133.36,100922.36,28839.36,97204.0,98879.44
9,34295.039999999986,99272.52,94187.5,89464.7,96906.58,71851.99999999999,57550.76000000003,98292.64,44416.03999999995,98071.84,99333.5,97498.64,99130.54,100516.68,98359.56,35370.46,100301.54,99383.78,35661.9,99965.68,38157.39999999998,28230.9,94613.94,94511.4,28021.0,32602.0,27605.28,22742.2,28112.24,40583.0,100341.8,100605.32,103172.8,97323.82,99019.28,99307.54,87845.24000000003,99780.0,95925.34
