,118_1_www.skype.com,118_2_www.skype.com,118_3_www.skype.com,118_4_www.skype.com,118_5_www.skype.com,118_6_www.skype.com,118_7_www.skype.com,118_8_www.skype.com,118_9_www.skype.com,118_10_www.skype.com,119_1_www.skype.com,119_2_www.skype.com,119_3_www.skype.com,119_5_www.skype.com,119_6_www.skype.com,119_7_www.skype.com,119_8_www.skype.com,119_9_www.skype.com,119_10_www.skype.com,120_1_www.skype.com,120_2_www.skype.com,120_3_www.skype.com,120_4_www.skype.com,120_5_www.skype.com,120_6_www.skype.com,120_7_www.skype.com,120_8_www.skype.com,120_9_www.skype.com,120_10_www.skype.com,121_1_www.skype.com,121_2_www.skype.com,121_3_www.skype.com,121_4_www.skype.com,121_6_www.skype.com,121_7_www.skype.com,121_8_www.skype.com,121_9_www.skype.com,121_10_www.skype.com
0,67.0,67.0,-442.0,67.0,-442.0,-115.0,-48.0,67.0,-442.0,-442.0,67.0,0.0,67.0,-442.0,0.0,-48.0,67.0,67.0,-442.0,67.0,67.0,-48.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-48.0,-442.0,-442.0,-48.0
1,1280.7,575.0,1223.12,329.0200000000001,1149.86,115.60000000000029,1177.16,1552.8400000000006,555.5199999999999,736.3800000000001,939.2399999999992,395.96,338.76,1395.26,421.44,268.22,405.06,235.95999999999992,1363.66,1978.16,2519.78,861.4800000000024,2579.88,342.0,2297.0,1949.16,2593.2000000000007,456.60000000000025,2659.5600000000004,4578.72,4595.12,4487.22,3017.800000000001,2100.4,2390.32,3041.0799999999977,4559.5999999999985,2221.08
2,4680.5999999999985,1810.0,4066.1600000000044,817.2799999999997,2287.12,3251.6,4591.04,4585.96,4492.079999999999,4356.72,1278.72,220.91999999999825,921.6800000000011,272.8399999999997,414.32,662.16,2051.28,1092.9199999999996,578.4399999999998,5035.28,6756.320000000002,6596.84,7084.359999999999,5564.0,8799.0,6950.84,6885.799999999998,7078.8,8710.48,7999.76,12034.64,19567.2,11034.800000000007,7744.6,6568.800000000004,8081.879999999997,12232.800000000012,8249.44
3,6652.4,5185.0,6945.88,5212.54,5491.22,4951.5999999999985,6701.56,7248.76,11544.22,6703.220000000002,2426.719999999996,1778.32,1617.78,4541.32,1990.64,2192.3000000000006,976.86,4950.48,4571.980000000001,8235.399999999994,23400.43999999992,12950.2,19312.8,9874.0,25439.0,17520.320000000003,13621.199999999975,13319.999999999987,32294.36,21685.64,15716.2,44411.82,21410.9,20259.0,15272.36,15125.06,22793.00000000001,15267.96
4,13485.0,7482.0,7796.7199999999975,9760.68,6795.2000000000035,12599.8,11374.240000000014,11810.519999999988,19569.44000000001,19389.2,4675.56,2936.1600000000008,2862.360000000002,3678.3599999999988,3156.36,1309.7600000000002,4954.56,7632.48,4328.200000000002,32493.120000000006,28838.320000000003,33012.16,29513.48,25014.0,29109.0,31131.28,32789.6,30393.6,28154.52,45104.2,35687.36,40548.72,42578.8,42342.4,37995.36,23232.4,41403.6,35248.92
5,22387.0,7862.0,19242.0,19058.00000000001,14372.3,16306.0,21249.6,18998.4,45176.3,31365.800000000036,4130.2,4925.2,5010.2,12357.3,4992.8,2954.9,4591.7,14127.2,6579.7,28663.400000000005,30563.2,29624.6,25652.300000000007,30722.0,30044.0,28034.2,29347.0,29652.0,31699.4,44213.8,34455.6,47679.60000000002,41032.0,40593.0,32872.4,43613.49999999999,39559.0,33706.6
6,91888.8,19530.0,43518.72,24377.959999999995,23297.80000000001,37750.8,45271.72,24825.52,45787.16,44507.96,7024.799999999991,7535.12,5367.799999999996,11300.2,10842.08,5182.32,6388.84,19851.799999999992,6702.800000000004,28800.839999999986,40008.24000000001,31209.68,35449.84,29647.0,39445.0,29887.56,33406.60000000001,32058.6,40324.88,45631.28,40807.28,58423.08,44826.80000000002,44256.2,36921.48,42379.72,49231.4,40770.12
7,124585.9,23472.0,44626.12,47295.94,61478.60000000001,39484.39999999998,46609.84,34286.880000000005,42520.86,45220.66,9903.08,7211.240000000002,6633.52,14899.300000000007,10609.08,7279.260000000001,8638.979999999998,40891.44,18216.040000000005,38494.12,44646.18,38651.64,43752.14,36988.0,44362.0,35039.96,42312.6,39550.1,44921.48,53857.04,50609.44000000001,164659.91999999998,54761.1,54114.6,44453.84,40395.55999999998,58570.2,49232.56
8,125462.6,47194.0,45894.72,48294.12,100405.48,39219.2,44161.96,34439.28,39678.88,45965.28,17891.24,12192.119999999988,10054.400000000003,29914.400000000005,13288.399999999998,9018.76,10236.48,44307.88000000001,19278.6,45123.28,96773.92,43865.84000000002,77491.8,45084.0,93965.0,41108.32,46516.6,44691.4,100843.48,80803.12,66092.28000000003,320357.1600000002,57324.6,58277.4,49252.84,48789.16,139008.20000000007,60712.2
9,125588.9,48342.0,43680.56,48217.32,127135.54,36997.4,42027.56,34742.56,42738.68,42834.94,17739.92,16199.759999999995,18158.54000000001,34908.200000000004,19056.52,18269.040000000005,17279.85999999999,49567.75999999993,28408.16,95792.76,107095.78,83042.20000000008,96466.62,50294.0,121092.0,43969.76,100152.6,95342.3,121833.8,211397.72000000012,132485.48,439571.7200000001,150638.20000000027,139762.79999999993,112274.72000000016,55470.42000000001,329983.40000000014,144774.0800000001
