,201_1_www.warnerbros.com,201_2_www.warnerbros.com,201_3_www.warnerbros.com,201_4_www.warnerbros.com,201_5_www.warnerbros.com,201_6_www.warnerbros.com,201_7_www.warnerbros.com,201_8_www.warnerbros.com,201_9_www.warnerbros.com,201_10_www.warnerbros.com,202_1_www.warnerbros.com,202_2_www.warnerbros.com,202_3_www.warnerbros.com,202_4_www.warnerbros.com,202_5_www.warnerbros.com,202_6_www.warnerbros.com,202_8_www.warnerbros.com,202_9_www.warnerbros.com,202_10_www.warnerbros.com,203_1_www.warnerbros.com,203_2_www.warnerbros.com,203_3_www.warnerbros.com,203_4_www.warnerbros.com,203_5_www.warnerbros.com,203_6_www.warnerbros.com,203_7_www.warnerbros.com,203_8_www.warnerbros.com,203_9_www.warnerbros.com,203_10_www.warnerbros.com,204_1_www.warnerbros.com,204_2_www.warnerbros.com,204_3_www.warnerbros.com,204_4_www.warnerbros.com,204_6_www.warnerbros.com,204_7_www.warnerbros.com,204_8_www.warnerbros.com,204_9_www.warnerbros.com,204_10_www.warnerbros.com
0,-442.0,-29.0,-122.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,0.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
1,3549.7999999999993,1377.02,2769.8,1569.1999999999994,1562.72,1252.6,1408.2999999999995,4062.52,2604.2,1279.3999999999985,1401.58,1385.78,1343.12,1368.4,1450.56,1486.28,1557.5600000000006,1474.26,1488.2,4081.44,3976.68,1668.1000000000013,4035.0,2758.199999999999,1695.8000000000006,4048.76,3570.200000000001,1900.4,4045.32,4780.240000000002,3634.88,3962.2,3587.1599999999994,4136.94,4126.280000000002,4122.1,4155.22,3554.16
2,5304.12,4044.72,5173.24,5508.28,5335.84,5920.0,4116.8,4380.64,5084.64,5259.36,3914.16,3965.88,4072.84,4013.4,3590.88,3645.76,5248.4000000000015,3558.48,4004.76,4537.44,6954.32,5234.88,4702.0,5029.04,5658.44,4755.32,5142.08,5069.88,4506.6,8479.32,6122.08,8363.4,8499.48,8476.28,8280.96,8401.199999999999,8484.64,7905.200000000003
3,8529.24,6207.64,8601.08,6636.579999999999,6671.360000000002,7600.36,6310.400000000005,8345.44,8327.12,8331.52,5266.94,5614.94,4129.52,5226.799999999996,5316.08,4574.6799999999985,6559.000000000001,5284.18,5364.359999999998,8475.58,13437.18,6036.02,8716.0,8354.08,6466.76,8757.32,8471.02,8420.539999999999,8510.24,23723.08000000001,15929.24,15812.7,15886.56,15474.04,15718.18,16464.600000000002,16089.34,14312.88
4,16148.64,8304.32,14416.239999999998,12890.96,13064.76,9349.24,8503.2,15875.08,10900.359999999997,7559.2800000000025,6524.56,4964.480000000001,4601.88,4415.200000000002,6844.160000000002,8350.28,7346.2400000000025,6303.04,4326.080000000001,15941.56,16422.120000000006,9034.800000000008,16610.0,15892.16,9626.400000000003,16344.24,15975.76,10901.6,16019.44,89022.8,29410.60000000001,117796.8,112795.47999999994,117051.08,115869.52000000006,113770.80000000002,118784.04,23662.16000000001
5,32362.599999999962,15263.899999999998,47409.2,16295.7,15512.600000000004,17146.2,16048.0,47049.4,22380.599999999984,15740.2,8494.9,8604.699999999999,8553.6,8559.0,11073.199999999988,7672.4000000000015,10015.2,8221.699999999999,8516.2,40194.8,23879.2,15404.200000000004,39452.0,40394.7,36188.6,39578.4,40230.7,19134.20000000002,39573.8,171038.40000000017,117427.6,118246.0,122147.8,117122.7,118432.1,118334.5,118976.4,46487.80000000003
6,46531.48,47106.08,47849.96,17456.600000000002,19975.479999999992,47542.76000000002,30193.200000000033,47727.24,46877.2,38056.79999999999,10789.07999999999,7691.119999999999,8582.88,8006.5999999999985,12150.12,15689.16,15489.04,16058.96,8101.2400000000025,40856.04,48049.24,39393.76,100106.0,40952.16,34555.84,45214.239999999874,39027.68,39669.4,76523.68000000002,301719.68,117764.68,191913.1999999998,192749.95999999988,122214.2,120829.52,121253.4,124357.2,125433.32
7,47934.56,48099.14,51813.08,23745.54,25131.239999999994,47669.88,46861.7,83277.04,47907.68,46707.88000000001,15927.18,16046.24,11714.12,15988.8,16271.36,31956.080000000005,18180.36,19330.88000000003,15936.72,145659.38,48527.62,40266.38,219002.0,77302.59999999995,79464.15999999999,143398.2799999999,145855.91999999998,57930.63999999996,187476.96000000017,485072.2400000001,120478.16,317955.69999999984,283712.53999999986,219012.5,176198.46,169585.70000000007,234201.72,125684.04
8,63429.2,49324.96,78915.56,55332.08,54472.96,49247.64,48081.6,145793.03999999998,83533.8,47862.28,33250.039999999986,17286.200000000004,15861.76,15949.6,17725.399999999994,85277.76000000001,71010.64000000001,71365.20000000001,17184.039999999986,247349.0,118590.67999999993,116300.60000000002,350290.0,160265.63999999993,175752.24000000002,241641.2,214091.6,149858.16,303999.2400000001,687604.92,206750.32000000007,481173.5999999999,356426.2799999999,389284.16,276719.4,290965.60000000003,402658.48,128922.72
9,93209.84,79600.40000000001,140797.2,54558.44000000001,55542.04,91414.76,66554.20000000001,201015.60000000006,115811.04000000005,82342.28,73069.51999999992,45358.92000000003,21040.840000000004,73300.99999999999,23764.68,105663.72,108991.44,107137.24,41756.6,367243.84000000026,244727.11999999988,219542.84000000023,484758.0,275927.43999999994,274741.72000000003,364933.16,350411.7600000002,245326.78,444186.12,776374.28,323862.4400000003,660599.7999999997,522516.76,563479.7600000001,408600.34,416129.60000000015,544515.72,177446.44000000015
