,122_1_www.springer.com,122_2_www.springer.com,122_3_www.springer.com,122_4_www.springer.com,122_5_www.springer.com,122_6_www.springer.com,122_7_www.springer.com,122_8_www.springer.com,122_9_www.springer.com,122_10_www.springer.com,123_1_www.springer.com,123_2_www.springer.com,123_3_www.springer.com,123_4_www.springer.com,123_5_www.springer.com,123_6_www.springer.com,123_7_www.springer.com,123_8_www.springer.com,123_9_www.springer.com,123_10_www.springer.com,124_1_www.springer.com,124_2_www.springer.com,124_3_www.springer.com,124_4_www.springer.com,124_5_www.springer.com,124_6_www.springer.com,124_7_www.springer.com,124_8_www.springer.com,124_9_www.springer.com,124_10_www.springer.com,125_1_www.springer.com,125_2_www.springer.com,125_3_www.springer.com,125_4_www.springer.com,125_5_www.springer.com,125_6_www.springer.com,125_9_www.springer.com,125_10_www.springer.com
31,1530276.28,1624703.0,1659061.9999999998,1628342.82,1679205.54,1419021.78,1470295.0,1567734.96,1519452.92,1485494.1,4445302.04,4431386.52,4575705.2,4495686.0,4407546.32,4456602.48,4467939.92,4755162.12,4444388.64,4392371.66,582765.080000001,739553.16,723046.4,630796.52,701325.84,638248.52,633190.04,709458.52,691263.16,695603.7,1262788.2000000002,1304368.2400000002,1231209.4,1291945.0,1276918.84,1212954.7999999998,1234619.92,1279367.12
32,1539600.56,1666804.0,1704773.0,1663918.68,1689098.4000000006,1476886.72,1584565.0,1575727.56,1620239.2399999998,1496633.2,4531563.04,4441456.28,4727541.8,4557520.6,4449010.36,4555572.96,4476398.64,4807099.8,4542590.4,4434247.159999998,633822.44,816938.4400000002,726320.6,690899.84,705380.48,702919.76,695915.4400000001,786796.12,695050.32,698559.36,1320720.16,1342332.12,1236597.32,1331859.36,1285083.6,1233400.96,1242315.56,1318680.72
33,1623462.0799999996,1684292.0,1711019.0,1707748.06,1763073.66,1576496.7,1624150.0,1612204.72,1629090.3,1537806.3,4617372.04,4460358.84,4895582.799999999,4603829.4,4468015.76,4570794.92,4481639.62,4913331.5600000005,4553999.36,4473361.8,639390.46,935754.2,836521.2000000004,695780.66,856095.7200000002,707437.6000000002,698814.3600000001,790454.8,697365.84,701809.84,1358484.32,1358160.56,1277527.48,1332950.08,1352049.72,1237158.4,1289253.2,1322733.98
34,1695850.76,1708270.0,1788547.6,1714657.9999999998,1767349.64,1617589.48,1627680.0,1652724.04,1636409.8,1573108.600000001,4649538.6,4591220.12,5106987.4,4694595.8,4534396.12,4611725.96,4513859.6000000015,4929280.2,4574481.72,4558154.16,645098.36,1022376.16,844832.6,697035.2799999999,885546.04,736692.6400000001,703107.36,886295.4800000002,701016.2,705524.08,1366176.4,1357290.16,1288617.64,1340584.48,1355672.72,1286330.64,1292737.32,1361678.92
35,1737923.2,1764274.0,1793056.0,1792562.2,1772820.3,1622416.3,1640513.0,1657352.3,1643884.9999999998,1651656.0,4794090.4,4630584.8,5166039.0,4764409.0,4582118.8,4722020.6000000015,4584629.7,4944711.2,4709362.8,4574597.1,707590.9,1026973.5,850382.0,700610.5,912030.0,832019.2000000002,708821.0000000003,890770.2,782479.3,805879.9,1377633.6,1355982.6,1286817.2,1388251.8,1364318.4,1287810.8,1292114.6,1365609.0
36,1744434.8,1780409.0,1804548.0,1798236.6,1779522.88,1699830.6800000004,1657827.0,1696331.6,1720075.96,1694245.0,5071065.520000001,4727769.28,5246997.0,4983368.200000001,4632170.279999998,4919597.720000002,4798249.32,5004912.52,4799862.520000001,4684090.8,713504.44,1029988.08,946579.6,757654.76,984675.96,835776.16,782377.4000000001,894201.04,786513.92,817667.2000000002,1376685.24,1358260.36,1286633.08,1388532.76,1378037.56,1286603.36,1292677.72,1380094.28
37,1820466.96,1821389.0,1808706.6,1849032.66,1789088.42,1709931.3199999991,1656913.0,1713267.94,1757138.98,1759936.200000001,5097999.56,4784727.52,5248399.8,5127086.4,4745120.760000002,5107484.52,4999028.8,5107237.279999998,5073775.959999999,4912300.6,717438.6,1032812.7,950166.8,762156.42,987717.24,841402.82,787976.04,900630.9600000002,859913.3999999998,905301.18,1378382.44,1370626.48,1294312.36,1388029.92,1379515.52,1288154.12,1297013.24,1378915.32
38,1860604.92,1821281.0,1825415.0,1849821.16,1797830.48,1758530.64,1660063.0,1715660.92,1777600.9200000004,1777892.0,5132672.2,5055014.12,5294179.8,5171520.4,5040544.920000002,5134994.2,5054854.5200000005,5175755.64,5128167.36,5104818.84,734469.6000000002,1046024.64,956352.6,778378.7999999998,994106.12,860782.6,806310.08,904167.36,884946.68,910128.68,1382084.44,1375918.88,1302482.56,1388519.56,1379420.48,1292624.12,1305503.24,1378463.24
39,1878251.32,1823170.0,1864584.2,1849922.98,1807467.64,1757136.08,1667478.0,1715775.76,1778581.96,1827735.2,5243304.04,5142197.440000001,5310516.4,5251281.8,5132482.08,5181320.28,5138153.22,5192320.76,5133805.16,5167112.719999999,739137.1,1058893.86,960321.0,824518.1599999996,998697.96,876625.6000000002,816093.6000000002,922442.88,888019.66,911546.94,1392433.96,1382886.04,1309040.56,1395275.04,1378379.92,1303405.8,1308968.58,1384838.36
40,1879530.2,1828422.0,1863003.0,1852370.6,1843255.6,1758953.2,1673179.0,1715317.2,1781262.6,1826519.0,5256500.6,5170214.2,5331491.0,5250964.0,5177732.6,5260730.0,5178933.200000001,5242032.8,5146548.0,5251523.0,798549.4000000003,1062938.0,965255.0,862832.8,1018836.0,957874.4,937915.0000000008,927201.0,894506.4,920406.6,1399878.0000000002,1393883.8,1311570.2,1405981.6,1386437.2,1309324.8,1381114.2,1394524.4
41,1881382.92,1834203.0,1863234.6,1864156.02,1848312.92,1761607.18,1677284.0,1729971.74,1775868.68,1829002.3,5264198.48,5245725.52,5335558.6,5293452.7,5229817.5200000005,5314505.4,5296372.92,5241501.44,5228893.36,5252933.68,820335.96,1066392.9,970247.6,866304.7000000002,1022563.24,962764.18,1002081.56,932648.72,897687.76,936121.24,1405529.96,1394748.64,1327915.84,1407783.84,1393297.6,1317197.7999999998,1393365.4,1401191.8
42,1882808.96,1845030.0,1865664.6,1870450.96,1851946.04,1770748.24,1686532.0,1737202.96,1792345.56,1827543.6000000003,5263554.24,5249700.16,5352516.2,5308232.4,5235114.76,5318831.76,5304241.44,5251164.16,5256812.52,5279253.199999998,870560.44,1069313.52,986788.6,872280.04,1027290.4,966506.08,1005888.64,936276.0,916276.12,940191.88,1413930.44,1408111.88,1341034.72,1424182.48,1399636.52,1324448.28,1407972.64,1407108.08
43,1893474.36,1859312.0,1877643.8,1877728.14,1856773.42,1774628.58,1697761.0,1744439.6000000003,1801956.62,1838896.1,5284718.04,5291535.96,5373190.4,5321639.0,5235499.72,5317896.72,5317674.2,5266560.5600000005,5324572.8,5305345.8,918907.66,1069933.98,992052.4,874373.4399999998,1032102.8,971189.24,1012290.24,927599.9199999998,922904.34,946283.48,1422443.6000000003,1409538.96,1342796.36,1430774.2399999998,1406779.8,1335487.68,1412205.62,1417308.6
44,1902149.44,1866845.0,1886459.6,1885687.5200000003,1868359.24,1787426.0399999996,1716933.0,1747149.16,1812132.76,1842533.8,5306172.24,5313913.32,5393679.0,5338056.800000002,5252395.44,5331417.88,5343269.6000000015,5299975.48,5336379.6,5335115.4,922008.32,1056532.16,990094.2,879121.92,1022711.2,974590.96,1016187.8,910833.28,923914.16,946837.12,1437055.4,1416262.44,1350351.76,1436093.2000000004,1414106.84,1346058.6,1420865.2,1428233.76
45,1911803.4,1880195.0,1906681.0,1906378.5,1875513.1,1795422.1,1762058.0,1803434.5,1821846.0,1853423.0,5309035.6,5322025.4,5441246.0,5352597.0,5262603.8,5347766.6,5359838.8,5414322.8,5347648.4,5335154.7,925701.1,1053175.9,993775.0,897799.1000000002,1005377.8000000002,978416.9,1018683.4,913936.0,928326.2,951877.7,1444215.6,1426734.6,1408262.6000000022,1445460.6,1425464.6,1353685.0,1429222.7,1440286.3
46,1922057.8,1892476.0,1912771.2,1916944.96,1892811.4,1802103.16,1809191.0,1835113.92,1831040.48,1867752.4,5326657.36,5335630.88,5541552.8,5372923.6,5291763.76,5365608.2,5375441.56,5457784.4,5366539.32,5354306.32,928831.24,1056604.84,999562.4,902030.2,1009992.8000000002,983675.28,1021736.64,919949.68,932965.6,955455.84,1444572.48,1434908.68,1432179.52,1455527.56,1433889.84,1410746.5599999996,1434715.24,1451272.44
47,1928117.92,1895980.5,1917420.4,1921521.88,1906174.34,1816147.96,1833762.0,1849121.36,1837549.4,1876732.3,5479384.800000002,5345408.56,5547941.2,5396743.0,5346632.2,5382039.2,5396476.8,5511718.96,5383803.5200000005,5370022.1,931828.26,1050719.02,981183.0,905993.12,1012349.28,988255.28,1025741.64,916544.68,928106.68,947187.96,1456814.28,1434155.04,1441732.24,1465142.68,1443545.3199999996,1430396.48,1445014.18,1455871.5
48,1941073.96,1908544.0,1925806.6,1929875.5599999996,1912233.84,1823988.08,1842573.0,1860658.68,1848834.48,1884319.4,5507773.88,5364111.16,5558043.0,5438213.000000002,5378452.92,5395570.44,5401953.44,5526641.16,5407170.88,5386186.72,936896.6,1053020.4399999995,976972.8,910613.24,1008979.0,981827.04,1027009.2,917512.68,911505.56,932393.08,1460151.76,1444391.76,1446454.68,1468348.12,1455997.08,1440432.28,1451344.36,1459944.52
49,1955020.64,1914261.0,1939731.2,1938443.64,1922874.38,1834629.88,1857490.0,1871876.34,1860247.88,1892104.1,5527935.04,5374449.96,5567675.8,5541542.800000002,5387208.92,5407661.479999999,5417551.22,5534000.2,5456806.92,5403901.4,940068.6,1045829.22,974834.6,908169.86,1011489.44,966509.6,1016560.0,920011.28,910191.46,935782.36,1466375.28,1455224.24,1451051.08,1468627.68,1458855.04,1446594.24,1453480.96,1460361.64
50,625.0,638.0,637.0,661.0,665.0,610.0,602.0,620.0,620.0,585.0,781.0,752.0,879.0,785.0,742.0,777.0,772.0,783.0,791.0,765.0,414.0,478.0,461.0,395.0,461.0,426.0,417.0,459.0,417.0,415.0,543.0,551.0,547.0,566.0,561.0,523.0,533.0,568.0
51,919.0,887.0,883.0,948.0,954.0,851.0,848.0,863.0,873.0,830.0,1555.0,1462.0,1701.0,1500.0,1472.0,1559.0,1579.0,1523.0,1545.0,1584.0,525.0,613.0,569.0,524.0,621.0,555.0,539.0,587.0,526.0,528.0,765.0,737.0,767.0,776.0,737.0,739.0,768.0,789.0
52,157585.0,157381.0,159445.0,164780.0,166615.0,153054.0,151387.0,157486.0,155046.0,147017.0,219415.0,213243.0,245086.0,223513.0,212401.0,219030.0,223807.0,220974.0,222726.0,215324.0,127712.0,171348.0,152658.0,125112.0,156511.0,139971.0,133719.0,153913.0,136836.0,134382.0,133559.0,134114.0,133329.0,137645.0,130919.0,128014.0,129709.0,134582.0
53,2119202.0,2071606.0,2105485.0,2106617.0,2091248.0,1998657.0,2012491.0,2037986.0,2022666.0,2043438.0,5760625.0,5609421.0,5823349.0,5774083.0,5625134.0,5638545.0,5773939.0,5760093.0,5766026.0,5757913.0,1050102.0,1216091.0,1130115.0,1016556.0,1171645.0,1105077.0,1142605.0,1078162.0,1048229.0,1073253.0,1602241.0,1595860.0,1585345.0,1611563.0,1589727.0,1579512.0,1585527.0,1594971.0
