,66_1_www.nytimes.com,66_2_www.nytimes.com,66_3_www.nytimes.com,66_4_www.nytimes.com,66_5_www.nytimes.com,66_6_www.nytimes.com,66_7_www.nytimes.com,66_8_www.nytimes.com,66_9_www.nytimes.com,66_10_www.nytimes.com,67_1_www.nytimes.com,67_2_www.nytimes.com,67_4_www.nytimes.com,67_5_www.nytimes.com,67_6_www.nytimes.com,67_7_www.nytimes.com,67_8_www.nytimes.com,67_9_www.nytimes.com,67_10_www.nytimes.com,68_2_www.nytimes.com,68_3_www.nytimes.com,68_4_www.nytimes.com,68_5_www.nytimes.com,68_6_www.nytimes.com,68_7_www.nytimes.com,68_8_www.nytimes.com,68_9_www.nytimes.com,68_10_www.nytimes.com,69_1_www.nytimes.com,69_2_www.nytimes.com,69_3_www.nytimes.com,69_4_www.nytimes.com,69_5_www.nytimes.com,69_6_www.nytimes.com,69_7_www.nytimes.com,69_8_www.nytimes.com,69_9_www.nytimes.com,69_10_www.nytimes.com
23,9936389.84,11570724.72,11102319.8,10796468.8,10517317.04,10598855.8,11349371.52,9875737.4,12578432.439999996,8798528.9,12571826.6,8279197.840000003,6894764.88,10486296.8,9176655.84,9478298.5,9519209.6,10562522.840000002,6704258.16,3492577.4,3145516.16,3290675.56,3562257.360000001,3267252.7,3292454.28,3276170.12,3281200.48,3192328.68,2462978.2,2722421.8,2633951.18,2055779.5200000003,2004700.92,2337466.22,2089909.72,2056877.64,2140415.24,2037251.98
24,10679042.4,12232737.4,11824184.599999998,11293942.4,11106798.32,11150679.4,12081182.959999995,10489910.76,13499011.72,9330912.000000002,13389185.200000005,8635316.76,7498037.68,11119452.16,9244624.24,10383106.4,10267158.0,11272775.920000002,7208857.520000001,3627618.6,3171496.88,3296501.96,3622585.84,3298812.08,3304550.24,3288836.44,3291203.08,3295739.12,2723962.8400000003,2741875.72,2672027.2,2084914.72,2005341.12,2353839.04,2331470.4,2103221.08,2275949.88,2086271.4
25,11397906.0,13203203.0,12425902.0,11944562.0,11587275.0,11805228.0,12829736.0,11097498.0,14374679.0,9870478.0,14161294.0,8841627.000000002,7890944.0,11695970.0,9280325.0,11284345.0,10835671.0,11994285.000000006,7603522.0,3728342.0,3295556.0,3306018.0,3778936.0,3332141.5,3312164.0,3298084.0,3295863.5,3302257.0,2832664.0,2786817.0,2697729.5,2097809.0,2190419.0,2360932.0,2354752.0,2114878.0,2361237.0,2335263.5
26,11945032.08,13990363.4,13313566.599999998,12775200.28,12214536.88,12285617.4,13693641.6,11604635.240000006,14450656.08,10435239.0,14535711.24,9227863.48,8260421.68,11828791.64,9333946.08,12108386.6,11496159.0,12795999.080000006,7932585.6,4025287.6,3461624.44,3427492.12,3920907.6,3348263.84,3380713.76,3545935.48,3346153.24,3353945.88,2894104.88,2873494.96,2983752.6,2108967.8,2305039.2,2405186.76,2363359.12,2244864.8,2411453.16,2404081.44
27,12676860.64,14513053.2,14119083.9,13625899.76,12802811.36,12743321.8,14415688.6,12398629.240000002,14524967.36,10964167.000000002,14726285.4,9612063.56,8310426.4,11964811.0,9434162.56,12980337.3,11958452.4,13509301.160000002,8448093.2,4086137.2,3613650.08,3608543.52,4053793.52,3362529.78,3386618.96,3675697.88,3404298.360000001,3406662.24,2890262.88,2886377.04,3027293.48,2183540.8000000003,2436503.64,2417576.82,2374655.12,2447458.64,2476928.24,2470288.02
28,13170831.8,14536868.76,14410549.6,14206983.32,13518805.36,13117132.6,14448374.04,13242665.88,14868886.52,11488251.0,14897858.2,9918874.04,8460776.6,12207445.16,9477589.2,13736852.0,12617619.0,14307143.24,8975425.36,4089039.6,3624238.2,3702379.76,4087694.96,3431972.24,3408510.4,3834933.4800000014,3643782.04,3589372.12,2912834.56,2900299.08,3028768.72,2266047.680000001,2445969.96,2543552.88,2380276.68,2505837.0,2791526.8400000017,2717412.12
29,13611952.12,14678778.64,14511241.9,14536085.2,14063292.08,13553723.6,14507182.04,13917010.960000005,14877014.48,11999944.1,14941290.04,10201228.320000004,8627542.9,12621663.8,9612242.4,14290329.8,13379779.800000004,14533345.2,9307220.04,4096729.1,3735872.68,3871520.720000002,4098923.04,3500791.64,3512230.920000001,4046084.8,3657688.92,3672341.12,2907145.84,2944740.32,3034223.08,2425418.16,2504779.96,2556794.16,2441002.44,2516712.08,2874794.48,2815142.3
30,13976527.6,14907598.4,14805689.0,14572170.0,14467328.4,14054139.0,14520260.8,14269310.400000004,14884447.0,12672955.0,14958068.8,10679996.6,8826096.800000003,12959975.2,9804159.2,14467296.0,14087489.0,14648991.2,9901150.400000002,4114401.0,3805027.6000000006,4073447.4,4102630.2,3508176.6,3686739.4,4109877.4,3677848.4,3685158.4,2920956.600000001,3008701.8,3048608.2,2449790.6,2734098.6,2583078.4,2442997.4000000004,2720117.0,2895950.6,2822736.4
31,14258213.32,15074910.36,14861008.2,14908191.12,14541163.12,14600611.2,14818437.72,14439292.84,14907970.48,13474759.9,15050355.66,10985940.280000003,9005615.959999999,13487822.68,10056263.72,14622610.7,14487069.8,14885624.560000004,10471143.6,4145163.3,4070675.48,4129466.56,4126269.7999999993,3509786.24,3876027.2,4115999.64,3739284.18,3735575.2,2956913.76,3040228.32,3055088.8,2513631.04,2869531.56,2612282.56,2458590.68,2821028.0,2903451.0,2842821.9
32,14508139.36,15363811.88,15033100.8,14937103.48,14561309.8,14761864.599999998,14915974.68,14558913.48,14938243.2,14312970.400000002,15071475.24,11497264.2,9134427.920000002,13868875.36,10453841.88,14807297.0,14539355.8,14929798.28,10806073.2,4151611.6,4134890.44,4147061.32,4179010.32,3709490.56,4149472.56,4158913.04,3789008.68,3999302.960000002,3036922.56,3049522.92,3064725.92,2764980.3200000003,2899200.28,2670537.92,2623881.56,2904028.32,2926214.12,2886436.88
33,14601447.56,15441086.48,15085781.3,14957360.12,14830992.56,15010498.4,14927254.4,14584882.8,15111545.72,14452039.0,15084708.6,12120836.64,9580078.480000006,14380488.16,11015084.74,14866186.3,14785723.0,15003436.92,11299344.8,4156199.9,4154458.64,4151045.96,4180816.04,3936032.96,4161582.88,4163398.12,3877916.2799999993,4146511.28,3043116.48,3072107.8,3074191.42,2908518.72,2914052.08,2689887.78,2626955.8,2909600.12,2931155.72,2890275.58
34,14870984.08,15472010.32,15100073.6,14973158.32,14912739.2,15374358.2,14963819.04,14777619.92,15409620.84,14749951.6,15263142.16,12841077.120000005,10271256.040000003,14901942.760000002,11476814.239999998,14934140.0,14934349.2,15041949.12,11704590.319999995,4165608.8,4168301.4,4181487.0,4191443.84,4103879.08,4163976.84,4167218.6,4034568.12,4179091.92,3062203.04,3104306.0,3081751.76,2917342.8000000007,2917012.72,2675788.3200000003,2644177.4,2919641.28,2943541.16,2909604.72
35,14890540.6,15498241.2,15142184.0,15007488.2,14973620.6,15416486.0,15042231.4,14938555.2,15476379.8,14783619.0,15288825.9,13555153.0,11162682.600000003,15430079.2,12136325.0,14985965.5,14967926.0,15048688.8,12212428.399999995,4176678.5,4200232.2,4187691.6,4204068.6,4131047.0,4185320.6,4175189.2,4090554.9,4182308.8,3101572.2,3125678.2,3086957.9,2934513.2,2934202.6,2689538.8,2672453.2,2947749.8,2990352.0000000005,2924437.6
36,15132780.08,15656175.72,15206097.8,15278564.44,15039308.6,15530831.4,15188032.96,15085336.44,15488955.36,14848131.4,15345996.52,14054687.880000008,11937893.28,15569516.16,12771167.6,15056190.4,15063021.8,15078334.52,12608254.6,4184687.2,4203150.16,4199160.36,4207594.2,4139312.68,4191988.8,4191606.92,4093633.24,4187723.88,3119788.16,3176680.4,3092277.52,2953381.2,2943454.72,2752686.84,2680811.08,2957887.56,3018797.360000001,2928495.84
37,15350789.2,15722243.96,15317335.0,15410528.04,15202806.04,15541214.6,15269977.06,15138295.92,15498705.44,14853959.4,15460348.12,14224794.88,12738278.4,15630539.0,12936805.44,15149008.0,15071493.6,15239153.2,13042235.96,4197277.4,4212336.2,4211684.76,4216852.04,4151385.9,4197921.44,4227195.96,4121617.52,4207744.2,3128758.88,3374805.6,3099126.38,2963802.8,2957219.16,2957076.84,2703363.4,2985664.88,3024942.56,2934751.76
38,15354343.88,15784902.04,15521664.6,15612680.28,15508460.24,15572724.4,15274105.08,15147574.64,15520167.4,14867461.8,15464490.12,14357706.2,13312399.88,15647743.96,13227834.64,15148875.4,15082623.4,15316847.12,13572447.24,4205699.4,4257034.24,4245183.04,4219869.84,4171557.52,4205634.44,4253324.36,4159801.56,4254751.4,3280132.96,3388256.64,3342602.9200000013,2986362.6,2977357.24,2984753.52,2708092.8000000003,3019437.52,3038725.52,2948205.3999999994
39,15396455.88,15836949.68,15557781.3,15666667.4,15598156.52,15605097.2,15340215.76,15186603.52,15526710.68,14967144.1,15779080.46,14556031.48,13370889.74,15687908.88,13401862.98,15159180.0,15100817.000000002,15430319.64,14220984.56,4218208.5,4264839.56,4272151.92,4237571.68,4186634.38,4257985.2,4262547.16,4178354.02,4277002.68,3387607.6,3395972.76,3398496.8,2993882.88,2988114.36,2993513.44,2751289.64,3032052.68,3049312.4,2983727.06
40,15417466.4,15846929.6,15675838.0,15737150.8,15612096.6,15722787.0,15350664.2,15215456.6,15538483.8,14958943.0,15864883.6,14731047.4,13373387.0,15708688.2,13501074.2,15457368.0,15137434.0,15479406.0,14593188.8,4249081.0,4278265.8,4283300.2,4267806.0,4187611.2,4284206.2,4269862.2,4186268.4,4282041.8,3394483.4,3406967.4,3444887.4,3040528.6,3003372.2,3028402.6,2894784.0,3040683.6,3056664.6,3017582.0
41,15434062.2,15946767.92,15725836.8,15751420.44,15727974.68,15744547.2,15629670.34,15508289.48,15551954.36,14994814.7,15881834.74,14953486.84,13467412.14,15753007.72,13714272.2,15472089.7,15178632.8,15563606.52,14971459.04,4277388.3,4295520.56,4290139.72,4287644.12,4201307.92,4292007.16,4275579.52,4261103.8,4290733.6000000015,3400139.36,3415020.36,3792727.160000003,3041411.44,3034377.9599999995,3035612.74,3027504.72,3043390.24,3063509.08,3017645.14
42,15482086.68,15978213.36,15747771.2,15763255.84,15737406.16,15747180.6,15653518.4,15513272.72,15817583.68,15171051.2,15908242.92,15431393.16,13485009.64,15846168.84,14402229.2,15528479.2,15454337.0,15818005.4,15302676.64,4278862.4,4301386.6,4291454.36,4298457.68,4213882.8,4298565.48,4279734.36,4271598.92,4302084.36,3411247.36,3423256.52,4368175.920000001,3047832.68,3048771.92,3035580.24,3034601.68,3050651.6,3065762.12,3025486.24
43,15510212.88,15988743.04,15758867.7,15821785.56,15757276.4,15805872.6,15751296.42,15528205.72,15886880.08,15455873.4,15992458.68,15737642.68,13489154.84,15900184.52,14751381.8,15634526.1,15558985.2,15967914.68,15655106.96,4290643.1,4307432.28,4303618.4,4301148.48,4231146.54,4308040.52,4290514.8,4281498.48,4303189.76,3421544.88,3472526.92,4855089.12,3056166.12,3056443.68,3047971.58,3042545.64,3056497.12,3077355.2800000007,3033437.58
44,15522139.08,16008698.68,15780198.4,15864837.48,15771129.04,15843776.0,15769595.04,15565012.64,16359681.079999998,15512037.2,16007663.08,15857190.96,13817098.0,15980195.04,14838204.08,15675275.4,15665247.2,15976857.68,15663818.88,4297682.2,4316142.68,4303929.68,4313232.76,4246732.6400000015,4314023.12,4295103.12,4285210.28,4309294.96,3429172.56,3486374.64,5443131.959999997,3064323.36,3062077.56,3053406.92,3050275.8,3072222.04,3081916.6,3040419.44
45,15526532.0,16100969.4,15864928.5,15889694.4,15839666.0,15880786.0,15776634.4,15584586.4,17292606.2,15537644.0,16024444.6,15942228.8,13844121.7,15997433.4,15020257.1,15685593.0,15716867.0,15977762.2,15717709.2,4301106.5,4323966.0,4311249.4,4316208.0,4252251.4,4321739.6,4299732.6,4291706.5,4313934.4,3481465.2,3497202.8,5984492.0,3067648.8,3065978.0,3059547.5,3054219.0,3071467.6,3088756.2,3046442.3
46,15543238.32,16116524.08,15874079.2,15900136.44,15893837.56,15899794.8,15825097.64,15597444.84,18291006.56,15547132.2,16085843.2,15954818.12,13881834.96,16104906.08,15032979.68,15731028.8,15727043.2,15989009.52,15730560.72,4310824.0,4334825.84,4319694.32,4323612.32,4257980.16,4329178.36,4306268.88,4302571.96,4320334.68,3494019.72,3505677.24,6471455.6400000015,3071657.2,3073265.96,3067107.84,3060736.08,3078562.52,3092784.48,3053107.32
47,15549072.84,16118121.0,15895326.8,16151435.360000007,15895905.96,16254319.999999993,15879354.78,15607007.52,19246258.16,15558820.0,16132097.42,15964920.04,13897985.4,16118916.08,15082296.66,15759254.4,15760987.0,16004255.84,15736641.64,4312834.3,4342593.12,4326707.84,4327944.88,4295933.6,4335090.92,4305312.44,4303995.44,4326600.44,3501517.68,3514037.64,7013875.92,3079989.72,3080999.56,3075328.68,3068330.08,3077834.88,3096489.64,3061066.68
48,15554998.48,16412892.16,16003482.6,16586121.16,16143227.24,16585765.4,15887403.52,15616894.08,19810773.36,15574161.6,16193286.48,15978249.56,14006827.56,16173524.28,15093289.04,15766502.6,15774328.6,16009863.72,15751617.76,4319497.4,4348146.44,4326729.72,4332915.48,4343800.04,4342233.92,4311573.04,4309540.76,4331764.08,3507688.96,3515774.08,7357196.56,3084082.28,3083681.64,3076549.72,3075280.36,3082985.16,3098888.84,3065348.48
49,15562806.52,16807760.72,16007101.4,16585648.48,16580387.68,16596168.999999998,15945132.82,15626568.84,19830753.16,15579256.8,16312902.24,15986901.52,14012965.62,16721806.4,15513036.52,15774823.2,15781031.8,16006514.12,15757204.36,4324336.1,4344083.800000002,4334277.92,4333787.32,4348202.3,4344890.56,4317556.36,4314703.68,4335440.88,3515138.32,3518852.12,7366912.8,3085963.28,3089963.0,3078545.36,3075611.2,3085305.68,3103830.12,3067083.46
50,1025.0,1259.0,1243.0,1230.0,1225.0,1250.0,1295.0,1026.0,1169.0,986.0,1383.0,1080.0,1405.0,1286.0,1311.0,1068.0,1047.0,1146.0,1059.0,897.0,929.0,919.0,893.0,942.0,930.0,932.0,908.0,939.0,1021.0,1048.0,1109.0,905.0,916.0,865.0,859.0,909.0,1003.0,832.0
51,2889.0,2995.0,3112.0,3344.0,3199.0,3190.0,3022.0,2726.0,3175.0,2749.0,3180.0,2904.0,3158.0,3688.0,3418.0,2697.0,2713.0,2888.0,2795.0,1288.0,1435.0,1445.0,1345.0,1439.0,1388.0,1444.0,1383.0,1405.0,1407.0,1400.0,1848.0,1243.0,1218.0,1212.0,1205.0,1247.0,1291.0,1165.0
52,298562.0,363600.0,363647.0,357578.0,359164.0,355046.0,373611.0,298557.0,335835.0,294962.0,416066.0,329752.0,407439.0,383481.0,388860.0,320081.0,320461.0,347720.0,327724.0,270312.0,275358.0,271916.0,270762.0,279983.0,277961.0,275110.0,270795.0,273316.0,293293.0,301540.0,315699.0,268524.0,270245.0,256059.0,256550.0,264393.0,283654.0,249528.0
53,15881271.0,17275316.0,16472830.0,17050120.0,17045731.0,17049154.0,16482064.0,15932730.0,20184154.0,15883814.0,16742498.0,16323915.0,14521512.0,17278270.0,16141193.0,16101911.0,16114578.0,16368030.0,16096312.0,4599059.0,4620166.0,4610470.0,4609592.0,4630781.0,4624793.0,4594144.0,4587618.0,4608874.0,3812868.0,3826770.0,7693943.0,3360890.0,3365036.0,3341003.0,3336682.0,3354466.0,3387391.0,3323050.0
