,30_1_www.spiegel.de,30_2_www.spiegel.de,30_3_www.spiegel.de,30_4_www.spiegel.de,30_5_www.spiegel.de,30_6_www.spiegel.de,30_7_www.spiegel.de,30_8_www.spiegel.de,30_9_www.spiegel.de,30_10_www.spiegel.de,31_1_www.spiegel.de,31_2_www.spiegel.de,31_3_www.spiegel.de,31_4_www.spiegel.de,31_5_www.spiegel.de,31_6_www.spiegel.de,31_8_www.spiegel.de,31_10_www.spiegel.de,32_1_www.spiegel.de,32_2_www.spiegel.de,32_3_www.spiegel.de,32_4_www.spiegel.de,32_5_www.spiegel.de,32_6_www.spiegel.de,32_7_www.spiegel.de,32_8_www.spiegel.de,32_9_www.spiegel.de,32_10_www.spiegel.de,33_1_www.spiegel.de,33_2_www.spiegel.de,33_3_www.spiegel.de,33_4_www.spiegel.de,33_5_www.spiegel.de,33_6_www.spiegel.de,33_7_www.spiegel.de,33_8_www.spiegel.de,33_9_www.spiegel.de,33_10_www.spiegel.de
16,3249516.2,3022927.24,3023730.0,3032539.16,3162525.4,3167136.56,3282108.64,2812595.12,3057206.2,3118641.24,1509421.44,1812062.44,1526878.0,1522114.08,1453474.28,1483918.04,1462100.2,1517332.4,1384214.6000000006,1067898.16,1173744.84,1246040.96,1257629.24,1161121.0,1261558.12,1070115.08,1058233.52,1042270.56,1073775.6,1034827.8,1216374.2,1165827.56,1169748.24,1071079.52,1229355.0,1095596.8,1189242.32,1065454.16
17,3327432.5,3086484.62,3134598.0,3253994.1,3252776.6,3204435.68,3327760.64,2881144.399999999,3126902.66,3163570.72,1502499.66,1826831.64,1523302.0,1514301.74,1490918.36,1504366.52,1498985.8,1521903.1,1410572.56,1102189.68,1284124.28,1292884.18,1390210.42,1287787.54,1384160.64,1123969.04,1091823.12,1077263.04,1104548.8,1063385.68,1246144.16,1212217.44,1206146.96,1116765.72,1306573.0,1139384.44,1240585.2000000002,1081998.92
18,3363470.6,3176310.36,3305634.8,3312319.64,3292053.9999999995,3229713.0,3379221.2,3074318.6,3180249.8799999994,3248501.48,1577825.76,1856299.44,1524489.0,1546997.7999999996,1518753.68,1511765.56,1517787.4,1553666.2,1425397.32,1134495.72,1353083.56,1360943.68,1442570.64,1293443.9200000002,1474187.76,1131878.5600000005,1112029.16,1090266.36,1165564.399999999,1109019.96,1291701.2,1255361.4,1256299.16,1159454.2,1333815.0,1149957.24,1286328.84,1112235.16
19,3407931.54,3212460.06,3488105.2,3345092.7,3318994.8,3293488.86,3400872.96,3229490.4,3270002.64,3295737.44,1693159.66,1904991.3199999982,1595735.0,1688229.4,1513340.28,1515941.88,1507801.8,1641036.7,1489500.08,1160122.04,1440091.44,1464270.36,1448602.84,1435938.16,1485126.44,1186395.04,1120650.92,1115985.72,1228664.4,1138150.52,1329355.0,1302200.4800000004,1299882.96,1243467.72,1366853.0,1183422.92,1305550.28,1142924.36
20,3571115.2,3288007.0,3545742.0,3438264.2,3375673.0,3381037.8,3410920.6,3244795.8,3297477.2,3344488.0,1722290.0,1968757.2,1790892.0,1802836.8,1516381.2,1550040.8,1520025.0,1818705.0,1530540.8,1211725.4,1491001.8,1549693.8,1485063.2,1459882.6,1503399.2,1280743.0,1145283.0,1139429.6,1275565.0,1180298.2,1355409.6,1314913.4,1334240.799999998,1282136.6000000006,1386766.0,1217638.0,1321790.2,1227254.8
21,3582514.48,3339335.06,3514290.6,3564880.8,3406413.2,3408586.94,3587504.92,3278512.44,3333066.46,3385176.12,1828224.76,2292540.28,1838087.0,1840730.02,1643542.68,1702557.4,1620408.0,1843618.3,1631390.88,1284242.5200000007,1498346.8,1578823.5,1508251.82,1475411.64,1522046.04,1388207.98,1172388.32,1169241.32,1324295.4,1196422.6,1385388.2,1344883.7599999998,1405456.64,1346504.9199999995,1415350.0,1240756.56,1359247.06,1279490.24
22,3565819.32,3362898.28,3544743.6,3515098.04,3583427.4,3444619.52,3773657.44,3309573.12,3361446.32,3429646.64,1846044.16,2317605.32,1849090.0,1856976.92,1675133.92,1786772.28,1703627.4,1862588.0,1662022.36,1359030.48,1520931.24,1593377.32,1516380.08,1595593.64,1539955.48,1425654.96,1217163.72,1195003.24,1341505.8,1239142.92,1417191.52,1446253.04,1420967.4,1356377.24,1444656.0,1260259.68,1403882.72,1298021.72
23,3592261.72,3411709.72,3586491.0,3554810.4,3548597.0,3449477.8,3791965.28,3356080.52,3414848.68,3585489.12,1861860.6,2332484.32,1864024.0,1876763.3,1778638.26,1832366.52,1796836.4,1871704.9,1680846.64,1433991.2799999998,1595700.7999999996,1656674.4,1558479.3999999997,1630272.32,1614113.48,1439594.2000000004,1334636.5599999998,1335641.64,1388460.2,1283449.92,1436414.16,1537136.36,1533295.5999999996,1375076.52,1556927.0,1322326.72,1470244.7999999996,1318237.12
24,3741040.96,3466177.400000001,3774740.2,3733439.24,3548611.6000000006,3418036.2,3813775.2,3389747.319999999,3560003.16,3567489.24,1878712.92,2384412.52,1888270.0,1913241.04,1826276.48,1843341.04,1827204.8,1894764.4,1717450.12,1471566.08,1644566.44,1689035.56,1653646.28,1653746.84,1686717.96,1465058.52,1414621.68,1348099.52,1401405.4,1293162.96,1512615.3599999996,1613012.76,1628032.36,1396482.92,1599471.0,1337194.2,1604496.16,1356417.96
25,3844902.0,3571187.0,3831478.0,3751846.0,3560339.0,3440278.0,3823296.0,3453834.0,3554057.5,3632332.0,1951294.5,2417467.5,1972184.0,1924377.5,1840346.0,1852663.0,1845006.0,1916771.5,1724129.0,1485611.0,1674189.0,1766381.5,1664231.0,1681394.0,1704899.0,1483122.0,1471407.5,1358537.0,1423188.0,1308604.0,1597229.0,1646282.0,1647425.0,1412602.0,1611695.5,1389604.0,1615301.0,1391194.0
