index,time,src_ip,dst_ip,tcp_seq,tcp_ack,tcp_len,direction,cumul_sum
1,1574591281.705524,192.168.1.5,192.168.1.4,2682917823,2686782167,343,0,-343
2,1574591281.705899,192.168.1.4,192.168.1.5,2686782167,2682918166,99,1,-244
3,1574591281.706356,192.168.1.5,192.168.1.4,2682918166,2686782266,382,0,-626
4,1574591281.716099,192.168.1.4,192.168.1.5,2686782266,2682918548,2266,1,1640
5,1574591281.717441,192.168.1.5,192.168.1.4,2682918548,2686784532,74,0,1566
6,1574591281.717648,192.168.1.5,192.168.1.4,2682918622,2686784532,245,0,1321
7,1574591281.717892,192.168.1.4,192.168.1.5,2686784532,2682918867,79,1,1400
8,1574591281.719248,192.168.1.4,192.168.1.5,2686784611,2682918867,79,1,1479
9,1574591281.862592,192.168.1.5,192.168.1.4,1710301577,4238209029,343,0,1136
10,1574591281.862959,192.168.1.4,192.168.1.5,4238209029,1710301920,99,1,1235
11,1574591281.863334,192.168.1.5,192.168.1.4,1710301920,4238209128,382,0,853
12,1574591281.865428,192.168.1.5,192.168.1.4,2708468874,2381277453,343,0,510
13,1574591281.873258,192.168.1.4,192.168.1.5,4238209128,1710302302,2266,1,2776
14,1574591281.874111,192.168.1.4,192.168.1.5,2381277453,2708469217,99,1,2875
15,1574591281.874345,192.168.1.5,192.168.1.4,1710302302,4238211394,74,0,2801
16,1574591281.874491,192.168.1.5,192.168.1.4,1710302376,4238211394,239,0,2562
17,1574591281.874639,192.168.1.4,192.168.1.5,4238211394,1710302615,79,1,2641
18,1574591281.874702,192.168.1.4,192.168.1.5,4238211473,1710302615,79,1,2720
19,1574591281.875246,192.168.1.5,192.168.1.4,2708469217,2381277552,382,0,2338
20,1574591281.885248,192.168.1.4,192.168.1.5,2381277552,2708469599,2266,1,4604
21,1574591281.886336,192.168.1.5,192.168.1.4,2708469599,2381279818,74,0,4530
22,1574591281.886517,192.168.1.5,192.168.1.4,2708469673,2381279818,239,0,4291
23,1574591281.886803,192.168.1.4,192.168.1.5,2381279818,2708469912,79,1,4370
24,1574591281.88683,192.168.1.4,192.168.1.5,2381279897,2708469912,79,1,4449
25,1574591283.038167,192.168.1.4,192.168.1.5,2686784690,2682918867,91,1,4540
26,1574591283.038762,192.168.1.5,192.168.1.4,2682918867,2686784781,539,0,4001
27,1574591283.080992,192.168.1.4,192.168.1.5,2686784781,2682919406,2070,1,6071
28,1574591283.122429,192.168.1.4,192.168.1.5,2686786851,2682919406,1018,1,7089
29,1574591283.131714,192.168.1.5,192.168.1.4,2682919406,2686787869,86,0,7003
30,1574591283.132654,192.168.1.5,192.168.1.4,2682919492,2686787869,108,0,6895
31,1574591283.13328,192.168.1.5,192.168.1.4,2682919600,2686787869,321,0,6574
32,1574591283.133435,192.168.1.5,192.168.1.4,2682919921,2686787869,54,0,6520
33,1574591283.149089,192.168.1.4,192.168.1.5,4238211552,1710302615,91,1,6611
34,1574591283.149115,192.168.1.4,192.168.1.5,2381279976,2708469912,91,1,6702
35,1574591283.14951,192.168.1.5,192.168.1.4,1710302615,4238211643,539,0,6163
36,1574591283.149743,192.168.1.5,192.168.1.4,2708469912,2381280067,539,0,5624
37,1574591283.177966,192.168.1.4,192.168.1.5,4238211643,1710303154,2070,1,7694
38,1574591283.178412,192.168.1.4,192.168.1.5,2686787869,2682919975,617,1,8311
39,1574591283.17843,192.168.1.4,192.168.1.5,2381280067,2708470451,2070,1,10381
40,1574591283.179492,192.168.1.5,192.168.1.4,2682919975,2686788486,53,0,10328
41,1574591283.180018,192.168.1.4,192.168.1.5,2686788486,2682920028,1200,1,11528
42,1574591283.182784,192.168.1.5,192.168.1.4,2682920028,2686789686,61,0,11467
43,1574591283.218495,192.168.1.4,192.168.1.5,4238213713,1710303154,1119,1,12586
44,1574591283.222456,192.168.1.4,192.168.1.5,2381282137,2708470451,1120,1,13706
45,1574591283.230397,192.168.1.5,192.168.1.4,1710303154,4238214832,86,0,13620
46,1574591283.232978,192.168.1.5,192.168.1.4,2708470451,2381283257,86,0,13534
47,1574591283.233374,192.168.1.5,192.168.1.4,1710303240,4238214832,108,0,13426
48,1574591283.23432,192.168.1.5,192.168.1.4,1710303348,4238214832,378,0,13048
49,1574591283.254495,192.168.1.4,192.168.1.5,2381283257,2708470537,274,1,13322
50,1574591283.25477,192.168.1.4,192.168.1.5,4238214832,1710303726,340,1,13662
51,1574591283.256569,192.168.1.5,192.168.1.4,1710303726,4238215172,53,0,13609
