index,time,src_ip,dst_ip,tcp_seq,tcp_ack,tcp_len,direction,cumul_sum
1,1574591334.18233,192.168.1.5,192.168.1.4,1734718568,2110911723,343,0,-343
2,1574591334.183104,192.168.1.4,192.168.1.5,2110911723,1734718911,99,1,-244
3,1574591334.183764,192.168.1.5,192.168.1.4,1734718911,2110911822,382,0,-626
4,1574591334.197694,192.168.1.4,192.168.1.5,2110911822,1734719293,2266,1,1640
5,1574591334.198612,192.168.1.5,192.168.1.4,1734719293,2110914088,74,0,1566
6,1574591334.198764,192.168.1.5,192.168.1.4,1734719367,2110914088,245,0,1321
7,1574591334.198999,192.168.1.4,192.168.1.5,2110914088,1734719612,79,1,1400
8,1574591334.199074,192.168.1.4,192.168.1.5,2110914167,1734719612,79,1,1479
9,1574591334.340477,192.168.1.5,192.168.1.4,2753620088,3565052364,343,0,1136
10,1574591334.340938,192.168.1.4,192.168.1.5,3565052364,2753620431,99,1,1235
11,1574591334.34127,192.168.1.5,192.168.1.4,2753620431,3565052463,382,0,853
12,1574591334.342884,192.168.1.5,192.168.1.4,1170756484,2119905427,343,0,510
13,1574591334.346607,192.168.1.4,192.168.1.5,2119905427,1170756827,99,1,609
14,1574591334.34689,192.168.1.5,192.168.1.4,1170756827,2119905526,382,0,227
15,1574591334.36076,192.168.1.4,192.168.1.5,2119905526,1170757209,2266,1,2493
16,1574591334.361352,192.168.1.4,192.168.1.5,3565052463,2753620813,2266,1,4759
17,1574591334.362429,192.168.1.5,192.168.1.4,2753620813,3565054729,74,0,4685
18,1574591334.362594,192.168.1.5,192.168.1.4,2753620887,3565054729,239,0,4446
19,1574591334.362952,192.168.1.4,192.168.1.5,3565054729,2753621126,79,1,4525
20,1574591334.363963,192.168.1.5,192.168.1.4,1170757209,2119907792,74,0,4451
21,1574591334.364089,192.168.1.4,192.168.1.5,3565054808,2753621126,79,1,4530
22,1574591334.364315,192.168.1.5,192.168.1.4,1170757283,2119907792,239,0,4291
23,1574591334.364364,192.168.1.4,192.168.1.5,2119907792,1170757283,79,1,4370
24,1574591334.364527,192.168.1.4,192.168.1.5,2119907871,1170757522,79,1,4449
25,1574591335.102375,192.168.1.4,192.168.1.5,2110914246,1734719612,91,1,4540
26,1574591335.103451,192.168.1.5,192.168.1.4,1734719612,2110914337,539,0,4001
27,1574591335.146062,192.168.1.4,192.168.1.5,2110914337,1734720151,1440,1,5441
28,1574591335.186484,192.168.1.4,192.168.1.5,2110915777,1734720151,1648,1,7089
29,1574591335.195053,192.168.1.5,192.168.1.4,1734720151,2110917425,86,0,7003
30,1574591335.195743,192.168.1.5,192.168.1.4,1734720237,2110917425,108,0,6895
31,1574591335.196287,192.168.1.5,192.168.1.4,1734720345,2110917425,321,0,6574
32,1574591335.196444,192.168.1.5,192.168.1.4,1734720666,2110917425,54,0,6520
33,1574591335.202423,192.168.1.4,192.168.1.5,2119907950,1170757522,91,1,6611
34,1574591335.202927,192.168.1.5,192.168.1.4,1170757522,2119908041,539,0,6072
35,1574591335.225442,192.168.1.4,192.168.1.5,2119908041,1170758061,2070,1,8142
36,1574591335.233635,192.168.1.4,192.168.1.5,2110917425,1734720720,617,1,8759
37,1574591335.237634,192.168.1.5,192.168.1.4,1734720720,2110918042,53,0,8706
38,1574591335.239568,192.168.1.4,192.168.1.5,2110918042,1734720773,1141,1,9847
39,1574591335.242167,192.168.1.5,192.168.1.4,1734720773,2110919183,61,0,9786
40,1574591335.244568,192.168.1.4,192.168.1.5,3565054887,2753621126,91,1,9877
41,1574591335.244902,192.168.1.5,192.168.1.4,2753621126,3565054978,539,0,9338
42,1574591335.26561,192.168.1.4,192.168.1.5,3565054978,2753621665,2070,1,11408
43,1574591335.266048,192.168.1.4,192.168.1.5,2119910111,1170758061,1119,1,12527
44,1574591335.275071,192.168.1.5,192.168.1.4,1170758061,2119911230,86,0,12441
45,1574591335.275594,192.168.1.5,192.168.1.4,1170758147,2119911230,108,0,12333
46,1574591335.276994,192.168.1.5,192.168.1.4,1170758255,2119911230,378,0,11955
47,1574591335.29763,192.168.1.4,192.168.1.5,2119911230,1170758633,318,1,12273
48,1574591335.298081,192.168.1.5,192.168.1.4,1170758633,2119911548,53,0,12220
49,1574591335.306534,192.168.1.4,192.168.1.5,3565057048,2753621665,1120,1,13340
50,1574591335.308754,192.168.1.5,192.168.1.4,2753621665,3565058168,86,0,13254
51,1574591335.328456,192.168.1.4,192.168.1.5,3565058168,2753621751,274,1,13528
52,1574591335.344349,192.168.1.4,192.168.1.5,2119911548,1170758686,868,1,14396
53,1574591335.350272,192.168.1.5,192.168.1.4,1170758686,2119912416,102,0,14294
54,1574591335.36925,192.168.1.4,192.168.1.5,2119912416,1170758788,57,1,14351
55,1574591335.46361,192.168.1.4,192.168.1.5,2119912473,1170758788,8688,1,23039
56,1574591335.463867,192.168.1.4,192.168.1.5,2119921161,1170758788,4884,1,27923
57,1574591335.488134,192.168.1.4,192.168.1.5,2119926045,1170758788,2070,1,29993
58,1574591335.530301,192.168.1.4,192.168.1.5,2119928115,1170758788,7624,1,37617
59,1574591335.538753,192.168.1.5,192.168.1.4,1688733540,1133662189,343,0,37274
60,1574591335.539114,192.168.1.4,192.168.1.5,1133662189,1688733883,99,1,37373
61,1574591335.539557,192.168.1.5,192.168.1.4,1688733883,1133662288,382,0,36991
62,1574591335.54629,192.168.1.5,192.168.1.4,3782089636,1418699719,343,0,36648
63,1574591335.548252,192.168.1.5,192.168.1.4,3680656112,3568234603,343,0,36305
64,1574591335.55084,192.168.1.4,192.168.1.5,1418699719,3782089979,99,1,36404
65,1574591335.551231,192.168.1.5,192.168.1.4,3782089979,1418699818,382,0,36022
66,1574591335.552721,192.168.1.5,192.168.1.4,1035478438,3990315992,343,0,35679
67,1574591335.554176,192.168.1.4,192.168.1.5,3568234603,3680656455,99,1,35778
68,1574591335.554507,192.168.1.5,192.168.1.4,3680656455,3568234702,382,0,35396
69,1574591335.555722,192.168.1.5,192.168.1.4,3512073216,2727132371,343,0,35053
70,1574591335.55676,192.168.1.4,192.168.1.5,3990315992,1035478781,99,1,35152
71,1574591335.557114,192.168.1.5,192.168.1.4,1035478781,3990316091,382,0,34770
72,1574591335.563347,192.168.1.4,192.168.1.5,2727132371,3512073559,99,1,34869
73,1574591335.56374,192.168.1.5,192.168.1.4,3512073559,2727132470,382,0,34487
74,1574591335.565566,192.168.1.5,192.168.1.4,1363013114,1231627654,343,0,34144
75,1574591335.571621,192.168.1.5,192.168.1.4,3811612183,3948164079,343,0,33801
76,1574591335.595207,192.168.1.4,192.168.1.5,3948164079,3811612526,99,1,33900
77,1574591335.595602,192.168.1.5,192.168.1.4,3811612526,3948164178,382,0,33518
78,1574591335.5959,192.168.1.4,192.168.1.5,1231627654,1363013457,99,1,33617
79,1574591335.596198,192.168.1.5,192.168.1.4,1363013457,1231627753,382,0,33235
80,1574591335.612989,192.168.1.4,192.168.1.5,1231627753,1363013839,2266,1,35501
81,1574591335.614774,192.168.1.5,192.168.1.4,1363013839,1231630019,74,0,35427
82,1574591335.614926,192.168.1.4,192.168.1.5,1133662288,1688734265,2266,1,37693
83,1574591335.616321,192.168.1.5,192.168.1.4,1688734265,1133664554,74,0,37619
84,1574591335.616609,192.168.1.5,192.168.1.4,1688734339,1133664554,245,0,37374
