index,time,src_ip,dst_ip,tcp_seq,tcp_ack,tcp_len,direction,cumul_sum
1,1574590586.26347,192.168.1.4,192.168.1.5,3143153764,1920167023,91,1,91
2,1574590586.263611,192.168.1.4,192.168.1.5,3143153855,1920167023,24,1,115
3,1574590586.374902,192.168.1.4,192.168.1.5,592075319,60426811,91,1,206
4,1574590586.375143,192.168.1.4,192.168.1.5,592075410,60426811,24,1,230
5,1574590589.476318,192.168.1.5,192.168.1.4,4094472375,3930140703,343,0,-113
6,1574590589.477451,192.168.1.4,192.168.1.5,3930140703,4094472718,99,1,-14
7,1574590589.478194,192.168.1.5,192.168.1.4,4094472718,3930140802,382,0,-396
8,1574590589.488929,192.168.1.4,192.168.1.5,3930140802,4094473100,2266,1,1870
9,1574590589.489838,192.168.1.5,192.168.1.4,4094473100,3930143068,74,0,1796
10,1574590589.48997,192.168.1.5,192.168.1.4,4094473174,3930143068,245,0,1551
11,1574590589.490265,192.168.1.4,192.168.1.5,3930143068,4094473419,79,1,1630
12,1574590589.490344,192.168.1.4,192.168.1.5,3930143147,4094473419,79,1,1709
13,1574590589.635083,192.168.1.5,192.168.1.4,3240616747,2889557401,343,0,1366
14,1574590589.635435,192.168.1.4,192.168.1.5,2889557401,3240617090,99,1,1465
15,1574590589.63577,192.168.1.5,192.168.1.4,3240617090,2889557500,382,0,1083
16,1574590589.637836,192.168.1.5,192.168.1.4,2328131308,2582686264,343,0,740
17,1574590589.642728,192.168.1.4,192.168.1.5,2582686264,2328131651,99,1,839
18,1574590589.643035,192.168.1.5,192.168.1.4,2328131651,2582686363,382,0,457
19,1574590589.650072,192.168.1.4,192.168.1.5,2889557500,3240617472,2266,1,2723
20,1574590589.650902,192.168.1.5,192.168.1.4,3240617472,2889559766,74,0,2649
21,1574590589.651051,192.168.1.5,192.168.1.4,3240617546,2889559766,235,0,2414
22,1574590589.654343,192.168.1.4,192.168.1.5,2889559766,3240617781,79,1,2493
23,1574590589.65437,192.168.1.4,192.168.1.5,2889559845,3240617781,79,1,2572
24,1574590589.657872,192.168.1.4,192.168.1.5,2582686363,2328132033,2266,1,4838
25,1574590589.658769,192.168.1.5,192.168.1.4,2328132033,2582688629,74,0,4764
26,1574590589.658895,192.168.1.5,192.168.1.4,2328132107,2582688629,235,0,4529
27,1574590589.659124,192.168.1.4,192.168.1.5,2582688629,2328132342,79,1,4608
28,1574590589.659191,192.168.1.4,192.168.1.5,2582688708,2328132342,79,1,4687
29,1574590591.474468,192.168.1.4,192.168.1.5,3930143226,4094473419,91,1,4778
30,1574590591.475505,192.168.1.5,192.168.1.4,4094473419,3930143317,539,0,4239
31,1574590591.517416,192.168.1.4,192.168.1.5,3930143317,4094473958,2070,1,6309
32,1574590591.558421,192.168.1.4,192.168.1.5,3930145387,4094473958,1018,1,7327
33,1574590591.568807,192.168.1.5,192.168.1.4,4094473958,3930146405,86,0,7241
34,1574590591.569694,192.168.1.5,192.168.1.4,4094474044,3930146405,108,0,7133
35,1574590591.570155,192.168.1.5,192.168.1.4,4094474152,3930146405,321,0,6812
36,1574590591.57028,192.168.1.5,192.168.1.4,4094474473,3930146405,54,0,6758
37,1574590591.596375,192.168.1.4,192.168.1.5,2889559924,3240617781,91,1,6849
38,1574590591.597601,192.168.1.5,192.168.1.4,3240617781,2889560015,539,0,6310
39,1574590591.622109,192.168.1.4,192.168.1.5,3930146405,4094474527,1965,1,8275
40,1574590591.625384,192.168.1.5,192.168.1.4,4094474527,3930148370,53,0,8222
41,1574590591.625646,192.168.1.5,192.168.1.4,4094474580,3930148370,61,0,8161
42,1574590591.635753,192.168.1.4,192.168.1.5,2582688787,2328132342,91,1,8252
43,1574590591.636278,192.168.1.5,192.168.1.4,2328132342,2582688878,539,0,7713
44,1574590591.645365,192.168.1.4,192.168.1.5,2889560015,3240618320,2070,1,9783
45,1574590591.681105,192.168.1.4,192.168.1.5,2582688878,2328132881,2070,1,11853
46,1574590591.686215,192.168.1.4,192.168.1.5,2889562085,3240618320,598,1,12451
47,1574590591.691464,192.168.1.5,192.168.1.4,3240618320,2889562683,86,0,12365
48,1574590591.692135,192.168.1.5,192.168.1.4,3240618406,2889562683,108,0,12257
49,1574590591.693147,192.168.1.5,192.168.1.4,3240618514,2889562683,381,0,11876
50,1574590591.722419,192.168.1.4,192.168.1.5,2582690948,2328132881,598,1,12474
51,1574590591.724937,192.168.1.5,192.168.1.4,2328132881,2582691546,86,0,12388
52,1574590591.735993,192.168.1.4,192.168.1.5,2889562683,3240618895,617,1,13005
53,1574590591.739138,192.168.1.5,192.168.1.4,3240618895,2889563300,53,0,12952
54,1574590591.741479,192.168.1.4,192.168.1.5,2889563300,3240618948,2070,1,15022
55,1574590591.782352,192.168.1.4,192.168.1.5,2889565370,3240618948,14480,1,29502
56,1574590591.78265,192.168.1.4,192.168.1.5,2889579850,3240618948,9,1,29511
57,1574590591.783588,192.168.1.5,192.168.1.4,3240618948,2889579859,61,0,29450
58,1574590591.796277,192.168.1.5,192.168.1.4,4250123169,1204062216,343,0,29107
59,1574590591.796598,192.168.1.4,192.168.1.5,1204062216,4250123512,99,1,29206
60,1574590591.797027,192.168.1.5,192.168.1.4,4250123512,1204062315,382,0,28824
61,1574590591.799082,192.168.1.5,192.168.1.4,143417866,148214777,343,0,28481
62,1574590591.800985,192.168.1.5,192.168.1.4,3240619009,2889579859,149,0,28332
63,1574590591.802062,192.168.1.4,192.168.1.5,148214777,143418209,99,1,28431
64,1574590591.80231,192.168.1.5,192.168.1.4,143418209,148214876,382,0,28049
65,1574590591.803449,192.168.1.5,192.168.1.4,3240619158,2889579859,121,0,27928
66,1574590591.807126,192.168.1.5,192.168.1.4,3533976744,68451402,343,0,27585
67,1574590591.809532,192.168.1.5,192.168.1.4,2769446740,4167142221,343,0,27242
68,1574590591.81278,192.168.1.5,192.168.1.4,2218848450,1405156465,343,0,26899
69,1574590591.813231,192.168.1.4,192.168.1.5,4167142221,2769447083,99,1,26998
70,1574590591.813541,192.168.1.5,192.168.1.4,2769447083,4167142320,382,0,26616
71,1574590591.813806,192.168.1.4,192.168.1.5,68451402,3533977087,99,1,26715
72,1574590591.81402,192.168.1.5,192.168.1.4,3533977087,68451501,382,0,26333
73,1574590591.818874,192.168.1.5,192.168.1.4,1841619155,4280713773,343,0,25990
74,1574590591.82071,192.168.1.5,192.168.1.4,3240619279,2889579859,117,0,25873
75,1574590591.820786,192.168.1.4,192.168.1.5,1204062315,4250123894,2266,1,28139
76,1574590591.82148,192.168.1.4,192.168.1.5,1405156465,2218848793,99,1,28238
77,1574590591.821854,192.168.1.5,192.168.1.4,4250123894,1204064581,74,0,28164
78,1574590591.82197,192.168.1.5,192.168.1.4,4250123968,1204064581,247,0,27917
79,1574590591.822506,192.168.1.5,192.168.1.4,2218848793,1405156564,382,0,27535
80,1574590591.835207,192.168.1.4,192.168.1.5,1405156564,2218849175,2266,1,29801
81,1574590591.835885,192.168.1.4,192.168.1.5,4280713773,1841619498,99,1,29900
82,1574590591.836405,192.168.1.5,192.168.1.4,2218849175,1405158830,74,0,29826
83,1574590591.836532,192.168.1.5,192.168.1.4,2218849249,1405158830,245,0,29581
84,1574590591.836736,192.168.1.5,192.168.1.4,1841619498,4280713872,382,0,29199
85,1574590591.840686,192.168.1.4,192.168.1.5,148214876,143418591,2266,1,31465
86,1574590591.841591,192.168.1.5,192.168.1.4,143418591,148217142,74,0,31391
87,1574590591.841675,192.168.1.5,192.168.1.4,4250123968,1204064581,247,0,31144
88,1574590591.841758,192.168.1.5,192.168.1.4,143418665,148217142,247,0,30897
89,1574590591.842501,192.168.1.4,192.168.1.5,1204064581,4250124215,79,1,30976
90,1574590591.842613,192.168.1.4,192.168.1.5,1204064660,4250124215,79,1,31055
91,1574590591.846515,192.168.1.4,192.168.1.5,2889579859,3240619396,2070,1,33125
92,1574590591.848976,192.168.1.5,192.168.1.4,2218849249,1405158830,245,0,32880
93,1574590591.857187,192.168.1.4,192.168.1.5,148217142,143418912,79,1,32959
94,1574590591.857213,192.168.1.4,192.168.1.5,148217221,143418912,79,1,33038
95,1574590591.861141,192.168.1.4,192.168.1.5,68451501,3533977469,2266,1,35304
96,1574590591.862023,192.168.1.5,192.168.1.4,3533977469,68453767,74,0,35230
97,1574590591.86219,192.168.1.5,192.168.1.4,3533977543,68453767,245,0,34985
98,1574590591.86354,192.168.1.4,192.168.1.5,4167142320,2769447465,2266,1,37251
99,1574590591.864345,192.168.1.5,192.168.1.4,2769447465,4167144586,74,0,37177
100,1574590591.864496,192.168.1.5,192.168.1.4,2769447539,4167144586,245,0,36932
101,1574590591.866389,192.168.1.4,192.168.1.5,2889581929,3240619396,16406,1,53338
102,1574590591.866499,192.168.1.4,192.168.1.5,2889598335,3240619396,11584,1,64922
103,1574590591.866674,192.168.1.4,192.168.1.5,2889609919,3240619396,11273,1,76195
104,1574590591.866703,192.168.1.4,192.168.1.5,68453767,3533977788,79,1,76274
105,1574590591.866842,192.168.1.4,192.168.1.5,68453846,3533977788,79,1,76353
106,1574590591.867301,192.168.1.4,192.168.1.5,4167144586,2769447784,79,1,76432
107,1574590591.867698,192.168.1.4,192.168.1.5,4167144665,2769447784,79,1,76511
108,1574590591.867707,192.168.1.4,192.168.1.5,1405158830,2218849494,79,1,76590
109,1574590591.867901,192.168.1.4,192.168.1.5,1405158909,2218849494,79,1,76669
110,1574590591.870626,192.168.1.4,192.168.1.5,4280713872,1841619880,2266,1,78935
111,1574590591.871528,192.168.1.5,192.168.1.4,1841619880,4280716138,74,0,78861
112,1574590591.871656,192.168.1.5,192.168.1.4,1841619954,4280716138,237,0,78624
113,1574590591.87191,192.168.1.4,192.168.1.5,4280716138,1841620191,79,1,78703
114,1574590591.873074,192.168.1.4,192.168.1.5,4280716217,1841620191,79,1,78782
115,1574590591.87594,192.168.1.5,192.168.1.4,3240619396,2889621192,61,0,78721
116,1574590591.883056,192.168.1.4,192.168.1.5,2889621192,3240619457,2070,1,80791
117,1574590591.897643,192.168.1.4,192.168.1.5,2889623262,3240619457,16406,1,97197
118,1574590591.897755,192.168.1.4,192.168.1.5,2889639668,3240619457,13032,1,110229
119,1574590591.897951,192.168.1.4,192.168.1.5,2889652700,3240619457,8284,1,118513
120,1574590591.938449,192.168.1.4,192.168.1.5,2889660984,3240619457,16406,1,134919
121,1574590591.938595,192.168.1.4,192.168.1.5,2889677390,3240619457,2896,1,137815
122,1574590591.938948,192.168.1.4,192.168.1.5,2889680286,3240619457,11584,1,149399
123,1574590591.939002,192.168.1.4,192.168.1.5,2889691870,3240619457,1772,1,151171
124,1574590591.945269,192.168.1.4,192.168.1.5,2889693642,3240619457,16406,1,167577
125,1574590591.945334,192.168.1.4,192.168.1.5,2889710048,3240619457,3490,1,171067
126,1574590591.945385,192.168.1.4,192.168.1.5,2889713538,3240619457,1571,1,172638
127,1574590594.340523,192.168.1.4,192.168.1.5,148217300,143418912,91,1,172729
128,1574590594.340918,192.168.1.5,192.168.1.4,143418912,148217391,539,0,172190
129,1574590594.38213,192.168.1.4,192.168.1.5,148217391,143419451,1440,1,173630
130,1574590594.422313,192.168.1.4,192.168.1.5,148218831,143419451,2519,1,176149
131,1574590594.425638,192.168.1.5,192.168.1.4,143419451,148221350,86,0,176063
132,1574590594.431462,192.168.1.5,192.168.1.4,143419537,148221350,108,0,175955
133,1574590594.431714,192.168.1.5,192.168.1.4,4250124215,1204064739,24,0,175931
134,1574590594.433735,192.168.1.5,192.168.1.4,143419645,148221350,268,0,175663
135,1574590594.433939,192.168.1.5,192.168.1.4,143419913,148221350,138,0,175525
136,1574590594.464092,192.168.1.4,192.168.1.5,148221350,143420051,586,1,176111
137,1574590594.465044,192.168.1.5,192.168.1.4,143420051,148221936,53,0,176058
138,1574590594.472585,192.168.1.4,192.168.1.5,148221936,143420104,53,1,176111
139,1574590594.514231,192.168.1.4,192.168.1.5,148221989,143420104,2034,1,178145
140,1574590594.532423,192.168.1.5,192.168.1.4,143420104,148224023,61,0,178084
141,1574590594.536269,192.168.1.5,192.168.1.4,403518060,2087056350,343,0,177741
