index,294_1_www.dhl.de,294_2_www.dhl.de,294_3_www.dhl.de,294_4_www.dhl.de,294_5_www.dhl.de,294_6_www.dhl.de,294_7_www.dhl.de,294_8_www.dhl.de,294_9_www.dhl.de,294_10_www.dhl.de,295_1_www.dhl.de,295_2_www.dhl.de,295_3_www.dhl.de,295_4_www.dhl.de,295_5_www.dhl.de,295_6_www.dhl.de,295_7_www.dhl.de,295_8_www.dhl.de,295_9_www.dhl.de,295_10_www.dhl.de,296_1_www.dhl.de,296_2_www.dhl.de,296_3_www.dhl.de,296_4_www.dhl.de,296_5_www.dhl.de,296_6_www.dhl.de,296_7_www.dhl.de,296_8_www.dhl.de,296_9_www.dhl.de,296_10_www.dhl.de,297_1_www.dhl.de,297_2_www.dhl.de,297_3_www.dhl.de,297_4_www.dhl.de,297_5_www.dhl.de,297_6_www.dhl.de,297_7_www.dhl.de,297_8_www.dhl.de,297_9_www.dhl.de,297_10_www.dhl.de
1,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-235.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,-442.0
2,2760.5999999999985,4028.92,3961.56,4070.2799999999997,3597.36,3572.52,4028.92,504.1200000000007,3843.54,4035.0,1384.2,1598.76,1375.9600000000003,1462.2000000000003,1767.0000000000014,1537.6599999999996,3590.6000000000004,1486.4000000000015,1549.98,3677.7000000000003,712.6400000000001,1347.86,1722.44,1365.1,1692.3999999999999,1596.0,1330.8,1325.8999999999999,1357.34,1429.8600000000001,1325.74,1355.76,-496.2400000000001,1595.6,1521.32,1358.92,1588.2,-273.7599999999999,1351.02,1505.3200000000004
3,4752.92,6525.52,4334.4800000000005,8090.64,6493.36,8464.96,6796.08,7921.800000000001,6693.52,4590.0,3970.2,5557.48,4937.519999999999,4106.2,5276.400000000001,4207.920000000001,5145.04,5151.08,4108.32,4756.639999999999,1641.8799999999999,4062.52,2364.800000000001,3507.2000000000007,4013.4,4086.6,3690.2,4080.2000000000007,4041.88,4112.56,4110.68,4045.3199999999997,1511.56,1462.2000000000003,3765.7200000000003,4038.44,1354.3999999999999,1605.9600000000003,4055.64,4097.72
4,8595.94,11332.600000000002,7957.4400000000005,18704.160000000003,16823.480000000014,18268.579999999998,8947.22,18012.72,13627.44,8006.0,5465.6,8532.92,6384.08,5194.599999999995,5833.199999999998,4491.879999999999,8356.12,6146.14,4373.120000000002,6908.399999999998,3842.9799999999996,4164.28,4236.04,4162.38,5471.199999999998,4116.8,4116.959999999999,4088.18,4484.179999999999,5748.480000000002,4328.4,4574.4800000000005,4142.44,3948.6,4373.319999999999,4677.880000000002,3894.8999999999996,3805.4399999999996,4357.100000000001,7131.36
5,17869.16,34374.24,19171.8,40328.2,33332.08,32646.52,13947.44,31901.04,27473.96,19661.0,4630.199999999998,11828.640000000001,8410.039999999999,8065.2,9611.2,8269.960000000001,16958.16,9221.600000000006,8218.48,12939.04,5418.12,4457.64,5209.24,5107.04,4534.200000000001,4408.599999999999,4675.12,5197.88,4497.88,8230.64,4747.68,4547.24,5481.08,4106.2,8196.28,4426.08,4148.6,5517.04,4724.48,10242.16
6,33138.3,33073.7,38731.6,62500.60000000001,34413.99999999999,45706.599999999984,25550.899999999998,38834.6,45708.99999999999,32043.0,8492.0,31748.4,18132.4,17925.0,20123.0,18245.399999999998,31124.199999999997,32636.7,14626.899999999994,16091.099999999999,4335.6,8318.2,6371.599999999999,6375.299999999999,8694.0,8288.0,5998.4,3979.1999999999994,8414.699999999999,18040.4,6192.7,8514.800000000001,5128.799999999999,5156.0,14883.2,7081.400000000012,5137.5,6748.400000000001,6505.099999999999,12280.599999999988
7,43232.27999999998,37686.96,50370.08,124714.36,52558.68000000002,57648.2,41317.96000000001,72569.04000000001,76449.16,49505.0,7634.800000000001,44898.96,31472.120000000003,30869.8,32352.2,31318.52,31793.84,32133.68,32677.239999999998,22252.92,8549.960000000001,8454.44,8363.56,8312.16,8157.599999999999,8321.2,8136.04,8058.080000000005,8475.16,21989.079999999998,8552.28,8584.24,6243.720000000004,5507.599999999995,36302.8,7914.6799999999985,4632.200000000006,8606.32,8576.08,14391.399999999998
8,85254.34,71554.06,75673.35999999996,151560.24,98426.04000000007,95949.95999999995,42931.78,87438.99999999999,106575.44,73590.0,18351.8,59343.76,42407.64,31551.4,35441.9,31996.64000000001,52321.44,33885.42,32858.34,38627.259999999995,8537.98,16253.379999999985,9760.840000000007,7696.1399999999985,18374.600000000002,11963.999999999996,8828.399999999998,7814.46,13321.659999999998,22560.100000000002,7981.620000000003,15923.240000000007,7958.840000000005,6724.199999999991,55070.68,18207.28,8481.1,9435.199999999995,17442.65999999999,19174.799999999992
9,103891.84,103776.03999999998,121608.87999999998,173986.12,149481.76,149014.24,78102.8,110811.6,114075.68,114066.0,21243.999999999996,75426.04000000002,55504.07999999999,34902.599999999984,61800.600000000035,41961.4,72748.8,54465.16,45368.51999999999,41819.68,12783.320000000002,22372.399999999994,18365.36,18340.88,20004.999999999996,18103.8,13695.24,17596.84000000001,19107.8,43839.0,18462.04,18524.280000000002,8455.960000000001,8378.199999999999,55121.64,31856.960000000014,8393.4,18074.92,24975.679999999997,39923.99999999995
10,151761.69999999998,151950.76,139960.92,204103.52,180714.59999999998,173193.3,105366.20000000003,158238.95999999996,151805.9,143830.0,31315.8,112280.47999999998,60658.520000000004,49746.2,85431.70000000001,65349.92000000002,135057.68000000002,88342.31999999999,63198.58,56037.14,18126.04,21615.42,23428.44,23726.82,22599.6,22281.2,21894.04,22452.08000000004,22665.98,55623.64000000001,19650.899999999998,54829.88,9420.300000000003,8325.999999999996,58128.2,55037.04,8150.000000000009,39042.43999999998,53380.76000000001,61346.56
