index,342_1_www.alternate.de,342_2_www.alternate.de,342_3_www.alternate.de,342_4_www.alternate.de,342_5_www.alternate.de,342_6_www.alternate.de,342_7_www.alternate.de,342_8_www.alternate.de,342_9_www.alternate.de,342_10_www.alternate.de,343_1_www.alternate.de,343_2_www.alternate.de,343_3_www.alternate.de,343_4_www.alternate.de,343_5_www.alternate.de,343_6_www.alternate.de,343_7_www.alternate.de,343_8_www.alternate.de,343_9_www.alternate.de,343_10_www.alternate.de,344_1_www.alternate.de,344_2_www.alternate.de,344_3_www.alternate.de,344_4_www.alternate.de,344_5_www.alternate.de,344_6_www.alternate.de,344_7_www.alternate.de,344_8_www.alternate.de,344_9_www.alternate.de,344_10_www.alternate.de,345_1_www.alternate.de,345_2_www.alternate.de,345_3_www.alternate.de,345_4_www.alternate.de,345_5_www.alternate.de,345_6_www.alternate.de,345_7_www.alternate.de,345_8_www.alternate.de,345_9_www.alternate.de,345_10_www.alternate.de
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-2192.0,-442.0,-442.0,-442.0,-442.0,110.0,-442.0,-442.0,-442.0,1539.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3582.2400000000002,3634.42,3774.12,4127.4,4090.3,5180.100000000001,3959.2200000000003,5182.32,4098.78,4130.58,426.5,1484.9999999999998,1343.6200000000001,1555.44,1693.4000000000005,1422.86,1539.06,1235.8200000000004,1113.7999999999981,1025.2000000000016,-360.82,-400.42,-368.74,-360.82,-283.6,-327.16,-269.74,-400.42,-400.42,-356.86,3712.420000000001,3590.88,3576.6799999999994,4106.2,3559.56,4090.3,4045.3199999999997,3933.48,4030.6800000000003,3573.6
3,6136.5199999999995,6240.84,8536.72,9748.199999999999,8385.800000000001,8330.08,8274.52,13334.16,8223.92,8557.08,2672.0,2547.2799999999997,4146.48,4101.96,5434.96,3946.48,4121.04,4430.079999999998,5312.12,4183.5599999999995,-279.64,-358.84000000000003,-295.48,-279.64,-172.7999999999996,-366.23999999999995,461.68000000000006,-358.84000000000003,-358.84000000000003,-271.72,7365.320000000007,6244.24,6487.279999999996,8099.8,7827.519999999998,8358.199999999999,4659.24,5937.079999999998,4188.279999999996,6461.8
4,13961.72,14052.880000000001,14217.799999999997,16321.6,15738.8,31822.18,15970.600000000008,33393.44,33193.8,16754.160000000003,4047.0,4917.639999999999,6309.76,4383.48,6189.84,6866.58,4754.02,6244.36,5966.48,7783.58,-419.72,-317.26,-328.0399999999999,-419.72,1580.8,461.6799999999989,1528.6000000000001,-317.26,-317.26,-465.56000000000006,14434.880000000001,13904.439999999993,14257.480000000001,22382.00000000003,13896.320000000002,22220.9,8269.039999999999,8404.7,7807.3200000000015,12237.2
5,34153.159999999996,36943.44,33013.76,33984.00000000001,41504.6,36637.76,34387.24,64036.04,36441.84,27557.960000000006,5341.0,6126.4400000000005,8346.88,8265.960000000001,7874.800000000001,9867.56,8524.039999999999,8096.280000000002,7782.760000000002,14527.400000000005,8.479999999999563,-275.68,-610.72,8.479999999999563,1352.6000000000001,1592.64,1471.84,-275.68,-275.68,371.03999999999985,32847.16,32017.88,33186.64,35427.400000000016,33000.76,34831.6,21968.480000000032,32172.24,23107.599999999995,32227.399999999998
6,52405.8,70385.4,47636.2,43025.0,43155.5,51826.9,57472.999999999985,70658.4,73508.19999999981,36004.3,9119.5,7249.3,13924.6,11781.200000000004,18046.400000000005,12227.9,12239.299999999996,14111.300000000003,14117.999999999995,34014.1,1632.6000000000001,-282.20000000000005,960.2000000000005,1632.6000000000001,1479.0,1370.0,2022.9999999999995,-282.20000000000005,-282.20000000000005,1617.8,38939.80000000003,36291.4,41092.999999999985,60488.0,39503.7,44150.0,33204.4,36562.2,31587.600000000006,36870.0
7,80585.12,97954.68000000001,69316.91999999998,61655.8,60842.000000000015,75439.43999999999,72799.72,153004.8,134304.8,38992.64000000001,12771.0,8574.239999999998,34275.64,13626.720000000001,34326.44,16135.44,18236.36,34199.04,32868.76,37520.16000000001,1571.92,-442.64,1607.44,1571.92,1246.5999999999992,1396.84,2237.44,-442.64,-442.64,1526.8,58914.52000000001,44007.76,91003.16,124452.59999999999,90614.44,55011.999999999985,45718.28,49693.04,34078.24,48679.999999999985
8,127090.47999999997,150480.26,124681.96,102934.2,78014.9,120764.30000000002,107174.40000000001,179682.76,155856.99999999994,75924.46,14514.5,15010.739999999998,35229.26,16143.799999999994,35418.68,19813.779999999995,35128.700000000004,35252.86,33636.48,45456.38,1384.7000000000003,-603.0799999999999,1521.9,1384.7000000000003,707.8000000000001,1489.9199999999998,1898.82,-603.0799999999999,-603.0799999999999,1322.58,134765.12,108281.64,142437.84,214976.2000000001,165555.4,69516.49999999997,51266.60000000001,80233.22,38106.12,105049.80000000002
9,236781.27999999994,209936.52,164639.07999999996,160577.6,120650.00000000003,154544.24000000008,149715.6,193921.76,244627.11999999994,157813.32,18410.0,35245.88,37296.6,21417.76,39044.159999999996,37418.119999999995,34001.04,40765.07999999998,36249.520000000004,95098.52000000008,1365.24,189.75999999999976,1340.6,1365.24,481.39999999999975,1419.0800000000004,1628.56,189.75999999999976,189.75999999999976,1390.52,250049.72,178310.8,204743.43999999997,294413.60000000003,247586.12,145375.99999999997,57906.040000000066,129483.2,50583.19999999999,151883.6
10,293087.84,268842.12,260329.48000000013,177235.6,187197.1,190814.1,227175.91999999998,217045.92,281788.56,243592.82,37346.5,36377.54,54363.66000000001,36243.92,68749.08,40962.42,35206.26,44598.78,45046.47999999995,140399.54000000007,1430.02,1141.4799999999996,1373.14,1430.02,101.60000000000004,1941.7999999999988,3815.16,1141.4799999999996,1141.4799999999996,1458.46,292382.58,283794.19999999995,277052.32,299660.6,278783.48000000004,195464.7,94521.2,194258.23999999996,70195.72,281063.80000000005
