index,258_1_www.samsung.com,258_2_www.samsung.com,258_3_www.samsung.com,258_4_www.samsung.com,258_5_www.samsung.com,258_6_www.samsung.com,258_7_www.samsung.com,258_8_www.samsung.com,258_9_www.samsung.com,258_10_www.samsung.com,259_1_www.samsung.com,259_2_www.samsung.com,259_3_www.samsung.com,259_4_www.samsung.com,259_5_www.samsung.com,259_6_www.samsung.com,259_7_www.samsung.com,259_8_www.samsung.com,259_9_www.samsung.com,259_10_www.samsung.com,260_1_www.samsung.com,260_2_www.samsung.com,260_3_www.samsung.com,260_4_www.samsung.com,260_5_www.samsung.com,260_6_www.samsung.com,260_7_www.samsung.com,260_8_www.samsung.com,260_9_www.samsung.com,260_10_www.samsung.com,261_1_www.samsung.com,261_2_www.samsung.com,261_3_www.samsung.com,261_4_www.samsung.com,261_5_www.samsung.com,261_6_www.samsung.com,261_7_www.samsung.com,261_8_www.samsung.com,261_9_www.samsung.com,261_10_www.samsung.com
1,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,67.0,-442.0,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,67.0,-442.0,-442.0,-442.0,-442.0,-442.0,-442.0
2,3554.16,4793.24,4142.5,5065.14,4138.0,4100.9,5636.14,6379.400000000001,1033.56,4110.44,3570.2000000000007,4062.52,3243.8000000000006,4399.84,2976.7999999999993,1974.0000000000007,1462.2000000000003,6603.72,3509.0000000000005,4115.84,5116.800000000002,3821.5600000000004,4119.98,5643.5,3798.120000000001,3889.6799999999994,5220.5199999999995,3604.92,3564.96,8079.0,4053.92,1365.1799999999996,2521.4000000000015,5171.799999999999,3672.2000000000007,3304.999999999999,1941.7999999999988,4119.28,1300.5,4011.24
3,8666.68,16271.600000000002,8031.0,17714.44,10139.0,8351.4,7927.719999999998,21164.799999999996,4708.48,8478.84,5082.08,6833.36,4789.04,17462.24,5361.32,5009.2,4106.2,15895.44,5100.2,4704.839999999999,33083.600000000006,8466.68,9823.56,17534.0,8491.36,8511.76,17826.56,6310.6399999999985,6007.08,53169.0,4543.44,5300.080000000003,4137.56,17609.0,5108.16,5259.599999999999,6217.32,4728.280000000001,5085.0,4460.56
4,17805.88,120027.84,17727.5,116773.92,13939.0,43478.00000000008,36571.600000000006,181801.1999999998,9609.32,32840.439999999995,8296.939999999999,10259.559999999998,8093.46,54207.9,8387.78,8104.8,5694.599999999995,61448.24,8369.599999999999,8281.22,55866.1,17171.4,15942.58,52486.0,17168.800000000003,17810.6,52760.68,18006.12,17379.28,208726.0,8338.740000000002,6519.82,8595.16,48409.799999999996,8003.24,8645.6,7017.28,8267.74,6147.0,8095.259999999998
5,59394.0,249601.24,122541.0,223005.03999999998,25335.0,161404.20000000004,119443.16,208107.4,27914.560000000063,125732.08000000002,14447.4,13810.88,17555.12,135950.71999999997,11075.199999999995,15857.000000000004,8545.199999999999,66078.4,14505.0,17522.4,191865.6,52769.36,25053.6,141723.0,53291.32,52420.36,57003.24,54098.16,53275.08,472231.0,17167.6,8725.32,14461.200000000008,86704.4,12774.960000000001,17432.999999999993,9861.199999999995,17536.8,8235.0,17710.12
6,154984.8000000002,321297.6,164563.0,230097.0,99323.0,202847.0,158275.70000000016,379046.0,160027.00000000003,164806.40000000008,35974.80000000001,23585.999999999996,53043.20000000001,273652.6,17383.0,53954.0,17937.0,189513.20000000004,42893.0,54191.9,354987.0,56861.700000000004,60094.8,326424.0,71666.60000000005,57400.4,162250.20000000004,57962.199999999924,52297.799999999996,757232.0,47908.3,17793.4,18718.000000000004,230863.0,12971.800000000001,26869.0,18534.0,48672.1,17360.0,48131.000000000015
7,198547.56000000008,511452.52000000025,236939.0,338408.95999999996,219175.0,239022.4,273550.36000000004,511552.99999999977,266926.27999999997,195999.52,53813.24,62407.0,54343.44000000001,473550.28,53843.28,54671.6,20516.79999999998,462563.7199999999,53310.6,54698.36,581143.8,145769.56000000008,62234.159999999996,468971.0,84026.40000000002,98477.6,310699.36,146207.88000000006,57929.96,954049.0,48686.76,35780.76000000001,47843.68,396165.8000000003,24969.8,47641.0,48887.36,46783.92000000001,48196.0,67854.68000000001
8,245001.52,769495.92,300215.0,543092.08,355735.0,342404.1,412555.6800000001,807452.1999999998,368648.4800000002,300200.96,54789.96,62632.880000000005,55761.94,549264.46,54295.08,55537.8,54158.8,547159.5599999999,56172.799999999996,63939.28000000002,725523.3999999999,232380.4,87434.27999999993,603037.5,209150.54,268817.95999999996,454681.18000000005,200009.8,133843.15999999995,1168218.0,50375.359999999986,47891.88,66767.72,560076.2000000003,56371.76,63042.99999999995,50009.32,50430.52,47205.5,104279.66
9,316737.72,880630.64,418547.0,743817.32,406472.0,467911.4000000001,535215.4800000002,1037842.3999999999,533849.6800000002,410282.28,72977.8,63949.840000000004,99344.24000000006,688380.2,55983.72,127169.60000000002,54960.4,741544.84,57627.00000000001,119292.48000000001,948718.4000000001,361752.96,239185.63999999998,774078.0,299930.1600000002,419768.12,637527.04,239120.19999999998,259806.08,1277542.0,54752.79999999999,49756.72000000008,100460.28,667194.0,70675.92,84333.4,51070.48,55431.76,50142.0,171783.48
10,474359.4800000002,1031968.2799999999,543797.0,982200.6000000001,510295.0,647496.2000000003,655129.9,1184717.1,613556.34,568680.9199999999,108575.12000000004,69621.68000000001,147788.1,800769.18,62408.840000000004,213822.00000000006,56344.4,809255.04,109411.00000000007,160228.12000000002,1041533.2,478227.3200000001,364149.36000000004,996006.0,403654.60000000003,532345.5199999998,779448.74,383912.12000000005,302767.36,1476668.0,150014.59999999995,115742.52000000003,163476.92,768606.0,107543.12000000001,186865.19999999995,69694.88,107001.72,51421.5,225177.44
