index,118_1_www.skype.com,118_2_www.skype.com,118_3_www.skype.com,118_4_www.skype.com,118_5_www.skype.com,118_6_www.skype.com,118_7_www.skype.com,118_8_www.skype.com,118_9_www.skype.com,118_10_www.skype.com,119_1_www.skype.com,119_2_www.skype.com,119_3_www.skype.com,119_4_www.skype.com,119_5_www.skype.com,119_6_www.skype.com,119_7_www.skype.com,119_8_www.skype.com,119_9_www.skype.com,119_10_www.skype.com,120_1_www.skype.com,120_2_www.skype.com,120_3_www.skype.com,120_4_www.skype.com,120_5_www.skype.com,120_6_www.skype.com,120_7_www.skype.com,120_8_www.skype.com,120_9_www.skype.com,120_10_www.skype.com,121_1_www.skype.com,121_2_www.skype.com,121_3_www.skype.com,121_4_www.skype.com,121_5_www.skype.com,121_6_www.skype.com,121_7_www.skype.com,121_8_www.skype.com,121_9_www.skype.com,121_10_www.skype.com
1,67.0,67.0,-442.0,67.0,-442.0,-115.0,-48.0,67.0,-442.0,-442.0,67.0,0.0,67.0,0.0,-442.0,0.0,-48.0,67.0,67.0,-442.0,67.0,67.0,-48.0,67.0,67.0,67.0,-442.0,67.0,67.0,67.0,-442.0,-442.0,-442.0,-442.0,-48.0,67.0,-48.0,-442.0,-442.0,-48.0
2,1280.7,575.0,1223.1200000000001,329.02000000000004,1149.8600000000001,115.60000000000028,1177.1599999999999,1552.8400000000004,555.5199999999998,736.3800000000001,939.2399999999993,395.96,338.76,574.52,1395.26,421.44,268.21999999999997,405.06,235.95999999999992,1363.66,1978.1599999999999,2519.78,861.4800000000025,2579.88,342.0,2297.0,1949.1599999999996,2593.2000000000003,456.60000000000025,2659.5600000000004,4578.72,4595.12,4487.22,3017.8000000000015,563.5599999999994,2100.4,2390.3199999999997,3041.0799999999977,4559.599999999999,2221.08
3,4680.599999999999,1810.0,4066.1600000000035,817.2799999999997,2287.12,3251.6,4591.04,4585.96,4492.079999999999,4356.72,1278.72,220.91999999999825,921.680000000001,1806.04,272.8399999999997,414.31999999999994,662.16,2051.28,1092.9199999999998,578.4399999999999,5035.28,6756.3200000000015,6596.84,7084.359999999999,5564.0,8799.0,6950.84,6885.799999999999,7078.8,8710.48,7999.76,12034.640000000001,19567.2,11034.800000000007,9742.68,7744.6,6568.800000000004,8081.879999999997,12232.800000000012,8249.44
4,6652.4,5185.0,6945.88,5212.54,5491.22,4951.599999999999,6701.5599999999995,7248.76,11544.22,6703.220000000002,2426.7199999999957,1778.32,1617.78,5041.040000000003,4541.32,1990.64,2192.3000000000006,976.8599999999999,4950.48,4571.9800000000005,8235.399999999994,23400.43999999992,12950.2,19312.8,9874.0,25439.0,17520.320000000003,13621.199999999977,13319.999999999989,32294.359999999997,21685.64,15716.199999999999,44411.82,21410.899999999998,19695.680000000004,20259.0,15272.36,15125.06,22793.000000000007,15267.960000000001
5,13485.0,7482.0,7796.719999999998,9760.68,6795.200000000004,12599.8,11374.240000000014,11810.519999999988,19569.44000000001,19389.2,4675.56,2936.1600000000003,2862.360000000002,7474.639999999999,3678.359999999999,3156.36,1309.7600000000002,4954.56,7632.48,4328.200000000001,32493.120000000003,28838.320000000003,33012.159999999996,29513.48,25014.0,29109.0,31131.28,32789.6,30393.600000000002,28154.52,45104.200000000004,35687.36,40548.72,42578.8,29060.600000000013,42342.399999999994,37995.36,23232.399999999998,41403.6,35248.92
6,22387.0,7862.0,19242.0,19058.00000000001,14372.3,16306.0,21249.6,18998.4,45176.3,31365.800000000032,4130.2,4925.2,5010.2,13680.200000000019,12357.3,4992.8,2954.9,4591.7,14127.199999999999,6579.7,28663.400000000005,30563.2,29624.600000000002,25652.300000000003,30722.0,30044.0,28034.2,29347.0,29652.0,31699.4,44213.799999999996,34455.6,47679.60000000002,41032.0,40800.9,40593.0,32872.4,43613.499999999985,39559.0,33706.6
7,91888.8,19530.0,43518.72,24377.959999999995,23297.800000000007,37750.799999999996,45271.72,24825.519999999997,45787.16,44507.96,7024.799999999992,7535.12,5367.799999999996,20260.600000000002,11300.2,10842.08,5182.32,6388.84,19851.79999999999,6702.800000000004,28800.83999999999,40008.240000000005,31209.68,35449.84,29647.0,39445.0,29887.56,33406.600000000006,32058.600000000002,40324.88,45631.28,40807.28,58423.08,44826.800000000025,41165.32000000002,44256.200000000004,36921.48,42379.72,49231.4,40770.119999999995
8,124585.9,23472.0,44626.119999999995,47295.94,61478.600000000006,39484.39999999998,46609.84,34286.880000000005,42520.86,45220.66,9903.08,7211.240000000001,6633.52,30910.22,14899.300000000007,10609.08,7279.260000000001,8638.979999999998,40891.44,18216.040000000005,38494.12,44646.18,38651.64,43752.14,36988.0,44362.0,35039.96,42312.6,39550.1,44921.48,53857.04,50609.44000000001,164659.91999999998,54761.1,47459.26,54114.6,44453.84,40395.55999999999,58570.2,49232.56
9,125462.6,47194.0,45894.72,48294.119999999995,100405.48,39219.200000000004,44161.96,34439.28,39678.88,45965.28,17891.24,12192.119999999988,10054.400000000003,40758.8,29914.400000000005,13288.399999999998,9018.76,10236.48,44307.880000000005,19278.6,45123.28,96773.92,43865.84000000002,77491.8,45084.0,93965.0,41108.32,46516.6,44691.4,100843.48,80803.12,66092.28000000003,320357.1600000002,57324.6,58808.44,58277.4,49252.840000000004,48789.159999999996,139008.20000000007,60712.2
10,125588.9,48342.0,43680.56,48217.32,127135.54,36997.4,42027.56,34742.56,42738.68,42834.94,17739.92,16199.759999999997,18158.540000000015,55492.78,34908.200000000004,19056.52,18269.040000000005,17279.85999999999,49567.759999999944,28408.16,95792.76,107095.78,83042.20000000008,96466.62000000001,50294.0,121092.0,43969.76,100152.6,95342.3,121833.8,211397.7200000001,132485.48,439571.7200000001,150638.20000000027,60439.04000000009,139762.79999999993,112274.72000000015,55470.420000000006,329983.4000000001,144774.0800000001
11,126372.0,46562.0,41094.6,45531.2,125540.8,34357.0,39855.200000000004,33355.600000000006,46468.400000000016,40417.6,20504.999999999996,31808.999999999993,19596.0,72431.60000000005,35621.0,20188.800000000003,19890.8,20957.000000000004,131513.19999999998,36320.2,112643.40000000001,123160.6,113369.59999999999,112542.20000000001,99900.0,133893.0,98139.99999999999,115264.0,110105.0,145435.0,346687.0,289635.2000000003,573759.4000000003,357928.0,128381.60000000014,299958.0,263208.2000000003,66863.99999999997,407389.0,265953.2
12,123890.7,47311.0,39215.32,43435.22,123614.78,32561.600000000006,42528.24,31203.68,54797.64000000004,43780.24,37661.12,37990.19999999999,26347.84,91941.04,39995.8,28035.799999999996,22750.719999999998,45152.620000000024,168882.8,46675.91999999999,134241.44,143640.56,116194.20000000001,145558.86000000002,109379.0,152167.0,110333.72,137610.99999999997,118335.70000000001,171208.36000000002,532882.88,479761.92000000033,670303.98,503028.80000000016,263355.6000000001,453381.9999999998,418961.4,170704.59999999995,477866.6000000004,438086.32
13,127358.40000000001,45531.0,42505.44,43944.240000000005,121701.23999999999,38207.6,46147.56,61008.48,59792.72,48976.920000000006,39306.59999999999,39567.8,40024.2,160849.04,44924.28,30655.2,36702.96,61991.159999999996,243726.63999999996,48975.68000000001,152361.23999999996,227225.3199999995,129493.16,171426.08000000002,128238.0,169853.0,123752.12,172286.59999999998,137945.5999999999,220174.40000000002,658648.2,650342.64,687681.24,664668.2000000002,406616.24000000005,659150.2,558547.8,318134.48,659521.0,513244.4400000002
14,130263.4,43349.0,45645.96,51739.259999999995,119722.18000000001,46283.6,52686.03999999999,102897.96,64208.78,53323.18,40674.68,40616.04,49150.92000000001,249963.1600000001,65028.54,34527.4,38253.14,61876.6,252066.72,49759.31999999999,168086.08,291946.22,153850.24,244069.91999999998,168128.0,209741.0,141988.84,174825.2,163225.0,251393.6,669797.4,667854.8,719583.2800000001,670442.0,532697.68,670627.8,661459.6,392529.63999999996,680020.0,662027.16
15,134674.20000000004,44059.0,50019.120000000046,58068.72,120828.04,50212.79999999996,56001.28,109787.72,66960.84,57398.4,41909.359999999986,44353.43999999997,49521.44,253276.92,93163.04000000005,37401.04,40335.8,96305.52000000005,260018.2,54047.56,228162.2,300889.52,173257.8800000001,304125.91999999987,172651.0,255616.0,163921.03999999998,181632.99999999997,188184.5999999999,288288.80000000005,697852.3999999999,681901.76,754528.68,682120.0,668123.08,681036.0,672005.64,499823.39999999997,731252.8,676631.48
16,142861.0,49715.0,55485.799999999996,60470.299999999996,128835.90000000001,54975.0,62451.2,132988.2,72050.6,63783.9,44064.6,61712.59999999994,51644.5,260674.69999999998,111778.6,50929.200000000004,41938.7,131345.20000000007,265315.8,88334.5999999999,368949.99999999994,316632.8,217737.0,405640.19999999984,264775.0,326986.0,213738.60000000003,244073.0,208949.5,380658.1999999999,719890.8,739389.0,757681.7,730184.0,674053.8,697167.0,712613.6,667798.4999999999,748363.0,681530.8
17,145077.2,53458.0,57899.28000000003,67231.72,128786.84000000003,61947.799999999996,62876.32,134655.08000000002,71705.80000000002,66365.76,65033.68,67071.08,64253.80000000001,267716.6,147098.1200000001,65633.23999999999,61812.96,136640.96,270314.28,158119.84,533150.96,409718.36,271842.36,491582.2399999998,449415.0,393626.0,262560.95999999996,322936.2,254355.99999999997,427680.2,740749.72,746845.84,765445.96,753041.8,693904.4,732662.8,738164.68,668243.16,749222.8,684981.52
18,147644.6,59495.0,64358.360000000015,69397.14,132590.54,61862.6,67495.96,143206.04,149433.67999999996,71165.46,66482.24,122086.16,66019.34,280616.26,173364.6,78989.68000000002,82629.06,171422.38,277706.6,218465.48000000004,592101.88,458123.1199999997,280590.28,567067.12,477383.0,512862.0,365727.5199999998,350100.99999999994,302905.3999999996,507203.8000000001,756547.12,752821.24,774493.0000000001,754901.8,717960.5399999999,756591.4,750722.4,677948.08,758095.8,712346.1199999999
19,148940.6,63695.0,66946.36,75088.20000000003,137675.32000000004,63261.8,72649.84,147912.64,168949.56000000017,70998.44,99634.11999999997,156255.12,98287.92000000011,290801.8,221098.56,143101.2,97473.08,206657.88,292546.16000000003,256028.04,715509.28,535282.44,324442.80000000005,626018.0399999996,521245.0,599182.0,455370.08000000013,457745.99999999994,358661.99999999994,593788.84,757329.36,754454.12,795305.08,752777.4,737076.1600000003,755970.6,752916.84,701292.7599999999,760468.8,750786.36
20,148890.69999999998,66173.0,66999.79999999999,80334.12,143253.16,67881.40000000001,71624.52,148213.12,256644.0800000001,86698.16000000002,158965.24,197219.51999999996,147262.84,309949.24,242797.48000000004,171639.2,141464.88000000006,239941.72,309971.19999999995,257647.54,733240.96,611234.5199999999,409622.4000000001,699083.3199999995,607219.0,688953.0,539963.04,497518.0000000002,414341.80000000016,658443.5200000001,756907.68,762717.12,814627.64,751571.6,741494.6,752844.8,751657.92,724259.5199999999,782849.6,759829.7999999999
21,147472.0,68677.0,68188.59999999999,79251.59999999999,145325.2,78848.0,111300.60000000037,148043.4,294485.80000000005,166035.20000000013,207469.79999999996,257091.4,188865.6000000001,311512.4,256255.4,224122.40000000002,164769.0,259430.2,338934.39999999997,263300.6,738268.9999999999,699412.1999999998,504151.00000000006,738215.8,721375.0,706397.0,658166.0,571630.0,519531.0,732870.6,770103.0,779764.2,832101.6,763756.0,755000.7999999999,764478.0,767752.6,748561.2,787660.0,762055.2
