index,50_1_www.linkedin.com,50_2_www.linkedin.com,50_3_www.linkedin.com,50_4_www.linkedin.com,50_5_www.linkedin.com,50_6_www.linkedin.com,50_7_www.linkedin.com,50_8_www.linkedin.com,50_9_www.linkedin.com,50_10_www.linkedin.com,51_1_www.linkedin.com,51_2_www.linkedin.com,51_3_www.linkedin.com,51_4_www.linkedin.com,51_5_www.linkedin.com,51_6_www.linkedin.com,51_7_www.linkedin.com,51_8_www.linkedin.com,51_9_www.linkedin.com,51_10_www.linkedin.com,52_1_www.linkedin.com,52_2_www.linkedin.com,52_3_www.linkedin.com,52_4_www.linkedin.com,52_5_www.linkedin.com,52_6_www.linkedin.com,52_7_www.linkedin.com,52_8_www.linkedin.com,52_9_www.linkedin.com,52_10_www.linkedin.com,53_1_www.linkedin.com,53_2_www.linkedin.com,53_3_www.linkedin.com,53_4_www.linkedin.com,53_5_www.linkedin.com,53_6_www.linkedin.com,53_7_www.linkedin.com,53_8_www.linkedin.com,53_9_www.linkedin.com,53_10_www.linkedin.com
1,67.0,67.0,67.0,-442.0,67.0,-48.0,67.0,67.0,0.0,-442.0,67.0,67.0,0.0,67.0,0.0,0.0,67.0,0.0,67.0,-442.0,67.0,-48.0,-48.0,-442.0,67.0,0.0,-442.0,67.0,67.0,-442.0,67.0,-48.0,67.0,67.0,67.0,67.0,67.0,67.0,-48.0,67.0
2,299.15999999999997,210.8,547.14,1619.28,207.44,164.14,162.32,233.64000000000001,1969.5000000000002,-282.20000000000005,7250.420000000001,7413.599999999993,8356.84,12653.32,11476.14,10582.04,10984.8,7399.8,16059.1,11709.0,1411.639999999998,1904.6999999999996,594.9199999999995,4462.86,898.5600000000002,975.9399999999998,2242.6800000000003,915.7999999999995,1750.319999999999,2199.88,344.04,204.56,370.48,1103.44,1619.0400000000009,456.02,306.44,223.28,87.36,-69.43999999999997
3,168.47999999999996,381.40000000000003,4616.519999999998,1286.9199999999998,422.92,437.92,321.96,467.28000000000003,5009.400000000001,1625.2,51476.96,57222.84,54513.32,36242.64,58837.92,47374.72,52775.36,29321.4,58805.88,46182.0,6552.32,4855.0000000000055,8131.36,6002.48,6937.5199999999995,8528.8,5690.239999999998,6962.200000000002,10924.4,6064.96,1692.96,516.08,770.44,3055.48,1338.1200000000001,845.04,634.3199999999999,446.56,-136.92000000000002,1620.52
4,1803.12,605.6000000000001,6519.380000000001,593.16,622.3199999999999,293.3800000000001,449.44,648.8399999999997,9176.1,1344.7,63853.44,118354.63999999996,69750.02,76847.96,202619.31999999998,57163.32,139138.04,60372.200000000004,186145.15999999977,68284.0,11569.399999999994,16078.5,27958.18,20415.97999999997,12301.400000000016,25967.599999999984,26765.32,16163.200000000003,13225.24,17057.760000000002,3200.0799999999977,764.62,1111.44,6190.379999999999,2547.32,1301.06,852.3199999999999,669.84,1689.88,771.6800000000001
5,1299.2800000000002,776.2,10702.799999999996,2189.48,711.84,1908.64,547.56,2318.16,16153.0,1341.8,216211.4,363680.72,247064.95999999993,315474.36,507506.84,218823.63999999996,444211.16,92329.99999999999,508847.04,248608.0,22640.52,47070.799999999996,50489.28,38237.36,42578.32,43028.32,40661.24,39206.6,45687.08,40356.36,3051.16,1080.16,1473.88,13738.400000000001,4705.04,1690.08,1134.6399999999999,885.08,1633.2,2470.04
6,4765.799999999994,561.0,28939.7,4434.4,903.2,1542.6000000000004,101.80000000000013,2100.4,28767.0,1044.0,445559.7,504586.2,511551.6,538780.6,531732.2000000001,498208.2,506891.4,303244.0,520132.7,466336.0,54555.799999999996,54216.0,55174.7,53958.50000000001,52151.6,52046.8,53912.4,55514.0,51524.4,54196.6,4441.8,1328.7000000000003,1825.6000000000001,30362.100000000002,6249.7,1672.7999999999995,112.40000000000025,1089.6000000000001,1044.3999999999996,4615.8
7,5022.56,2321.999999999999,31781.559999999994,4173.4800000000005,538.4800000000002,3050.24,2111.6,1223.7600000000002,33178.200000000004,569.4000000000001,507354.52,507949.16,510876.68,543611.5599999999,539604.92,521637.88,517615.6,469564.3999999999,529973.88,513432.0,62108.83999999999,58954.20000000002,69715.64,59366.4,58479.24,55418.600000000006,58585.52,58833.000000000015,60872.32,57769.600000000006,6180.360000000001,1601.3600000000001,2869.879999999999,34925.44,9702.800000000001,3122.68,1737.2000000000003,1294.1200000000001,2966.24,6271.64
8,4827.5199999999995,2146.7999999999993,38628.09999999999,6899.32,2383.0999999999995,5161.62,2025.56,5428.28,47554.199999999975,1813.2000000000023,515559.02,517929.64,524142.4799999999,559798.32,640757.3600000001,530730.48,526518.76,514103.2,657400.36,520960.0,62829.08,67811.7,136591.6,88269.58,64219.60000000003,84682.39999999998,67004.56,65907.09999999999,80192.79999999997,61959.4,9167.319999999998,3207.0799999999995,3186.04,42762.079999999994,13095.880000000012,4244.9400000000005,1367.5199999999995,1498.6400000000003,2401.9600000000005,5883.600000000011
9,7329.320000000001,1452.1999999999996,57748.08,6572.6399999999985,2234.3599999999997,4914.24,1748.8799999999999,5270.32,69326.99999999999,2227.7999999999997,523943.43999999994,553151.7599999999,664872.16,575543.56,864317.5200000003,549789.52,748017.96,521445.2,841625.88,530629.0,80900.32,85583.00000000001,267320.12000000017,185796.75999999998,184198.16,211441.87999999983,158938.16000000024,120318.80000000019,133287.43999999997,112747.63999999993,11494.599999999999,2797.4800000000005,6696.24,76463.63999999993,14201.199999999999,6385.04,5652.88,1719.24,3993.879999999999,8262.92
10,7557.5199999999995,2844.8000000000015,63489.80000000001,7264.400000000007,1587.7800000000002,6600.36,1152.32,5171.76,84774.8,2330.1000000000004,662586.92,676326.76,842201.7000000001,769899.6,1133572.48,645561.6400000001,1000543.68,525776.4,1067912.84,681394.0,95100.47999999995,236224.0,402832.7600000001,314588.2,319535.36,315059.54,314187.68,259075.4,284901.88,206957.39999999997,14615.720000000001,2879.360000000002,6287.08,92791.66,15472.4,7810.42,5564.24,1942.52,4456.56,9997.44
11,9787.999999999989,5251.0,90148.4,13314.800000000008,941.1999999999995,6638.4,3053.2000000000003,7815.4,86675.0,4530.0,789165.7999999992,906255.9999999999,1184226.4,1019138.9999999999,1501879.4000000006,876194.0,1249654.1999999997,553204.0,1213319.8000000003,890748.0,227971.99999999994,319095.0,586205.0,337216.60000000003,326181.6,456233.8,379719.2000000003,326200.0,356990.19999999984,320773.8,15225.2,6166.6,9116.800000000001,94674.6,32405.8,10912.200000000006,5865.4,1782.2000000000064,4331.599999999999,11997.000000000011
12,12218.119999999999,5287.199999999999,90061.89999999998,15494.8,2838.2599999999993,9630.799999999996,2811.88,6995.760000000001,93680.59999999996,4377.900000000001,992744.3999999996,1072864.5999999999,1510398.8,1389194.1199999996,1851586.8,1129771.2,1650145.4,699473.4,1688026.76,1175225.0,364381.63999999996,442841.6000000001,593053.02,470615.32,398664.48000000004,578062.98,504675.84,460533.2000000001,574472.56,435053.76,19196.160000000003,6089.9400000000005,10146.359999999999,99676.62,33886.86,13232.18,6155.76,3348.6800000000003,7155.84,17060.84
13,12001.64,5290.400000000001,95951.32,15454.4,2991.88,11695.640000000005,5161.24,11718.560000000007,121774.19999999994,4432.199999999999,1366036.88,1434171.76,1835907.8800000004,1707513.24,2214744.6,1465640.4,1981456.0000000005,831183.7999999992,2241587.919999999,1392342.0,538635.36,578467.6,595793.08,575632.24,566599.1200000003,579165.04,575913.64,588181.2,588196.96,489150.56,19906.32,8639.08,13431.72,101848.88,33076.72,14714.76,6411.28,2945.52,6660.92,16941.8
14,16062.599999999991,6930.6,130097.88000000002,24758.480000000003,4840.28,11664.340000000002,5002.360000000001,12336.719999999998,131484.9,6376.400000000001,1711514.6400000001,1788450.24,2152937.9199999995,1806418.42,2540881.7,1698443.0,2395526.6,1009040.0,2647628.44,1683620.0,580940.8799999999,582154.2,602243.38,586177.28,591450.52,581477.58,582266.64,589452.1,606178.8,585081.08,28565.40000000006,8137.399999999998,13652.24,106749.28,34805.38,16537.199999999997,9956.199999999999,2997.759999999999,6558.280000000002,33071.759999999995
15,23272.52,7377.2,147035.16,25430.44,4730.360000000001,12660.32,4964.079999999999,12653.200000000004,160109.2,6959.8,2063103.3199999987,2113254.5999999987,2540419.48,1877269.48,2956255.0,1969940.8,2870342.8,1242668.4000000004,3038664.2399999993,1933286.0,603276.04,584263.4,604970.84,598270.24,591805.64,587335.36,581783.52,591753.7999999999,616490.48,585604.12,35877.56,11866.760000000022,26949.120000000017,109091.84000000001,36982.56,31873.440000000002,9898.16,4220.320000000001,6332.68,40909.88
16,24983.4,6877.0,162735.69999999998,27028.2,6721.700000000001,25590.7,7460.399999999997,15202.600000000002,163850.5,6547.0,2538273.199999999,2492448.6,3014331.6,2018542.9999999993,3476110.6000000006,2339282.3999999994,3273781.7999999993,1461475.0,3371749.0,2210526.0,605240.6,587180.5,609025.6000000001,607014.1,594097.4,589767.1,584499.2,597737.0,627072.8,587517.8,37604.6,12986.099999999995,29330.399999999998,109218.09999999999,39600.600000000006,33185.4,9569.6,6293.799999999999,10314.999999999996,39679.4
17,24629.559999999994,8622.400000000001,154255.16,26925.52,6943.36,26106.24,7367.28,26848.920000000002,157321.4,8399.2,2869527.079999999,2792956.6,3474269.32,2253980.6,4019782.0800000005,2802956.56,3661874.28,1843399.0,3893543.2,2532116.0,607779.52,590137.2,645177.7200000001,612300.08,598253.3200000001,591531.2,587917.28,598717.8,635749.12,591680.92,39128.36,15069.440000000013,30753.920000000002,116537.35999999996,60331.80000000001,36864.52,12021.48,6112.4800000000005,13490.6,43549.16
18,26381.68,10284.6,165393.36,28597.76,6001.400000000007,26708.239999999998,7171.4400000000005,27025.76,159498.30000000002,8380.7,3222398.9599999995,3101242.1999999997,3779377.6,2453217.14,4526342.5600000005,3113674.4,4198147.04,2136181.3999999994,4354369.4,2803668.0,611287.76,590546.2000000001,744176.42,619924.7,601894.64,597594.98,588312.36,600665.3,639649.16,596469.84,41318.32,21424.60000000001,32593.76,120464.90000000001,67345.6,36552.46,12507.000000000002,7913.12,15301.2,43213.28
19,28107.68,12100.0,164635.04,30878.039999999997,12126.800000000001,25954.96,6543.96,29027.72,166869.59999999995,9525.00000000001,3618936.84,3396559.8,4131521.3200000003,2743057.96,4971574.08,3393208.8800000004,4664003.72,2422022.199999999,4792641.6,2986170.0,613249.5199999999,598609.8,771593.0,631925.16,601153.5599999999,699442.32,596766.2,608587.2,653416.44,598096.44,44606.56,33840.56,35032.04,126545.64,66683.08,39490.159999999996,30360.84,7978.360000000001,15358.76,45053.92
20,28648.799999999996,14103.600000000002,166021.2,30715.519999999997,11694.52,30077.54,6769.36,28473.32,178598.00000000003,12056.9,4067125.7199999983,3771507.7199999983,4529974.08,2997391.6,5331863.5600000005,3643241.8000000003,5009523.800000001,2684466.6,5112366.12,3167472.0,623254.04,605139.5,825213.4400000002,646622.54,609318.96,721067.24,604430.2000000002,639423.7000000001,723845.08,598960.96,53581.319999999985,35543.85999999999,36629.400000000016,113623.36,79667.86,42968.979999999996,29528.04,10472.519999999999,16014.680000000002,48893.119999999995
21,33003.4,16288.0,187364.8,33795.399999999994,12311.8,29955.2,8586.799999999997,30482.8,210531.0,11412.0,4556889.6,4111002.0,4919305.6,3450761.9999999995,5689630.4,3907048.0,5500522.399999999,2957787.0,5509285.0,3410810.0,629678.9999999999,705012.0,872318.2,661554.2,655139.2000000001,758931.8,702899.6,723458.0,762803.2,605223.6,67511.2,35021.200000000004,40845.600000000006,118891.59999999998,82125.2,49516.799999999996,30336.799999999992,10196.400000000003,25295.800000000014,51435.00000000003
22,34640.96,22305.80000000002,197395.74,46830.60000000001,12608.360000000002,32308.240000000005,13960.080000000005,32112.44000000001,293358.2,10984.7,5060111.24,4424389.479999999,5223914.8,3908421.3200000003,6057692.4799999995,4258590.96,5679536.4,3251798.0,5924620.319999999,3728572.0,718227.2399999998,722533.6000000001,877548.8,720992.56,741279.84,834537.04,709617.0800000001,743054.7,851243.08,706587.92,69665.28,36660.46,52089.83999999999,127275.02,80673.26,50211.16000000001,32075.24,11995.68,32827.19999999999,55334.479999999996
23,40699.96,27656.199999999997,229676.55999999988,51331.56,12945.960000000001,33570.68,13784.240000000002,32300.52,407139.99999999965,13418.0,5493243.359999999,4896936.6,5460994.52,4468476.4799999995,6409214.6,4620716.72,5787362.6,3543964.7999999993,6440938.6000000015,4103481.0,752350.52,751822.0000000001,896087.6,753574.6800000002,745244.68,859020.24,736349.84,762087.6,864404.84,712462.4799999999,72724.84,38756.72,70254.87999999999,200250.9199999999,81639.72,63813.8,34950.92,11671.239999999998,39330.88,62757.24000000002
24,48166.68,29409.4,361792.4399999997,50479.560000000005,14296.58,37020.82,15511.6,35586.16,539436.5999999994,14060.300000000008,5917241.88,5354562.239999999,5789779.0600000005,4772966.2,6715999.32,4874995.12,5945222.14,3790036.5999999996,6889622.52,4467939.0,798011.7199999999,799889.6000000001,899710.38,849071.54,775870.2,863303.6,768946.6,813620.0000000001,875319.3200000001,731372.96,83258.92,41597.76000000001,81241.79999999999,298693.6,87219.92000000001,78335.2,34856.12,16067.440000000006,38665.56,68421.40000000001
25,47424.76,29189.2,489272.48,64072.44,13897.880000000001,40269.36000000001,16064.160000000002,35509.36,605395.3999999999,15517.800000000003,6258770.12,5767221.12,6251518.760000001,5060763.600000001,7195945.56,5214546.84,6086299.88,3966065.7999999993,7376531.439999997,4774040.0,849981.2799999999,853495.4,905931.2,855171.04,855779.4000000006,878932.48,853040.28,863747.0000000001,879055.92,767650.88,88345.04,49208.08000000001,94722.72,367569.639999999,93001.2,103154.28,37991.96,17164.08,38070.96,79956.80000000003
26,49040.0,28559.0,570982.0,72365.0,20759.0,42463.0,18411.0,40322.0,687055.0,23704.0,6667700.5,6181510.0,6708006.0,5452166.5,7594111.0,5413277.0,6393711.0,4175235.0,7859300.0,5048034.0,875599.0,861358.0000000001,908928.0,866500.5,871152.0,881506.5,868528.0,873093.5000000003,883638.0,800624.0,92715.0,66185.50000000006,93238.0,456371.9999999999,98205.0,100837.0,45032.0,19280.0,40050.0,91092.0
27,67644.67999999998,30995.200000000008,734778.92,78616.72,26211.200000000004,43423.079999999994,23627.39999999999,43345.36,742048.8,27012.4,7094851.88,6563096.88,7078013.239999999,5802094.399999999,8145743.72,5665145.559999999,6752405.68,4416228.0,8231727.08,5397925.0,890486.72,868142.8,911464.56,871206.16,878934.9600000001,887220.2000000001,868061.8,881591.6,889255.52,856610.6,93448.96,69356.56,95714.28,478486.1999999999,98881.36,103214.72,62588.76000000003,25586.359999999993,41902.359999999986,93624.76
